"report_period","first_name","middle_initial","last_name","entity_name","doing_business_start_date","date_removed","db_date_ended"
"2021-05-01T00:00:00.000","Ashwini",,"Chhabra","Bird Rides Inc","2018-10-01T00:00:00.000","2021-04-30T00:00:00.000","2020-12-31T00:00:00.000"
"2021-05-01T00:00:00.000","David",,"Becker","Big Six Towers Inc","2017-08-15T00:00:00.000","2021-04-30T00:00:00.000","2020-03-02T00:00:00.000"
"2021-05-01T00:00:00.000","Cidra",,"Sebastien","The Brotherhood/Sisterhood Sol","2008-07-31T00:00:00.000","2021-04-30T00:00:00.000","2009-12-01T00:00:00.000"
"2021-05-01T00:00:00.000","Jennifer",,"Ching","Queens Legal Services Corporation - Jenny Ching has been removed from the DBDB but remains on the Public Portal in error. She ended doing business on 2/13/17. This will be corrected in the next update","2010-01-27T00:00:00.000","2021-04-30T00:00:00.000","2017-02-13T00:00:00.000"
"2021-05-01T00:00:00.000","John",,"Rashkin","Housing Conservation Coordinators Inc","2008-07-31T00:00:00.000","2021-04-30T00:00:00.000","2008-09-12T00:00:00.000"
"2021-05-01T00:00:00.000","David","E","Saltzman","RH Bronx Rider LLC","2011-03-31T00:00:00.000","2021-04-30T00:00:00.000","2016-01-01T00:00:00.000"
"2021-05-01T00:00:00.000","Frank","L","Sullivan","Torchlight Investors LLC","2009-05-01T00:00:00.000","2021-04-30T00:00:00.000","2014-05-31T00:00:00.000"
"2021-05-01T00:00:00.000","Wai Po Wong","W","Tsang","Homecrest Community Services Inc","2008-07-31T00:00:00.000","2021-04-30T00:00:00.000","2012-12-31T00:00:00.000"
"2021-05-01T00:00:00.000","Paul",,"Finnegan","Failte Care Corp","2017-07-01T00:00:00.000","2021-04-30T00:00:00.000","2020-10-31T00:00:00.000"
"2021-05-01T00:00:00.000","Cheryl",,"Armitage Bergeron","Children's Harbor Montessori School","2014-10-31T00:00:00.000","2021-03-31T00:00:00.000","2016-06-09T00:00:00.000"
"2021-05-01T00:00:00.000","Robert","S","Nelson","Story Avenue East Residential LLC","2016-07-01T00:00:00.000","2021-03-31T00:00:00.000","2016-07-02T00:00:00.000"
"2021-05-01T00:00:00.000","Robert","S","Nelson","Story Avenue West Affordable LLC","2016-11-14T00:00:00.000","2021-03-31T00:00:00.000","2016-11-15T00:00:00.000"
"2021-05-01T00:00:00.000","Robert","S","Nelson","Story Avenue West Residential LLC","2016-11-14T00:00:00.000","2021-03-31T00:00:00.000","2016-11-15T00:00:00.000"
"2021-05-01T00:00:00.000","Julia","R","Cohen","Interactive Drama for Education and Awareness in the Schools","2010-05-01T00:00:00.000","2021-03-31T00:00:00.000","2011-01-01T00:00:00.000"
"2021-05-01T00:00:00.000","Michael","W","Michelson","KKR Associates Americas XII LP","2016-08-01T00:00:00.000","2021-03-31T00:00:00.000","2017-12-31T00:00:00.000"
"2021-05-01T00:00:00.000","Eric",,"McKissack","Channing Capital Management LLC","2013-10-15T00:00:00.000","2021-03-31T00:00:00.000","2019-12-31T00:00:00.000"
"2021-05-01T00:00:00.000","Franklin",,"Stone","Community Help in Park Slope","2017-07-01T00:00:00.000","2021-03-31T00:00:00.000","2020-02-05T00:00:00.000"
"2021-05-01T00:00:00.000","Annika",,"Reno","Kasirer Consulting LLC","2020-01-01T00:00:00.000","2021-03-31T00:00:00.000","2020-12-30T00:00:00.000"
"2021-05-01T00:00:00.000","Mitchell",,"Rudin","BOP MW Residential LLC","2014-08-01T00:00:00.000","2021-03-31T00:00:00.000","2014-06-01T00:00:00.000"
"2021-05-01T00:00:00.000","Tamar",,"Podel","Lincoln Center for the Performing Arts","2010-11-16T00:00:00.000","2021-03-31T00:00:00.000","2020-07-01T00:00:00.000"
"2021-05-01T00:00:00.000","David",,"Solomon","The Fortune Society","2015-10-15T00:00:00.000","2021-03-31T00:00:00.000","2018-07-31T00:00:00.000"
"2021-05-01T00:00:00.000","William",,"Greenblatt","Sterling Infosystems Inc","2016-08-31T00:00:00.000","2021-03-31T00:00:00.000","2019-09-01T00:00:00.000"
"2021-05-01T00:00:00.000","Anne",,"Colasanto","Watershed Asset Management LLC","2012-05-31T00:00:00.000","2021-03-31T00:00:00.000","2016-01-01T00:00:00.000"
"2021-05-01T00:00:00.000","Mindy",,"Duitz","Brooklyn Children's Museum","2013-10-18T00:00:00.000","2021-02-28T00:00:00.000","2015-01-31T00:00:00.000"
"2021-05-01T00:00:00.000","Linda",,"Baumert","Northeast Electrical Contractors Inc","2018-05-01T00:00:00.000","2021-02-28T00:00:00.000","2018-05-02T00:00:00.000"
"2021-05-01T00:00:00.000","Irene",,"Van Slyke","Brooklyn Queens Land Trust","2018-07-21T00:00:00.000","2021-02-28T00:00:00.000","2019-05-01T00:00:00.000"
"2021-05-01T00:00:00.000","Patricia","A","Conway","Fifth Avenue Committee","2008-03-05T00:00:00.000","2021-02-28T00:00:00.000","2008-03-06T00:00:00.000"
"2021-05-01T00:00:00.000","James","F","Haddon","Citicorp Alternative Investment LLC",,"2021-02-28T00:00:00.000","2009-03-01T00:00:00.000"
"2021-05-01T00:00:00.000","Lesleigh",,"Irish-Underwood","United Way of New York City","2014-06-01T00:00:00.000","2021-02-28T00:00:00.000","2020-12-15T00:00:00.000"
"2021-05-01T00:00:00.000","Laura","R","Jervis","WSFSSH (West Side Federation for Senior and Supportive Housing Inc)","2008-12-03T00:00:00.000","2021-02-28T00:00:00.000","2015-09-01T00:00:00.000"
"2021-05-01T00:00:00.000","Donna",,"Long","Grace Foundation of NY","2012-03-01T00:00:00.000","2021-02-28T00:00:00.000","2016-12-31T00:00:00.000"
"2021-05-01T00:00:00.000","Marissa",,"Martin","Coalition for Asian American Children and Families","2014-07-01T00:00:00.000","2021-02-28T00:00:00.000","2015-05-01T00:00:00.000"
"2021-05-01T00:00:00.000","Charles",,"Berman","Albee Development LLC","2008-02-03T00:00:00.000","2021-02-28T00:00:00.000","2012-05-01T00:00:00.000"
