"store","address","phone_","type","website","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","location_1"
"Aeropostale","472 Fulton Street","718-643-9190","Childrens, Mens and Womans Apparel ","www.aeropostale.com","BROOKLYN ","11201","40.690161","-73.98413","2","33","37","3000449","3001570020","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.690161, -73.98413)"
"Afzal Perfume","465 Fulton Street","(917) 238-5885","Jewelry and Accessories ",,"BROOKLYN ","11201","40.691207","-73.986701","2","33","11","3000377","3001510003","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.691207, -73.986701)"
"Aldo","466 Fulton Street","718) 852-2337 ","Women's and Men's Apparel and Footwear","www.aldoshoes.com","BROOKLYN ","11201","40.690326","-73.984538","2","33","37","3000447","3001570016","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.690326, -73.984538)"
"America's Food Court","455 Fulton Street","(718) 852-2828","Food",,"BROOKLYN ","11201","40.69132","-73.986982","2","33","11","3000382","3001510008","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.69132, -73.986982)"
"Ameritel - T-Mobile","435 Fulton Street","(718) 254-0312","Electronics",,"BROOKLYN ","11201","40.69163","-73.987747","2","33","11","3000371","3001500001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.69163, -73.987747)"
"Ashley Stewart","488 Fulton Street","(718) 246-1067","Women's Apparel","www.ashleystewart.com","BROOKLYN ","11201","40.689851","-73.983355","2","33","37","3000454","3001597501","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.689851, -73.983355)"
"AT&T","476-8 Fulton Street","(718) 403-9632","Electronics","www.att.com","BROOKLYN ","11201","40.690092","-73.983961","2","33","37","3388462","3001587501","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.690092, -73.983961)"
"Baker's","454 Fulton Street","(718) 855-6703","Women's Footwear","www.bakershoes.com","BROOKLYN ","11201","40.690466","-73.984891","2","33","37","3332518","3001570009","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.690466, -73.984891)"
"Bank of America","350 Fulton Street","(718) 875-2529","Bank","www.bankofamerica.com","BROOKLYN ","11201","40.691907","-73.98849","2","33","37","3000419","3001530015","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.691907, -73.98849)"
"Bargain Bazaar","510 Fulton Street","(718) 643-0414","Jewelry and Accessories ",,"BROOKLYN ","11201","40.689483","-73.982432","2","33","37","3000458","3001600018","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.689483, -73.982432)"
"Bed, Bath & Linen","523 Fulton Street","(718) 923-0601","Home Goods",,"BROOKLYN ","11201","40.690279","-73.984376","2","33","15","3000323","3001460053","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.690279, -73.984376)"
"Best Perfume","463 Fulton Street","(718) 923-0241","Jewelry and Accessories ",,"BROOKLYN ","11201","40.691232","-73.986759","2","33","11","3000378","3001510004","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.691232, -73.986759)"
"Blueprint","585 Fulton Street","(718) 625-6700","Men's Apparel - Urban ",,"BROOKLYN ","11201","40.689123","-73.981466","2","33","33","3000353","3001490015","Fort Greene                                                                ","(40.689123, -73.981466)"
"Brooklyn USA Ladies","523 Fulton Street","(718) 834-0377","Women's Apparel - Urban
Women's Footwear",,"BROOKLYN ","11201","40.690279","-73.984376","2","33","15","3000323","3001460053","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.690279, -73.984376)"
"Brooklyn USA Men & Kids","523 Fulton Street","(718) 834-0377","Men's Apparel - Urban ",,"BROOKLYN ","11201","40.690279","-73.984376","2","33","15","3000323","3001460053","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.690279, -73.984376)"
"Burger King","417 Fulton Street","(718) 330-0854","Food","www.burgerking.com","BROOKLYN ","11201","40.691904","-73.988436","2","33","11","3000281","3001440001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.691904, -73.988436)"
"Capital One Bank","356 Fulton Street","(718) 852-8000","Bank","www.capitalone.com","BROOKLYN ","11201","40.691748","-73.988086","2","33","37","3000421","3001540005","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.691748, -73.988086)"
"Cellular Island","465 Fulton Street","(917) 655-0600","Electronics",,"BROOKLYN ","11201","40.691207","-73.986701","2","33","11","3000377","3001510003","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.691207, -73.986701)"
"Chase ","9 DeKalb Avenue","(718) 403-7565","Bank","www.chase.com","BROOKLYN ","11201","40.689985","-73.98254","2","33","15","3000370","3001490100","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.689985, -73.98254)"
"Children's Place","471 Fulton Street","(718) 243-1150","Children's Apparel","www.thechildrensplace.com","BROOKLYN ","11201","40.691001","-73.986178","2","33","11","3000404","3001520006","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.691001, -73.986178)"
"Clear","465 Fulton Street","347-763-6323","Electronics","www.clear.com","BROOKLYN ","11201","40.691207","-73.986701","2","33","11","3000377","3001510003","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.691207, -73.986701)"
"Contessa Jewelers","464 Fulton Street","(718) 858-1856","Jewelry and Accessories ",,"BROOKLYN ","11201","40.690348","-73.984595","2","33","37","3000447","3001570016","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.690348, -73.984595)"
"Cookies","510 Fulton Street","(718) 797-3300","Children's Apparel","www.cookieskids.com","BROOKLYN ","11201","40.689483","-73.982432","2","33","37","3000458","3001600018","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.689483, -73.982432)"
"Creative Xpressions Embroidery & Silk Screen","400 Bridge Street","(718) 858-8425 ","Specialty - Embroidery","http://creativexpressionemb.com/","BROOKLYN ","11201","40.691287","-73.985338","2","33","11","3000404","3001520006","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","(40.691287, -73.985338)"
