"brooklyn_cooperatives_comparable_properties_boro_block_lot","brooklyn_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","brooklyn_cooperatives_comparable_properties_neighborhood","brooklyn_cooperatives_comparable_properties_building_classification","brooklyn_cooperatives_comparable_properties_total_units","brooklyn_cooperatives_comparable_properties_year_built","brooklyn_cooperatives_comparable_properties_gross_sqft","brooklyn_cooperatives_comparable_properties_est_gross_income","brooklyn_cooperatives_comparable_properties_gross_income_per_sqft","brooklyn_cooperatives_comparable_properties_full_market_value","brooklyn_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"3-00999-0017","350 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"PARK SLOPE","C6-WALK-UP","27","1926","17860","337911","18.92","1370000","77","3-00396-0053","311 BALTIC STREET
Brooklyn, NY 
(40.685046380837, -73.992259277473)","BOERUM HILL","C1-WALK-UP","20","1900","17640","342456","19.41","1530000","87","1.2","3-03044-0029","165 MESEROLE STREET
Brooklyn, NY 
(40.708169057316, -73.942541294527)","WILLIAMSBURG-EAST","C1-WALK-UP","39","1930","17460","321532","18.42","1310000","75","3.45"
"3-06756-0001","1810 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"MIDWOOD","D4-ELEVATOR","48","1935","57600","588096","10.21","1990000","34.5","3-06683-0052","1965 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","35","1931","25075","379025","15.12","1070000","42.7","0.85","3-08470-1018","5905 STRICKLAND AVENUE
Brooklyn, NY 
(40.609047457105, -73.914120999897)","MILL BASIN","D9-ELEVATOR","98","2000","107569","4433111","41.2","22300000","207","2.05"
"3-00974-0053","339 3 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"PARK SLOPE","C6-WALK-UP","13","1921","8560","137655","16.08","560000","65","3-00307-0006","265 CLINTON STREET
Brooklyn, NY 
(40.687235413334, -73.995769680743)","COBBLE HILL","C1-WALK-UP","14","1931","9500","164792","17.35","670000","71","1.05","3-01089-0061","529 8 STREET
Brooklyn, NY 
(40.666025125879, -73.977950480151)","PARK SLOPE","C1-WALK-UP","12","1920","8628","143846","16.67","585000","68","0.65"
"3-05925-0053","7401 SHORE ROAD
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11209","40.634242","-74.03675","10","43","38","3148115","3059250053","Bay Ridge                                                                  ","BAY RIDGE","D4-ELEVATOR","73","1955","98304","1330053","13.53","5000000","51","3-06104-0004","9303 SHORE ROAD
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BAY RIDGE","D1-ELEVATOR","70","1957","81200","1059393","13.05","3980000","49","1.05","3-07011-0011","2828 29 STREET
Brooklyn, NY 
(40.57556180854, -73.995427869962)","CONEY ISLAND","D1-ELEVATOR","122","1972","102000","1538672","15.09","4350000","42.6","4.5"
"3-06518-0005","902 OCEAN PARKWAY
Brooklyn, NY 
(40.626483175715, -73.971219225239)","3","11230","40.626471","-73.970914","12","44","46202","3170811","3065180005","Ocean Parkway South                                                        ","OCEAN PARKWAY-NORTH","D4-ELEVATOR","48","1949","64200","548910","8.55","1810000","28.2","3-06683-0052","1965 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","35","1931","25075","379025","15.12","1070000","42.7","1.55","3-08470-1018","5905 STRICKLAND AVENUE
Brooklyn, NY 
(40.609047457105, -73.914120999897)","MILL BASIN","D9-ELEVATOR","98","2000","107569","4433111","41.2","22300000","207","3.05"
"3-06779-0004","1610 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"MIDWOOD","D4-ELEVATOR","100","1933","120000","1070400","8.92","3530000","29.4","3-06683-0052","1965 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","35","1931","25075","379025","15.12","1070000","42.7","0.6","3-08470-1018","5905 STRICKLAND AVENUE
Brooklyn, NY 
(40.609047457105, -73.914120999897)","MILL BASIN","D9-ELEVATOR","98","2000","107569","4433111","41.2","22300000","207","2.1"
"3-05355-0001","302 BEVERLY ROAD
Brooklyn, NY 
(40.642932320336, -73.977260544962)","3","11218","40.642958","-73.977165","12","39","488","3125357","3053550001","Kensington-Ocean Parkway                                                   ","OCEAN PARKWAY-NORTH","D4-ELEVATOR","88","1961","80604","973696","12.08","3430000","42.6","3-05358-0071","305 OCEAN PARKWAY
Brooklyn, NY 
(40.641947835844, -73.973526147057)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","60","1941","62400","628055","10.06","2120000","34","0.2","3-05355-0012","392 4 STREET
Brooklyn, NY 
(40.670708274412, -73.980783997206)","OCEAN PARKWAY-NORTH","C1-WALK-UP","28","1928","22176","329120","14.84","1300000","59","0"
"3-04847-0004","10 43 STREET
Brooklyn, NY 
(40.595200515174, -73.985286725256)","3",,,,,,,,,,"FLATBUSH-NORTH","D4-ELEVATOR","120","1956","127764","1430318","11.2","5040000","39.4","3-07155-0004","2250 4 STREET
Brooklyn, NY 
(40.595289023249, -73.967375094094)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","116","1962","125160","1256775","10.04","4250000","34","4.45","3-07238-0002","9 MURDOCK COURT
Brooklyn, NY 
(40.585626038791, -73.96899871783)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","180","1949","169632","2033248","11.99","6870000","40.5","5"
"3-01066-0032","920 UNION STREET
Brooklyn, NY 
(40.672873581641, -73.971449621075)","3","11215","40.672729","-73.970969","6","39","165","3024703","3010660032","Park Slope-Gowanus                                                         ","PARK SLOPE","D4-ELEVATOR","17","1920","18000","370440","20.58","1660000","92","3-02412-0033","355 2 STREET
Brooklyn, NY 
(40.673353843881, -73.982622301932)","WILLIAMSBURG-SOUTH","D9-ELEVATOR","24","1919","19104","336803","17.63","1030000","54","2.8","3-01932-0022","309 WASHINGTON AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","CLINTON HILL","D2-ELEVATOR","35","1905","19291","428587","22.22","1920000","100","1.2"
"3-01066-0030","916 UNION STREET
Brooklyn, NY 
(40.672924785881, -73.971579601069)","3","11215","40.672853","-73.971308","6","39","165","3024702","3010660030","Park Slope-Gowanus                                                         ","PARK SLOPE","D4-ELEVATOR","24","1920","21840","369096","16.9","1500000","69","3-01178-0075","505 LINCOLN PLACE
Brooklyn, NY 
(40.671963251969, -73.959568191482)","CROWN HEIGHTS","C1-WALK-UP","30","1920","25556","395141","15.46","1210000","47.3","0.65","3-02139-0014","190 8 STREET
Brooklyn, NY 
(40.671380548515, -73.989160354469)","WILLIAMSBURG-SOUTH","C1-WALK-UP","41","1917","25924","452373","17.45","1840000","71","2.55"
"3-08400-0040","5710 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"OLD MILL BASIN","C6-WALK-UP","72","1955","63606","966175","15.19","3930000","62","3-05670-0047","1379 54 STREET
Brooklyn, NY 
(40.631225672155, -73.993284116546)","BOROUGH PARK","C7-WALK-UP","11","1916","22500","359607","15.98","1460000","65","4.15","3-05024-0063","526 FLATBUSH AVENUE
Brooklyn, NY 
(40.661320254035, -73.961214173092)","FLATBUSH-LEFFERTS GARDEN","C1-WALK-UP","16","1931","7596","127812","16.83","520000","68","4"
"3-05399-0007","510 OCEAN PARKWAY
Brooklyn, NY 
(40.635797245528, -73.972964068292)","3","11218","40.635604","-73.972646","12","39","484","3127185","3053990007","Kensington-Ocean Parkway                                                   ","OCEAN PARKWAY-NORTH","D4-ELEVATOR","39","1931","30850","318681","10.33","1080000","35","3-05389-0034","470 OCEAN PARKWAY
Brooklyn, NY 
(40.636977129644, -73.973195403096)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","72","1931","72600","612202","8.43","2020000","27.8","0.15","3-05389-0067","623 5 STREET
Brooklyn, NY 
(40.667612575809, -73.975981311235)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","48","1932","41963","490021","11.68","1730000","41.2","0.15"
"3-06794-0043","1800 12 STREET
Brooklyn, NY 
(40.60275430467, -73.984456284843)","3",,,,,,,,,,"MADISON","D4-ELEVATOR","78","1938","75000","715000","9.53","2420000","32.3","3-06683-0052","1965 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","35","1931","25075","379025","15.12","1070000","42.7","0.25","3-08470-1018","5905 STRICKLAND AVENUE
Brooklyn, NY 
(40.609047457105, -73.914120999897)","MILL BASIN","D9-ELEVATOR","98","2000","107569","4433111","41.2","22300000","207","2.35"
"3-00264-0017","130 CLINTON STREET
Brooklyn, NY 
(40.692638677843, -73.993244194961)","3","11201","40.692602","-73.993231","2","33","7","3002539","3002640017","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","D4-ELEVATOR","92","1926","93500","1330505","14.23","5270000","56","3-05099-0106","522 OCEAN AVENUE
Brooklyn, NY 
(40.650031057948, -73.961024552889)","FLATBUSH-CENTRAL","D7-ELEVATOR","99","1927","78889","1115068","14.13","4420000","56","3.4","3-06034-0041","8502 4 AVENUE
Brooklyn, NY 
(40.623526331909, -74.02810830344)","BAY RIDGE","D7-ELEVATOR","55","1925","64000","957100","14.95","3790000","59","5.1"
"3-07274-0001","460 NEPTUNE AVENUE
Brooklyn, NY 
(40.579727844847, -73.970688954958)","3","11224","40.579777","-73.970923","13","48","35602","3196580","3072740001","West Brighton                                                              ","CONEY ISLAND","D4-ELEVATOR","572","1964","623800","8137471","13.05","31400000","50","3-07050-0001","2930 30 STREET
Brooklyn, NY 
(40.574549915707, -73.996320142813)","CONEY ISLAND","D6-ELEVATOR","371","1972","386700","5534265","14.31","15600000","40.3","1.4","3-07052-0034","2966 28 STREET
Brooklyn, NY 
(40.57390130989, -73.994030962075)","CONEY ISLAND","D6-ELEVATOR","333","1970","453758","5347513","11.78","15100000","33.3","1.3"
"3-01071-0014","814 CARROLL STREET
Brooklyn, NY 
(40.672378442835, -73.974304397406)","3","11215","40.672392","-73.974279","6","39","157","3024928","3010710014","Park Slope-Gowanus                                                         ","PARK SLOPE","D4-ELEVATOR","72","1950","59520","1636800","27.5","7930000","133","3-00051-0012","65 WASHINGTON STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","DOWNTOWN-FULTON FERRY","D7-ELEVATOR","59","2000","50457","1657235","32.8","8030000","159","2.2",,,,,,,,,,,,
"3-00995-0035","462 6 STREET
Brooklyn, NY 
(40.66905246926, -73.980855354148)","3",,,,,,,,,,"PARK SLOPE","C6-WALK-UP","18","1924","6520","156480","24","699000","107","3-01014-0048","486 3 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","GOWANUS","C1-WALK-UP","16","1940","6480","177552","27.4","860000","133","0.6","3-01101-0041","181 PROSPECT PARK
Brooklyn, NY 
(40.700607046468, -73.984995233306)","PARK SLOPE","C1-WALK-UP","17","1921","6298","154954","24.6","693000","110","0.45"
"3-00922-0045","755 42 STREET
Brooklyn, NY 
(40.645925577694, -73.999553303887)","3",,,,,,,,,,"SUNSET PARK","C6-WALK-UP","24","1926","26888","457096","17","1860000","69","3-01178-0083","493 LINCOLN PLACE
Brooklyn, NY 
(40.672041274863, -73.959943975215)","CROWN HEIGHTS","C1-WALK-UP","31","1920","26640","468417","17.58","1440000","54","2.8","3-01178-0087","487 LINCOLN PLACE
Brooklyn, NY 
(40.67208028631, -73.960131867082)","CROWN HEIGHTS","C1-WALK-UP","31","1920","26952","468417","17.38","1440000","53","2.8"
"3-01476-0001","563 HOWARD AVENUE
Brooklyn, NY 
(40.668517021881, -73.919987337994)","3","11233","40.668571","-73.920086","16","41","361","3039578","3014760001","Ocean Hill                                                                 ","OCEAN HILL","C6-WALK-UP","20","1910","19200","153408","7.99","433000","22.55","3-01375-0069","1633 STERLING PLACE
Brooklyn, NY 
(40.671151256869, -73.924545178592)","CROWN HEIGHTS","C1-WALK-UP","70","1927","67800","559728","8.26","1840000","27.1","0.3","3-01268-0009","464 EASTERN PARKWAY
Brooklyn, NY 
(40.66974814789, -73.953013646147)","CROWN HEIGHTS","C1-WALK-UP","16","1913","18032","141911","7.87","436000","24.18","1.7"
"3-02131-0027","115 8 STREET
Brooklyn, NY 
(40.67239187492, -73.991132824694)","3",,,,,,,,,,"WILLIAMSBURG-SOUTH","C6-WALK-UP","12","1910","8160","98525","12.07","278000","34.1","3-01376-0059","1245 ST JOHN'S PLACE
Brooklyn, NY 
(40.670935734863, -73.937085184544)","CROWN HEIGHTS","C1-WALK-UP","16","1913","14596","104900","7.19","322000","22.06","3","3-01238-0060","685 STERLING PLACE
Brooklyn, NY 
(40.673085151086, -73.955896216532)","CROWN HEIGHTS","C1-WALK-UP","20","1906","17276","208348","12.06","734000","42.5","2.55"
"3-08235-0315","959 108 STREET
Brooklyn, NY 
(40.64750761966, -73.890945908686)","3",,,,,,,,,,"CANARSIE","C6-WALK-UP","75","1967","52590","954943","18.16","3880000","74","3-05670-0047","1379 54 STREET
Brooklyn, NY 
(40.631225672155, -73.993284116546)","BOROUGH PARK","C7-WALK-UP","11","1916","22500","359607","15.98","1460000","65","5.6","3-05024-0063","526 FLATBUSH AVENUE
Brooklyn, NY 
(40.661320254035, -73.961214173092)","FLATBUSH-LEFFERTS GARDEN","C1-WALK-UP","16","1931","7596","127812","16.83","520000","68","4"
"3-08819-0011","2220 BURNETT STREET
Brooklyn, NY 
(40.601696062653, -73.932500404756)","3","11229","40.602208","-73.933025","15","46","632","3407509","3088190011","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ","MARINE PARK","D4-ELEVATOR","264","1952","261072","3493143","13.38","13100000","50","3-06468-0016","1429 SHORE PARKWAY
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BATH BEACH","D1-ELEVATOR","263","1960","257300","3305508","12.85","12400000","48.2","3.8","3-07234-0001","2612 2 STREET
Brooklyn, NY 
(40.58598656919, -73.971298533254)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","240","1951","194880","2710993","13.91","9560000","49.1","2.35"
"3-05374-0010","340 OCEAN PARKWAY
Brooklyn, NY 
(40.640810926762, -73.973923510372)","3","11218","40.640555","-73.973585","12","39","488","3126157","3053740010","Kensington-Ocean Parkway                                                   ","OCEAN PARKWAY-NORTH","D4-ELEVATOR","77","1962","73026","883615","12.1","3110000","42.6","3-08805-0036","2790 COYLE STREET
Brooklyn, NY 
(40.58544918255, -73.934269961234)","SHEEPSHEAD BAY","D1-ELEVATOR","76","1961","73000","887570","12.16","3130000","42.9","4.35","3-08805-0134","2815 COYLE STREET
Brooklyn, NY 
(40.585492892975, -73.934205474467)","SHEEPSHEAD BAY","D1-ELEVATOR","78","1961","67000","806455","12.04","2840000","42.4","4.35"
"3-05328-0010","110 OCEAN PARKWAY
Brooklyn, NY 
(40.647750858669, -73.975297205612)","3","11218","40.647706","-73.975254","12","39","500","3124299","3053280010","Windsor Terrace                                                            ","KENSINGTON","D4-ELEVATOR","57","1953","72000","869760","12.08","3070000","42.6","3-05324-0001","333 MC DONALD AVENUE
Brooklyn, NY 
(40.645989842578, -73.980004122275)","KENSINGTON","D1-ELEVATOR","268","1960","245202","3263686","13.31","12300000","50","0.2","3-05325-0065","199 2 STREET
Brooklyn, NY 
(40.676321385053, -73.9887644504)","KENSINGTON","D1-ELEVATOR","48","1937","49800","316318","6.35","971000","19.5","0.15"
"3-00181-0039","251 PACIFIC STREET
Brooklyn, NY 
(40.688382660564, -73.990533292018)","3","11201","40.68835","-73.990499","2","33","43","3000830","3001810039","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","BOERUM HILL","C6-WALK-UP","25","1914","18530","304077","16.41","1240000","67","3-00146-0036","406 ALBEE SQUARE
Brooklyn, NY 
(40.691034734001, -73.983500585409)","DOWNTOWN-FULTON MALL","C1-WALK-UP","15","1905","9055","148593","16.41","604000","67","0.35","3-00172-0064","375 STATE STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","DOWNTOWN-FULTON MALL","C1-WALK-UP","20","1905","15200","248858","16.37","1010000","66","0.4"
"3-03323-0060","115 LINDEN STREET
Brooklyn, NY 
(40.693138873277, -73.919693703848)","3","11221","40.6932","-73.91961","4","34","417","3076110","3033230060","Bushwick South                                                             ","BUSHWICK","C6-WALK-UP","16","1931","14500","247525","17.07","699000","48.2","3-03205-0001","703 BUSHWICK AVENUE
Brooklyn, NY 
(40.696688625974, -73.931086906737)","BUSHWICK","C1-WALK-UP","16","1931","7410","175617","23.7","785000","106","0.65","3-03326-0065","255 LINDEN STREET
Brooklyn, NY 
(40.697319837715, -73.91559789185)","BUSHWICK","C1-WALK-UP","16","1931","19800","356796","18.02","1450000","73","0.4"
"3-01073-0005","133 8 AVENUE
Brooklyn, NY 
(40.67187483134, -73.974040790145)","3","11215","40.671687","-73.974257","6","39","165","3325197","3010730005","Park Slope-Gowanus                                                         ","PARK SLOPE","C6-WALK-UP","40","1910","35424","609647","17.21","2480000","70","3-00733-0038","874 43 STREET
Brooklyn, NY 
(40.644026338157, -73.998001532029)","BOROUGH PARK","C1-WALK-UP","44","1926","30556","480000","15.71","1950000","64","2.3","3-01089-0001","719 8 AVENUE
Brooklyn, NY 
(40.666828716133, -73.978288040349)","PARK SLOPE","C1-WALK-UP","32","1905","31468","590620","18.77","2400000","76","0.4"
"3-07159-0040","735 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"OCEAN PARKWAY-SOUTH","D4-ELEVATOR","100","1962","91200","1283184","14.07","5090000","56","3-06104-0004","9303 SHORE ROAD
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BAY RIDGE","D1-ELEVATOR","70","1957","81200","1059393","13.05","3980000","49","4.35","3-07011-0011","2828 29 STREET
Brooklyn, NY 
(40.57556180854, -73.995427869962)","CONEY ISLAND","D1-ELEVATOR","122","1972","102000","1538672","15.09","4350000","42.6","2.1"
"3-01641-0055","651 MADISON STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11221","40.686963","-73.931148","3","36","293","3044960","3016410055","Stuyvesant Heights                                                         ","BEDFORD STUYVESANT","C6-WALK-UP","32","1931","28800","355104","12.33","1000000","34.7","3-01647-0084","797 PUTNAM AVENUE
Brooklyn, NY 
(40.686431042972, -73.92942158566)","BEDFORD STUYVESANT","C1-WALK-UP","32","1931","18550","215328","11.61","759000","40.9","0.15","3-01656-0001","575 HANCOCK STREET
Brooklyn, NY 
(40.684612188426, -73.932135461366)","BEDFORD STUYVESANT","C1-WALK-UP","23","1910","21600","408456","18.91","1660000","77","0.15"
"3-05336-0082","303 BEVERLY ROAD
Brooklyn, NY 
(40.642986691157, -73.977269803255)","3","11218","40.642974","-73.977169","12","39","488","3124635","3053360082","Kensington-Ocean Parkway                                                   ","KENSINGTON","D4-ELEVATOR","150","1956","191476","1265656","6.61","3890000","20.32","3-05324-0001","333 MC DONALD AVENUE
Brooklyn, NY 
(40.645989842578, -73.980004122275)","KENSINGTON","D1-ELEVATOR","268","1960","245202","3263686","13.31","12300000","50","0.25","3-05325-0065","199 2 STREET
Brooklyn, NY 
(40.676321385053, -73.9887644504)","KENSINGTON","D1-ELEVATOR","48","1937","49800","316318","6.35","971000","19.5","0.2"
"3-01166-0001","361 STERLING PLACE
Brooklyn, NY 
(40.675182928327, -73.966011378382)","3","11238","40.67519","-73.966036","8","35","207","3029144","3011660001","Prospect Heights                                                           ","PROSPECT HEIGHTS","C6-WALK-UP","15","1930","8736","131040","15","519000","59","3-01984-0011","51 IRVING PLACE
Brooklyn, NY 
(40.683519776117, -73.959868944175)","CLINTON HILL","C1-WALK-UP","14","1930","9180","153721","16.75","625000","68","0.65","3-05030-0016","300 LINCOLN ROAD
Brooklyn, NY 
(40.661420161179, -73.952772971399)","FLATBUSH-LEFFERTS GARDEN","C1-WALK-UP","12","1931","6075","98536","16.22","401000","66","1.2"
