"publication_date","agency_number","agency_name","fiscal_year","personnel_type_code","personnel_type_name","code_for_full_time_ftes","full_time_full_time_equivalents_ft_fte_positions","city_funded_headcount","ifa_funded_headcount","cd_funded_headcount","other_funded_headcount","total"
"20220614","125","Department for the Aging","2022","C","Civilian","1","Full-Time","212","0","2","113","327"
"20220614","866","Department of Consumer and Worker Protection","2024","C","Civilian","2","Full-Time Equivalent","0","0","0","0","0"
"20220614","040","Department of Education","2026","P","Pedagogical","3","Full-Time Plus Full-Time Equivalent","91382","0","0","32842","124224"
"20220614","103","City Clerk","2026","C","Civilian","3","Full-Time Plus Full-Time Equivalent","73","0","0","0","73"
"20220614","806","Housing Preservation and Development","2022","C","Civilian","1","Full-Time","786","288","1044","522","2640"
"20220614","866","Department of Consumer and Worker Protection","2024","C","Civilian","1","Full-Time","461","0","0","23","484"
"20220614","014","Borough President - Staten Island","2024","C","Civilian","1","Full-Time","45","0","0","0","45"
"20220614","040","Department of Education","2026","P","Pedagogical","2","Full-Time Equivalent","593","0","0","264","857"
"20220614","068","Administration for Children's Services","2023","C","Civilian","3","Full-Time Plus Full-Time Equivalent","6953","0","0","167","7120"
"20220614","103","City Clerk","2026","C","Civilian","2","Full-Time Equivalent","3","0","0","0","3"
"20220614","138","Districting Commission","2024","C","Civilian","2","Full-Time Equivalent","0","0","0","0","0"
"20220614","801","Department of Small Business Services","2026","C","Civilian","3","Full-Time Plus Full-Time Equivalent","251","0","11","105","367"
"20220614","836","Department of Finance","2024","C","Civilian","2","Full-Time Equivalent","52","0","0","0","52"
"20220614","866","Department of Consumer and Worker Protection","2023","C","Civilian","3","Full-Time Plus Full-Time Equivalent","462","0","0","23","485"
"20220614","010","Borough President - Manhattan","2022","C","Civilian","3","Full-Time Plus Full-Time Equivalent","59","0","0","0","59"
"20220614","014","Borough President - Staten Island","2023","C","Civilian","3","Full-Time Plus Full-Time Equivalent","48","0","0","0","48"
"20220614","025","Law Department","2025","C","Civilian","1","Full-Time","1648","52","0","0","1700"
"20220614","040","Department of Education","2026","P","Pedagogical","1","Full-Time","90789","0","0","32578","123367"
"20220614","056","Police Department","2022","U","Uniform","2","Full-Time Equivalent","0","0","0","0","0"
"20220614","068","Administration for Children's Services","2023","C","Civilian","2","Full-Time Equivalent","45","0","0","2","47"
"20220614","072","Department of Correction","2025","U","Uniform","1","Full-Time","7060","0","0","0","7060"
"20220614","103","City Clerk","2026","C","Civilian","1","Full-Time","70","0","0","0","70"
"20220614","132","Independent Budget Office","2023","C","Civilian","1","Full-Time","38","0","0","0","38"
"20220614","138","Districting Commission","2024","C","Civilian","1","Full-Time","0","0","0","0","0"
"20220614","312","Conflicts of Interest Board","2025","C","Civilian","2","Full-Time Equivalent","0","0","0","0","0"
"20220614","801","Department of Small Business Services","2026","C","Civilian","2","Full-Time Equivalent","14","0","1","18","33"
"20220614","826","Department of Environmental Protection","2023","C","Civilian","1","Full-Time","289","740","0","5384","6413"
"20220614","836","Department of Finance","2023","C","Civilian","3","Full-Time Plus Full-Time Equivalent","2032","0","0","12","2044"
"20220614","856","Department of Citywide Administrative Services","2025","C","Civilian","1","Full-Time","1751","11","0","663","2425"
"20220614","866","Department of Consumer and Worker Protection","2023","C","Civilian","2","Full-Time Equivalent","0","0","0","0","0"
"20220614","004","Campaign Finance Board","2022","C","Civilian","1","Full-Time","130","0","0","0","130"
"20220614","010","Borough President - Manhattan","2022","C","Civilian","2","Full-Time Equivalent","3","0","0","0","3"
"20220614","012","Borough President - Brooklyn","2023","C","Civilian","1","Full-Time","67","0","0","0","67"
"20220614","014","Borough President - Staten Island","2023","C","Civilian","2","Full-Time Equivalent","3","0","0","0","3"
"20220614","017","Department of Emergency Management","2024","C","Civilian","2","Full-Time Equivalent","2","0","0","0","2"
"20220614","025","Law Department","2024","C","Civilian","3","Full-Time Plus Full-Time Equivalent","1781","52","0","0","1833"
"20220614","032","Department of Investigation","2025","C","Civilian","2","Full-Time Equivalent","2","0","0","0","2"
"20220614","040","Department of Education","2025","P","Pedagogical","3","Full-Time Plus Full-Time Equivalent","91382","0","0","35626","127008"
"20220614","054","Civilian Complaint Review Board","2022","C","Civilian","1","Full-Time","259","0","0","0","259"
