"providertype","dfta_id","programname","sponsorname","programaddress","programcity","programstate","programzipcode","borough","programphone","dfta_funded","monhouropen","monhourclose","tuehouropen","tuehourclose","wedhouropen","wedhourclose","thuhouropen","thuhourclose","frihouropen","frihourclose","sathouropen","sathourclose","sunhouropen","sunhourclose","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","geocoded_column"
"CASE MANAGEMENT SERVICES CONTRACTS","1MA01","RAIN CASE MANAGEMENT BX-2","REGIONAL AID FOR INTERIM NEEDS INC","3377A WHITE PLAINS ROAD","BRONX","NY","10467","BRONX","347-346-9676","Y","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","00:00","00:00","00:00","00:00","40.874872","-73.86706","212","12","374","2087299","2046240037","Williamsbridge-Olinville","
,  
(40.874872, -73.86706)"
"CASE MANAGEMENT SERVICES CONTRACTS","4MG01","SNAP CASE MANAGEMENT QNS-06","SERVICES NOW FOR ADULT PERSONS INC","80-45 WINCHESTER BOULEVARD","JAMAICA","NY","11427","QUEENS","718-527-5380","Y","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","00:00","00:00","00:00","00:00","40.737685","-73.734021","413","23","1567","4537294","4078800400","Bellerose","
,  
(40.737685, -73.734021)"
"CASE MANAGEMENT SERVICES CONTRACTS","2MJ01","JASA CASE MANAGEMENT BK-6","THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED","3161 BRIGHTON 6TH STREET","BROOKLYN","NY","11235","BROOKLYN","718-943-1615","Y","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","00:00","00:00","00:00","00:00","40.575657","-73.961105","313","48","36002","3245130","3086930012","Brighton Beach","
,  
(40.575657, -73.961105)"
"CASE MANAGEMENT SERVICES CONTRACTS","2MF01","SPECIAL SVCS. FOR SR. CASE MANG. BK-3","RECREATION ROOMS AND SETTLEMENT INC","1304 EAST 57TH STREET","BROOKLYN","NY","11234","BROOKLYN",,"Y","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","00:00","00:00","00:00","00:00","40.621348","-73.920355","318","46","690","3345504","3078810033","Flatlands","
,  
(40.621348, -73.920355)"
"CASE MANAGEMENT SERVICES CONTRACTS","5M401","CASC CSMG","COMMUNITY AGENCY FOR SENIOR CITIZENS INC","56 BAY STREET","STATEN ISLAND","NY","10301","STATEN ISLAND","718-981-6226","Y","9:00","5 :00","9:00","5 :00","9:00","5 :00","9:00","5 :00","9:00","5 :00","00:00","00:00","00:00","00:00","40.640624","-74.075704","501","49","3","5000035","5000050103","West New Brighton-New Brighton-St. George","
,  
(40.640624, -74.075704)"
"CASE MANAGEMENT SERVICES CONTRACTS","4MB01","SUNNYSIDE CASE MANAGEMENT","SUNNYSIDE COMMUNITY SERVICES INC","43-31 39TH STREET","LONG ISLAND CITY","NY","11104","QUEENS","718-784-6173","Y","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","00:00","00:00","00:00","00:00","40.74519","-73.925909","402","26","179","4436677","4001910005","Hunters Point-Sunnyside-West Maspeth","
,  
(40.74519, -73.925909)"
"CASE MANAGEMENT SERVICES CONTRACTS","2MF01","SPECIAL SVCS. FOR SR. CASE MANG. BK-3","RECREATION ROOMS AND SETTLEMENT INC","1304 EAST 57TH STREET","BROOKLYN","NY","11234","BROOKLYN",,"Y","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","00:00","00:00","00:00","00:00",,,"318","46",,"3345504","3078810033",,
"CASE MANAGEMENT SERVICES CONTRACTS","4MF01","SOUTHWEST QUEENS CASE MANAGEMENT-QN 5","CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC","183-16 JAMAICA AVENUE","JAMAICA","NY","11423","QUEENS","718-217-0126","Y","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","00:00","00:00","00:00","00:00","40.708932","-73.776983","412","27","444","4438800","4103520058","Jamaica","
,  
(40.708932, -73.776983)"
"CASE MANAGEMENT SERVICES CONTRACTS","3MB01","ISABELLA CASE MANAGEMENT MN-4","ISABELLA GERIATRIC CENTER INC","515 AUDUBON AVENUE","NEW YORK","NY","10040","MANHATTAN","212-342-9525","Y","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","00:00","00:00","00:00","00:00","40.854783","-73.927909","112","10","277","1063861","1021600001","Washington Heights North","
,  
(40.854783, -73.927909)"
"CASE MANAGEMENT SERVICES CONTRACTS","1MB01","JASA CASE MANAGEMENT BX-03","THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED","1351 WHITE PLAINS ROAD","BRONX","NY","10462","BRONX","347-547-7140","Y","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","00:00","00:00","00:00","00:00","40.834586","-73.862999","209","18","21601","2028016","2038840001","West Farms-Bronx River","
,  
(40.834586, -73.862999)"
