"district","schooldbn","name","overview","neighborhood","address","sharedbuilding","accessibility_description","telephone","independentwebsite","url","subway","bus","code_prog1","name_prog1","admissionsmethod_prog1","geapps_prog1","swdapps_prog1","geappsperseat_prog1","swdappsperseat_prog1","swdseats_prog1","geseats_prog1","gefilled_prog1","swdfilled_prog1","eligibility_prog1","priority1_prog1","priority2_prog1","priority3_prog1","priority4_prog1","priority5_prog1","priority6_prog1","priority7_prog1","code_prog2","name_prog2","admissionsmethod_prog2","geapps_prog2","swdapps_prog2","geappsperseat_prog2","swdappsperseat_prog2","swdseats_prog2","geseats_prog2","gefilled_prog2","swdfilled_prog2","eligibility_prog2","priority1_prog2","priority2_prog2","priority3_prog2","priority4_prog2","priority5_prog2","priority6_prog2","priority7_prog2","code_prog3","name_prog3","admissionsmethod_prog3","geapps_prog3","swdapps_prog3","geappsperseat_prog3","swdappsperseat_prog3","swdseats_prog3","geseats_prog3","gefilled_prog3","swdfilled_prog3","eligibility_prog3","priority1_prog3","priority2_prog3","priority3_prog3","priority4_prog3","priority5_prog3","priority6_prog3","priority7_prog3","code_prog4","name_prog4","admissionsmethod_prog4","geapps_prog4","swdapps_prog4","geappsperseat_prog4","swdappsperseat_prog4","swdseats_prog4","geseats_prog4","gefilled_prog4","swdfilled_prog4","eligibility_prog4","priority1_prog4","priority2_prog4","priority3_prog4","priority4_prog4","priority5_prog4","priority6_prog4","priority7_prog4","code_prog5","name_prog5","admissionsmethod_prog5","geapps_prog5","swdapps_prog5","geappsperseat_prog5","swdappsperseat_prog5","swdseats_prog5","geseats_prog5","gefilled_prog5","swdfilled_prog5","eligibility_prog5","priority1_prog5","priority2_prog5","priority3_prog5","priority4_prog5","priority5_prog5","priority6_prog5","priority7_prog5","code_prog6","name_prog6","admissionsmethod_prog6","geapps_prog6","swdapps_prog6","geappsperseat_prog6","swdappsperseat_prog6","swdseats_prog6","geseats_prog6","gefilled_prog6","swdfilled_prog6","eligibility_prog6","priority1_prog6","priority2_prog6","priority3_prog6","priority4_prog6","priority5_prog6","priority6_prog6","priority7_prog6","code_prog7","name_prog7","admissionsmethod_prog7","geapps_prog7","swdapps_prog7","geseats_prog7","swdseats_prog7","geappsperseat_prog7","swdappsperseat_prog7","gefilled_prog7","swdfilled_prog7","eligibility_prog7","priority1_prog7","priority2_prog7","priority3_prog7","priority4_prog7","priority5_prog7","priority6_prog7","priority7_prog7","code_prog8","name_prog8","admissionsmethod_prog8","geapps_prog8","swdapps_prog8","geseats_prog8","swdseats_prog8","geappsperseat_prog8","swdappsperseat_prog8","gefilled_prog8","swdfilled_prog8","eligibility_prog8","priority1_prog8","priority2_prog8","priority3_prog8","priority4_prog8","priority5_prog8","priority6_prog8","priority7_prog8","code_prog9","name_prog9","admissionsmethod_prog9","geapps_prog9","swdapps_prog9","geseats_prog9","swdseats_prog9","geappsperseat_prog9","swdappsperseat_prog9","gefilled_prog9","swdfilled_prog9","eligibility_prog9","priority1_prog9","priority2_prog9","priority3_prog9","priority4_prog9","priority5_prog9","priority6_prog9","priority7_prog9","code_prog10","name_prog10","admissionsmethod_prog10","geapps_prog10","swdapps_prog10","geseats_prog10","swdseats_prog10","geappsperseat_prog10","swdappsperseat_prog10","gefilled_prog10","swdfilled_prog10","eligibility_prog10","priority1_prog10","priority2_prog10","priority3_prog10","priority4_prog10","priority5_prog10","priority6_prog10","priority7_prog10","code_prog11","name_prog11","admissionsmethod_prog11","geapps_prog11","swdapps_prog11","geseats_prog11","swdseats_prog11","geappsperseat_prog11","swdappsperseat_prog11","gefilled_prog11","swdfilled_prog11","eligibility_prog11","priority1_prog11","priority2_prog11","priority3_prog11","priority4_prog11","priority5_prog11","priority6_prog11","priority7_prog11","code_prog12","name_prog12","admissionsmethod_prog12","geapps_prog12","swdapps_prog12","geseats_prog12","swdseats_prog12","geappsperseat_prog12","swdappsperseat_prog12","gefilled_prog12","swdfilled_prog12","eligibility_prog12","priority1_prog12","priority2_prog12","priority3_prog12","priority4_prog12","priority5_prog12","priority6_prog12","priority7_prog12","code_prog13","name_prog13","admissionsmethod_prog13","geapps_prog13","swdapps_prog13","geseats_prog13","swdseats_prog13","geappsperseat_prog13","swdappsperseat_prog13","gefilled_prog13","swdfilled_prog13","eligibility_prog13","priority1_prog13","priority2_prog13","priority3_prog13","priority4_prog13","priority5_prog13","priority6_prog13","priority7_prog13","code_prog14","name_prog14","admissionsmethod_prog14","geapps_prog14","swdapps_prog14","geseats_prog14","swdseats_prog14","geappsperseat_prog14","swdappsperseat_prog14","gefilled_prog14","swdfilled_prog14","eligibility_prog14","priority1_prog14","priority2_prog14","priority3_prog14","priority4_prog14","priority5_prog14","priority6_prog14","priority7_prog14","code_prog15","name_prog15","admissionsmethod_prog15","geapps_prog15","swdapps_prog15","geseats_prog15","swdseats_prog15","geappsperseat_prog15","swdappsperseat_prog15","gefilled_prog15","swdfilled_prog15","eligibility_prog15","priority1_prog15","priority2_prog15","priority3_prog15","priority4_prog15","priority5_prog15","priority6_prog15","priority7_prog15","coursepassrate","elaprof","mathprof","tophs1","tophs2","tophs3","surveysafety","totalstudents","gradespan","diversityinadmissions","start_time","end_time","ellprograms","other_features","languageclasses","acceleratedclasses","electiveclasses","activities_description","othersports","postcode","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"1","01M034","P.S. 034 Franklin D. Roosevelt","Mock Trial; Restorative Practices; Student Centered Learning; MSQI","East Village","730 East  12 Street, New York, NY 10009",,"Not Accessible","212-228-4433","www.psms34.org","https://www.myschools.nyc/en/schools/middle-school/8843","L to 1st Ave","M14A, M14D, M21, M23, M8, M9, X14, X2, X42, X5","M034L","Franklin Delano Roosevelt (P.S. 34)","Open","66","32","2","2","16","44","N","N","Open to students and residents of District 1","Priority to continuing students","Then to District 1 students and residents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95","19","14","Hudson High School of Learning Technologies","Orchard Collegiate Academy",,"75","296","PK-8",,"7:45am","2:40pm","English as a New Language",,,,"Advisory, Math, Music, Peer Mediation, Saturday Academy, Science, Spanish, Yearbook",,"Basketball, Fitness Club, Flag Football","10009","MANHATTAN","40.726473","-73.975181","103","2","28","1004564","1003810038","Lower East Side"
"1","01M140","P.S. 140 Nathan Straus","PS/MS 140M is committed to creating a community of learners who have the opportunity to develop their character and intellect through project-based learning that encourages collaboration, inquiry and critical thinking.  Learners will engage in real-world application of their understandings.  We will be part of a respectful, inclusive learning environment, providing equity in our diverse learning community across all disciplines, making our students become leaders, change makers, active citizens and empowered members of our community.   We have a quality Arts program which include dance, music/choral, and visual arts. M140 has many partnerships, such as Educational Alliance, Henry Street Mental Health Clinic, Rosie's Broadway Kids, Artist Space, Marquise Studios, Champs, ThriveNYC, NY Cares and Asphalt Green.","Lower East Side","123 Ridge Street, New York, NY 10002",,"Not Accessible","212-677-4680",,"https://www.myschools.nyc/en/schools/middle-school/8855","F, J, M, Z to Delancey St-Essex St","B39, M14A, M14D, M15, M15-SBS, M21, M22, M9","M140S","Nathan Straus Preparatory School (P.S. 140)","Screened","82","56","2","3","17","48","N","Y","Open to students and residents of District 1","Priority to continuing students","Then to District 1 students and residents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90","27","21","Orchard Collegiate Academy","New Explorations into Science, Technology and Math High School",,"81","372","PK-8",,"8:00am","2:20pm","English as a New Language",,"Spanish",,"Advisory, Art, Dance, Fitness, Foreign Language, Health, National Junior Honor Society, Peer Mediation, Physical Education, Spanish, Student Council, Urban Advantage, Visual Arts","Talent Show, Yearbook, Cheerleaders","Sports are only by champs","10002","MANHATTAN","40.71925","-73.983056","103","1","2201","1004091","1003440001","Lower East Side"
"1","01M184","P.S. 184m Shuang Wen","Shuang Wen has received honors including NYSED Recognition School (2018-19), U.S. Blue Ribbon School (since 2013), and NYS Reward School (since 2013). We have school-wide Chinese-English Dual Language Classes and ICT classes from K-8. We also have our After School Program, Monday-Friday, 2:40-5:00 p.m.","Lower East Side","327 Cherry Street, New York, NY 10002","Yes-01M137","Partially Accessible","212-602-9700","www.ps184m.org","https://www.myschools.nyc/en/schools/middle-school/8860","J, M, Z to Delancey St-Essex St; F to East Broadway","M14A, M14D, M15, M15-SBS, M21, M22, M9, X14, X37, X38","M184S","Shuang Wen (P.S. 184) Chinese Dual Language Program","Screened: Language","224","39","3","2","17","71","Y","N","Open to students and residents of Manhattan","Priority to continuing students","Then to District 1 students and residents","Then to Manhattan students and residents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98","76","82","Brooklyn Technical High School","Millennium High School","Stuyvesant High School","86","707","PK-8",,"8:20am","2:40pm","English as a New Language;Dual Language: Chinese","Extended Day,Summer Session,Weekend Program,Uniform","Mandarin","Algebra I,Living Environment","Advisory, Algebra I, Art, Chorus, Computer Science, Dance, Debate, Fine Arts, Foreign Language, Health, Jazz Band, Living Environment, Math, Mindfulness, Physical Education, Regents Living Environment, Saturday Academy, Studio Art, Urban Advantage, Visual Arts, Yearbook","Art, Dance, Leadership, Music, Restorative Circles, Saturday Academy, Spelling Bee, Technology, Tutoring, Visual Arts, Yearbook, Yoga","Running Club, Volleyball","10002","MANHATTAN","40.711549","-73.986542","103","1","201","1003143","1002450007","Lower East Side"
"1","01M188","P.S. 188 The Island School","Our mission at the Island School is to be relentless in our pursuit of best practices to support student success. One way that we have done thatÃÂ¢ÃÂÃÂand will continue to do itÃÂ¢ÃÂÃÂis by giving students a wide array of experiences so that they can identify areas of interest and talent and then develop those interests and talents into lifelong passions. Our faculty is committed to helping each of our children reach their full academic potential. We are developing a culture of college-minded students and working with community members to create a challenging learning environment. As a Community School, we look at how we can support the whole child.  We provide services not only for our children but for our families. Parents like that we help identify and nurture their children's interest as well as their own talents. Parents appreciate our partnerships with high schools such as Bard High School Early College and Orchard Collegiate High School.","East Village","442 East Houston Street, New York, NY 10002",,"Fully Accessible","212-677-5710","www.island188.org","https://www.myschools.nyc/en/schools/middle-school/8863",,"M14A, M14D, M21, M22, M8, M9","M188S","The Island School (P.S. 188)","Screened","56","40","1","3","12","44","N","Y","Open to students and residents of District 1","Priority to continuing students","Then to District 1 students and residents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87","25","21","Urban Assembly Academy of Government and Law, The","Lower Manhattan Arts Academy",,"100","398","PK-8",,"8:00am","2:50pm","English as a New Language;Dual Language: Spanish","Extended Day,Summer Session,Weekend Program,Uniform",,"Algebra I,Living Environment","Advisory, Book Club, Fashion, Living Environment, Physical Education, Regents Living Environment, Science, Specialized High School Test Preparation, Student Council, Technology, Yearbook, CC Algebra Regents","Saturday Academy, Student Council, Technology, Yearbook","Badminton, Basketball, Flag Football","10002","MANHATTAN","40.719598","-73.977904","103","2","20","1004349","1003560100","Lower East Side"
"1","01M332","University Neighborhood Middle School","Something that makes UNMS so special is the goal we share in providing a nurturing and valuable school experience for our children. We believe that education plays a crucial role in the successful academic, emotional, and physical development of every child. Our learning community inspires our students because we have an  amazing group of educators who instill  a passion for learning and a commitment to make a difference. UNMS is committed to work relentlessly to support a learning environment where each child is cared for, valued and seen. We are committed to providing opportunities that promote collaboration between our UNMS community members because we know it takes a village to teach the whole child. Together we make the difference!","Lower East Side","220 Henry Street, New York, NY 10002","Yes-01M056","Partially Accessible","212-267-5701","www.unmslearns.net/","https://www.myschools.nyc/en/schools/middle-school/8869","J, M, Z to Delancey St-Essex St; F to East Broadway; B, D to Grand St","B39, M14A, M14D, M15, M15-SBS, M21, M22, M9, X14, X37, X38","M332R","Next Generation Extended Learning @ NYU","Screened","59","25","3","8","3","22","N","Y","Open to students and residents of District 1",,,,,,,,"M332S","University Neighborhood Middle School","Screened","127","82","2","3","24","66","N","N","Open to students and residents of District 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83","28","13","Lower Manhattan Arts Academy","Manhattan Early College School for Advertising","Essex Street Academy","82","218","6-8",,"8:20am","2:40pm","English as a New Language","Extended Day,Uniform","Spanish",,"Advisory, Algebra I, Art, Book Club, Chess, Creative Writing, Fine Arts, Fitness, Foreign Language, Health, Living Environment, Math, Mindfulness, Regents Living Environment, Spanish, Specialized High School Test Preparation, Student Council, Studio Art, Technology, US History, Visual Arts, Vocal Music, Yearbook, Yoga","Art, Book Club, Chess, Gardening, Homework Help, Music, Peer Mediation, Restorative Circles, Student Council, Technology, Tutoring, Visual Arts, Yearbook, Yoga","Fitness Club, Flag Football, Running Club, Soccer, Softball, Yoga","10002","MANHATTAN","40.713684","-73.986336","103","1","201","1003223","1002690041","Lower East Side"
"1","01M378","School for Global Leaders","The School for Global Leaders is an innovative middle school known for providing students with rigorous academic, creative, and leadership opportunities. Families love our small class sizes, dynamic teaching team, and warm, flexible classroom environments. We make learning relevant to the real world, encouraging collaborative work and problem solving as students explore community and world issues. Twice a year Global Leaders self select Integrated Projects courses in which they work collaboratively on meaningful service-learning projects. Alongside a challenging and engaging core curriculum, we offer a robust Arts and elective program; students select at least one elective course a year from the following options: Coding, Integrated Algebra, Culinary, Gardening and Ecology, Weight Training, Dance, School Newspaper, Comic and Graphic Novel Arts, Chorus, Theatre, and Advance Visual Arts (HS Portfolio Intensive). In addition, partnerships with Lincoln Center Education and Broadway Junior help us provide high quality Arts education throughout the entire year to every child. Global Leaders is not only a school-we are a family who learns together, plays together, grows together and supports one another.","Lower East Side","145 Stanton Street, New York, NY 10002","Yes-01M025","Partially Accessible","212-260-5375",,"https://www.myschools.nyc/en/schools/middle-school/8876","F, J, M, Z to Delancey St-Essex St; B, D to Grand St","B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M8, M9","M378L","School For Global Leaders","Open","140","56","3","4","16","44","N","N","Open to students and residents of District 1",,,,,,,,"M378M","School for Global Leaders Mandarin Dual Language Program","Screened: Language","44","7","2","1","6","24","N","N","Open to students and residents of Manhattan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84","28","27","Orchard Collegiate Academy",,,"92","204","6-8",,"8:00am","2:20pm","English as a New Language;Dual Language: Chinese",,"Mandarin","Algebra I",,,,"10002","MANHATTAN","40.720581","-73.985645","103","1","3001","1004323","1003540080","Chinatown"
"1","01M450","East Side Community School","We are a grade 6-12 college preparatory academy with a challenging and engaging curriculum. Our teachers know the students well and address each student's individual needs. Students love our small class size, our amazing teachers, the sense of community, and the countless special programs we offer, including our free and extensive after-school tutoring, arts, sports, leadership, travel, and academic enrichment programs. Students also rave about the unparalleled selection of books. Parents appreciate the communication and personalized attention they receive at East Side and regularly comment on its private-school feel. We have a school-wide commitment to celebrating diversity, promoting social justice and combating racism, sexism, homophobia, classism and any other form of discrimination.  Each student has an advisor who provides ongoing academic, social, and emotional support, and communicates regularly with the family. Students and families greatly appreciate that college prep and awareness begins in sixth grade. All students develop graduation portfolios in the core subjects. Students present and defend their work to committees twice a year through our portfolio roundtable presentations.","East Village","420 East 12 Street, New York, NY 10009","Yes-01M060","Not Accessible","212-460-8467","www.eschs.org","https://www.myschools.nyc/en/schools/middle-school/8879","L to 1st Ave; 6 to Astor Place","M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M8, M9","M450S","East Side Community School","Screened","334","123","5","5","26","74","Y","Y","Open to students and residents of District 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94","57","56","East Side Community School",,,"93","680","6-12","This school will give priority to applicants eligible for Free and Reduced Lunch (FRL) for up to 62 percent of the seats","8:00am","3:30pm","English as a New Language","Extended Day,Summer Session,Weekend Program","Other Language","Algebra I","Advisory, Algebra I, Art, Band, Book Club, Chess, Coding, Computer Science, Cooking, Creative Writing, Dance, Debate, Drama, Fine Arts, Fitness, Foreign Language, Game Design, Graphic Design, Health, LEGO Robotics, Library, Math, Math Team, Mindfulness, Music, National Junior Honor Society, Newspaper, Peer Mediation, Performing Arts, Photography, Physical Education, Science, STEM, Student Council, Studio Art, Technology, Theater, Yoga, Digital Photography","Art, Band, Book Club, Chess, Coding, Comic Book Club, Cooking, Creative Writing, Dance, Debate, Drama, Fitness, Gardening, Green Team, Homework Help, Leadership, Math Team, Music, National Junior Honor Society, Peer Mediation, Photography, Robotics, Rock Band, Service Learning, STEM, Student Council, Talent Show, Technology, Tutoring, Video Game Club, Visual Arts, Yoga, Dungeons and Dragons Club, Gay-straight Alliance, Activism Club, Brotherhood, Sisterhood","Badminton, Baseball, Basketball, Dance, Fencing, Flag Football, Rugby, Running Club, Soccer, Softball, Track and Field, Volleyball, Yoga, Crew / Rowing, Cycling","10009","MANHATTAN","40.729589","-73.982555","103","2","34","1005974","1004390017","East Village"
"1","01M539","New Explorations into Science, Technology & Math","At NEST+m, intellectualism, inclusivity, collaboration and exploration within and beyond our school community enable our students to lead lives filled with learning, discovery and purpose. NEST+m is a K-12 Citywide G&T School. Our Middle Grades students participate in an accelerated curriculum which leads to the completion of multiple HS courses and exams by the end of 8th Grade (U.S. History, Living Environment, Algebra 1, World Language). NEST+m fosters community through Exploration Days, Field Days, and community-based partnerships.","Lower East Side","111 Columbia Street, New York, NY 10002","Yes-01M022","Not Accessible","212-677-5190","www.nestmk12.net","https://www.myschools.nyc/en/schools/middle-school/8881","F, J, M, Z to Delancey St-Essex St","B39, M14A, M14D, M21, M22, M8, M9","M539M","New Explorations into Science, Technology & Math (NEST+m)","Screened","2733","233","23","8","30","120","Y","Y","Open to New York City residents","Priority to continuing students","Then to New York City residents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99","94","95","New Explorations into Science, Technology and Math High School","Stuyvesant High School","Brooklyn Technical High School","90","1806","K-12",,"8:20am","2:40pm","English as a New Language","Uniform","Mandarin;Spanish","Chinese,Spanish,US History,Algebra I,Geometry,Algebra II,Living Environment","Advisory, Algebra I, Art, Band, Chess, Coding, Computer Science, Concert Band, Creative Writing, Debate, Drama, Foreign Language, Health, Jazz Band, LEGO Robotics, Library, Living Environment, Math, Math Team, Music, Performing Arts, Physical Education, Regents Living Environment, Spanish, Specialized High School Test Preparation, Student Council, Urban Advantage, Visual Arts, Yearbook, Spanish , Mandarin","Art, Band, Chess, Coding, Creative Writing, Debate, Drama, Homework Help, Math Team, Music, Robotics, STEM, Talent Show, Visual Arts, Yearbook","Baseball, Basketball, Flag Football, Running Club, Soccer, Softball, Track and Field","10002","MANHATTAN","40.718895","-73.979308","103","2","2201","1004070","1003350001","Lower East Side"
"1","01M839","Tompkins Square Middle School","Founded by a grassroots coalition of neighborhood parents and local educators, TSMS has grown into an award-winning NYC public school. TSMS has been named a Rising Star Middle School as well as an Outstanding Middle School in the annual Blackboard Awards. TSMS is at its core a self-reflective community of students, parents, and educators. Tompkins Square Middle School serves a diverse community of approximately 380 students in grades six through eight. TSMS is a community with high learning standards dedicated to fostering ethical, caring, self-reflecting and critical thinkers. TSMS was founded upon the idea that a diverse community is essential to a healthy and productive learning experience. Underpinning this view is the belief that learners learn most when surrounded by people who bring different perspectives on the world. At the same time TSMS is constantly working to ensure that equity is at the forefront of its mission in serving such a diverse group of students.","East Village","600 East  6 Street, New York, NY 10009","Yes-01M064","Not Accessible","212-995-1430","www.tsmsonline.org/","https://www.myschools.nyc/en/schools/middle-school/8885","L to 1st Ave; J, M, Z to Delancey St-Essex St; F to Lower East Side-2 Ave","M14A, M14D, M15, M15-SBS, M21, M8, M9","M839M","Tompkins Square Middle School","Screened","353","130","4","4","31","89","Y","Y","Open to students and residents of District 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99","57","54","Millennium High School","New Explorations into Science, Technology and Math High School",,"90","358","6-8",,"8:35am","2:35pm","English as a New Language","Extended Day","Spanish","Algebra I","Advisory, Algebra I, Art, Band, Dance, Drama, Fine Arts, Fitness, Foreign Language, Guitar, Journalism, Math, Music, Musical Theater, Newspaper, Performing Arts, Physical Education, Robotics, Science, Spanish, Specialized High School Test Preparation, Student Council, Technology, Theater, Visual Arts, Yearbook, Yoga","Art, Dance, Drama, Fitness, Guitar, Homework Help, Music, Musical Theater, Student Council, Talent Show, Theater, Visual Arts, Yearbook","Basketball, Dance, Flag Football, Running Club, Soccer, Table Tennis, Track and Field, Volleyball","10009","MANHATTAN","40.724435","-73.981521","103","2","2601","1004627","1003870001","Lower East Side"
"2","02M104","J.H.S. 104 Simon Baruch","Simon Baruch Middle School is a traditional middle school committed to developing students who think critically and who are civic minded. The school utilizes a house structure as an organizational model that allows teachers to know our students well. An assistant principal and guidance counselor are assigned to every grade level to ensure that support services are available to all students. We offer all students the chance to engage in a rigorous academic curriculum that challenges students to think critically and independently. Students engage in a balance of independent learning tasks and collaborative learning experiences. Our rigorous core content is supplemented by extensive arts and technology offerings that provide students with opportunities to develop their interests and talents. Our school supplements the regular instructional program with an extensive afterschool program that provides students with academic enrichment, academic intervention, arts, and athletics.","Gramercy","330 East  21 Street, New York, NY 10010",,"Not Accessible","212-674-4545","www.ms104.com","https://www.myschools.nyc/en/schools/middle-school/8939","L to 1st Ave; 6 to 23rd St; 4, 5, N, Q, R to 14th St-Union Square","BM1, BM2, BM3, BM4, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X37, X38, X42, X5, X63, X64, X68, X7","M104M","Academic (Zoned Program)","Screened","766","124","7","5","27","108","N","N","Open to students and residents of District 2","Priority to residents of the middle school zone","Then to District 2 students and residents",,,,,,"M104N","Special Progress","Screened","863","79","4","2","47","193","Y","N","Open to students and residents of District 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99","76","77","Baruch College Campus High School","N.Y.C. Lab School for Collaborative Studies","Eleanor Roosevelt High School","71","1101","6-8",,"8:20am","2:40pm","English as a New Language",,"French;Spanish","Algebra I,Living Environment","Advisory, Algebra I, Ceramics, Drama, French, Music, National Junior Honor Society, Physical Education, Regents Living Environment, Spanish, STEM, Visual Arts","Art, Drama, Fitness, Music, National Junior Honor Society, Restorative Circles, Student Council, Yoga","Baseball, Basketball, Cheerleading, Cross Country, Dance, Fencing, Flag Football, Lacrosse, Running Club, Soccer, Softball, Table Tennis, Tennis, Track and Field, Ultimate Frisbee, Volleyball","10010","MANHATTAN","40.736094","-73.980663","106","2","64","1081671","1009260001","Gramercy"
