"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","number_and_street_address","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"After-School Programs","Middle School","Prospect Heights High School - H.S. 440","Brooklyn","Research Foundation of CUNY","212.417.8425","MiddleSchool","883 Classon Avenue
Brooklyn, NEW YORK 11225
(40.670458657699, -73.961628275734)","883 Classon Avenue","11225","40.670349","-73.961695","9","35","213","3029686","3011870001","Crown Heights South                                                        "
"After-School Programs","Middle School","Roosevelt Education Campus - H.S. 435","Bronx","Tolentine-Zeiser Community Life Center, Inc","718.933.6935","MiddleSchool","500 Fordham Road
Bronx, NEW YORK 10458
(40.859906146403, -73.88817875264)","500 E. Fordham Road","10458","40.860043","-73.888267","6","15","387","2011810","2030590001","Belmont                                                                    "
"After-School Programs","Middle School","Goodwill Industries of Greater New York","Queens","Goodwill Industries of Greater New York","718.777.6315","MiddleSchool","4 21 27th Avenue
Queens, NEW YORK 11102
(40.771524024514, -73.926435450735)","4-21 27th Avenue","11102","40.774582","-73.932957","1","22","87","4020648","4009090001","Old Astoria                                                                "
"After-School Programs","Middle School","Tolentine-Zeiser Community Center /St. Rita's ","Bronx","Tolentine-Zeiser Community Life Center, Inc","718.933.6935","MiddleSchool","2342 Andrews Avenue
Bronx, NEW YORK 10468
(40.86173644443, -73.90704037104)","2342 Andrews Avenue","10468","40.862324","-73.906553","7","14","255","2094685","2032180035","Kingsbridge Heights                                                        "
"After-School Programs","Middle School","Public School 314 - Luis Munoz Marin Elementary School","Brooklyn","SCO Family of Services","516.671.1253","MiddleSchool","330 59th Street
Brooklyn, NEW YORK 11220
(40.642201614799, -74.019175801725)","330 59th Street","11220","40.642121","-74.018997","7","38","74","3016258","3008620012","Sunset Park West                                                           "
"After-School Programs","Middle School","PRFI Aftercare Services for Adolescents Program ","Bronx","The Puerto Rican Family Insitute, Inc.","212.924.6320","MiddleSchool","2900 Exterior Street
Bronx, NEW YORK 10463
(40.87640448724, -73.906224337151)","2900 Exterior Street","10463","40.875742","-73.906187","8","14","283","2016113","2032640001","Spuyten Duyvil-Kingsbridge                                                 "
"After-School Programs","Middle School","Armory High School Sports Foundation","New York","Police Athletic League, Inc.","212.477.9450","MiddleSchool","216 Fort
New York, NEW YORK 10032
(40.836930349056, -73.949178521971)","216 Fort Washington","10032",,,,,,,,
"After-School Programs","Middle School","York College of the CUNY","Queens","Research Foundation of CUNY","212.417.8425","MiddleSchool","94 20 Guy R Brewer Boulevard
Queens, NEW YORK 11433
(40.698104881735, -73.787574033914)","94-20 Guy R. Brewer Boulevard","11433","40.702532","-73.795578","12","27","246","4215630","4101040043","Jamaica                                                                    "
"After-School Programs","Middle School","Kingsbridge Heights Community Center, Inc.","Bronx","Kingsbridge Heights Community Center, Inc.","718.884.0700","MiddleSchool","3101 Kingsbridge Terrace
Bronx, NEW YORK 10463
(40.877585488562, -73.900269056206)","3101 Kingsbridge Terrace","10463","40.877505","-73.90033","8","14","277","2015788","2032570111","Van Cortlandt Village                                                      "
"After-School Programs","Middle School","Reap & Keep Educational Services ","Queens","Reach Into Cultural Heights, Inc.","718.523.4099","MiddleSchool","119 04
Queens, NEW YORK 11434
(40.676945262114, -73.775306901692)","119-04 Merrick","11434",,,,,,,,
