"borough","health_center","street_address","zip_code","latitude","longitude","days_of_operation","hours_of_operation","telephone_number","accept_walk_ins","languages_other_than_english","translation_services_available","services_provided","ada_accessible","website","other_information","community_board","council_district","census_tract","bin","bbl","nta","location_point"
"Manhattan","Riverside  Health Center","160 West 100th Street,     1st Floor","10025","40.7964","-73.967932","Monday, Wednesday, Friday","9:00 a.m - 5:00 p.m.","(646) 364-0711","Walk-ins accepted. Appointment  preferred.","English only","true","health insurance application  assistance, food benefits (SNAP registration assistance) ","true","nyc.gov/health and search insurance",,"7","7","185","1055906","1018520049","Upper West Side","(40.7964, -73.967932)"
"Queens","Jamaica  Health Center","90-37 Parsons  Blvd.,       4th Floor","11432","40.703818","-73.800483","Monday - Friday","8:30 a.m. - 4:30 p.m.","(718) 553-3846                             (718) 553-3845","Walk-ins accepted. Appointment  preferred.","Spanish","true","health insurance application  assistance, food benefits (SNAP registration assistance) ","true","nyc.gov/health and search insurance",,,,,,,,"(40.703818, -73.800483)"
"Brooklyn","Bushwick  Health Center","335 Central Avenue,         1st Floor","11221","40.694666","-73.919153","Monday - Friday","8:30 a.m. - 4:30 p.m.","(718) 571-7719                        (718) 571-7717                         (718) 571-7718  ","Walk-ins accepted. Appointment  preferred.","Spanish","true","health insurance application  assistance, food benefits (SNAP registration assistance) ","true","nyc.gov/health and search insurance","Services began November 2, 2018 ","4","37","417","3076115","3033240001","Bushwick South","(40.694666, -73.919153)"
"Manhattan","Washington Heights  Health Center","600 West 168th Street,     2nd Floor","10032","40.841257","-73.940222","Monday - Friday","8:30 a.m. - 4:30 p.m.","(212) 368-5475                                     (212) 694-2399                                 (212) 491-5288","Walk-ins accepted. Appointment  preferred.","Spanish","true","health insurance application  assistance, food benefits (SNAP registration assistance) ","true","nyc.gov/health and search insurance",,"12","10","251","1063379","1021380024","Washington Heights South","(40.841257, -73.940222)"
"Bronx","Morrisania  Health Center","1309 Fulton Avenue,         3rd Floor","10456","40.832847","-73.903027","Monday - Friday","8:30 a.m. - 4:30 p.m.","(347) 854-1984","Walk-ins accepted. Appointment  preferred","Spanish","true","health insurance application  assistance, food benefits (SNAP registration assistance) ","true","nyc.gov/health and search insurance",,"3","16","14701","2009620","2029250080","Claremont-Bathgate","(40.832847, -73.903027)"
"Brooklyn","Homecrest  Health Center","1601 Avenue S,                      1st Floor","11229","40.603598","-73.956209","Monday - Friday","8:30 a.m. - 4:30 p.m.","(718) 336-2553  x129, 144, 150, 153","Walk-ins accepted. Appointment  preferred.","Russian, Spanish","true","health insurance application  assistance, food benefits (SNAP registration assistance) ","true","nyc.gov/health and search insurance",,"15","48","558","3184035","3068210142","Madison","(40.603598, -73.956209)"
"Brooklyn","Crown Heights  Health Center","1218 Prospect Place,         1st Floor ","11213","40.673523","-73.935845","Monday - Friday","8:30 a.m. - 4:30 p.m.","(718) 953-8234                     (718) 953-8233","Walk-ins accepted. Appointment  preferred.","Haitian Creole","true","health insurance application  assistance, food benefits (SNAP registration assistance) ","true","nyc.gov/health and search insurance",,"8","36","345","3036147","3013650009","Crown Heights North","(40.673523, -73.935845)"
"Queens","Corona Health Center","34-33 Junction Blvd.,     1st Floor","11372","40.754171","-73.872231","Monday - Friday","8:30 a.m. - 4:30 p.m.","(718) 396-5122                               (718) 396-5123                                (718) 396-5125","Walk-ins accepted. Appointment  preferred.","French, Haitian Creole, Italian,  Bengali, Hindi, Urdu, Spanish, Twi and Ga","true","health insurance application  assistance, food benefits (SNAP registration assistance) ","true","nyc.gov/health and search insurance",,"3","21","375","4042887","4017290027","North Corona","(40.754171, -73.872231)"
"Staten Island","125 Canal Street","125 Canal Street,                 2nd Floor","10301","40.626541","-74.077194","By appointment ","By appointment only","(917) 217-3324","By appointment only.","English only","true","health insurance application  assistance, food benefits (SNAP registration assistance) ","true","nyc.gov/health and search insurance",,"1","49","21",,,"Stapleton-Rosebank","(40.626541, -74.077194)"
"Brooklyn","Fort Greene  Health Center","295 Flatbush Avenue Extension, 5th Floor","11201","40.691979","-73.982496","Monday - Friday","8:30 a.m. - 4:30 p.m.","(718) 249-1435                               (718) 249-1436                               (718) 249-1437","Walk-ins accepted. Appointment  preferred.","Cantonese, Mandarin, Haitian Creole, Spanish","true","health insurance application  assistance, food benefits (SNAP registration assistance) ","true","nyc.gov/health and search insurance",,"2","35","15","3058406","3020790021","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","(40.691979, -73.982496)"
"Manhattan","Chelsea  Health Center","309 9th Avenue,                     1st Floor","10001","40.749313","-73.999282","Tuesday, Thursday","10:00 a.m - 5:00 p.m.","(212) 771-0153","Walk-ins accepted. Appointment  preferred.","English only","true","health insurance application  assistance, food benefits (SNAP registration assistance) ","true","nyc.gov/health and search insurance","Health center re-opened in March 2018.  Services began  April 3, 2018","4","3","97",,,"Hudson Yards-Chelsea-Flatiron-Union Square","(40.749313, -73.999282)"
