"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","number_and_street_address","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Jobs & Internships","In-School Youth Employment (ISY)","Intermediate School 217 - Rafael Hernandez School","Bronx","Simpson Street Development Association, Inc.","718.589.1510","High School",,"977 Fox Street, Bronx, NY 10459","10459","40.822443","-73.893902","2","17","159","2005660","2027140004","Hunts Point                                                                "
"Jobs & Internships","In-School Youth Employment (ISY)","Bedford Stuyvesant Restoration Corporation","Brooklyn","Bedford Stuyvesant Restoration Corporation","718.636.6931","High School","1368 Fulton Street
Brooklyn, NEW YORK 11216
(40.680167097693, -73.94592248315)","1368 Fulton Street","11216","40.680175","-73.945717","3","36","247","3053786","3018620014","Crown Heights North                                                        "
"Jobs & Internships","In-School Youth Employment (ISY)","John F. Kennedy High School - H.S. 475","Bronx","Henkels & McCoy, Inc.","800.622.5577","High School","99 Terrace View Avenue
Bronx, NEW YORK 10463
(40.877210772674, -73.91213621129)","99 Terrace View Avenue","10463","40.877105","-73.912256","8","10","309","1064532","1022150080","Marble Hill-Inwood                                                         "
"Jobs & Internships","In-School Youth Employment (ISY)","Intermediate School 168 - Parsons School","Queens","Queens Child Guidance Center","718.651.7770","High School","158 40 76th Road
Queens, NEW YORK 11366
(40.728164407262, -73.792268173937)","158-40 76th Road","11366","40.724458","-73.810216","8","24","1257","4147847","4068260001","Kew Gardens Hills                                                          "
"Jobs & Internships","In-School Youth Employment (ISY)","Chinese American Planning Council/Manhattan","New York","Chinese American Planning Council","212.941.0920","High School","100 Hester Street
New York, NEW YORK 10002
(40.71645702482, -73.992862506346)","100 Hester Street","10002","40.716553","-73.993092","3","1","16","1082489","1003010003","Chinatown                                                                  "
"Jobs & Internships","In-School Youth Employment (ISY)","Police Athletic League (PAL)","Queens","Police Athletic League, Inc.","212.477.6504","High School","55 Layton Avenue
Queens, NEW YORK 10301
(40.641582326676, -74.085356500747)","55 Layton Avenue","10301","40.641595","-74.085135","1","49","9","5001150","5000490182","West New Brighton-New Brighton-St. George                                  "
"Jobs & Internships","In-School Youth Employment (ISY)","Bais Yaakov Academy","Brooklyn","National Society For Hebrew Day Schools","212.227.1000","High School","2 Franklin Street
Brooklyn, NEW YORK 11222
(40.724266481648, -73.957683348145)","2 Franklin Street","11222","40.724354","-73.957695","1","33","561","3065473","3026130001","Greenpoint                                                                 "
"Jobs & Internships","In-School Youth Employment (ISY)","Public School 14 - Cornelius Vanderbilt Elementary School","Staten Island","Police Athletic League, Inc.","212.477.6504","High School","100 Tompkins Avenue Staten Island
NEW YORK,  10304
(40.622148795416, -74.078376875268)","100 Tompkins Avenue","10304","40.622455","-74.078508","1","49","29","5014176","5005450110","Stapleton-Rosebank                                                         "
"Jobs & Internships","In-School Youth Employment (ISY)","Citizens Advice Bureau/Girls Club of New York","Bronx","Citizens Advice Bureau, Inc.","718.365.0910","High School","1130 Grand
Bronx, NEW YORK 10456
(40.831694143639, -73.916041046959)","1130 Grand Concourse","10456","40.832331","-73.91959","4","16","18102","2002833","2024620042","East Concourse-Concourse Village                                           "
"Jobs & Internships","In-School Youth Employment (ISY)","Simpson Street Development Association, Inc.","Bronx","Simpson Street Development Association, Inc.","718.589.1510","High School","997 163rd Street
Bronx, NEW YORK 10459
(40.821012282861, -73.893418024476)","997 East 163rd Street","10459","40.820985","-73.893398","2","17","159","2099787","2027240001","Hunts Point                                                                "
"Jobs & Internships","In-School Youth Employment (ISY)","East Harlem Council For Community Improvement","New York","East Harlem Council For Community Improvement","212.410.7707","High School","413 120th Street
New York, NEW YORK 10035
(40.798205044469, -73.932667945174)","413 East 120th Street","10035","40.798371","-73.932987","11","8","192","1054888","1018080008","East Harlem North                                                          "
"Jobs & Internships","In-School Youth Employment (ISY)","P.S. 138","Brooklyn","Research Foundation of CUNY on behalf of Medgar Evers College","718.270.6908","High School","760 Prospect Place
Brooklyn, NEW YORK 11216
(40.674353675202, -73.9514119617)","760 Prospect Place","11216","40.67438","-73.951443","8","36","31701","3330794","3012330026","Crown Heights North                                                        "
"Jobs & Internships","In-School Youth Employment (ISY)","Herbert H. Lehman High School - H.S. 405","Bronx","Henkels & McCoy, Inc.","800.622.5577","High School","3000 Tremont Avenue
Bronx, NEW YORK 10461
(40.840618266234, -73.838305820374)","3000 E. Tremont Avenue","10461","40.840702","-73.838545","10","13","194","2074045","2053680001","Schuylerville-Throgs Neck-Edgewater Park                                   "
"Jobs & Internships","In-School Youth Employment (ISY)","Italian American Civil Rights League (Italian American Civil","Brooklyn","Italian American Civil Rights League (Italian American Civil","718.642.2857","High School","1460 Pennsylvania Avenue
Brooklyn, NEW YORK 11239
(40.646077795287, -73.879950181902)","1460 Pennsylvania Avenue","11239","40.646068","-73.879786","5","42","105804","3340241","3044520020","Starrett City                                                              "
"Jobs & Internships","In-School Youth Employment (ISY)","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","718.449.5000","High School","3001 37th Street
Brooklyn, NEW YORK 11224
(40.573273749724, -74.002490640031)","3001 West 37th Street","11224","40.573177","-74.002509","13","47","340","3189617","3070650001","Seagate-Coney Island                                                       "
"Jobs & Internships","In-School Youth Employment (ISY)","Stanley M. Isaacs Neighborhood Center, Inc.","New York","Stanley M. Isaacs Neighborhood Center, Inc.","212.360.7620","High School","415 93rd Street
New York, NEW YORK 10128
(40.7812386658, -73.945802764971)","415 E. 93rd Street","10128","40.780904","-73.945112","8","5","152","1082367","1015730001","Yorkville                                                                  "
"Jobs & Internships","In-School Youth Employment (ISY)","LaGuardia Community College","Queens","Research Foundation of CUNY/LaGuardia Community College","718.270.6908","High School","31 10 Thomson Avenue
Queens, NEW YORK 11101
(40.745702449808, -73.938669029252)","31-10 Thomson Avenue","11101","40.744902","-73.935022","2","26","179","4003534","4002780001","Hunters Point-Sunnyside-West Maspeth                                       "
"Jobs & Internships","In-School Youth Employment (ISY)","Asociaciones Dominicanas, Inc","Brooklyn","Asociaciones Dominicanas, Inc","212.247.2929","High School","202 Union Avenue
Brooklyn, NEW YORK 11211
(40.706434807769, -73.950331811608)","202 Union Avenue","11211","40.706403","-73.950356","1","34","511","3325853","3030580100","East Williamsburg                                                          "
"Jobs & Internships","In-School Youth Employment (ISY)","Adlai E. Stevenson High School - H.S. 450","Bronx","Episcopal Social Services, of New York, Inc.","212.886.5602","High School","1980 Lafayette Avenue
Bronx, NEW YORK 10473
(40.822259012658, -73.856286782562)","1980 Lafayette Avenue","10473","40.82229","-73.856167","9","18","16","2022205","2036040039","Soundview-Castle Hill-Clason Point-Harding Park                            "
