"recurrence","title","location","start_time"
"0","NYCHA's 2013 Holiday Party ","Surrogate's Court","2013-12-18T18:00:00.000"
"0","NYCHA Resident Training Academy Janitorial Session","REES Offices, 787 Atlantic Ave., Brooklyn","2014-01-08T00:00:00.000"
"0","REES/Green City Force Information Session","REES Offices, 787 Atlantic Ave., Brooklyn","2014-01-14T11:00:00.000"
"0","NYCHA Resident Training Academy Janitorial Session","REES Offices, 787 Atlantic Ave., Brooklyn","2014-02-05T08:30:00.000"
"0","NYCHA's Black History Month","90 Church Street-5th floor Ceremonial Room","2014-02-11T17:30:00.000"
"0","NYCHA Resident Training Academy Janitorial Session","REES Offices, 787 Atlantic Ave., Brooklyn","2014-02-12T08:30:00.000"
"0","Presidents Day & Washington's Birthday (Office Closed)",,"2014-02-17T00:00:00.000"
"0","Talent Show Rehearsal","Straus Performing Arts Center, 225 E. 27th St., NYC","2014-03-18T16:00:00.000"
"0","Talent Show Rehearsals","Straus Performing Arts Center, 225 E. 27th St., NYC","2014-03-20T16:00:00.000"
"0","City Council Hearing on NYCHA Budget","City Hall Committee Room, NYC","2014-03-21T10:00:00.000"
"0","FSD 2014 National Social Work Recognition Month Event","90 Church St-5th floor Ceremonial Room","2014-03-24T09:00:00.000"
"0","Talent Show Rehearsal","Straus Performing Arts Center, 225 E. 27th St., NYC","2014-03-25T16:00:00.000"
"0","NYCHA's Women's History Month","90 Church St-5th Floor Ceremonial Room","2014-03-25T17:30:00.000"
"0","Board Meeting","250 Broadway-12th floor Board Room","2014-03-26T10:00:00.000"
"0","REES/NTFP ""Taxes: How to use your Refund to Eliminate Debt""","383 Livonia Ave, Ground Fl, Brooklyn","2014-03-26T13:00:00.000"
"0","Talent Show Rehearsal","Straus Performing Arts Center, 225 E. 27th St, NYC","2014-03-27T16:00:00.000"
"0","RAB Meeting","90 Church St - 5th fl Ceremonial Room","2014-03-27T18:00:00.000"
"0","Randolph Houses Construction Start Event","W. 114th St @ Frederick Douglass Blvd, Harlem","2014-03-31T12:00:00.000"
"0","Talent Show Rehearsal","Straus Performing Arts Center","2014-04-04T16:00:00.000"
"0","Guangzhou Delegation Visit","250 Broadway","2014-04-07T14:00:00.000"
"0","Talent Show Rehearsal","Straus Performing Arts Center","2014-04-08T16:00:00.000"
"0","City Council Joint Hearing","City Hall Committee Room","2014-04-09T13:00:00.000"
"0","RAB Meeting","90 Church St-5th Fl. Ceremonial Room","2014-04-09T18:00:00.000"
"0","REES/NTFP “Club Accounts and the Benefits of Banking”"," 383 Livonia Ave. Ground Floor, Brooklyn","2014-04-10T13:00:00.000"
"0","Talent Show Rehearsal","Straus Performing Arts Center","2014-04-10T16:00:00.000"
"0","Central office Blood Drive ","90 Church Street 5th floor","2014-04-11T08:00:00.000"
"0","Talent Show Rehearsal","Straus Performing Arts Center","2014-04-11T16:00:00.000"
"0","Talent Show Rehearsal","Straus Performing Arts Center","2014-04-15T16:00:00.000"
"0","Baisley Basketball Court/Playground Groundbreaking","REAR OF 116-80 Guy R. Brewer Blvd, Queens","2014-04-16T15:00:00.000"
"0","Talent Show Rehearsal","Straus Performing Arts Center","2014-04-16T16:00:00.000"
"0","NYCHA/Con Ed “MWBE Trade Show”"," 4 Irving Place, Auditorium - 19th floor, NYC","2014-04-17T08:30:00.000"
"0","Talent Show Rehearsal","Straus Performing Arts Center","2014-04-18T16:00:00.000"
"0","JetBlue Tree Planting at Woodside Houses","Woodside Houses, Woodside, Queens","2014-04-19T09:00:00.000"
"0","Talent Show Rehearsal","Straus Performing Arts Center","2014-04-22T16:00:00.000"
"0","Tree Planting w/NYRP & Fordham University","Amsterdam Houses, 40 Amsterdam Avenue, Manhattan, NY","2014-04-23T12:30:00.000"
"0","Take Our Daughters & Sons to Work Day","Selected Locations","2014-04-24T08:30:00.000"
"0","Talent Show Rehearsal","Straus Performing Arts Center","2014-04-24T16:00:00.000"
"0","Talent Show Rehearsal","Straus Performing Arts Center","2014-04-25T16:00:00.000"
"0","NYCHA Youth Chorus Performance","Location & Time TBD","2014-04-27T12:00:00.000"
"0","Talent Show Rehearsal","Straus Performing Arts Center","2014-04-29T16:00:00.000"
"0","REES/NTFP’s Free Financial Planning Workshop Series","St. Mary’s Community Center 595 Trinity Avenue (between Westchester Avenue and 149th Streets), Bronx, NY.","2014-04-29T18:00:00.000"
"0","Board Meeting","250 Broadway-12th floor Board Room","2014-04-30T10:00:00.000"
"0","Talent Show Load In/Dress Rehearsal","Boys and Girls High School","2014-05-01T15:30:00.000"
"0","RAB Meeting","90 Church St - 5th Fl. Ceremonial Room","2014-05-01T18:00:00.000"
"0","44th Annual Talent Show Competition","Boys and Girls High School, 1700 Fulton St, Brooklyn, NY 11213","2014-05-03T16:00:00.000"
"0","Jane’s Walk @ First Houses","Corner of 3rd St. and Ave. A","2014-05-04T15:00:00.000"
"0","REES/Green City Force Recruitment","787 Atlantic Ave., Fl. 2, Brooklyn","2014-05-06T10:00:00.000"
"0","REES/Green City Force Recruitment","787 Atlantic Ave., Fl. 2, Brooklyn","2014-05-13T10:00:00.000"
"0","REES/Green City Force Recruitment","787 Atlantic Ave., Fl. 2, Brooklyn","2014-05-20T10:00:00.000"
"0","Board Meeting","250 Broadway-12th floor Board Room","2014-05-21T10:00:00.000"
"0","Jewish Heritage Month Celebration","90 Church Street, 5th Floor Ceremonial Room","2014-05-21T17:30:00.000"
"0","MEMORIAL DAY (Office Closed)",,"2014-05-26T00:00:00.000"
"0","REES/Green City Force Recruitment","787 Atlantic Ave., Fl. 2, Brooklyn","2014-05-27T10:00:00.000"
"0","Executive Budget Hearing ","City Council Chambers ","2014-06-03T09:00:00.000"
"0","24th Annual Resident Art Show (Adults)","Rutgers CC, 200 Madison St, NYC","2014-06-03T12:30:00.000"
"0","Gallery Owner Tour - Resident Art Show ","Rutgers CC, 200 Madison St., NYC ","2014-06-04T10:00:00.000"
"0","NYCHA/FDNY Emergency Preparedness Event","Ravenswood Houses","2014-06-05T00:00:00.000"
