"borough","ntaname","food_scrap_drop_off_site","location","hosted_by","open_months","operation_day_hours","notes","website","borocd","councildist","ct2010","bbl","bin","latitude","longitude","precinct","object_id","point"
"Queens","Elmhurst","St. James Compost","86-02 Broadway, Elmhurst, NY 11373","Volunteers at St. James Compost","Year Round","Every day from 9:00AM - 6:00PM",,"https://www.instagram.com/stjamescompost/","404","25",,,,"40.738332","-73.8777581",,"8","POINT (-73.8777581000009 40.7383320000032)"
"New York","Lower East Side","Down to Earth Garden","546 East 12th St","Down to Earth Garden","Year Round","Tuesday: 1:30 to 3:30pm","We accept potted plants, clippings and flowers but please keep them separate from food scraps.","downtoearthgarden.org/","103","2","34",,,"40.7281","-73.979","9","139","POINT (-73.979000000001 40.7281000000032)"
"New York","SoHo-TriBeCa-Civic Center-Little Italy","WEATHER CLOSURE 1/29: Tribeca Greenmarket","Tribeca Greenmarket","GrowNYC","Year Round","Saturdays 8:00AM - 1:00PM",,,"101","1",,,,"40.717424","-74.010793",,"70","POINT (-74.010793000001 40.7174240000032)"
"Richmond","Stapleton-Rosebank","WEATHER CLOSURE 1/29: Staten Island Urban Center","208 Bay Street","Staten Island Urban Center","Year Round","Saturdays 11:00 AM - 1:30 PM","Not accepted: meat, bones, dairy","www.siurbancenter.org","501","49","21","5004980066","5013259","40.6369271","-74.0767091","120","107","POINT (-74.076709100001 40.6369271000032)"
"Queens","South Jamaica","Discovery Community Garden","108-56 Union Hall St Jamaica, NY 11433","NYC Compost Project Hosted by Big Reuse","Year Round","Mondays, 12-2PM","No meat. No BPI-Certified Products.","https://www.bigreuse.org/service/compost/","412","28",,,,"40.6944987","-73.7913159",,"208","POINT (-73.791315900001 40.6944987000032)"
"Richmond","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","Grace Foundation","460w Brielle Avenue","Grace Foundation","Year Round","Mondays 9 AM - 12 PM","Not accepted: meat, bones, or dairy","graceofny.org","502","50","181","5009550100","5000000","40.591211","-74.1320734","122","120","POINT (-74.132073400001 40.5912110000032)"
"New York","Hudson Yards-Chelsea-Flatiron-Union Square","Hudson River Park's Pier 76 at W. 34th St.","Pier 76 at 34th Street and 12th Ave outside of compost yard South of 34th St","Staff at Hudson River Park","Year Round","Every day 7:00 am - 7:00 pm","Not accepted: meat, bones, or dairy","https://hudsonriverpark.org/the-park/sustainability/community-compost-program/","104","3",,,,"40.756032","-74.006046",,"38","POINT (-74.006046000001 40.7560320000032)"
"Kings","Carroll Gardens-Columbia Street-Red Hook","Christ Church Community Compost","326 Clinton Street","Volunteers at Christ Church","Year Round","Sundays from 9:00AM-10:00AM; Wednesdays from 7:00PM-8:00PM","Only accepting fruits, vegetables, coffee, tea, and nuts","www.christchurchcobblehill.net","306","39","67","3003240036","3003899","40.68596","-73.99701","76","93","POINT (-73.997010000001 40.6859600000032)"
"Kings","Park Slope-Gowanus","WEATHER CLOSURE 1/29: Grand Army Plaza Greenmarket","Flatbush Ave & Eastern Pkwy, north of the arch","GrowNYC","Year Round","Saturdays, 8AM-2PM","No Meat, Fish, and Dairy. No BPI-Certified Compostable Plastic Products.","grownyc.org/compost","355","39",,,,"40.673438","-73.969814",,"203","POINT (-73.969814000001 40.6734380000032)"
"Queens","Glendale","Glendale Community Garden","74-10 88th St, Glendale, NY 11385","Volunteers at Glendale Community Garden","Year Round","Saturdays & Sundays 11:00AM - 4:00PM","Not accepting: meat, bones, or dairy",,"405","30",,,,"40.707547","-73.864884",,"88","POINT (-73.864884000001 40.7075470000032)"
