"board","district_manager_first_name","district_manager_last_name","address","city","postcode","phone_number","e_mail","monthly_meeting","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","cb_chair_first_name","cb_chair_last_name"
"1","Florence","Koulouris","45-02 Ditmars Blvd., Ste. 125","Astoria","11105","718.626.1021","QN01@CB.NYC.GOV","3rd Tuesday","QUEENS","40.770738","-73.903082","1","22","137","4014554","4007697501","Steinway","Marie","Torniali"
"2","Debbie","Markell Kleinert","43-22 50th St.","Woodside","11377","718.533.8773","QN02@CB.NYC.GOV","1st Thursday","QUEENS","40.744161","-73.914709","2","26","25301","4001290","4001380040","Hunters Point-Sunnyside-West Maspeth","Denise","Keehan-Smith"
"3","Giovanna","Reid","82-11 37th Ave., Ste. 606","Jackson Heights","11372","718.458.2707","COMMUNITYBOARD3@NYC.RR.COM","3rd Thursday","QUEENS","40.749775","-73.884103","3","25","283","4035816","4014560041","Jackson Heights","Philip","Papas"
"4","Christian","Cassagnol","46-11 104th St.","Corona","11368","718.760.3141","QN04@CB.NYC.GOV","2nd Tuesday","QUEENS","40.746246","-73.859814","4","21","415","4441122","4019900092","Corona","Damian","Vargas"
"5","Gary","Giordano","61-23 Myrtle Ave.","Glendale","11385","718.366.1834","QNSCB5@NYC.RR.COM","2nd Wednesday","QUEENS","40.700875","-73.893734","5","30","577","4088373","4036380065","Glendale","Vincent","Arcuri, Jr."
"6","Frank","Gulluscio","104-01 Metropolitan Ave.","Forest Hills","11375","718.263.9250","QN06@CB.NYC.GOV","2nd Wednesday","QUEENS","40.710102","-73.848564","6","29","731","4077527","4032400041","Forest Hills","Joseph","Hennessy"
"7","Marilyn","McAndrews","133-32 41st Rd.","Flushing","11355","718.359.2800","QN07@CB.NYC.GOV","2nd Monday","QUEENS","40.75687","-73.830504","7","20","849","4458259","4050427503","Flushing","Eugene","Kelty, Jr."
"8","Marie","Adam-Ovide","197-15 Hillside Ave.","Hollis","11423","718.264.7895","QN08@CB.NYC.GOV","2nd Wednesday","QUEENS","40.718496","-73.765169","8","23","478","4224338","4105300001","Jamaica Estates-Holliswood","Martha","Taylor"
"9","Lisa","Gomes","120-55 Queens Blvd., Rm. 310A","Kew Gardens","11424","718.286.2686","COMMUNITYBD9@NYC.RR.COM","2nd Tuesday","QUEENS","40.713329","-73.828601","9","29","216","4052812","4022740002","Kew Gardens","J. Richard","Smith"
"10","Karyn","Peterson","115-01 Lefferts Blvd.","South Ozone Park","11420","718.843.4488","CB10QNS@NYC.RR.COM","1st Thursday","QUEENS","40.676873","-73.81957","10","28","166","4251988","4116630033","South Ozone Park","Elizabeth","Braton"
"11","Joseph","Marziliano","46-21 Little Neck Pkwy.","Little Neck","11362","718.225.1054","QN11@CB.NYC.GOV","1st Monday","QUEENS","40.770354","-73.734266","11","19","150702","4171579","4082610085","Douglas Manor-Douglaston-Little Neck","Christine","Haider"
"12","Yvonne","Reddick","90-28 161st St.","Jamaica","11432","718.658.3308","QN12@CB.NYC.GOV","3rd Wednesday","QUEENS","40.70519","-73.799274","12","24","44601","4208852","4097570040","Jamaica","Rene","Cheatham-Hill"
"13","Mark","McMillan","219-41 Jamaica Ave.","Queens Village","11428","718.464.9700","MMCMILLAN@QB13.org","4th Monday","QUEENS","40.718636","-73.735032","13","23","564","4438815","4107240045","Queens Village","Clive","Williams"
"14","Jonathan","Gaska","1931 Mott Ave.","Far Rockaway","11691","718.471.7300","CBROCK14@NYC.RR.COM","2nd Tuesday","QUEENS","40.603937","-73.752344","14","31","101001","4298263","4155610029","Far Rockaway-Bayswater","Dolores","Orr"
