"publication","boro","board","priority","tracking_code","request","explanation","response","responded_by","responsible_agency","support_by_1","support_by_2","site_street","cross_street_1","cross_street_2","address_no","street","block","lot","postcode","latitude","longitude","council_disctrict","census_tract","bin","bbl","nta"
"20180426","1","01","01","101201901C","Build new, expand or repair storm sewers","Allocate Funds for Capital Sewer Work to be Performed in the Area Located on Beekman Avenue, Between East 141st Street & St. Ann's Avenue. Due to an increase in volume and CSO overflow in the immediate area, there is an impact on the local housing stock including Diego Beekman Houses. There is a need for increased sewer capacity and an expansion of the sewer lines in the area. (Previous Tracking Code: 01201503C)","OMB supports the agency's position as follows: More information is needed from the community board before making a funding decision. The community board should contact the agency.","OMB","Department of Environmental Protection",,,"Beekman Avenue","East 141st Street","St. Ann's Avenue",,,,,,,,,,,,
"20180426","1","01","02","101201902C","Renovate or upgrade an elementary school","Funding for construction of new first floor classroom flooring at PS25 located at 811 East 149th Street.    The first floor within PS25, the Bilingual School has deteriorated to such a degree that one classroom floor has buckled and created an unsafe environment for children seeking to learn daily.  The Board would like to see the immediate repair of this condition.","OMB supports the agency's position as follows: Further study by the agency of this request is needed.","OMB","Department of Education",,,,,,,,,,,,,,,,,
"20180426","1","01","03","101201903C","Renovate or upgrade an elementary school","Funding for the placement of critical air circulation and conditioning system in PS1 located at 335 East 152nd Street, the Courtlandt School.    Community Board 1 is within the most profound asthma corridor of our City.  We voice  our concerns about the current conditions for learning in all of our schools.  However, in PS1 the air quality and circulation is extremely poor.  Its over heated conditions are not conducive for learning and is having an adverse impact on the learning environment for our children.  We advocate for the allocation of Capital funding for construction of an air condition system within the school.","OMB supports the agency's position as follows: Further study by the agency of this request is needed.","OMB","Department of Education",,,,,,,,,,,,,,,,,
"20180426","1","01","04","101201904C","Repair or provide new street lights","Upgrade illumination on existing street lighting in the District.    Street lighting throughout the entire District at night does not appear to be providing the proper illumination to support public safety.  The Board requests for an upgrade ad increase in foot-candles on the existing lamp poles, including within all pedestrian underpasses in the District.","OMB supports the agency's position as follows: Please contact the Borough Commissioner's office to discuss this request.","OMB","Department of Transportation",,,,,,,,,,,,,,,,,
"20180426","1","01","05","101201905C","Repair or provide new street lights","Fund major improvements including additional lighting at the Major Deegan underpasses at Brook, St. Ann's, Lincoln and Willis Avenues.    There is a need for additional lighting at the Major Deegan underpasses at Brook, St. Ann's, Lincoln and Willis Avenues as it is dangerous for residents that have to pass through these locations due to inadequate lighting.","OMB supports the agency's position as follows: Please contact the Borough Commissioner's office to discuss this request.","OMB","Department of Transportation",,,,,,,,,,,,,,,,,
"20180426","1","01","06","101201906C","Repair or build new step streets","Create a new step street.    The development of a Step Street at East 159th Street and ST. Ann's Avenue provides a connection for residents  in the area above St. Ann's Avenue.  This Step Street is one the Board has advanced over 15 years and continues to support.  It's development provides for residents of major developments such as St. Ann's Terrace, a development of 350 units accessibility from this portion of the District.  It is important as it will connect an area cutoff from direct walking and connection to bus routes and other features with the important housing corridor of the District.","Further study by the agency of this request is needed. Therefore, OMB does not take any position.","OMB","Department of Transportation",,,"St. Ann's Avenue","East 159th Street","St. Ann's Avenue","East 159th","St. Ann's Avenue",,,,,,,,,,
"20180426","1","01","07","101201907C","Rehabilitate bridges","The reconstruction of the East 153rd Street Bridge.  Previously at this location the past Administration had approved a design for a cable-less Bridge at East 153rd Street and the money was taken out of the budget.  Due to increased population in Bronx County in Boards 1 and 4 there is a need for a new bridge to be built at this location.    The increased density and strained traffic conditions in the District along 149th Street, the Grand Concourse and on to East 161st Street has created limited options for drivers.  The East 153rd Street Bridge is presently in the projected Capital Plan.  Our Board supports development of the East 153rd Street Bridge which can reduce congestion in our District.","Further study by the agency of this request is needed. Therefore, OMB does not take any position.","OMB","Department of Transportation",,,,,,,,,,,,,,,,,
"20180426","1","01","08","101201908C","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Redevelopment of the Garrison Playground located at East 146th Street and Walton Avenue into a Science themed Playground.    A component of the City's HPD RFP and selected redevelopment plan for 425 Grand Concourse is an allocation of Capital monies.  Additionally, the Borough President's Capital Allocation for FY2017 includes $500,000 for the reconstruction of the adjacent Garrison Playground.  The averse closure and subsequent demolition  of the former PS31 in 2015 devastated the educational capacity in the District while also creating a serious void of passive and active recreation space.  The theme and the importance of science will uplift and inspire young persons of the District while providing a 21st century recreational and learning experience.","OMB supports the agency's position as follows: This project was funded in a prior fiscal year and the final design contract has been let.","OMB","Department of Parks and Recreation",,,,,,,,,,,,,,,,,
"20180426","1","01","19","101201919C","Renovate or upgrade an elementary school","Funding for the creation of a library/media room Where the children can do homework, study and learn.  Funding for cameras at the front entrance and School Safety Agents for the protection of the children.","OMB supports the agency's position as indicated. Additionally, please note that School Safety Agents are not capital eligible and must be funded with expense.","OMB","Department of Education",,,,,,"564","Jackson Avenue, Bronx 10455",,,,,,,,,,
"20180426","2","07","14","207201914C","Other transit infrastructure requests","Add security cameras inside all subways stations in CD 7.","For information regarding the status of this Request, contact the Transit Authority directly at telephone number 646-252-2660.","OMB","Transit Authority",,,,,,,,,,,,,,,,,
