"name_of_borough","name_of_medicaid_office","office_address","phone_number","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Bronx","Rider","305 Rider Ave, 4th Fl.","718-585-7872","10451","40.813153","-73.927579","1","8","51","2000978","2023400072","Mott Haven-Port Morris"
"Bronx","Morrisania","1225 Gerard Avenue (Basement)","718-960-2799","10452","40.835957","-73.919986","4","16","197","2003015","2024890060","West Concourse"
"Bronx","Fordham","2541-2549 Bainbridge Ave","929-252-3230","10458","40.862345","-73.89335","7","15","39901","2016777","2032930008","Bedford Park-Fordham North"
"Brooklyn","Coney Island","3050 West 21st Street, 3rd Fl.","929-221-3790","11224","40.57353","-73.987448","13","47","352","3189654","3070710123","Seagate-Coney Island"
"Brooklyn","East New York","404 Pine St, 2nd Fl.","929-221-8204","11208","40.67588","-73.871091","5","42","1196","3094690","3042140001","East New York"
"Brooklyn","Kings County Hospital","441 Clarkson Ave. ""T"" Bldg. Nurses' Residence (1st Fl.)","718-221-2300 Ext. 2301","11203","40.655749","-73.944786","9","40","808","3327711","3048290001","Prospect Lefferts Gardens-Wingate"
"Brooklyn","Brooklyn South","785 Atlantic Avenue, 1st Fl.","929-221-3502","11238","40.681962","-73.968434","2","35","199","3335092","3020090001","Clinton Hill"
"Manhattan","Chinatown","115 Chrystie Street (5th floor)","212-334-6114","10002","40.718647","-73.993586","3","1","18","1005645","1004230022","Chinatown"
"Manhattan","Dyckman Community","4055 10th Ave (Lower Level)","212-939-0207 Ext. 0208","10034","40.870388","-73.914561","12","10","299","1064513","1022130001","Marble Hill-Inwood"
"Queens","Queens Community","32-20 Northern Boulevard, 3rd Fl.","718-784-6729","11101","40.75197","-73.931799","1","26","171","4003105","4002147501","Hunters Point-Sunnyside-West Maspeth"
"Queens","Jamaica","165-08 88th Avenue, 8th Fl.","929-252-3193","11432","40.708661","-73.796703","12","27","460","4210062","4098150056","Jamaica"
"Staten Island","Staten Island","215 Bay Street","929-221-8823 | 929-221-8824","10301","40.636699","-74.076247","1","49","21","5013236","5004970001","Stapleton-Rosebank"
