"admin_district","_2021_complaints_jan_june","_2021_material_incidents","race","ethnicity_or_national_origin","unnamed_column","gender","weight","gender_identity_expression","disability","sexual_orientation"
"01","27","10","*","*","*","0","0","0","*","0"
"02","180","63","12","*","*","*","*","*","*","*"
"03","63","32","*","*","*","*","*","*","0","*"
"04","27","*","*","0","0","0","*","0","0","0"
"05","16","7","*","*","*","*","0","0","0","*"
"06","17","8","0","0","0","0","*","0","0","0"
"07","20","13","0","0","0","*","*","*","0","*"
"08","43","16","*","*","0","0","*","*","*","*"
"09","28","11","0","0","0","0","0","0","0","*"
"10","97","50","*","*","0","*","*","*","0","0"
"11","83","56","*","*","0","*","*","0","*","6"
"12","39","19","*","0","*","*","*","*","0","*"
"13","34","15","*","0","0","*","0","*","0","*"
"14","27","18","*","*","0","0","*","0","0","0"
"15","31","12","*","0","0","0","0","0","0","*"
"16","*","*","0","0","0","0","0","0","0","0"
"17","18","10","0","0","0","0","0","0","0","0"
"18","8","*","*","0","0","0","0","0","0","0"
"19","22","10","*","0","0","0","*","0","0","*"
"20","80","34","*","*","0","*","*","*","0","*"
"21","63","30","8","*","0","*","7","*","*","*"
"22","31","6","*","0","*","0","0","0","0","0"
"23","9","*","0","0","0","0","0","0","0","0"
"24","87","45","*","*","*","*","*","0","0","*"
"25","100","42","*","0","*","0","*","*","0","*"
"26","99","42","*","*","*","*","*","*","*","6"
"27","55","32","10","*","*","*","*","0","0","*"
"28","40","18","*","0","0","*","0","*","0","*"
"29","37","13","*","0","0","0","*","0","*","0"
"30","67","29","6","*","*","*","*","*","0","*"
"31","133","58","6","6","0","0","8","*","0","*"
"32","16","8","0","0","0","0","0","0","0","0"
"75","78","35","*","0","0","*","0","0","*","*"
"79","7","*","0","0","0","0","0","0","0","0"
"Grand Total","1687","759","91","39","18","21","52","19","13","56"
