"publication_date","fiscal_year","agency_number","agency_name","unit_appropriation_number","unit_appropriation_name","personal_service_other_than_personal_service_indicator","total_financial_plan_amount","total_adopted_budget_amount","total_current_budget_amount","federal_funds_financial_plan_amount","federal_funds_adopted_budget_amount","federal_funds_current_budget_amount","state_funds_financial_plan_amount","state_funds_adopted_budget_amount","state_funds_current_budget_amount","inter_fund_agreement_funds_financial_plan_amount","inter_fund_agreement_funds_adopted_budget_amount","inter_fund_agreement_funds_current_budget_amount","intra_city_sales_funds_financial_plan_amount","intra_city_sales_funds_adopted_budget_amount","intra_city_sales_funds_current_budget_amount","other_categorical_funds_financial_plan_amount","other_categorical_funds_adopted_budget_amount","other_categorical_funds_current_budget_amount","community_development_funds_financial_plan_amount","community_development_funds_adopted_budget_amount","community_development_funds_current_budget_amount","city_funds_financial_plan_amount","city_funds_adopted_budget_amount","city_funds_current_budget_amount"
"20220426","2023","002","MAYORALTY","090","MAYOR'S OFFICE OF CONTRACT SERVICES - PS","P","23408453","17329875","16878886","0","38851","38851","0","0","0","2523576","2523576","2523576","5191224","5191224","5191224","0","0","0","0","0","0","15693653","9576224","9125235"
"20220426","2023","004","CAMPAIGN FINANCE BOARD","002","OTHER THAN PERSONAL SERVICES","O","35985389","19280979","17092979","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35985389","19280979","17092979"
"20220426","2023","004","CAMPAIGN FINANCE BOARD","003","ELECTION FUNDING","O","28000000","40800000","20800000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28000000","40800000","20800000"
"20220426","2023","008","OFFICE OF THE ACTUARY","100","PERSONAL SERVICE","P","5174554","5064554","5022554","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5174554","5064554","5022554"
"20220426","2023","008","OFFICE OF THE ACTUARY","200","OTHER THAN PERSONAL SERVICE","O","2040464","2003882","1833882","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2040464","2003882","1833882"
"20220426","2023","010","BOROUGH PRESIDENT - MANHATTAN","001","PERSONAL SERVICES","P","4384989","4384989","4585489","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4384989","4384989","4585489"
"20220426","2023","010","BOROUGH PRESIDENT - MANHATTAN","002","OTHER THAN PERSONAL SERVICES","O","956399","1340650","1412642","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","956399","1340650","1412642"
"20220426","2023","011","BOROUGH PRESIDENT BRONX","001","PERSONAL SERVICES","P","5086723","5086723","5093894","0","0","6171","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5086723","5086723","5087723"
"20220426","2023","011","BOROUGH PRESIDENT BRONX","002","OTHER THAN PERSONAL SERVICES","O","1255715","1773735","2099654","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1255715","1773735","2099654"
"20220426","2023","012","BOROUGH PRESIDENT - BROOKLYN","001","PERSONAL SERVICES","P","5928718","5928718","5930718","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5928718","5928718","5930718"
