"business_name","business_category","street_address","phone","website","hours_mon_fri","hours_sat","hours_sun","location_1","borough","postocde","latitude","longitide","community_board","council_district","census_tract","bin","bbl","nta"
"Brooklyn Uniform Center","Apparel & Footwear","206 Livingston Street","718-875-7780",,,,,"(40.68973, -73.986013)","3","11201","40.68973","-73.986013","2","33","37","3000488","3001640035","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Afrikart","Apparel & Footwear","295 Livingston Street","718-935-0458","no website ",,,,"(40.688165, -73.981935)","3","11217","40.688165","-73.981935","2","33","37","3000477","3001610059","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"American Apparel","Apparel & Footwear","112 Court Street","718-855-4627","www.americanapparel.com","F 11am - 10pm, 11am - 9pm","11am - 10pm","11am - 9pm","(40.69025, -73.99211)","3","11201","40.69025","-73.99211","2","33","9","3002796","3002760043","Brooklyn Heights-Cobble Hill                                               "
"Express Shoe Store & Repair","Apparel & Footwear","370 Livingston Street","718-596-6921","no website ",,,,"(40.687644, -73.980641)","3","11217","40.687644","-73.980641","2","33","37","3335904","3001670016","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Dunkin Donuts","Food Service","322 Livingston Street","718-788-7888","www.dunkindonuts.com","6am - 7:30pm","7am - 7:30pm","7:30am - 7pm","(40.688121, -73.98187)","3","11217","40.688121","-73.98187","2","33","37","3000511","3001660032","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Bella Pizza","Food Service","208 Livingston Street","718-624-3996",,,,,"(40.689706, -73.985951)","3","11201","40.689706","-73.985951","2","33","37","3000489","3001640036","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Webers Closeout Center","Discount","39 Bond Street","718-292-3605",,,,,"(40.6885, -73.983752)","3","11201","40.6885","-73.983752","2","33","37","3000000","3001660001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"True Value Brunos Home Center","Hardware","95 Court Street","718-858-5250",,"8:30am - 6pm","9am - 3pm","closed","(40.691175, -73.991641)","3","11201","40.691175","-73.991641","2","33","9","3002646","3002690023","Brooklyn Heights-Cobble Hill                                               "
"J & J Sunshine (Lans Hair &) Nail Salon","Beauty Services","368 Livingston Street","718-875-6571",,"10am - 7pm","10am - 7pm","Closed","(40.687657, -73.980677)","3","11217","40.687657","-73.980677","2","33","37","3335903","3001670016","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"United Artists","Movie Theatres","108 Court Street","718-246-8170","www.regmovies.com","11am - 2am","11am - 2am","11am - 2am","(40.690502, -73.991988)","3","11201","40.690502","-73.991988","2","33","9","3378157","3002700001","Brooklyn Heights-Cobble Hill                                               "
"Zolotar Dental Care","Medical/Dental/Optical","304 Livingston Street","718-797-2880",,"9am - 6pm","9am - 6pm","Closed","(40.688311, -73.98236)","3","11217","40.688311","-73.98236","2","33","37","3000505","3001660023","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Jung's Fish & Vegetable","Food Service","297 Livingston Street","718-596-3578",,,,,"(40.688141, -73.981877)","3","11217","40.688141","-73.981877","2","33","37","3000476","3001610058","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Tempo","Apparel & Footwear","56 Court Street","718-403-0629",,,,,"(40.692171, -73.991172)","3","11201","40.692171","-73.991172","2","33","9","3397831","3002657502","Brooklyn Heights-Cobble Hill                                               "
"Metro King Café","Food Service","16 Nevins Street","718-797-2178",,"6:30am - 6:30pm","8am - 6pm","closed","(40.688305, -73.981167)","3","11217","40.688305","-73.981167","2","33","37","3000469","3001610047","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Empire Bail Bonds","Bail Bonds","92 Court Street","718-858-1111","www.bailempire.com",,,,"(40.691087, -73.99171)","3","11201","40.691087","-73.99171","2","33","9","3002641","3002680054","Brooklyn Heights-Cobble Hill                                               "
"True Value American Hardware","Hardware","85 Court Street","718-243-0844","www.truevalue.com",,,,"(40.691411, -73.991526)","3","11201","40.691411","-73.991526","2","33","9","3002649","3002690026","Brooklyn Heights-Cobble Hill                                               "
"Park Kwik","Transportation","211 Atlantic Avenue","718-858-9356",,,,,"(40.689616, -73.99211)","3","11201","40.689616","-73.99211","2","33","9","3388736","3002777501","Brooklyn Heights-Cobble Hill                                               "
"IHOP","Food Service","276 Livingston Street","718-222-4467","www.ihop.com","M-Th 7am - Midnight; F 24hrs","24 Hr.","Midnight - Midnight","(40.688709, -73.983395)","3","11217","40.688709","-73.983395","2","33","37","3000503","3001660001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
".99 Store","Discount","328 Livingston Street",,,"9am - 8pm","9am - 8pm","Closed","(40.688058, -73.981708)","3","11217","40.688058","-73.981708","2","33","37","3000514","3001660035","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Radio Shack","Electronics","118 Court Street","718-855-5057","www.radioshack.com","9am - 8pm","9am - 8pm","11am - 7pm","(40.690052, -73.992204)","3","11201","40.690052","-73.992204","2","33","9","3002799","3002760046","Brooklyn Heights-Cobble Hill                                               "
"Marseille Fashion","Apparel & Footwear","342 Livingston Street","718-855-2442",,"9am - 9pm","9am - 9pm","9am - 9pm","(40.687828, -73.981116)","3","11217","40.687828","-73.981116","2","33","37","3000523","3001670008","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"CPEX Realty","Real Estate","350 Livingston Street","718-935-1800","www.cpexre.com",,,,"(40.687775, -73.980979)","3","11217","40.687775","-73.980979","2","33","37","3000000","3001670013","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Downtown Cleaners","Dry Cleaners / Tailors","84 Livingston Street","718-403-9300",,,,,"(40.691444, -73.990938)","3","11201","40.691444","-73.990938","2","33","9","3341558","3002690030","Brooklyn Heights-Cobble Hill                                               "
"Porta Bella","Apparel & Footwear","320 Livingston Street","718-892-8997","www.portabellastores.com","9:30am - 7pm","9:30am - 7pm","10am - 6pm","(40.688141, -73.981924)","3","11217","40.688141","-73.981924","2","33","37","3000510","3001660029","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Chu's Gourmet","Food Service","82 Livingston Street","718-260-8870",,,,,"(40.691466, -73.991007)","3","11201","40.691466","-73.991007","2","33","9","3341557","3002690030","Brooklyn Heights-Cobble Hill                                               "
"200 Dry Cleaners ","Dry Cleaners / Tailors","193 Schermerhorn Street","718-855-1116",,"M-Th 8am-10pm, F 8am - 9pm","8am - 9pm","8am-9pm","(40.689107, -73.986352)","3","11201","40.689107","-73.986352","2","33","37","3000493","3001640041","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"GVS General Vision","Medical/Dental/Optical","66 Court Street","718-625-0025","www.generalvision.com",,,,"(40.691935, -73.991291)","3","11201","40.691935","-73.991291","2","33","9","3002543","3002650001","Brooklyn Heights-Cobble Hill                                               "
"Goodwill Store & Donation Center","Discount","258 Livingston Street","718-330-0218","www.goodwill.org","10am - 8pm","10am - 7pm","Closed","(40.688964, -73.984051)","3","11201","40.688964","-73.984051","2","33","37","3329446","3001650029","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Sikder & Sons","Newsstands & Delis","40 Hoyt Street","646-691-5893",,,,,"(40.689354, -73.985941)","3","11201","40.689354","-73.985941","2","33","37","3000489","3001640036","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Hair Heaven","Beauty Services","308 Livingston Street","718-875-3576","www.hairheavennyc.com","M-W 10am - 7pm; Th 10am - 7:30pm; F 10am - 8pm","10am - 7pm","Closed","(40.68827, -73.982252)","3","11217","40.68827","-73.982252","2","33","37","3000507","3001660025","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Nevins Optimo Shop","Newsstands & Delis","24 Nevins Street",,,,,,"(40.688143, -73.981279)","3","11217","40.688143","-73.981279","2","33","37","3000471","3001610053","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Trophy World","Gifts","123 Livingston Street","718-797-1200","www.trophyworld.com",,,,"(40.69082, -73.988811)","3","11201","40.69082","-73.988811","2","33","37","3000432","3001547501","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Pulse Cncpt","Apparel & Footwear","358 Livingston Street","347-725-3923","www.pulsenyc.com","M-Th 10:30am - 8:30pm; F 10:30am - 9pm","10:30am - 9pm","Noon - 7pm","(40.687723, -73.980846)","3","11217","40.687723","-73.980846","2","33","37","3335906","3001670016","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"National Tax Service","Tax Services","322 Livingston Street","718-855-0780",,,,,"(40.688121, -73.98187)","3","11217","40.688121","-73.98187","2","33","37","3000511","3001660032","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Papa Johns","Food Service","290 Livingston Street","718-596-7272","www.papajohns.com","M-Th 11am - Midnight; F 11am-1am","11am - 1am","11am - Midnight","(40.688563, -73.983013)","3","11217","40.688563","-73.983013","2","33","37","3000503","3001660001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Satnick's Fine Jewelry and Watches","Jewelery & Accessories","187 State Street","718-852-1421",,,,,"(40.69023, -73.99167)","3","11201","40.69023","-73.99167","2","33","9","3002698","3002710017","Brooklyn Heights-Cobble Hill                                               "
