"project_name","project_received_date","project_id_number_op","project_description_type","impacted_park_id_s","impacted_park_name_s","address_intersection","borough","multisite_project","sponsoring_agency_entity","primary_scope_of_work","impacted_parks_division_s","park_impact_type","contract_value_op","current_phase","scoping_initiated_kick_off_op","scoping_response_due_date_op","design_consultant_op","public_design_commission_approval_required","preliminary_public_design_commission_approval","final_public_design_commission_approval","mass_mailing_1_received_date","mass_mailing_2_received_date","mass_mailing_3_received_date","design_completion_date_op","construction_manager_op","construction_manager_company_op","construction_kickoff_op","expected_construction_end_date_op","actual_construction_end_date_op","contractor_for_construction_permit_firm_name","construction_permit_request_received_date","construction_permit_id","latest_site_visit","forestry_permit_status","forestry_permit_id_number","construction_permit_special_conditions","borough_approval_date","permit_issuance_date","permit_start_date","original_permit_expiration_date","latest_permit_extension_amendment_request_date","latest_permit_extension_amendment_issuance_date","latest_permit_expiration_date","permit_amendment_content","exploratory_permit_id","substantial_completion_date_op","final_inspection_date","latest_inspection_site_visit","punchlist_generated","conditional_letter_issued","final_acceptance_of_park_by_borough","final_acceptance_letter_date","created","modified","coordinates"
"Filling of Five Bridges over Abandoned CSX Line in Melrose, Bronx","2018-09-25T00:00:00.000","HBX163","Project to fill-in bridges passing over an abandoned sub-grade freight train line in the Melrose neighborhood of the Bronx. Potential work area and staging area on parks property. Potential tree impacts.","XZ79;X052;X053;","GREENSTREET;Triangle;O'Neill Triangle;",,"Bronx","Single Site","CDOT","Bridge Reconstruction (Major)","Borough Forestry;#Borough Operations;#Borough Horticulture","Staging;#Partial Park Closure;#Excavation;#Sidewalk Closure;#Total Park Closure","16362738.08","Conditional-Accepted (Subst. Compl.)",,,,,,,,,,,"EIC",,"2018-11-29T00:00:00.000","2021-01-05T00:00:00.000","2020-05-04T00:00:00.000","Perfetto Contracting Co. Inc.","2019-01-14T00:00:00.000","X053.20190211",,"Approved","BX-105","i.	Contractor to restore/replace the full extent of decorative pavers within the plaza, to result in no mismatch between existing and replacement pavers.
ii.	Contractor to restore/replace any damaged benches with matching benches that meet Parks details, specifications, and standards – Bench, Type ‘B’ w/ Wood Slats.","2019-04-12T00:00:00.000",,"2019-04-15T00:00:00.000","2020-06-30T00:00:00.000",,,,,,,,"2020-05-08T00:00:00.000","2020-05-04T00:00:00.000","2020-05-18T00:00:00.000",,,"2018-12-07T13:22:00.000","2021-05-04T11:16:00.000","40.823690, -73.911201"
"Red flag repairs at the Passerelle bridge","2021-03-08T00:00:00.000","LGA-124.431 WO14A","Red flag repairs at the Passerelle bridge","Q099;","Flushing Meadows Corona Park;","Passerelle Bridge","Queens","Single Site","PANYNJ","Bridge Component Rehabilitation","Borough Operations;#Capital Projects;#Legal/MOUs;#Planning and Parklands","Park Improvement;#Access-Only",,"Permitting",,,,,,,,,,,,,,,,"The Morganti Group. Inc.","2021-05-03T00:00:00.000","Q099.20210503",,,,,,,,,,,,,,,,,,,,,"2021-05-03T16:02:00.000","2021-05-03T16:54:00.000","40.753287, -73.844672"
"Rehabilitation of East 169th Street, East 175th Street, and East 180th Street Bridges Over Metro North Railroad","2016-04-08T00:00:00.000","HBX1670; HBX1215; HBX180","Rehabilitation of three bridges. No parkland.",,,,"Bronx","Single Site","CDOT","Bridge Component Rehabilitation",,"No Parkland Impact",,"Construction",,,,,,,,"2017-12-12T00:00:00.000","2018-07-12T00:00:00.000",,,,,,,"Beaver Concrete Construction Co., Inc.",,,,,,,,,,,,,,,,,,,,,,,"2021-05-03T12:27:00.000","2021-05-03T12:31:00.000",
"Mobility Improvement on Northbound Bruckner Expressway","2015-08-19T00:00:00.000","X731.27","Reconfiguration of expressway and parkway interchange ramps to improve traffic flow, NYSDOT running project partially on behalf of NY Thruway Authority, who asserts rights to interchange. Scope will include landscape, natural area restoration, improved bike/ped facility, and removal and restoration of grove associated with the Bronx Victory Memorial. 

Permanent easements will be acquired through Eminent Domain Procedure and Highway Law, technically reducing parkland by est 2.67 acres. In reality, no effective loss of parkland is anticipated.","X039;X101;","Pelham Bay Park;Hutchinson River Parkway;","Bruckner Expressway & Pelham Parkway","Bronx","Multi Site","SDOT","Parkway/Arterial Improvement","Borough Operations;#Borough Forestry;#Central Forestry;#Landmarks/Preservation;#Arts & Antiquities;#Natural Resources Group (NRG);#Planning and Parklands;#Capital Projects;#Legal/MOUs;#CDOT Arterial Maintenance","Staging;#Excavation;#Partial Park Closure;#Park Improvement;#Other;#Loss of Property","37000000","Permitting",,,,"No",,,"2020-09-17T00:00:00.000","2021-01-26T00:00:00.000","2021-04-22T00:00:00.000",,,,,"2023-12-19T00:00:00.000",,,,"XG.20210426","2020-02-28T00:00:00.000","Not Received",,,,,"2021-10-18T00:00:00.000","2023-10-17T00:00:00.000",,,,,"XG.E.20190507; XG.E.20200724",,,,,,,,"2016-11-29T09:26:00.000","2021-04-30T14:19:00.000","40.857479, -73.825591"
"Groundwater Sustainability of the Long Island Aquifer System","2019-02-01T00:00:00.000","LK00GHP","Installation of five deep monitoring wells for DEC-funded research to monitor Long Island's saltwater incursion to groundwater, and groundwater presence and quality, and develop a groundwater flow model. Associated with the City's long term contingency plan (circa 2002) to tap the old Jamaica Water Supply as an emergency backup in the event of the failure of the upstate surface-fed system.","Q220C;B247;B057;B058;B052;Q107;B372;Q084;Q131;","Dr. Charles R. Drew Park;Breukelen Ballfields;Marine Park;McCarren Park;Leif Ericson Park;Springfield Park;Friends Field;Grand Central Parkway;Frank Principe Park;",,"Queens;#Brooklyn","Multi Borough","USGS","Resiliency","Borough Operations;#Other;#Borough Forestry","Excavation;#Other;#Partial Park Closure",,"Construction",,,,"No",,,,,,,,,,,,"Delta Well & Pump Co","2020-08-28T00:00:00.000","CNYG.20200828","2021-04-28T00:00:00.000","Approved","QP21-060; QP21-061","i.	McCarren Park: Work within this park, including setup of work area, may not begin until November 1, 2020
ii. Leif Ericson Park: Work within this park, including setup of work area, may not begin until 2020 Outdoor Classroom use has ended, no earlier than December 1, 2020.
iii.	Restoration: All permitted premises contain passive lawns to be restored to the standard of the included modified “Seed New Lawn” standard specification of NYC Parks, or better.","2020-12-03T00:00:00.000",,"2020-09-14T00:00:00.000","2021-02-26T00:00:00.000","2021-03-25T00:00:00.000","2021-04-12T00:00:00.000","2021-11-30T00:00:00.000","1) Two sites in two Queens parks – Dr Charles Drew and Springfield Park – are added as diagrammed in the following pages, annexed to Attachment A 2) Leif Ericson removed; two more Queens sites added: Principe & GCP. 3)",,,,,,,,,"2019-02-01T13:06:00.000","2021-04-28T09:57:00.000","40.719018, -73.951823"
"PS 26Q Exploratory Borings","2020-12-04T00:00:00.000",,"Exploratory borings (different contractor than original permit issued)","Q221;","Farm Playground;",,"Queens","Single Site","SCA","Public Building","Borough Operations;#Borough Forestry","Staging",,"Construction",,,,,,,,,,,,,,,,"Municipal Testing Laboratory, Inc","2020-12-04T00:00:00.000",,,,,,,,,,"2020-12-04T00:00:00.000","2021-04-28T00:00:00.000","2021-05-28T00:00:00.000",,"Q221.E.20201229",,,,,,,,"2021-04-28T09:38:00.000","2021-05-03T12:32:00.000","40.735643, -73.777609"
"Construction, Installation and Maintenance of Fencing at the Bronx Whitestone Bridge (“BWB”)","2020-04-14T00:00:00.000",,"Construction, Installation and Maintenance of Fencing at the Bronx Whitestone Bridge (“BWB”)","X126;","Ferry Point Park;",,"Bronx","Single Site","MTA B&T","Bridge Component Rehabilitation","Borough Operations;#Planning and Parklands;#Legal/MOUs;#Capital Projects","Staging",,"Construction",,,,,,,,,,,,,,,,,,"X126.20201114","2020-11-17T00:00:00.000",,,,,,,,,"2021-04-27T00:00:00.000",,"Permit activated.",,,,,,,,,"2020-11-23T17:47:00.000","2021-04-28T09:28:00.000",
"PS 26/ Farm Playground School Expansion","2020-10-14T00:00:00.000",,"Access to perform four (4) exploratory borings to facilitate the design of a proposed future school addition","Q221;","Farm Playground;",,"Queens","Single Site","SCA","Public Building","Borough Operations;#Borough Forestry","Other",,"Construction",,,,,,,,,,,,,,,,"STV Incorporated",,"Q221.20191104",,,,,,,"2020-11-05T00:00:00.000","2020-12-04T00:00:00.000",,,,,,,,,,,,,"2020-11-05T10:37:00.000","2021-04-28T09:16:00.000","40.735831, -73.777732"
"Riverside Drive Viaduct over West 158th Street","2016-12-14T00:00:00.000","HBM1165","Bridge rehabilitation project to rehab the Riverside Drive Viaduct from West 153rd Street to West 161st Street in Manhattan.","M140;","Recreational Area;",,"Manhattan","Single Site","CDOT","Bridge Component Rehabilitation","Borough Operations;#Conservancy","Staging;#Other;#Park Improvement",,"Construction",,,,,,,,,,,"RE","Parsons",,,,"Judlau Contracting",,"M140.20190510","2019-04-22T00:00:00.000","Approved","WSU13MF19","Permittee shall perform the asphalt paving at Riverside Park’s 135th Street headquarters at the start of the permitted period.","2019-04-18T00:00:00.000",,"2019-07-31T00:00:00.000","2021-07-31T00:00:00.000","2021-04-16T00:00:00.000",,,,,,,,,,,,"2018-12-07T11:58:00.000","2021-04-27T16:22:00.000","40.831259, -73.951598"
"Painters Playground C/S Gas Upgrade","2021-02-23T00:00:00.000",,"Access and minor excavation to facilitate the upgrade of existing utilities
servicing the comfort station","Q306;","The Painter's Playground;",,"Queens","Single Site","National Grid",,"Borough Operations;#Borough Forestry","Excavation",,"Construction",,,,,,,,,,,,,,,,"The Hallen Construction Co Inc","2021-02-23T00:00:00.000","Q306.20210427",,"Approved","QP21-028",,,,,,,,,,,,,,,,,,"2021-04-27T10:29:00.000","2021-05-03T12:32:00.000","40.720553, -73.859594"
