"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Immigration Services,Immigrant Support Services","Legal Services","Sanctuary for Families, Inc. (Manhattan) ","Manhattan,Bronx,Queens,Staten Island, Brooklyn","Sanctuary for Families, Inc.","212.349.6009           ext. 264","All Ages",,,,,,,,,,
"Immigration Services,Immigrant Support Services","Legal Services","Family Justice Centers in Queens and Brooklyn ","Manhattan,Bronx,Queens,Staten Island, Brooklyn","Sanctuary for Families, Inc.","212.349.6009           ext. 264","All Ages",,,,,,,,,,
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Safe Horizon - Immigration Law Project","Manhattan,Bronx,Queens,Staten Island, Brooklyn","Safe Horizon, Inc.",,"All Ages",,,,,,,,,,
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Mercy Center","Bronx","New York Legal Assistance Group (NYLAG)","212-613-5000","All Ages","377 145th St
Bronx, NEW YORK 10454
(40.813855830175, -73.92035529273)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Shorefront Y                                                                                                                                                                                                                                                   ","Brooklyn","New York Legal Assistance Group (NYLAG)","212.613.5000","Adult","3300 Coney Island Av
Brooklyn, NEW YORK 11235
(40.575793969704, -73.959507450797)","11235","40.575607","-73.959463","13","48","36002","3326880","3086930001","Brighton Beach                                                             "
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Safe Space - Family Resource Center (Jamaica)","Queens","Safe Space","718.785.9062","All Ages","90 25 161st Street
Queens, NEW YORK 11432
(40.71311535449, -73.792820999789)","11432","40.705199","-73.799253","12","24","44601","4442231","4097600001","Jamaica                                                                    "
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Queens Community House","Queens","The Legal Aid Society","212-577-3292 ","All Ages","108 25 62nd Drive
Queens, NEW YORK 11375
(40.72070726303, -73.846284296083)","11375","40.73591","-73.850212","6","29","745","4432108","4021590002","Forest Hills                                                               "
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Big Brothers/Big Sisters, Inc. (Activity Site)","Jamaica","Big Brothers/Big Sisters, Inc.","212.994.7742","14-Nov","89 56 162nd Street
Jamaica, NEW YORK 11432
(40.71311535449, -73.792820999789)","11432","40.705395","-73.798368","12","24","44601","4208872","4097600074","Jamaica                                                                    "
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Alianza Dominicana, Inc. (Admin & Activity site)","Bronx","Alianza Dominicana, Inc.","212.740.1960","18+","1257 Ogden Avenue
Bronx, NEW YORK 10452
(40.839270545805, -73.925788279798)","10452","40.839378","-73.925714","4","16","201","2003519","2025290081","Highbridge                                                                 "
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Shorefront YM-YWHA                                                                                                                                                                                                                                                   ","Brooklyn","New York Legal Assistance Group (NYLAG)","718-646-1444","All Ages","3300 Coney Island Av
Brooklyn, NEW YORK 11235
(40.575793969704, -73.959507450797)","11235","40.575607","-73.959463","13","48","36002","3326880","3086930001","Brighton Beach                                                             "
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Jewish Board of Family and Children Services (JBFCS)-Genesis","Manhattan","New York Legal Assistance Group (NYLAG)","212.613.5098","Adult","594 Manhattan
NEW YORK,  10018
(40.756840774582, -73.996691499813)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Domestic Violence Program","CONNECT","Manhattan","Safe Space","212.206.3440 ext. 237","All Ages","3 29th Street
Manhattan, NEW YORK 10001
(40.745522716048, -73.987242979944)",,,,,,,,,
"Immigration Services,Immigrant Support Services,NDA Programs","NDA Immigrants","F.E.G.S. Brooklyn Resource Center [Program site]","Brooklyn","Federation of Employment and Guidance Services, Inc.","718-336-2836x330 ","Adult","938 Kings Highway
Brooklyn, NEW YORK 11233
(40.607008519866, -73.962821012237)","11223","40.607066","-73.962714","15","44","418","3177634","3066660112","Homecrest                                                                  "
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Queens Jewish Community Council","Forest Hills","New York Legal Assistance Group (NYLAG)","212-613-5000","All Ages","119 45 Union Turnpike Forest Hills
NEW YORK,  11375
(40.72070726303, -73.846284296083)","11375","40.713909","-73.832351","6","29","76902","4312087","4033477501","Forest Hills                                                               "
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","St. George's Episcopal Church","Queens","Flushing Jewish Community Council","718.463.0434","ESOL/Civics","135 33 38th Avenue
Queens, NEW YORK 11354
(40.768620220647, -73.827190280707)","11354","40.760412","-73.83191","7","20","871","4457326","4049740049","Flushing                                                                   "
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Homecrest Community Services, Inc.","Brooklyn","Shorefront Jewish Community Council","718.743.0575","Adult","1413 Avenue
Brooklyn, NEW YORK 11229
(40.601233507321, -73.944368541175)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Big Brothers/Big Sisters, Inc. (Admin Site)","Manhattan","Big Brothers/Big Sisters, Inc.","212.994.7742","14-Nov","223 30th Street
Manhattan, NEW YORK 10033
(40.856219929206, -73.945859000193)",,,,,,,,,
"Immigration Services,Immigrant Support Services,NDA Programs","NDA Immigrants","Make the Road New York","Brooklyn","Make the Road New York","718-418-7690 X 205","Adult","391 Grove Street
Brooklyn, NEW YORK 11237
(40.700819092814, -73.913330754504)","11237","40.700955","-73.913163","4","37","441","3075982","3033200001","Bushwick North                                                             "
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Asian Americans for Equality - Queens","Queens","Asian Americans for Equality - Queens","718.961.0888 or 212.979.8381","Adult","133 04 39th Avenue
Queens, NEW YORK 11354
(40.768620220647, -73.827190280707)","11354","40.75909","-73.834194","7","20","871","4112274","4049730006","Flushing                                                                   "
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Sanctuary for Families","Manhattan","Sanctuary for Families","212.349.6009          ","All Ages","1406 Wall Street Station
Manhattan, NEW YORK 10268
(40.705453000256, -74.006956000119)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Catholic Charities Community Service, Archdiocese of N Y","Manhattan","Catholic Charities Community Service, Archdiocese of N Y","212-419-3700","All Ages","1011 First Avenue
Manhattan, NEW YORK 10022
(40.757278332489, -73.963713878292)","10022","40.757271","-73.963692","6","5","108","1039972","1013480023","Turtle Bay-East Midtown                                                    "
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Brooklyn Neighborhood Office, Legal Aid Society ","Brooklyn","The Legal Aid Society","718.422.2765","Adult","111 Livingston St
Brooklyn, NEW YORK 11201
(40.691096875731, -73.989553220657)","11201","40.691144","-73.98981","2","33","9","3002555","3002660001","Brooklyn Heights-Cobble Hill                                               "
