DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Community Board,Council District,BIN,BBL,NTA,Census Tract,Detail,Longitude,Latitude,Location
2105981-DCA,Business,03/31/2023,Active,05/12/2022,Garage,SUTTON PLACE SOUTH GARAGE LLC,,50,SUTTON PL S,,NEW YORK,NY,10022,6465840409,Manhattan,1,106,04,1040353,1013660025,,,"Vehicle Spaces: 76, Bicycle Spaces: 8",-73.96189483095708,40.75573056859499,"(40.75573056859499, -73.96189483095708)"
2105934-DCA,Business,03/31/2023,Active,05/11/2022,Garage and Parking Lot,157E57 CORP,,155,E 57TH ST,,NEW YORK,NY,10022,7189049500,Manhattan,1,106,04,1036912,1013120033,,,"Vehicle Spaces: 83, Bicycle Spaces: 8",-73.96858444108206,40.760706064407586,"(40.760706064407586, -73.96858444108206)"
2106166-DCA,Business,03/31/2023,Active,05/19/2022,Garage,REALPRO PARKING LLC,,330,E 39TH ST,,NEW YORK,NY,10016,2126869800,Manhattan,1,106,04,1021923,1009440010,,,"Vehicle Spaces: 208, Bicycle Spaces: 20",-73.97235853623522,40.74738677841604,"(40.74738677841604, -73.97235853623522)"
2093859-DCA,Business,03/31/2023,Active,01/23/2020,Garage and Parking Lot,WOC 24TH STREET GARAGE COMPANY LLC,,150,E 24TH ST,,NEW YORK,NY,10010,5165655600,Manhattan,1,106,02,1088467,1008790052,,,"Vehicle Spaces: 63, Bicycle Spaces: 6",-73.98383340036676,40.73997813508966,"(40.73997813508966, -73.98383340036676)"
2097128-DCA,Business,03/31/2023,Active,12/04/2020,Garage,146-154 THIRD AVENUE PARKING CORP,,146,3RD AVE,,NEW YORK,NY,10003,2127367171,Manhattan,1,106,02,1017803,1008710039,,,"Vehicle Spaces: 55, Bicycle Spaces: 6",-73.98658434453847,40.73412393080372,"(40.73412393080372, -73.98658434453847)"
2059499-DCA,Business,03/31/2023,Active,10/17/2017,Garage,LKDG ASSOCIATES,BLDG MANGEMENT CO,412,E 55TH ST,,NEW YORK,NY,10022,2126244300,Manhattan,1,106,04,1040354,1013660039,MN19,10601,"Vehicle Spaces: 20, Bicycle Spaces: 0",-73.9633452620549,40.756776787264606,"(40.756776787264606, -73.9633452620549)"
2106439-DCA,Business,03/31/2023,Active,06/01/2022,Garage,BK PARKING GROUP INC,,351,E 51ST ST,,NEW YORK,NY,10022,9173277488,Manhattan,1,106,04,1039660,1013447502,,,"Vehicle Spaces: 15, Bicycle Spaces: 0",-73.96620143728376,40.75472733570692,"(40.75472733570692, -73.96620143728376)"
2082739-DCA,Business,03/31/2023,Active,03/01/2019,Garage,EAST 44TH STREET GARAGE LLC,,212,E 44TH ST,,NEW YORK,NY,10017,6465840409,Manhattan,1,106,04,1000000,1013170009,MN19,88,"Vehicle Spaces: 230, Bicycle Spaces: 20",-73.97298109172517,40.751836162585,"(40.751836162585, -73.97298109172517)"
2096602-DCA,Business,03/31/2023,Active,10/07/2020,Garage,SP PLUS CORPORATION,,301,E 57TH ST,,NEW YORK,NY,10022,2126954568,Manhattan,1,106,05,1039997,1013500001,,,"Vehicle Spaces: 328, Bicycle Spaces: 21",-73.9651703818044,40.75926409225619,"(40.75926409225619, -73.9651703818044)"
2099667-DCA,Business,03/31/2023,Active,06/24/2021,Garage,333 EAST 46TH PARKING CORP,,333,E 46TH ST,,NEW YORK,NY,10017,2127367171,Manhattan,1,106,04,1038901,1013390012,,,"Vehicle Spaces: 34, Bicycle Spaces: 0",-73.96944033271159,40.75200270720228,"(40.75200270720228, -73.96944033271159)"
