"manhattan_cooperatives_comparable_properties_boro_block_lot","manhattan_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","manhattan_cooperatives_comparable_properties_neighborhood","manhattan_cooperatives_comparable_properties_building_classification","manhattan_cooperatives_comparable_properties_total_units","manhattan_cooperatives_comparable_properties_year_built","manhattan_cooperatives_comparable_properties_gross_sqft","manhattan_cooperatives_comparable_properties_est_gross_income","manhattan_cooperatives_comparable_properties_gross_income_per_sqft","manhattan_cooperatives_comparable_properties_full_market_value","manhattan_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"1-00940-0047","324 35 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"KIPS BAY","D4-ELEVATOR","24","1910","13375","506110","37.8","2540000","190","1-00771-0001","216 8 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","CHELSEA","D7-ELEVATOR","39","1910","32325","1241000","38.4","6240000","193","1.2","1-00844-0008","9 16 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","FLATIRON","D6-ELEVATOR","16","1900","30680","1145000","37.3","5760000","188","1.05"
"1-01535-0005","203 89 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","C6-WALK-UP","20","1920","9215","340955","37","1710000","186","1-01527-0013","227 81 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","C7-WALK-UP","15","1910","10110","425734","42.1","2140000","212","0.4","1-01530-0036","224 85 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","C4-WALK-UP","20","1910","9820","319000","32.5","1550000","158","0.25"
"1-02090-0019","619 143 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"HARLEM-UPPER","C6-WALK-UP","20","1926","17420","161135","9.25","455000","26.1","1-02099-0022","615 152 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-UPPER","C1-WALK-UP","20","1928","17110","165783","9.69","560000","32.7","0.45","1-02066-0019","480 CONVENT AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-UPPER","C4-WALK-UP","16","1926","15165","123887","8.17","380000","25.1","0.5"
"1-00442-0021","49 1 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"EAST VILLAGE","C6-WALK-UP","14","1920","14897","327734","22","1460000","98","1-00387-0157","619 5 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","ALPHABET CITY","C1-WALK-UP","30","1900","25200","573402","22.75","2560000","102","0.4","1-00440-0028","440 13 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","EAST VILLAGE","C1-WALK-UP","20","1900","9135","187500","20.53","838000","92","0.6"
"1-01238-0010","255 90 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","D4-ELEVATOR","43","1920","96627","1867799","19.33","8350000","86","1-01226-0040","110 96 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","60","1926","81030","1566709","19.33","7000000","86","0.35","1-01216-0051","144 86 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","66","1929","96546","2114068","21.9","9450000","98","0.35"
"1-01413-0027","167 78 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","D4-ELEVATOR","39","1928","55883","1769814","31.7","8570000","153","1-00615-0036","87 GREENWICH AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-WEST","D6-ELEVATOR","81","1930","64840","2053272","31.7","9950000","153","3.4","1-01392-0047","50 78 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","48","1936","52356","2164781","41.3","10900000","208","0.2"
"1-01363-0037","424 52 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"MIDTOWN EAST","D4-ELEVATOR","81","1930","88181","2469068","28","12000000","136","1-01517-0020","1327 LEXINGTON AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","97","1927","87192","2385489","27.4","11600000","133","1.9","1-01517-0050","1329 LEXINGTON AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","98","1929","80351","2445485","30.4","11800000","147","1.9"
"1-00888-0037","165 32 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"MURRAY HILL","D4-ELEVATOR","141","1964","133749","4507341","33.7","21800000","163","1-00896-0048","135 3 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","GRAMERCY","D6-ELEVATOR","221","1962","158505","4663641","29.4","22600000","143","0.85","1-00928-0040","320 23 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","KIPS BAY","D6-ELEVATOR","213","1965","153800","5841765","38","29400000","191","0.55"
"1-01564-0035","430 85 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","C6-WALK-UP","20","1910","8145","274079","33.6","1330000","163","1-00615-0094","269 12 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-WEST","C1-WALK-UP","30","1910","15708","581737","37","2930000","187","3.8","1-01436-0037","340 62 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","C4-WALK-UP","24","1910","12108","504430","41.7","2540000","210","1.15"
"1-01374-0001","781 5 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10022","40.764454","-73.972871","8","4","11401","1040751","1013740001","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (59-79)","D4-ELEVATOR","171","1928","316519","16487474","52","82900000","262","1-01380-0052","771 MADISON AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","41","1929","114380","6878053","60","34600000","303","0.3","1-01424-0001","201 69 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","309","1927","316500","13938201","44","70100000","221","0.65"
