"facilitypk","facilityname","facility_type","service_category","service_type","buildingnumber","address","address2","borough","zipcode","latitude","longitude","phone","communityboard","councildistrict","censustract","bin","bbl","nta","additionalinfo","startdate","enddate","monday","tuesday","wednesday","thursday","friday","saturday","sunday","condoms_male","fc2_female_insertive_condoms","lubricant","website","partnertype","partnertypedetailed"
"12160","Albatross Bar",,,,,"36-19 24th Ave",,,"11103","40.7702312","-73.9124798",,,,,,,,"Bar",,,,,,,,,,,,,,,
"706858","Brooklyn Community Pride Center",,,,,"4 MetroTech Roadway",,"Brooklyn","0","0","0",,,,,,"3",,"You can find free safer sex products inside a fishbowl located near the entrance of the Community Center. These free safer sex products are supplied by the <a href=http://www.facebook.com/NYCcondom>NYC Condom Availability Program</a>.",,,,,,,,,,,,,,,
"225626","Brooklyn Community Pride Center",,,,,"4 MetroTech Roadway",,"Brooklyn","0","0","0",,,,,,"3",,"You can find free safer sex products inside a fishbowl located near the entrance of the Community Center. These free safer sex products are supplied by the <a href=http://www.facebook.com/NYCcondom>NYC Condom Availability Program</a>.",,,,,,,,,,,,,,,
"9777841","Alibi Lounge",,,,,"2376 Adam Clayton Powell Jr Boulevard",,"Manhattan","0","0","0",,,,,,"1",,"You can find free safer sex products inside a fishbowl located in the back of the Bar/Lounge/Event Space. These free safer sex products are supplied by the <a href=http://www.facebook.com/NYCcondom>NYC Condom Availability Program</a>.",,,,,,,,,,"Yes","No","No",,,
"9675286","Rainbow 88",,,,,"329 Bowery",,"Manhattan","10003","40.725864133721","-73.991968894565",,"103","02","003602","1006544","1004580003","MN22","You can find free safer sex products inside a fishbowl located in the front  of the Men's Spa. These free safer sex products are supplied by the <a href=http://www.facebook.com/NYCcondom>NYC Condom Availability Program</a>.",,,,,,,,,,"Yes","No","No",,,
"1908212","Open House",,,,,"244 E Houston Street",,"Manhattan","10002","40.722051043248","-73.985706463483",,"103","02","003002","1075675","1003970065","MN22","You can find free safer sex products inside a fishbowl located inside of the Bar/Lounge/Event Space. These free safer sex products are supplied by the <a href=http://www.facebook.com/NYCcondom>NYC Condom Availability Program</a>.",,,,,,,,,,,,,,,
"12182","Betances Health Center (Waiting Room)",,,,,"280 Henry St",,,"10003","40.7136702","-73.9837398",,,,,,,,"Health Center",,,,,,,,,,,,,,,
"225732","Jamaica YMCA",,,,,"89-25 Parsons Blvd",,"Queens","11432","40.705463603786","-73.801469567739",,"412","24","044601","4208858","4097580001","QN61","You can find free safer sex products inside a dispenser located 4th fl of the YMCA/JCC. These free safer sex products are supplied by the <a href=http://www.facebook.com/NYCcondom>NYC Condom Availability Program</a>.",,,,,,,,,,,,,,,
"419027","Nortena Express",,,,,"507 Coney Island Avenue",,"Brooklyn","11218","40.645430519536","-73.970566627423",,"314","40","152200","3117426","3051120029","BK42","You can find free safer sex products inside a fishbowl located in the front of the Car Service. These free safer sex products are supplied by the <a href=http://www.facebook.com/NYCcondom>NYC Condom Availability Program</a>.",,,,,,,,,,,,,,,
"4324275","Alibi Lounge",,,,,"2376 Adam Clayton Powell Jr Boulevard",,"Manhattan","0","0","0",,,,,,"1",,"You can find free safer sex products inside a fishbowl located in the back of the Bar/Lounge/Event Space. These free safer sex products are supplied by the <a href=http://www.facebook.com/NYCcondom>NYC Condom Availability Program</a>.",,,,,,,,,,"Yes","No","No",,,
"332376","Marquee",,,,,"289 10th Avenue",,"Manhattan","10001","40.749919495144","-74.002551684523",,"104","03","009900","1012393","1006980037","MN13","You can find free safer sex products inside a fishbowl located inside of the Night Club. These free safer sex products are supplied by the <a href=http://www.facebook.com/NYCcondom>NYC Condom Availability Program</a>.",,,,,,,,,,,,,,,
"7889221","Rainbow 88",,,,,"329 Bowery",,"Manhattan","10003","40.725864133721","-73.991968894565",,"103","02","003602","1006544","1004580003","MN22","You can find free safer sex products inside a fishbowl located in the front  of the Men's Spa. These free safer sex products are supplied by the <a href=http://www.facebook.com/NYCcondom>NYC Condom Availability Program</a>.",,,,,,,,,,"Yes","No","No",,,
