"bic_number","account_name","trade_name","application_type","application_industry","application_status","application_status_date","street","city","state","postcode","renewal_application","export_date","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"BIC-238","QUEENSBRIDGE SANITATION CORP.","QUEENSBRIDGE SANITATION CORP.","License","Trade Waste","Denied","1997-12-19T00:00:00.000","38 26 TENTH STREET","L.I.C.","NY","11101","False","2022-08-29T00:00:00.000","QUEENS","40.758328","-73.94278","1","26","85","4436841","4004750045","Queensbridge-Ravenswood-Long Island City"
"BIC-2504","C.P.Q FREIGHT SYSTEMS, INC.","C.P.Q FREIGHT SYSTEMS, INC.","CL2 - Exempt","Trade Waste","Denied","2009-04-14T00:00:00.000","58 JACOBUS AVENUE","SOUTH KEARNY","NJ","07032-","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-82","LITOD PAPER STOCK CORP.","LITOD PAPER STOCK CORP.","License","Trade Waste","Denied","1997-06-06T00:00:00.000","1645 81 STREET","BROOKLYN","NY","11214","False","2022-08-29T00:00:00.000","BROOKLYN","40.612232","-74.003213","11","43","182","3163264","3062830077","Bensonhurst West"
"BIC-3277","MARKY O.G.  LLC","MARKY O.G.  LLC","CL2 - Exempt","Trade Waste","Denied","2013-01-14T00:00:00.000","119 SMITHTOWN RD","HACKETTSTOWN","NJ","07840-","True","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-488529","RED STAR TRADING INC.",,"CL2 - Exempt","Trade Waste","Denied","2018-02-20T00:00:00.000","5603 COOPER AVENUE","RIDGEWOOD","NY","11385","False","2022-08-29T00:00:00.000","QUEENS","40.692959","-73.902001","5","34","559","4437775","4035420070","Ridgewood"
"BIC-492563","GRAND STREET LLC","GRAND STREET OF NYC LLC","CL2 - Exempt","Trade Waste","Denied","2019-03-20T00:00:00.000","259 W. BROADWAY","PATERSON","NJ","07522","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-2776","EMPIRE STATE RUBBISH REMOVAL LLC","1-800-GOT-JUNK ?","License","Trade Waste","Denied","2012-02-07T00:00:00.000","320 EAST 42ND STREET","NEW YORK","NY","10017-","True","2022-08-29T00:00:00.000","MANHATTAN","40.74955","-73.971571","6","4","88","1038656","1013340041","Turtle Bay-East Midtown"
"BIC-3611","F & M LANDSCAPING OF NY CORP.",,"CL1","Trade Waste","Denied","2015-03-06T00:00:00.000","42 Clinton Ave","Inwood","NY","11096-2312","True","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-3411","SUMMIT DEVELOPMENT CORPORATION","SUMMIT WATERPROOFING & RESTORATION CO.","CL2 - Exempt","Trade Waste","Denied","2012-06-05T00:00:00.000","13-15 37TH AVENUE","LONG ISLAND CITY","NY","11101-","False","2022-08-29T00:00:00.000","QUEENS","40.759108","-73.938957","1","26","43","4004287","4003500036","Queensbridge-Ravenswood-Long Island City"
"BIC-120","C & A ENVIRONMENTAL CORP.","C & A ENVIRONMENTAL CORP.","License","Trade Waste","Denied","2000-05-19T00:00:00.000","380 SALEM ROAD","VALLEY STREAM","NY","11580","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-2519","T.S. HAULERS, INC.","T.S. HAULERS, INC.","CL2 - Exempt","Trade Waste","Denied","2009-04-14T00:00:00.000","P.O. BOX 263","CALVERTON","NY","11933-","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-1693","NEW YORK CONTAINERS, INC.","NEW YORK CONTAINERS, INC.","License","Trade Waste","Denied","2009-04-14T00:00:00.000","PO BOX 570612","WHITESTONE","NY","11357-","True","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-2614","N.E.S BUILDERS INC.","N.E.S BUILDERS INC.","CL2 - Exempt","Trade Waste","Denied","2009-04-14T00:00:00.000","95 JOAN DRIVE","YONKERS","NY","10465-","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-483559","HARRY'S DESIGN INC.","DELTA DEMO OF NEW YORK","License","Trade Waste","Denied","2015-11-09T00:00:00.000","381 MARGUERITE AVENUE","FLORAL PARK","NY","11001","False","2022-08-29T00:00:00.000",,,,,,,,,
"HPA-48","DUTCHIE ENTERPRISES LLC","ADJ WHOLESALE PRODUCE","Public Wholesale Market","Markets","Denied","2012-02-07T00:00:00.000","1271 RYAWA AVE","BRONX","NY","10474","False","2022-08-29T00:00:00.000","BRONX","40.804756","-73.885326","2","17","93","2088214","2027770173","Hunts Point"
"BIC-2934","HARMAN CONTRACTING INC.","HARMAN CONTRACTING INC.","CL2 - Exempt","Trade Waste","Denied","2009-04-14T00:00:00.000","701 OCEAN VIEW AVENUE","BROOKLYN","NY","11235-","False","2022-08-29T00:00:00.000","BROOKLYN","40.579785","-73.961221","13","48","364","3244485","3086670725","Brighton Beach"
"BIC-2338","DC  DEMOLITION, INC.","DC  DEMOLITION, INC.","CL2 - Exempt","Trade Waste","Denied","2008-01-29T00:00:00.000","1319 70TH STREET","BROOKLYN","NY","11228-","False","2022-08-29T00:00:00.000","BROOKLYN","40.62278","-74.003858","10","43","196","3156530","3061560070","Dyker Heights"
"BIC-2002","ACA WASTE SERVICES INC.","ACA WASTE SERVICES INC.","CL2 - Exempt","Trade Waste","Denied","2005-09-29T00:00:00.000","40 EAD STREET","WEST BABYLON","NY","11704-","False","2022-08-29T00:00:00.000",,,,,,,,,
"BIC-4446","SALIKEGNE EXPRESS INC.",,"License","Trade Waste","Denied","2016-06-22T00:00:00.000","701 JEFFERSON AVE  SUITE #2","BROOKLYN","NY","11221","True","2022-08-29T00:00:00.000","BROOKLYN","40.68556","-73.930335","3","36","295","3391499","3016510150","Stuyvesant Heights"
"BIC-583","VARDO CONSTRUCTION CORP.","VARDO CONSTRUCTION CORP.","CL2 - Exempt","Trade Waste","Denied","2005-02-10T00:00:00.000","18-50 STEINWAY STREET","ASTORIA","NY","11105","False","2022-08-29T00:00:00.000","QUEENS","40.779217","-73.8983","1","22","12301","4447002","4008130065","Steinway"
