"appeal_type","appeal_subtype","agency","status","date_filed","date_closed","exam_no","title","expiration","extension","acronym"
"Waiting for DQ",,"Police Department - NYPD","Open","2017-12-29T00:00:00.000",,,,,,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2017-12-29T00:00:00.000",,"4316","Police Officer","2020-08-24T00:00:00.000",,"NYPD"
"Section 50","Score","Department of Citywide Administrative Services - DCAS","Open","2017-12-28T00:00:00.000",,"6508","Child Protective Specialist Supervisor","2021-07-26T00:00:00.000",,"DCAS"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Open","2017-12-28T00:00:00.000",,"6012","Auto Mechanic","2021-09-06T00:00:00.000",,"DCAS"
"Section 50","Character","Police Department - NYPD","Open","2017-12-28T00:00:00.000",,"5329","Police Officer","2021-07-07T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2017-12-28T00:00:00.000",,"4323","Police Officer","2020-08-26T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Open","2017-12-27T00:00:00.000",,"6323","School Safety Agent","2021-04-05T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Open","2017-12-27T00:00:00.000",,"6329","Traffic Enforcement Agent","2020-10-21T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2017-12-27T00:00:00.000",,"4323","Police Officer","2020-08-26T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2017-12-27T00:00:00.000",,"140","Police Officer","2019-03-02T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2017-12-26T00:00:00.000",,"5310","Police Officer","2021-03-06T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2017-12-26T00:00:00.000",,"4324","Police Officer","2020-09-14T00:00:00.000",,"NYPD"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Open","2017-12-22T00:00:00.000",,"7002","Computer Associate (Software)",,,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2017-12-22T00:00:00.000",,"8003","Clerical Associate",,,"DCAS"
"Section 50","Score","Department of Citywide Administrative Services - DCAS","Open","2017-12-22T00:00:00.000",,"6067","City Planner","2021-06-21T00:00:00.000",,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2017-12-22T00:00:00.000",,"7003","Computer Associate (Technical Support)",,,"DCAS"
"Other",,"Department of Citywide Administrative Services - DCAS","Closed","2017-12-21T00:00:00.000","2017-12-27T00:00:00.000",,,,,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2017-12-21T00:00:00.000",,"7002","Computer Associate (Software)",,,"DCAS"
"Section 50","Education and Experience","MTA New York City Transit - NYCT","Open","2017-12-21T00:00:00.000",,"6613","Structure Maintainer Group E",,,"NYCT"
"Waiting for Appeal Request",,"Department of Correction - DOC","Open","2017-12-21T00:00:00.000",,,,,,"DOC"
