"appeal_type","appeal_subtype","agency","status","date_filed","date_closed","exam_no","title","expiration","extension","acronym"
"Waiting for Appeal Request",,"Department of Correction - DOC","Open","2018-12-31T00:00:00.000",,,,,,"DOC"
"Section 50","Character","Police Department - NYPD","Open","2018-12-31T00:00:00.000",,"6306","School Safety Agent","2020-10-20T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2018-12-31T00:00:00.000",,"7323","Police Officer","2021-12-13T00:00:00.000",,"NYPD"
"Section 50","Score","Police Department - NYPD","Open","2018-12-31T00:00:00.000",,"7532","Promotion to Lieutenant (Police)","2022-05-16T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Open","2018-12-31T00:00:00.000",,"4310","Police Officer","2019-12-28T00:00:00.000",,"NYPD"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Open","2018-12-31T00:00:00.000",,"8065","Probation Officer",,,"DCAS"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Open","2018-12-31T00:00:00.000",,"9008","Staff Analyst",,,"DCAS"
"Section 50","Unauthorized Substance","Police Department - NYPD","Open","2018-12-29T00:00:00.000",,"5331","Police Communications Technician","2020-09-28T00:00:00.000",,"NYPD"
"Duplicate Filing",,"Civil Service Commission - NYCCSC","Closed","2018-12-27T00:00:00.000",,,,,,"NYCCSC"
"Duplicate Filing",,"Board of Elections in the City of New York - NYCBOE","Closed","2018-12-27T00:00:00.000",,,,,,"NYCBOE"
"Section 50","Character","Police Department - NYPD","Open","2018-12-27T00:00:00.000",,"7323","Police Officer","2021-12-13T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2018-12-26T00:00:00.000",,"7323","Police Officer","2021-12-13T00:00:00.000",,"NYPD"
"Section 50","Character","Department of Correction - DOC","Open","2018-12-26T00:00:00.000",,"6325","Correction Officer","2020-09-21T00:00:00.000",,"DOC"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Open","2018-12-26T00:00:00.000",,"6508","Child Protective Specialist Supervisor (PROM)","2021-07-26T00:00:00.000",,"DCAS"
"Jurisdictional Issue",,"Transit Authority - NYCTA","Closed","2018-12-24T00:00:00.000","2018-12-27T00:00:00.000",,,,,"NYCTA"
"Section 50","Character","Police Department - NYPD","Open","2018-12-23T00:00:00.000",,"7323","Police Officer","2021-12-13T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2018-12-23T00:00:00.000",,"7032","Steam Fitter","2022-12-19T00:00:00.000",,"DCAS"
"Duplicate Filing",,"Board of Elections in the City of New York - NYCBOE","Closed","2018-12-21T00:00:00.000",,,,,,"NYCBOE"
"Other",,"Police Department - NYPD","Closed","2018-12-21T00:00:00.000","2018-12-21T00:00:00.000",,,,,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2018-12-20T00:00:00.000",,"7323","Police Officer","2021-12-13T00:00:00.000",,"NYPD"
"Section 50","Score","Department of Education - DOE","Open","2018-12-20T00:00:00.000",,"7005","Computer Specialist (Software)","2022-05-16T00:00:00.000",,"DOE"
"Section 50","Character","Police Department - NYPD","Open","2018-12-19T00:00:00.000",,"5326","Police Officer","2021-07-06T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2018-12-19T00:00:00.000",,"5300","Police Officer","2021-03-01T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2018-12-19T00:00:00.000",,"5306","Police Officer","2021-03-03T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2018-12-18T00:00:00.000",,"5306","Police Officer","2021-03-03T00:00:00.000",,"NYPD"
"Jurisdictional Issue",,"Transit Authority - NYCTA","Closed","2018-12-18T00:00:00.000","2018-12-24T00:00:00.000",,,,,"NYCTA"
