"license_number","entity_name","telephone_number","shl_endorsed","building","street","city","state","zip","type_of_base","latitude","longitude","date","time","location"
"B00001","LONDON TOWNCARS INC","7187869700","No","40-14","23 STREET","L.I.C","NY","11101","LUXURY/LIMOUSINE","40.754052","-73.940055","2022-08-29T00:00:00.000","18:00:20","
,  
(40.754052, -73.940055)"
"B00009","T-D MAINTENANCE","7184561111","No","127-01","METROPOLITAN AVENUE","KEW GARDENS","NY","11415","LIVERY BASE","40.70681","-73.877681","2022-08-29T00:00:00.000","18:00:20","
,  
(40.70681, -73.877681)"
"B00013","LOVE CORPORATE CAR INC","7184381100","No","41 - 24","38TH STREET","LIC","NY","11101","BLACK CAR BASE","40.638477","-73.983333","2022-08-29T00:00:00.000","18:00:20","
,  
(40.638477, -73.983333)"
"B00014","NY ONE CORP CAR INC","7184387474","No","41-24","38TH STREET","L.I.C.","NY","11101","BLACK CAR BASE","40.638477","-73.983333","2022-08-29T00:00:00.000","18:00:20","
,  
(40.638477, -73.983333)"
"B00021","MEXICANA HIGH CLASS INC.","7185921200","No","49-07","103 STREET","CORONA","NY","11368","LIVERY BASE","40.743837","-73.859877","2022-08-29T00:00:00.000","18:00:20","
,  
(40.743837, -73.859877)"
"B00037","TRANSP UNLIMITED C/S","7183631000","No","1226","NOSTRAND AVENUE","BROOKLYN","NY","11225","LIVERY BASE","40.657261","-73.95051","2022-08-29T00:00:00.000","18:00:20","
,  
(40.657261, -73.95051)"
"B00053","CHARGE AND RIDE INC","7183921824","No","41-24","38 STREET","LIC","NY","11101","BLACK CAR BASE","40.745304","-73.95305","2022-08-29T00:00:00.000","18:00:20","
,  
(40.745304, -73.95305)"
"B00054","128 BLUE BIRD TRANSPORT INC.","7185297748","No","111-05","128 STREET","OZONE PARK","NY","11420","LIVERY BASE","40.683921","-73.813971","2022-08-29T00:00:00.000","18:00:20","
,  
(40.683921, -73.813971)"
"B00056","TRANSIT PRIVATE CAR SERVICE INC.","7186494100","No","1407","ROCKAWAY PARKWAY","BROOKLYN","NY","11236","LIVERY BASE","40.645455","-73.902663","2022-08-29T00:00:00.000","18:00:20","
,  
(40.645455, -73.902663)"
"B00078","R & R ROAD LIMO SVCE INC","7185858500","No","865","EAST  138 STREET","BRONX","NY","10454","LUXURY/LIMOUSINE","40.803251","-73.90843","2022-08-29T00:00:00.000","18:00:20","
,  
(40.803251, -73.90843)"
