"brooklyn_cooperatives_comparable_properties_boro_block_lot","brooklyn_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","brooklyn_cooperatives_comparable_properties_neighborhood","brooklyn_cooperatives_comparable_properties_building_classification","brooklyn_cooperatives_comparable_properties_total_units","brooklyn_cooperatives_comparable_properties_year_built","brooklyn_cooperatives_comparable_properties_gross_sqft","brooklyn_cooperatives_comparable_properties_estimated_gross_income","brooklyn_cooperatives_comparable_properties_gross_income_per_sqft","brooklyn_cooperatives_comparable_properties_estimated_expense","brooklyn_cooperatives_comparable_properties_expense_per_sqft","brooklyn_cooperatives_comparable_properties_net_operating_income","brooklyn_cooperatives_comparable_properties_full_market_value","brooklyn_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_coop_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_coop_in_miles"
"3-02421-0040","239 3 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"WILLIAMSBURG-SOUTH","C6-WALK-UP","24","1907","18720","270878","14.47","112133","5.99","158745","1098000","58.65","3-03080-0005","124 GRAHAM AVENUE
Brooklyn, NY 
(40.705593110168, -73.9428825594)","WILLIAMSBURG-EAST","C7-WALK-UP","18","1931","11000","161626","14.69","74021","6.73","87605","605000","55","0.88","3-02757-0034","601 METROPOLITAN AVENUE
Brooklyn, NY 
(40.714125570518, -73.948938652714)","WILLIAMSBURG-EAST","C1-WALK-UP","20","1920","18061","257246","14.24","94562","5.24","162684","1128000","62.46","0.5",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-01164-0054","254 PARK PLACE
Brooklyn, NY 
(40.676812921022, -73.969498686784)","3","11238","40.676906","-73.969799","8","35","163","3029058","3011640054","Prospect Heights                                                           ","PROSPECT HEIGHTS","C6-WALK-UP","14","1915","15434","295935","19.17","156381","10.13","139554","1001000","64.86","3-01158-0021","180 PROSPECT PLACE
Brooklyn, NY 
(40.678041013696, -73.970843317586)","PROSPECT HEIGHTS","C1-WALK-UP","16","1931","15480","278483","17.99","128173","8.28","150310","1083000","69.96","0.06","3-01158-0037","214 PROSPECT PLACE
Brooklyn, NY 
(40.677771554333, -73.969564283809)","PROSPECT HEIGHTS","C1-WALK-UP","20","1931","34896","539614","15.46","255728","7.33","283886","1946000","55.77","0.06","3-01058-0042","229 ST JOHN'S PLACE
Brooklyn, NY 
(40.675853277909, -73.972519167928)","PARK SLOPE","C1-WALK-UP","19","1910","14,205","283,470","19.96","121,900","8.58","161,570","1,156,000","81.38","0.11"
"3-01189-0064","27 CROWN STREET
Brooklyn, NY 
(40.66750081868, -73.960818069068)","3","11225","40.667489","-73.960871","9","35","213",,,"Crown Heights South                                                        ","CROWN HEIGHTS","D4-ELEVATOR","58","1926","51000","376162","7.38","57138","1.12","319024","1892000","37.1","3-01861-0020","1320 FULTON STREET
Brooklyn, NY 
(40.680279013607, -73.947943916312)","BEDFORD STUYVESANT","D9-ELEVATOR","65","1985","57876","975355","16.85","473682","8.18","501673","3628000","62.69","1.05","3-01395-0024","1004 EASTERN PARKWAY
Brooklyn, NY 
(40.66877358228, -73.935101461863)","CROWN HEIGHTS","D1-ELEVATOR","16","1913","15280","198182","12.97","93361","6.11","104821","699000","45.75","1.32","3-01402-0029","1692 UNION STREET
Brooklyn, NY 
(40.667856966963, -73.93235452377)","CROWN HEIGHTS","D1-ELEVATOR","61","1920","41,055","707,409","17.23","374,638","9.13","332,771","1,770,000","43.11","1.46"
"3-07422-1042","2427 29 STREET
Brooklyn, NY 
(40.575885844477, -73.995416900387)","3",,,,,,,,,,"SHEEPSHEAD BAY","D4-ELEVATOR","169","1955","210028","2952994","14.06","1476497","7.03","1476497","9708000","46.22","3-07433-0013","1230 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","SHEEPSHEAD BAY","D1-ELEVATOR","145","1961","151800","2270561","14.96","1208582","7.96","1061979","7315000","48.19","0.91","3-08815-0042","3022 EMMONS AVENUE
Brooklyn, NY 
(40.583826901545, -73.938072509694)","SHEEPSHEAD BAY","D3-ELEVATOR","134","1972","144750","2329028","16.09","1117470","7.72","1211558","8258000","57.05","0.64",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-01083-0038","86 PROSPECT PARK
Brooklyn, NY 
(40.700601192899, -73.986746247237)","3","11215","40.661354","-73.96968","55","39","177","3000000","3011170001","park-cemetery-etc-Brooklyn                                                 ","PARK SLOPE","C6-WALK-UP","25","1909","29628","566487","19.12","288280","9.73","278207","1996000","67.37","3-01085-0037","94 PROSPECT PARK
Brooklyn, NY 
(40.700601192899, -73.986670164593)","PARK SLOPE","C1-WALK-UP","30","1920","21195","405315","19.12","206226","9.73","199089","1428000","67.37","0.05","3-01085-0068","573 6 STREET
Brooklyn, NY 
(40.667335883416, -73.977179185696)","PARK SLOPE","C1-WALK-UP","16","1920","12664","129484","10.22","74190","5.86","55294","305000","24.08","0.05","3-01081-0001","525 4 STREET
Brooklyn, NY 
(40.668763180016, -73.976608061272)","PARK SLOPE","C1-WALK-UP","14","1920","11,524","295,438","25.64","139,443","12.1","155,995","1,131,000","98.14","0.05"
"3-02007-0001","761 ATLANTIC AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11238","40.68219","-73.969519","2","35","179","3057521","3020080001","Fort Greene                                                                ","FORT GREENE","D4-ELEVATOR","300","1974","252500","3408750","13.5","1540250","6.1","1868500","12469000","49.38","3-01960-0070","464 CLINTON AVENUE
Brooklyn, NY 
(40.684497260879, -73.967136938919)","CLINTON HILL","D1-ELEVATOR","62","1930","47304","706875","14.94","337440","7.13","369435","2545000","53.8","0.18","3-01960-0008","449 VANDERBILT AVENUE
Brooklyn, NY 
(40.684826185607, -73.968149243555)","CLINTON HILL","D1-ELEVATOR","24","1930","36432","393494","10.8","184695","5.07","208799","1293000","35.49","0.18",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-05319-0024","100 OCEAN PARKWAY
Brooklyn, NY 
(40.648123234776, -73.975417955954)","3","11218","40.648447","-73.97547","7","39","500","3124021","3053190024","Windsor Terrace                                                            ","KENSINGTON","D4-ELEVATOR","103","1953","138600","753391","5.44","375653","2.71","377738","2247000","16.21","3-05330-0024","217 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","KENSINGTON","D1-ELEVATOR","174","1951","146066","1885594","12.91","1005458","6.88","880136","5412000","37.05","0.23","3-05287-0001","10 OCEAN PARKWAY
Brooklyn, NY 
(40.650883106629, -73.973247379521)","WINDSOR TERRACE","D1-ELEVATOR","133","1927","136362","1623280","11.9","904201","6.63","719079","4422000","32.43","0.26","3-05329-0001","125 OCEAN PARKWAY
Brooklyn, NY 
(40.647410464074, -73.974575372781)","KENSINGTON","D1-ELEVATOR","84","1940","94,252","1,152,382","12.23","610,380","6.48","542,002","3,223,000","34.2","0.17"
"3-07579-0029","3310 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"FLATBUSH-EAST","D4-ELEVATOR","360","1950","295200","3359376","11.38","1948320","6.6","1411056","9073000","30.74","3-07612-0011","2425 NOSTRAND AVENUE
Brooklyn, NY 
(40.625550747377, -73.946604017779)","FLATBUSH-EAST","D1-ELEVATOR","178","1955","204830","2433941","11.88","1466898","7.16","967043","6083000","29.7","0.41","3-07617-0025","1149 35 STREET
Brooklyn, NY 
(40.626084390906, -73.941877358144)","FLATBUSH-EAST","D7-ELEVATOR","78","1955","89772","1021479","11.38","625402","6.97","396077","2409000","26.83","0.37",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-01179-0096","41 EASTERN PARKWAY
Brooklyn, NY 
(40.673026779784, -73.967175318475)","3","11238","40.672887","-73.966946","8","35","215","3029636","3011790096","Prospect Heights                                                           ","PROSPECT HEIGHTS","D4-ELEVATOR","68","1926","125300","1940897","15.49","967316","7.72","973581","6672000","53.25","3-01173-0007","195 UNDERHILL AVENUE
Brooklyn, NY 
(40.674972994425, -73.966681591531)","PROSPECT HEIGHTS","D1-ELEVATOR","36","1940","24000","394036","16.42","183642","7.65","210394","1452000","60.5","0.12","3-01179-0037","364 LINCOLN PLACE
Brooklyn, NY 
(40.673068223434, -73.964311707031)","PROSPECT HEIGHTS","D1-ELEVATOR","54","1927","51288","746640","14.56","399071","7.78","347569","2402000","46.83","0",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-05026-0011","163 OCEAN AVENUE
Brooklyn, NY 
(40.657000437538, -73.962222391453)","3","11225","40.659104","-73.962577","9","40","79802","3114586","3050260011","Prospect Lefferts Gardens-Wingate                                          ","FLATBUSH-LEFFERTS GARDEN","D4-ELEVATOR","85","1930","118785","1051410","8.85","453261","3.82","598149","3568000","30.04","3-05026-0264","225 PARKSIDE AVENUE
Brooklyn, NY 
(40.655514693219, -73.960350720883)","FLATBUSH-LEFFERTS GARDEN","D7-ELEVATOR","139","1923","136157","1710132","12.56","940845","6.91","769287","5154000","37.85","0","3-05026-0241","2121 WESTBURY COURT
Brooklyn, NY 
(40.656707694728, -73.9605737562)","FLATBUSH-LEFFERTS GARDEN","D7-ELEVATOR","76","1928","87552","857703","9.8","427449","4.88","430254","2547000","29.09","0","3-05026-0056","40 LINCOLN ROAD
Brooklyn, NY 
(40.660760105875, -73.96139721107)","FLATBUSH-LEFFERTS GARDEN","D1-ELEVATOR","89","1926","80,448","1,010,292","12.56","545,340","6.78","464,952","2,882,000","35.82","0"
