"birth_year","sex_of_infant","race_or_ethnicity_of_mother","births","percentage"
"2007","Male","Non-Hispanic White","20186","30.7"
"2007","Male","Other","108","0.2"
"2007","Female","Hispanic","20044","31.8"
"2007","Male","Non-Hispanic Black","14881","22.6"
"2007","Female","Non-Hispanic White","19165","30.4"
"2007","Female","Asian/ Pacific Islander","9312","14.8"
"2007","Female","Non-Hispanic Black","14387","22.8"
"2007","Male","Hispanic","20668","31.4"
"2007","Female","Other","122","0.2"
"2007","Male","Asian/ Pacific Islander","9979","15.2"
"2008","Male","Non-Hispanic White","19761","30.2"
"2008","Male","Other","1323","2"
"2008","Male","Non-Hispanic Black","14180","21.7"
"2008","Female","Hispanic","19598","31.6"
"2008","Female","Non-Hispanic White","18622","30.1"
"2008","Female","Other","1225","2"
"2008","Male","Asian/ Pacific Islander","9444","14.4"
"2008","Male","Hispanic","20782","31.7"
"2008","Female","Non-Hispanic Black","13737","22.2"
"2008","Female","Asian/ Pacific Islander","8760","14.1"
"2009","Female","Asian/ Pacific Islander","8547","13.9"
"2009","Male","Non-Hispanic White","19769","30.4"
"2009","Male","Other","1366","2.1"
"2009","Male","Asian/ Pacific Islander","9182","14.1"
"2009","Female","Hispanic","19647","31.9"
"2009","Female","Non-Hispanic Black","13428","21.8"
"2009","Female","Other","1287","2.1"
"2009","Female","Non-Hispanic White","18669","30.3"
"2009","Male","Non-Hispanic Black","13977","21.5"
"2009","Male","Hispanic","20639","31.8"
"2010","Male","Hispanic","20015","31.3"
"2010","Male","Asian/ Pacific Islander","9387","14.7"
"2010","Male","Non-Hispanic White","19478","30.5"
"2010","Female","Asian/ Pacific Islander","8660","14.3"
"2010","Female","Non-Hispanic Black","12977","21.4"
"2010","Female","Non-Hispanic White","18302","30.2"
"2010","Female","Other","1326","2.2"
"2010","Male","Non-Hispanic Black","13658","21.4"
"2010","Male","Other","1393","2.2"
"2010","Female","Hispanic","19330","31.9"
"2011","Female","Other","708","1.2"
