"agency","organization_name","organization_address","city","state","zip","building_number","school_number","community_board","council_district","project_title","project_description","amnt_requested","funded_amount","borough","latitude","longitude","census_tract","bin","bbl","nta"
"CUNY","BaruchCollege/CUNY","1 Bernard Baruch Way","New York","NY","10010",,,"CB6","CD02","Subotnick Center Display System Project","Upgrade the Subotnick Center/Trading Floor Simulator LED Ticker, LED wall boards and CRT televisions with new, modern, energy-efficient equipment that supports the College's pedagogical needs. ","* 140,000.00","0.00","MANHATTAN","40.740601","-73.983389","68","1086514","1008800024","Gramercy                                                                   "
"CUNY","BaruchCollege/CUNY","1 Bernard Baruch Way","New York","NY","10010",,,"CB6","CD02","Baruch College Welcome Center Project","Renovation of Welcome Center space, additional space for for the various activities, add offices and event space with new furniture, lighting and signage.","* 275,000.00","275000.00","MANHATTAN","40.740601","-73.983389","68","1086514","1008800024","Gramercy                                                                   "
"CUNY","Borough of Manhattan Community College ","199 Chambers Street","New York","NY","10007",,,"CB1","CD01","Instructional Spaces Upgrade, HVAC Upgrades to IT Closets, Replacement of Rooftop AC Unit","(1)Reconfiguration of space to create additional classrooms and non-science instructional lab.  (2)Installation of air-conditioning units for the college's 17 IT closets on each floor of the North and South Towers. (3) Installation of new 350-ton rooftop air-conditioning unit on the South  tower penthouse, current unit has not functioned for years.","$1, 075, 000.00 ","750000.00","MANHATTAN","40.716838","-74.012117","39","1066406","1001420050","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"CUNY","CUNY Graduate Center","365 5th Avenue ","New York","NY","10016",,,"CB5","CD03","Audio Visual Technology Upgrade for Large-group Venues.","Purchase and Installation of audio-visual equipment (computer control systems and software, (20 overhead video projection systems (including hidden screens and ceiling mounted projectors), ans ouund equipment (including amplifiers, pre-amplifiers, mixers,","* 200,000.00","200000.00","MANHATTAN","40.748822","-73.984268","74","1017097","1008647502","Midtown-Midtown South                                                      "
"CUNY","Hunter College","695 Park Avenue ","New York","NY","10065",,,"CB8","CD04","Library and Learning Center Upgrades","Phase II of Main Campus Library Renovation - Construction/transformation of 6th and 7th floors of library into a technology-enhanced student success center, as well as; areas for studying and gathering.","* 1,500,000.00","0.00","MANHATTAN","40.768973","-73.965367","120","1081419","1014030001","Upper East Side-Carnegie Hill                                              "
"CUNY","John Jay College of Criminal Justice ","899 - 10th Avenue ","New York","NY","10019",,,"CB4","CD06","Green It Upgrades Phase II","Implement more green technologiess in Student Computer Lab such as storage space, 25 servers, VDI Software, and smart classroom technology equipment and replacements.","* 900,000.00","300000.00",,,,,,,
"CUNY","The City College of New York","160 Convent Avenue ","New York","NY","10031",,,"CB9","CD07","Network Infrastructure Modernization; Max Bond Center; Wingate Pool Restoration","(1) Redesign the campus network to optimize computing. (2) Build/Create a home for the Max Bond Centerthat facilitates collaboration and exchange both within and outside The City College of New York. (3) Renovate/restore the Wingate Pool mechanical infras","* 4,000,000.00","0.00","MANHATTAN","40.819196","-73.950221","21703","1084081","1019570200","Manhattanville                                                             "
"DCA","ABC No Rio","156 Rivington Street","New York","NY","10002",,,"CB3","CD01","Multi Use Arts Center Project","Demolition of existing building to double the size of gallery and performance space, install insulation and soundproofing, install an elevator and make building ADA compliant, install new energy-and-water-efficient building-wide systems.","* 250,000.00","125000.00","MANHATTAN","40.719206","-73.985447","3001","1083425","1003490033","Chinatown                                                                  "
"DCA","American Museum of Natural History","200 Central Park West","New York","NY","10024",,,"CB7","CD06","Historic Skylights and Dormers Project","Replacement and reconstruction of roof dormers and skylights on historic red slate roofs along Columbus Avenue, 77th Street and / or Central Park West that are past their useful life and are actively leaking.","* 750,000.00","500000.00","MANHATTAN","40.781312","-73.972254","165","1083846","1011300001","Upper West Side                                                            "
"DCA","Amigos Del Museo Del Barrio, Inc.","1230 Fifth Avenue ","New York","NY","10029",,,"CB11","CD08","Gallery Environmental Stabilization Project","Cleaning and/or replacement of their expansive duct system; change out of the sump pump and heater incorporating the cooling tower into the automation system; installation of an additional set of double fire proof glass doors at their Café entrance; insta","* 250,000.00","250000.00","MANHATTAN","40.793072","-73.951992","168","1051499","1016100001","East Harlem South                                                          "
"DCA","ARC on 4th Street, Inc.","59-61 East 4th Street","New York","NY","10003",,,"CB3","CD02","Building Renovation Completion Project","Replacement of windows at side and rear of building and shared air shafts, repair of two main fire escapes and replacement ofmissing sections, replacement of both sidewalk vaults including repair of structural beams and supports and existing openings; rep","* 500,000.00","0.00","MANHATTAN","40.726785","-73.990807","38","1082642","1004600056","East Village                                                               "
"DCA","Atlantic Theater Company","76 Ninth Avenue, Suite 537","New York","NY","10011",,,"CB4","CD03","Mainstage Theater Restoration Project","Installation of a new hurricane resistant roof and double hung, storm grade windows for their mainstage theater located at 336 West 20th Street.  This exterior upgrade will protect and preserve 2012 interior improvements.","* 250,000.00","200000.00","MANHATTAN","40.741915","-74.004659","83","1013043","1007390001","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"DCA","Ballet Hispanico of New York, Inc.","167 West 89th Street","New York","NY","10024",,,"CB7","CD06","Carriage House Renovation Project","Architectural, structural, electrical, plumbing, and general construction work.  Work will meet current life safety and ADA regulations.  (Componenet of capital plan set forth in 2008).","* 229,194.00","230000.00","MANHATTAN","40.78917","-73.972525","173","1081050","1012200107","Upper West Side                                                            "
"DCA","Ballet Tech Foundation, Inc.","890 Broadway","New York","NY","10003",,,"CB5","CD02","Roof Renovation Project","Removal of existing roof membrane, repairs to roof as needed, Installation of a new waterproof membrane and vegetative green roof; and final phase of the project will be to install Solar Panels, including racking and inverters to connect power outputf at ","* 300,000.00","0.00","MANHATTAN","40.73859","-73.989911","52","1016163","1008487502","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"DCA","Circle in the Square Theatre School","1633 Broadway","New York","NY","10019",,,"CB5","CD03","Audio/ Visual System Upgrade Project.","Purchase a 6000 lumen projector, a BlueRay player, a quad channel receiver, 16 wireless microphone systems, 4 wired microphones, a digital snake stagebox with CAT5 cables connecting to a 16 channel digital mixing console and digital recorder, 6 powered lo","* 67,000.00","67000.00","MANHATTAN","40.761574","-73.983962","131","1024812","1010220043","Midtown-Midtown South                                                      "
"DCA","City Center of Music and Drama, Inc. (Koch Theater)","20 Lincoln Center Plaza, 4th Floor","New York","NY","10023",,,"CB7","CD06","Concourse Renovation","Renovation of space that was left behind when the NYC Opera left. They seek to create a new public gathering space, convert and expand rehersal space, and expand office space. ","500,000","0.00","MANHATTAN","40.771414","-73.983201","149","1028831","1011340005","Lincoln Square                                                             "
"DCA","Clemente Velez Cultural & Education Center ","107 Suffolk Street, Rm. 312","New York","NY","10022",,,"CB3","CD01","CSV Sprinkler Safety Egress ADA Project","Installation of wheelchair accessible ramps and bathrooms on the first floor and basement.  Additional means of egress will be created in and to the basement, sprinklers will be installed throughout the building making the center compliant with the NYC De","* 500,000.00","0.00","MANHATTAN","40.718943","-73.986122","1402","1004301","1003530054","Lower East Side                                                            "
"DCA","Creative Time , Inc.","59 East 4th Street, 6th Fl.","New York","NY","10003",,,"CB3","CD02","Infrastructure and interior space Renovation Project","Dermolition/Renovation of the Eastside Loft and hallway on the 7th Floor of the building at 59 East 4th Street in Manhattan for the Offices of Creative Time. (Concrete/masonry, carpentry, architectural woodwork, caulking & firestopping, doors and frames, ","* 100,000.00","100000.00","MANHATTAN","40.726785","-73.990807","38","1082642","1004600056","East Village                                                               "
"DCA","Dance Theatre of Harlem, Inc.","466 West 152nd Street","New York","NY","10031",,,"CB9","CD07","HVAC Project","Replace outdated and inefficient HVAC boiler systems which will include design, technology and plumbing/electrical upgrades to support a high technical system.","* 1,000,000.00","310000.00","MANHATTAN","40.829244","-73.943446","23501","1061605","1020660059","Hamilton Heights                                                           "
"DCA","DIA Center for the Arts / (Dia Art Foundation)","535 West 22nd Street","New York","NY","10011",,,"CB4","CD03","Renovation Project","Complete Renovation of to 541 & 545 West 22nd Street to house exhibitions and programming spaces for new commissions and a variety of events.  Additional capital renovations at 535 West 22nd Street will create an expanded area for hosting Dia's ongoing pu","* 250,000.00","0.00","MANHATTAN","40.747495","-74.005756","99","1012326","1006940014","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"DCA","Downtown Art Company, Inc.","61 East 4th Street","New York","NY","10003",,,"CB2","CD02","Additional Funding - Phase I Renovation Completion Project - 70 East 4th Street","Gut renovation of water-damaged building to code, create a new entrance and install an elevator to make the entire building accessible, repair/replace the existing façade and roof, and finish the ground and 1st floors with basic finishes","* 240,000.00","0.00","MANHATTAN","40.726755","-73.990735","38","1082642","1004600056","East Village                                                               "
"DCA","East Harlem Arts and Education LDC","1230 Fifth Avenue ","New York","NY","10029",,,"CB11","CD08","Building Envelope Renovation Project","Phase I: Development the design for entire building. PhaseII: Window repalcement, removal of hazardous material caulking at windows, masonry façade and cornices, remove and replace parapet, remove and replace windows, recaulking windows, encapsulating lea","* 300,000.00","300000.00","MANHATTAN","40.793072","-73.951992","168","1051499","1016100001","East Harlem South                                                          "
"DCA","Eyebeam","540 West 21st Street","New York","NY","10011",,,"CB4","CD03","Projection System Upgrade Project","Purchase a projection of high-definition Panasonic Projector, lens, projector mount","$98, 579.84","0.00","MANHATTAN","40.74697","-74.006475","99","1076121","1006920053","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"DCA","Henry Street Settlement","466 Grand Street","New York","NY","10002",,,"CB3","CD01","Building Envelope Renovation Project","Arbrons Arts Center is in need of renovation to prevent water penetration, improve the building's structural integrity, and improve temperature control.  Work includes; scaffolding, repointing, flashingthroughout and window replacement where necessary.","* 325,000.00","325000.00","MANHATTAN","40.715155","-73.984045","12","1004072","1003360028","Lower East Side                                                            "
"DCA","Home for Contemporary Theatre & Art","145 - 6th Avenue ","New York","NY","10013",,,"CB3","CD03","Theatre Upgrade/ Expansion Project","Update Theatrical equipment and expand their (2) theatres located at 145 Sixth Avenue in the Hudson Square neighborhood.  ","* 66,301.57","62000.00",,,,,,,
"DCA","Irish Arts Center     An Claidheamh Soluis, Inc.","553 West 51st Street","New York","NY","10019",,,"CB4","CD03","New Building Project","Construction of 40,000 sq. ft facility inot a 199 seat Performing Arts Venue for live nusic and dance engagements, off-broadway theatre, film festival screenings, special events, and rental opportunities; reharsal space and dressing areas, exhibition spac","* 1,000,000.00","0.00","MANHATTAN","40.766041","-73.993054","135","1082282","1010800103","Clinton                                                                    "
"DCA","La Mama Experimental Theatre Club, Inc.","74A East 4th Street","New York","NY","10003",,,"CB3","CD02","Restoration, Repair/ Renovation of  Property Project","Complete Interior Renovation of landmarked façade will be restored and the sidewalk and underground vault will be rebuilt. A mechanical bulkhead will be added.  Two theatre spaces will be renovated with ne theater systems for rigging, audio, video, improve","* 500,000.00","500000.00","MANHATTAN","40.726494","-73.990169","38",,,"East Village                                                               "
"DCA","Lower Eastside Tenement Museum","91 Orchard Street","New York","NY","10002",,,"CB3","CD01","Conversion/Renovation Project","Renovation of Upper (3) Floors of its 103 Orchard Street buildingto increase exhibit, education, and administrative spaces, roof repalcement, elevator extension to upper floors, providing wheelchair accessibility to the new exhibit, education, and adminis","* 250,000.00","230000.00","MANHATTAN","40.718252","-73.990181","18","1079706","1004140059","Chinatown                                                                  "
"DCA","Manhattan School of Music","120 Claremont Avenue ","New York","NY","10027",,,"CB9","CD09","MSM -John C. Borden Auditorium Renovation Project","Upgrade of their sound, lighting, rigging and HVAC systems; repairs of the backstage area; renovation of the stage and public spaces","* 500,000.00","0.00","MANHATTAN","40.812588","-73.961848","211","1076684","1019930001","Morningside Heights                                                        "
"DCA","Manhattan Theatre Club, Inc. ","261 West 47th Street","New York","NY","10036",,,"CB5","CD03","MTC- Friedman Sound and Lights","The Friedman’s upgrade to its sound system includes the purchase of a Clear-Com intercom system and amps. These upgrades will provide outstanding levels of audio performance with regard to clarity, reliability and functionality.","* 50,000","0.00","MANHATTAN","40.759974","-73.986428","125","1024753","1010190005","Midtown-Midtown South                                                      "
"DCA","Manhattan Theatre Club, Inc. ","261 West 47th Street","New York","NY","10036",,,"CB5","CD03","MTC- Friedman Sidewalk and Windows","Concrete Masonry - we will perform a comprehensive overhaul of the sidewalk in front of the theatre. We propose to replace the curb, pitch and street so that rainwater will drain to the nearest drain and not pool in the entrance.","* 255,000","257000.00","MANHATTAN","40.759974","-73.986428","125","1024753","1010190005","Midtown-Midtown South                                                      "
"DCA","Metropolitan Museum of Art","1000 Fifth Avenue ","New York","NY","10028",,,"CB8","CD08","Infrastructure Replacement Project","Hot water heating piping system will be tested, chemically flushed and replaced as required throughout the building. ","* 2,000,000.00","500000.00","MANHATTAN","40.778633","-73.962546","143","1083810","1011110001","park-cemetery-etc-Manhattan                                                "
"DCA","Metropolitan Opera Association, Inc.","30 Lincoln Center ","New York","NY","10023",,,"CB7","CD06","Phase II of Roof replacement Project","Replace the roofing system over the 8th Floor Stafe Roof, and 7th Floor North and 7th Floor South Roofs (Siplast Roof-torched applied modified bitumen roofing system, including fully adjered insulation and cover board. Third floor South roof will be repla","* 250,000.00","250000.00","MANHATTAN","40.772031","-73.98275","149","1081022","1011340001","Lincoln Square                                                             "
"DCA","New York City Center, Inc.","130 West 56th Street","New York","NY","10019",,,"CB5","CD04","Studio Upgrade Project","HVAC System: Purchase aa 260 ton roof-top air conditioning chiller, 6 supply air fans, 3 return  air fans and new duct work with noise attenuation devices to replace outdated noisy system;  New flooring lighting upgrade, refurbish restrooms, dressing room","* 400,000.00","0.00","MANHATTAN","40.764151","-73.978889","137","1023391","1010080015","Midtown-Midtown South                                                      "
"DCA","New York Classical Theatre, Inc.","40 West 116th Street, #B1004","New York","NY","10026",,,"CB10","CD09","Lighting Control Console ","Purchase theatrical lights, dimmers, power and safety cables, clamps, and a light control board and monitor for Pop-Up Classics.","* 16,250.00","48000.00","MANHATTAN","40.80145","-73.948342","190","1087782","1015997502","Central Harlem South                                                       "
"DCA","New York Classical Theatre, Inc.","40 West 116th Street, #B1004","New York","NY","10026",,,"CB10","CD09","Telescoping tiered seating units Project",,"$57,750.00 ","0.00","MANHATTAN","40.80145","-73.948342","190","1087782","1015997502","Central Harlem South                                                       "
"DCA","Playwrights Horizons, Inc.","416 West 42nd Street","New York","NY","10036",,,"CB4","CD03","Ticket ScannerSystem Project","Purchase a ticker scanner system for Ticket Central, this system is comprised of scanners, scanner handles which makes the scanners easy for ushers to use, charging cradles, batteries, and battery chargers. This will help serve their 50,000 audience membe","* 51,000.00","51000.00","MANHATTAN","40.758742","-73.993394","115","1026333","1010510041","Clinton                                                                    "
"DCA","Seventh Regiment Armory Conservancy, Inc.","643 Park Avenue ","New York","NY","10065",,,"CB8","CD04","New North Core Project","Demolition of a 700 SF floor area at basement through L5, construction of new vertical riser shafts, enclosed fire stairs and a new shelter passenger elevator servicing on the first floor, fourth floor and basement.  New steam, domestic water, sanitary, f","* 300,000.00","300000.00","MANHATTAN","40.767491","-73.966448","120","1042460","1014010001","Upper East Side-Carnegie Hill                                              "
"DCA","Smithsonian National Museum of the American Indian","1 Bowling Green","New York","NY","10004",,,"CB1","CD01","ImagiNATIONS Education Center Project","Removal/Demolition of existing, non-historicelements, furniture, cabinetry, architectural mill work, etc.  Application/installation of finishes such as wall, floor and ceiling treatments. Installation/testing of furniture, exhibit interactive technology, ","* 200,000.00","200000.00","MANHATTAN","40.704294","-74.013237","9","1000042","1000120001","Battery Park City-Lower Manhattan                                          "
"DOE","Emily Dickinson School","735 West End Avenue ","New York","NY","10025","03M075","M075","CB7","CD06","Smart Board Project","Purchase 25 Smart Boards, including necessary projector, installation, and computer to be used for classroom teaching.","* 151,600.00","152000.00","MANHATTAN","40.795157","-73.973292","183","1034190","1012530065","Upper West Side                                                            "
"DCA","Society of Third Street Music School Settlement","235 East 11th Street","New York","NY","10003",,,"CB3","CD02","Public Service Area Improvement Project","Renovation of exterior envelope of building, Infrastructure 9plumbing, HVAC, electrical, etc.) Interior space.  Construction of new addition either adjacent to its current building or adding floors to the current building.","* 100,000.00","0.00","MANHATTAN","40.730806","-73.987364","40","1006849","1004677501","East Village                                                               "
