"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","number_and_street_address","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"After-School Programs","Out of School Time","Building T 149","Queens","Rockaway Artist Alliance, Inc.","(718) 474-0861","Elem/MS",,"Gateway National Recreation Area, Fort Tilden","11695",,,,,,,,
"After-School Programs","Out of School Time","Dreamyard A.C.T.I.O.N.","Bronx","Dream Yard Project, Inc.","(718) 588-8007","High School","940 Garrison Avenue
,  10474
(40.818136215724, -73.890954467788)","The Point CDC, 940 Garrison Avenue","10474",,,,,,,,
"After-School Programs","Out of School Time","Drew Hamilton Elementary","Manhattan","The Childrens Aid Society","(212) 281-9555","Elementary","2672 Frederick Douglass Boulevard
,  10030
(40.82092754666, -73.943279426034)","2672 Frederick Douglass Boulevard","10030",,,,,,,,
"After-School Programs","Out of School Time","x343","Bronx","Just Us, Inc.","(718) 292-3883","Middle School","345 Brook Avenue
,  10454
(40.810048624427, -73.91782345431)","345 Brook Avenue","10454","40.81004","-73.917792","1","8","41","2000391","2022860036","Mott Haven-Port Morris                                                     "
"After-School Programs","Out of School Time","P.S. 56 LOUIS DE SARIO SCHOOL","Staten Island","United Activities Unlimited, Inc.","(718) 987-8111","Elementary","250 KRAMER AVENUE
,  10309
(40.542237935472, -74.213927431151)","250 KRAMER AVENUE","10309","40.542246","-74.214002","3","51","20801","5128148","5070440001","Rossville-Woodrow                                                          "
"After-School Programs","Out of School Time","P.S. 219 KENNEDY-KING SCHOOL","Brooklyn","New York Junior Tennis League","(347) 886-3117","Elementary","1060 Clarkson Avenue
,  11212
(40.659256566717, -73.922919495458)","1060 CLARKSON AVENUE","11212","40.659288","-73.922919","17","41","886","3101168","3046480001","Rugby-Remsen Village                                                       "
"After-School Programs","Out of School Time","Arthur Ashe Institute","Brooklyn","Arthur Ashe Institute for Urban Health, Inc","(718) 270-2600","High School","450 Clarkson Avenue
,  11203
(40.655702861756, -73.944749069824)","450 Clarkson Avenue","11203","40.655743","-73.944598","17","40","816","3336186","3048380001","East Flatbush-Farragut                                                     "
"After-School Programs","Out of School Time","P.S. 130 ABRAM STEVENS HEWITT","Bronx","Citizens Advice Bureau, Inc.","(718) 292-3452","Elementary","750 Prospect Avenue
,  10455
(40.817645641432, -73.902433366345)","750 Prospect Avenue","10455","40.817721","-73.902421","2","17","85","2005168","2026880001","Longwood                                                                   "
"After-School Programs","Out of School Time","Audrey Johnson DCC","Brooklyn","Bushwick Community Action Association, Inc.","(718) 574-0130","Elementary","272 Moffat Street
,  11207
(40.689886536449, -73.904060917932)","272 Moffat Street","11207","40.689834","-73.904137","4","37","409","3080179","3034480015","Bushwick North                                                             "
"After-School Programs","Out of School Time","P.S. 239 P.S. 239","Queens","Greater Ridgewood Youth Council, Inc.","(718) 456-5437","Elementary","1715 Weirfield Street
,  11385
(40.699061054267, -73.903921232915)","1715 Weirfield Street","11385","40.699149","-73.903799","5","34","553","4435561","4035610001","Ridgewood                                                                  "
"After-School Programs","Out of School Time","P.S. 149 THE DANNY KAYE SCHOOL","Brooklyn","Brooklyn Bureau of Community Services","(347) 834-3097","Elementary","700 Sutter Avenue
,  11207
(40.66970225634, -73.892808885889)","700 Sutter Avenue","11207","40.669719","-73.892822","5","42","1158","3084348","3037740016","East New York (Pennsylvania Ave)                                           "
"After-School Programs","Out of School Time","MS 587","Brooklyn","CAMBA  ","(718) 773-3343","Middle School","790 New York Avenue
,  11203
(40.654515065367, -73.94709707097)","790 East New York Avenue","11203","40.662447","-73.936382","9","41","876","3107129","3048060001","Prospect Lefferts Gardens-Wingate                                          "
"After-School Programs","Out of School Time","St. Jude's","Manhattan","Inwood Community Services, Inc.","(212) 942-0043","Elementary","403 204th Street
,  10034
(40.861823582448, -73.918510840565)","403 West 204th Street","10034","40.861902","-73.918751","12","10","299","1064499","1022010021","Marble Hill-Inwood                                                         "
"After-School Programs","Out of School Time","New Life Child Develop. #2","Brooklyn","New Life Child Development Corporation","(718) 417-4206","Elementary","408 Grove Street
,  11237
(40.700948166255, -73.913106715145)","408 Grove Street","11237","40.701224","-73.912863","4","37","441","3397531","3033290016","Bushwick North                                                             "
"After-School Programs","Out of School Time","I.S. 7 ELIAS BERNSTEIN SCHOOL","Staten Island","United Activities Unlimited, Inc.","(718) 987-8111","Middle School","1270 Huguenot Avenue
,  10312
(40.524037229806, -74.186161591717)","1270 Huguenot Avenue","10312","40.523757","-74.185941","3","51","198","5082345","5065440001","Annadale-Huguenot-Prince's Bay-Eltingville                                 "
"After-School Programs","Out of School Time","P.S. 260 BREUCKELEN SCHOOL","Brooklyn","Groundwork Inc.","(718) 346-2200","Elementary","875 Williams Avenue
,  11207
(40.654016736913, -73.894829659974)","875 Williams Avenue","11207","40.654031","-73.894854","18","42","982","3229155","3081580035","Canarsie                                                                   "
