"building_id","registration_id","boro_short_name","house_number","street_name","vacate_order_number","primary_vacate_reason","vacate_type","vacate_effective_date","actual_rescind_date","number_of_vacated_units","postoce","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"896801","381897","BK","1662","DEAN STREET","100282","Illegal Occupancy","Partial","2012-11-23T00:00:00.000",,"1","11213","40.675924","-73.932569","8","36","309","3392424","3013480010","Crown Heights North                                                        "
"90265","200893","BX","3414","KNOX PLACE","142395","Fire Damage","Partial","2018-01-10T00:00:00.000","2018-09-12T00:00:00.000","7","10467","40.881719","-73.883728","7","11","421","2017700","2033240104","Norwood"
"688955","0","QN","14-19","POINT BREEZE PLACE","145612","Illegal Occupancy","Partial","2018-09-26T00:00:00.000",,"1","11691","40.611101","-73.771","14","31","100801","4300123","4157020063","Far Rockaway-Bayswater"
"361981","0","BK","148","RIDGEWOOD AVENUE","145817","Illegal Occupancy","Partial","2018-09-27T00:00:00.000",,"1","11208","40.683021","-73.883307","5","37","117202","3087219","3039280025","Cypress Hills-City Line"
"517813","0","QN","127-11","107 AVENUE","134634","Illegal Occupancy","Partial","2017-01-13T00:00:00.000",,"1","11419","40.686272","-73.816476","10","28","15802","4204732","4095810055","South Ozone Park"
"398056","302579","BK","80","WOODRUFF AVENUE","142720","Fire Damage","Partial","2018-01-26T00:00:00.000","2019-02-12T00:00:00.000","1","11226","40.653489","-73.963215","14","40","50804","3116104","3050590016","Flatbush"
"104305","0","BX","1352","PROSPECT AVENUE","132161","Illegal Occupancy","Partial","2016-07-27T00:00:00.000",,"1","10459","40.830046","-73.897297","3","17","151","2010355","2029700018","Morrisania-Melrose"
"99680","713215","BX","249","NEWMAN AVENUE","145301","Illegal Occupancy","Partial","2018-08-09T00:00:00.000",,"1","10473","40.810521","-73.854484","9","18","4","2020218","2034560060","Soundview-Castle Hill-Clason Point-Harding Park"
"99869","213080","BX","739","NOBLE AVENUE","139803","Fire Damage","Entire Building","2017-08-31T00:00:00.000",,"4","10473","40.819545","-73.867387","9","18","20","2021978","2035930046","Soundview-Castle Hill-Clason Point-Harding Park                            "
"328407","328580","BK","228","LOGAN STREET","118615","Illegal Occupancy","Entire Building","2014-08-06T00:00:00.000","2018-09-04T00:00:00.000","11","11208","40.680877","-73.877596","5","37","1174","3092603","3041370037","Cypress Hills-City Line"
"99815","220721","BX","1333","NOBLE AVENUE","131316","Fire Damage","Partial","2016-06-27T00:00:00.000",,"1","10472","40.83325","-73.870583","9","18","64","2027713","2038720052","West Farms-Bronx River                                                     "
"649525","400775","QN","41-06","DENMAN STREET","144375","Fire Damage","Partial","2018-06-13T00:00:00.000","2018-09-07T00:00:00.000","1","11373","40.746466","-73.874462","4","25","467","4039152","4015660006","Elmhurst"
"374199","333438","BK","881","ST JOHNS PLACE","155258","Fire Damage","Entire Building","2020-08-18T00:00:00.000",,"12","11216","40.671574","-73.949019","8","35","31702","3031959","3012480054","Crown Heights North"
"554761","0","QN","182-06","145 DRIVE","145543","Illegal Occupancy","Partial","2018-09-13T00:00:00.000",,"1","11413","40.66332","-73.763662","13","31","320","4285898","4133470021","Springfield Gardens South-Brookville"
"99366","218616","BX","2055","NEREID AVENUE","122902","Illegal Occupancy","Partial","2015-04-22T00:00:00.000",,"1","10466","40.899707","-73.84403","12","12","444","2071417","2050960006","Woodlawn-Wakefield                                                         "
"99366","218616","BX","2055","NEREID AVENUE","121839","Illegal Occupancy","Partial","2015-02-15T00:00:00.000",,"1","10466","40.899707","-73.84403","12","12","444","2071417","2050960006","Woodlawn-Wakefield                                                         "
"99366","218616","BX","2055","NEREID AVENUE","117671","Illegal Occupancy","Partial","2014-07-16T00:00:00.000",,"1","10466","40.899707","-73.84403","12","12","444","2071417","2050960006","Woodlawn-Wakefield                                                         "
"4107","106173","MN","2653","FREDERICK DOUGLASS BOULEVARD","118624","Fire Damage","Partial","2014-08-15T00:00:00.000",,"1","10030","40.820623","-73.943551","10","9","259","1060750","1020430016","Central Harlem North-Polo Grounds"
