"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Family Support","HIV/AIDS Support Services","AIDS Center of Queens County, Inc.","Queens","AIDS Center of Queens County, Inc.","718 896-2500",,,,,,,,,,,
"Family Support","Housing Assistance & Advocacy","Brooklyn Housing and Family Services, Inc.","Brooklyn","Brooklyn Housing and Family Services, Inc.                  ","718.435.7585","Adults",,,,,,,,,,
"Family Support","Housing Assistance & Advocacy","Flatbush Development Corporation","Brooklyn","Flatbush Development Corporation                            ","718.859.4763","Adults",,,,,,,,,,
"Family Support","Older Adult Program","Pelham Parkway Senior Center","Bronx","Conscientious Musical Revues","800.624.8474","Seniors",,,,,,,,,,
"Family Support","Housing Assistance & Advocacy","Northern Manhattan Improvement Corporation","New York","Northern Manhattan Improvement Corporation","212.822.8300","Adults","76 Wadsworth Avenue
New York, NEW YORK 10033
(40.847051676059, -73.937044724943)","10033","40.847012","-73.93704","12","10","263","1063574","1021450051","Washington Heights South                                                   "
"Family Support","Young Parent Education & Family Support","Dr. White Community Center ","Brooklyn","Catholic Charities Neighborhood Services, Inc.","718.722.6023","MS/HS","200 Gold Street
Brooklyn, NEW YORK 11201
(40.698288822006, -73.983097400318)","11201","40.698184","-73.983079","2","33","15","3000197","3001090001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Family Support","Fatherhood Initiative","Oberia Dempsey Center ","New York ","The Northern Manhattan Perinatal Partnership Inc.","212.665.2600","16 to 24","127 127th
New York, NEW YORK 10027
(40.809438819236, -73.945341926389)",,,,,,,,,
"Family Support","Fatherhood Initiative","The New York Society for the Prevention of Cruelty to Children","New York ","The New York Society for the Prevention of Cruelty to Children","212.233.5500","16 to 24","161 William Street
New York, NEW YORK 10038
(40.709999539835, -74.006016649884)","10038","40.710059","-74.005955","1","1","1501","1001269","1000920005","Battery Park City-Lower Manhattan                                          "
"Family Support","Older Adult Program","Greater Chinatown Community Association","New York","Greater Chinatown Community Association","212.374.1311","Seniors","105 Mosco Street
New York, NEW YORK 10013
(40.714478163541, -73.999235761783)","10013","40.714459","-73.999347","3","1","29","1001820","1001640044","Chinatown                                                                  "
"Family Support","Economic Development","Northfield Community LDC","Staten Island","Northfield Community LDC","718.442.7351",,"160 Heberton Avenue Staten Island
NEW YORK,  10302
(40.636120658508, -74.131878378944)","10302","40.636179","-74.131816","1","49","207","5110130","5010200020","Port Richmond                                                              "
"Family Support","Older Adult Program","Mercy Manor ","Bronx","Neighborhood Self-Help by Older Persons Projects, Inc.","718.542.0006","Seniors","4170 Carpenter Avenue
Bronx, NEW YORK 10466
(40.893603864286, -73.860614532487)","10466","40.893523","-73.860689","12","12","420","2063271","2048340052","Williamsbridge-Olinville                                                   "
"Family Support","Older Adult Program","St. Lukes","Bronx","Neighborhood Self-Help by Older Persons Projects, Inc.","718.542.0006","Seniors","3911 Barnes Avenue
Bronx, NEW YORK 10466
(40.885144265016, -73.858606154195)","10466","40.885201","-73.858541","12","12","396","2063301","2048360001","Williamsbridge-Olinville                                                   "
"Family Support","Older Adult Program","Shorefront YM-YWHA","Brooklyn","Shorefront YM-YWHA","718.646.1444","Seniors","3300 Coney Island Avenue
Brooklyn, NEW YORK 11235
(40.575793969704, -73.959507450797)","11235","40.575607","-73.959463","13","48","36002","3326880","3086930001","Brighton Beach                                                             "
"Family Support","Domestic Violence Program","I.S. 281","Brooklyn","St. Rosalia-Regina Pacis Neighborhood Improvement","718.236.5266","MS/HS","87 87 24th Avenue
Brooklyn, NEW YORK 11214
(40.604011809897, -74.000969000119)",,,,,,,,,
"Family Support","Fatherhood Initiative","Neighborhood Defender Service of Harlem","New York ","Neighborhood Defender Service of Harlem","212.876.5500","16 to 24","317 Lenox Avenue
New York, NEW YORK 10027
(40.808477178137, -73.945100354507)","10027","40.808291","-73.945122","10","9","222","1085673","1019107501","Central Harlem South                                                       "
"Family Support","Parent Education and Family Support","Village Care of New York","Brooklyn","Village Care of New York","718.852.5748","HS","6033 Clinton Street
Brooklyn, NEW YORK 11231
(40.676267274662, -74.000995078395)",,,,,,,,,
"Family Support","Older Adult Program","United Jewish Council of the East Side, Inc.","New York","United Jewish Council of the East Side, Inc.","212.233.6037","Seniors","235 Broadway
New York, NEW YORK 10002
(40.714361251677, -73.986465388967)","10279","40.712362","-74.007817","1","1","21","1087167","1001237501","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Family Support","Housing Assistance & Advocacy","Brooklyn Housing and Family","Brooklyn","Brooklyn Housing and Family Services, Inc.                  ","718.435.7585","Adults","415 Albermarle Road
Brooklyn, NEW YORK 11218
(40.64322700852, -73.976448622106)","11218","40.64551","-73.976296","12","39","500","3124269","3053270041","Windsor Terrace                                                            "
"Family Support","Older Adult Program","Homecrest Community Services, Inc","Brooklyn","Homecrest Community Services, Inc","718.376.4036","Seniors","1413 Avenue
Brooklyn, NEW YORK 11229
(40.601233507321, -73.944368541175)",,,,,,,,,
"Family Support","Housing Assistance & Advocacy","Brooklyn Housing and Family","Brooklyn","Brooklyn Housing and Family Services, Inc.                  ","718.435.7585","Adults","415 Albermarle Road
Brooklyn, NEW YORK 11218
(40.64322700852, -73.976448622106)","11218","40.64551","-73.976296","12","39","500","3124269","3053270041","Windsor Terrace                                                            "
"Family Support","Parent Education and Family Support","Crown Heights Jewish Community Council","Brooklyn","Crown Heights Jewish Community Council","718.778.8808",,"387 Kingston Avenue
Brooklyn, NEW YORK 11225
(40.665762628592, -73.942503354999)","11225","40.665708","-73.942532","9","35","333","3034315","3013000010","Crown Heights South                                                        "
"Family Support","Housing Assistance & Advocacy","Neighborhood Association for Inter-Cultural Affairs","Bronx","Neighborhood Association for Inter-Cultural Affairs","718.538.3344","Adults","1075 Grand
Bronx, NEW YORK 10452
(40.837724263364, -73.923332211412)",,,,,,,,,
"Family Support","Housing Assistance & Advocacy","AAFE Queens ","Queens","Asian Americans for Equality","212.680.1374","Adults","133 04 39th Avenue
Queens, NEW YORK 11354
(40.768620220647, -73.827190280707)","11354","40.75909","-73.834194","7","20","871","4112274","4049730006","Flushing                                                                   "
"Family Support","Housing Assistance & Advocacy","Asian Americns for Equality","Queens","Asian Americans for Equality                                ","718.961.0888","Adults","133 04-39th Avenue
Queens, NEW YORK 11354
(40.768620220647, -73.827190280707)",,,,,,,,,
"Family Support","Health Stat Initiative","Asian Americans for Equality","Queens","Asian Americans for Equality","718.961.0888","All Ages","133 04 39th Ave
Queens, NEW YORK 11354
(40.768620220647, -73.827190280707)","11354","40.75909","-73.834194","7","20","871","4112274","4049730006","Flushing                                                                   "
