Comments,Address,Landmark,City,State,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
You can schedule a Drug Test appointment by calling 1(800) 923 2624,3 Coates Dr,Eastgate Corp Park,Goshen,NY,10924,13,,,,,,,,,"3 Coates Dr
Goshen, NY 10924
(41.389866, -74.337282)",25576,,,,
You can schedule a Drug Test appointment by calling 1(800) 923 2624,"120 Bethpage Road, Ste 304",,Hicksville,NY,11801,44,,,,,,,,,"120 Bethpage Road, Ste 304
Hicksville, NY 11801
(40.77659, -73.525331)",25540,,,,
You can schedule a Drug Test appointment by calling 1(800) 923 2624,"2001 Marcus Ave,   Ste. N215",Lake Success,New Hyde Park,NY,11042,46,,,,,,,,,"2001 Marcus Ave,   Ste. N215
New Hyde Park, NY 11042
(40.756717, -73.690509)",16516,,,,
You can schedule a Drug Test appointment by calling 1(800) 923 2624,370 W Pleasantview Rd Unit 8,,Hackensack,NJ,7601,67,,,,,,,,,"370 W Pleasantview Rd Unit 8
Hackensack, NJ 7601
(40.875795, -74.066672)",2739,,,,
You can schedule a Drug Test appointment by calling 1(800) 923 2624,85-21 126th St,,Kew Gardens,NY,11415,83,40.703948,-73.825351,409,29,140,4193672,4092720001,Kew Gardens,"85-21 126th St
Kew Gardens, NY 11415
(40.704048, -73.825371)",24011,46,3,28,60
You can schedule a Drug Test appointment by calling 1(800) 923 2628,4 East 107th St,Between Madison & 5th Ave,Manahattan,NY,10129,91,40.794831,-73.950344,111,9,17401,1051514,1016120001,East Harlem South,"4 East 107th St
Manahattan, NY 10129
(40.794598, -73.949753)",12426,7,4,36,14
You can schedule a Drug Test appointment by calling 1(800) 923 2624,209 Lefante Way,,Bayonne,NJ,7002,72,,,,,,,,,"209 Lefante Way
Bayonne, NJ 7002
(40.668962, -74.107612)",8827,,,,
You can schedule a Drug Test appointment by calling 1(800) 923 2624,"297 Knollwood Road,   Ste. 310",,White Plains,NY,10607,54,,,,,,,,,"297 Knollwood Road,   Ste. 310
White Plains, NY 10607
(41.044516, -73.805094)",25282,,,,
You can schedule a Drug Test appointment by calling 1(800) 923 2624,4876 Broadway,Corner of 204th St,MANAHATTAN,NY,10034,74,40.866881,-73.92346,112,10,291,1064901,1022340020,Marble Hill-Inwood,"4876 Broadway
MANAHATTAN, NY 10034
(40.866906, -73.923429)",13092,47,4,39,22
You can schedule a Drug Test appointment by calling 1(800) 923 2624,"1011 Clifton Ave,   Ste. 2C",Between Sunnycrest Ave & St James Ave,Clifton,NJ,7013,51,,,,,,,,,"1011 Clifton Ave,   Ste. 2C
Clifton, NJ 7013
(40.862747, -74.164371)",10075,,,,
You can schedule a Drug Test appointment by calling 1(800) 923 2624,136-20 38TH Ave 5L,,Flushing,NY,11355,68,40.760962,-73.83028,407,20,871,4534816,4049787501,Flushing,"136-20 38TH Ave 5L
Flushing, NY 11355
(40.761041, -73.829902)",13832,22,3,3,67
You can schedule a Drug Test appointment by calling 1(800) 923 2624,"47-01 Queens Blvd,    Ste. 207",Between 47th & 48th St   (Woodside),Sunnyside,NY,11104,18,40.743038,-73.917615,402,26,25301,4001307,4001400010,Hunters Point-Sunnyside-West Maspeth,"47-01 Queens Blvd,    Ste. 207
Sunnyside, NY 11104
(40.743179, -73.917477)",16861,53,3,33,66
You can schedule a Drug Test appointment by calling 1(800) 923 2624,881 Manhattan Ave,Between Milton St & Greenpoint Ave,BROOKLYN,NY,11222,85,40.729812,-73.954098,301,33,565,3064835,3025630045,Greenpoint,"881 Manhattan Ave
BROOKLYN, NY 11222
(40.729884, -73.954111)",18182,36,2,38,57
You can schedule a Drug Test appointment by calling 1(800) 923 2624,31-00 47th Ave,TLC Building,Long Island City,NY,11101,47,40.74306,-73.935652,402,26,199,4003539,4002810001,Hunters Point-Sunnyside-West Maspeth,"31-00 47th Ave
Long Island City, NY 11101
(40.743026, -73.935337)",16858,53,3,33,66
You can schedule a Drug Test appointment by calling 1(800) 923 2627,6413 Bay Parkway,Benson Hurst,BROOKLYN,NY,11204,76,40.6143,-73.980946,311,44,436,3172232,3065530005,Bensonhurst East,"6413 Bay Parkway
BROOKLYN, NY 11204
(40.614156, -73.981111)",16867,1,2,45,37
You can schedule a Drug Test appointment by calling 1(800) 923 2624,"177 East 87th  St,   Ste. 408",Between 3rd & Lexington,MANAHATTAN,NY,10028,84,40.779805,-73.954201,108,5,14802,1048053,1015160032,Upper East Side-Carnegie Hill,,,,,,
You can schedule a Drug Test appointment by calling 1(800) 923 2624,2044 Ocean Ave,Between Avenues O & P,BROOKLYN,NY,11211,8,40.612086,-73.953826,314,48,546,3182045,3067660036,Midwood,"2044 Ocean Ave
BROOKLYN, NY 11211
(40.612009, -73.953795)",13513,60,2,15,43
You can schedule a Drug Test appointment by calling 1(800) 923 2624,109 Audubon Ave,Corner of 171st St,MANAHATTAN,NY,10032,3,40.842215,-73.937088,112,10,253,1063048,1021270036,Washington Heights South,"109 Audubon Ave
MANAHATTAN, NY 10032
(40.8422, -73.937119)",13090,47,4,39,21
,5715 7th Ave,,BROOKLYN,NY,,89,,,,,,,,,"5715 7th Ave
BROOKLYN, NY
(40.638243, -74.010283)",18180,9,2,7,45
You can schedule a Drug Test appointment by calling 1(800) 923 2624,69-12 Austin St,,Forest Hills,NY,11375,75,40.721523,-73.848523,406,29,711,4077467,4032340114,Forest Hills,"69-12 Austin St
Forest Hills, NY 11375
(40.721674, -73.84894)",14786,40,3,28,70
You can schedule a Drug Test appointment by calling 1(800) 923 2624,230 Livingston St,Between Hoyt St & Bond St,BROOKLYN,NY,11201,79,40.68933,-73.984982,302,33,37,3397443,3001657501,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"230 Livingston St
BROOKLYN, NY 11201
(40.689303, -73.98491)",16865,68,2,38,54
You can schedule a Drug Test appointment by calling 1(800) 923 2624,"3196 Kennedy Blvd,    2nd Floor",Between 30th & 31st,Union City,NJ,7087,56,,,,,,,,,"3196 Kennedy Blvd,    2nd Floor
Union City, NJ 7087
(40.774712, -74.033498)",15736,,,,
,4506 13th Ave,,BROOKLYN,NY,,90,,,,,,,,,"4506 13th Ave
BROOKLYN, NY
(40.637101, -73.989945)",17621,2,2,18,39
You can schedule a Drug Test appointment by calling 1(800) 923 2624,2035 Ralph Ave,Between Ave K & East 72nd St,BROOKLYN,NY,11234,15,40.627774,-73.918128,318,46,69601,3235276,3083390006,Georgetown-Marine Park-Bergen Beach-Mill Basin,"2035 Ralph Ave
BROOKLYN, NY 11234
(40.627454, -73.918046)",13825,5,2,8,38
You can schedule a Drug Test appointment by calling 1(800) 923 2624,1723 East 12th St,Between King Hwy & Ave R,BROOKLYN,NY,11229,19,40.607148,-73.960856,315,48,554,3329266,3067950089,Homecrest,"1723 East 12th St
BROOKLYN, NY 11229
(40.607339, -73.960881)",13512,32,2,15,36
You can schedule a Drug Test appointment by calling 1(800) 923 2626,8925 Ave D,(Canarsie Plaza ),BROOKLYN,NY,11236,93,40.646034,-73.912769,318,45,960,3397393,3079200002,Canarsie,"8925 Ave D
BROOKLYN, NY 11236
(40.645474, -73.91294)",13827,5,2,26,42
You can schedule a Drug Test appointment by calling 1(800) 923 2624,11 Medical Drive,Davis Pro Building,Port Jefferson,NY,11776,24,,,,,,,,,"11 Medical Drive
Port Jefferson, NY 11776
(40.930307, -73.042541)",24870,,,,
