"_2015_organization","project_address","project_title","cd","cb","_2015_award","postcode","borough","latitude","longitude","census_tract","bin","bbl","nta"
"Aaron Davis Hall, Inc.","150 Convent Ave, New York, NY 10027","Harlem Stage Lighting System","9","9","$35,000 ","10027","MANHATTAN","40.818329","-73.95102","21303","1086181","1019710018","Manhattanville                                                             "
"Addiction Research and
Treatment Corporation","119 West 124th Street, New York, NY
10027","Electronic Medical Records System","9","11","$66,000 ","10027","MANHATTAN","40.807452","-73.946788","222","1057822","1019090022","Central Harlem South                                                       "
"AIDS Service Center of Lower
Manhattan, Inc.","62-64 West 35 Street, New York, NY 10001","Initial Outfitting for New Office","4","5","$50,000 ","10001","MANHATTAN","40.749967","-73.986159","76","1015868","1008360007","Midtown-Midtown South                                                      "
"Al Smith Recreation Center","80 Catherine Street, New York, NY 10038","Al Smith Recreation Center
Renovations","1","3","$200,000 ","10038","MANHATTAN","40.710729","-73.996631","25","1083357","1001110160","Chinatown                                                                  "
"Alfred E. Smith School","163 W 97th Street, New York, NY 10024","Creation of Science Lab","7","7","$250,000 ","10024","MANHATTAN","40.794264","-73.968706","185","1055908","1018520099","Upper West Side                                                            "
"An Claidheamh Soluis, Inc/Irish
Arts Center","726 11th Avenue, New York, NY 10019","Construction of a New Irish Arts
Center","3","4","$100,000 ","10019","MANHATTAN","40.76676","-73.993978","135","1082277","1010800103","Clinton                                                                    "
"Animal Care & Control of NYC","326 East 110 Street, New York, NY 10029","Purchase of a Radiographic Imaging
Device","8","11","$85,000 ","10029","MANHATTAN","40.792844","-73.939771","180","1052845","1016810037","East Harlem North                                                          "
"Armory Foundation","216 Ft. Washington Ave, New York, NY
10032","Washington Heights Tutoring
Center Renovations","10","12","$50,000 ","10032","MANHATTAN","40.842571","-73.942097","251","1063381","1021380079","Washington Heights South                                                   "
"Asian Americans for Equality","108 Norfolk Street, New York, NY 10002","Lower Manhattan Affordable
Housing Boiler Replacement","1","3","$100,000 ","10002","MANHATTAN","40.718954","-73.987056","1402","1075815","1003530052","Lower East Side                                                            "
"Asser Levy Recreation Center","392 Asser Levy Pl, New York, NY 10010","Asser Levy Recreation Center
Renovations","4","6","$200,000 ","10010","MANHATTAN","40.736137","-73.976159","62","1022552","1009810002","Murray Hill-Kips Bay                                                       "
"Baruch College the City
University of New York","1 Bernard Baruch Way, New York, NY
10010","Subotnick Center Data Display and
AN Systems Replacement","2","6","$159,000 ","10010","MANHATTAN","40.740601","-73.983389","68","1086514","1008800024","Gramercy                                                                   "
"Battery Park Conservancy","Battery Place and Broadway","Battery Park Comfort Station
Renovations","1","1","$250,000 ",,"MANHATTAN",,,,,,
"Boys & Girls Harbor, Inc.","1 East 104th St, New York, NY 10029","Purchase of a Passenger Van","8","11","$40,000 ","10029","MANHATTAN","40.792888","-73.951826","168","1051499","1016100001","East Harlem South                                                          "
"Center for Alternative
Sentencing and Employment","2090 Adam Clayton Powell Blvd","CASES Harlem Location Initial
Outfitting","9","10","$40,000 ",,"MANHATTAN","40.808639","-73.948582","222","1058640","1019300030","Central Harlem South                                                       "
"City-As-School High School","16 Clarkson Street, New York, NY 10014","Construction of Media/Science Lab","3","2","$200,000 ","10014","MANHATTAN","40.729412","-74.006148","67","1009757","1005810054","West Village                                                               "
"Columbia School for Math,
Science and Engineering","425 W 123rd Street, New York, NY 10027","Auditorium Upgrade","7","9","$150,000 ","10027","MANHATTAN","40.810431","-73.955809","20901","1059526","1019640012","Morningside Heights                                                        "
"Dr. Edmund Horan School","55 E 120th Street, New York, NY 10035","SMART Board Purchase","9","11","$50,000 ","10035","MANHATTAN","40.802419","-73.942634","198","1053968","1017470001","East Harlem North                                                          "
"East River Blueway","Brooklyn Bridge Beach, Dover Street and
FDR Drive, New York, NY 10038","East River Blueway Renovations","1","13","$2,000,000*","10038","MANHATTAN","40.707517","-73.998637","1501",,,"Battery Park City-Lower Manhattan                                          "
"East Side Middle School","331 East 91st Street, New York, NY 10128","ESMS Technology Expansion","5","8","$35,000 ","10128","MANHATTAN","40.780706","-73.948553","154","1081267","1015540032","Yorkville                                                                  "
"Fiorello LaGuardia High School","100 Amsterdam Avenue, New York, NY
10023","LaGuardia Exterior Renovations","6","7","$250,000 ","10023","MANHATTAN","40.773629","-73.985273","151","1030341","1011560030","Lincoln Square                                                             "
"Fountain House, Inc.","425 West 47th Street, New York, NY 10036","HVAC, Electrical, and Bathroom
Renovations","3","4","$200,000 ","10036","MANHATTAN","40.762","-73.991221","127","1026562","1010570021","Clinton                                                                    "
"Gina Gibney Dance, Inc.","280 Broadway, New York, NY 10007","Lighting System for Lab at 280
Broadway","1","1","$49,000 ","10007","MANHATTAN","40.714417","-74.006089","31","1079215","1001530001","SoHo-TriBeCa-Civic Center-Little Italy                                     "
