"bronx_cooperatives_comparable_properties_boro_block_lot","bronx_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","bronx_cooperatives_comparable_properties_neighborhood","bronx_cooperatives_comparable_properties_building_classification","bronx_cooperatives_comparable_properties_total_units","bronx_cooperatives_comparable_properties_year_built","bronx_cooperatives_comparable_properties_gross_sqft","bronx_cooperatives_comparable_properties_est_gross_income","bronx_cooperatives_comparable_properties_gross_income_per_sqft","bronx_cooperatives_comparable_properties_full_market_value","bronx_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"2-03106-0044","1961 MAPES AVENUE
Bronx, NY 
(40.84434329928, -73.887537986259)","2","10460","40.843956","-73.887824","6","17","36501","2012938","2031060044","East Tremont                                                               ",,,"24","1910","23550","235500","10","551000","23.4","2-03080-0038","2037 BELMONT AVENUE
Bronx, NY 
(40.847875903687, -73.890421067013)","EAST TREMONT","C1-WALK-UP","17","1909","11629","125843","10.82","295000","25.4","0.3",,,,,,,,,,,,
"2-04292-0014","2100 WALLACE AVENUE
Bronx, NY 
(40.85322084953, -73.864820183521)","2","10462","40.853263","-73.86484","11","13","228","2093291","2042920014","Pelham Parkway                                                             ",,,"148","1940","144354","1478184","10.24","4590000","31.8","2-04286-0022","2100 BRONX PARK
Bronx, NY 
(40.853699684387, -73.869138050698)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","157","1929","168990","1729743","10.24","4930000","29.2","0.2",,,,,,,,,,,,
"2-03252-0209","80 GOUVERNEUR AVENUE
Bronx, NY 
(40.829223469784, -73.908419560941)","2",,,,,,,,,,,,"207","1930","197406","2624741","13.3","6140000","31.1","2-02420-0120","280 161 STREET
Bronx, NY 
(40.825385656249, -73.917963755735)","MELROSE/CONCOURSE","D1-ELEVATOR","204","1980","239712","2629541","10.97","8170000","34.1","4.35","2-03124-0001","883 180 STREET
Bronx, NY 
(40.845219086535, -73.882815979207)","EAST TREMONT","D1-ELEVATOR","196","1979","181093","2624741","14.49","9580000","53","2.65"
"2-04291-0001","2075 WALLACE AVENUE
Bronx, NY 
(40.852425524595, -73.864920113098)","2","10462","40.85267","-73.864881","11","13","22404","2048821","2042910001","Pelham Parkway                                                             ",,,"190","1930","174400","1785856","10.24","5550000","31.8","2-04286-0022","2100 BRONX PARK
Bronx, NY 
(40.853699684387, -73.869138050698)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","157","1929","168990","1729743","10.24","4930000","29.2","0.15","2-04291-0024","2131 WALLACE AVENUE
Bronx, NY 
(40.854141610891, -73.864860937708)","PELHAM PARKWAY SOUTH","D7-ELEVATOR","187","1929","178126","1920049","10.78","5480000","30.8","0"
"2-02464-0023","1235 GRAND
Bronx, NY 
(40.825576999979, -73.918448999722)","2",,,,,,,,,,,,"131","1929","181700","1468136","8.08","3790000","20.86","2-02461-0130","1011 SHERIDAN AVENUE
Bronx, NY 
(40.829390426893, -73.919467948212)","MELROSE/CONCOURSE","D7-ELEVATOR","115","1929","150948","1023242","6.78","2400000","15.9","0.4","2-02438-0080","1115 COLLEGE AVENUE
Bronx, NY 
(40.830836135402, -73.914552194044)","MELROSE/CONCOURSE","D1-ELEVATOR","44","1929","42732","345388","8.08","809000","18.93","0.3"
"2-05919-0448","3750 HUDSON MANOR TERRACE
Bronx, NY 
(40.888557878984, -73.915598599857)","2","10463","40.888713","-73.915597","8","11","309","2091925","2059190448","North Riverdale-Fieldston-Riverdale                                        ",,,"104","1954","163944","1926342","11.75","6650000","40.6","2-05909-0163","3950 BLACKSTONE AVENUE
Bronx, NY 
(40.890261642548, -73.911362719053)","RIVERDALE","D1-ELEVATOR","176","1959","237000","2849258","12.02","9830000","41.5","0.25","2-04222-0093","1545 RHINELANDER AVENUE
Bronx, NY 
(40.855823864137, -73.841490693618)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","106","1962","112339","1316992","11.72","4540000","40.4","4.4"
"2-02410-0032","320 151 STREET
Bronx, NY 
(40.818281553805, -73.920240886156)","2",,,,,,,,,,,,"12","1918","7560","99036","13.1","232000","30.7","2-02407-0016","386 161 STREET
Bronx, NY 
(40.824260613036, -73.914189388441)","MELROSE/CONCOURSE","C7-WALK-UP","15","1918","12800","129323","10.1","369000","28.8","0.5","2-02472-0023","1055 GRAND
Bronx, NY 
(40.825576999979, -73.918448999722)","MELROSE/CONCOURSE","C7-WALK-UP","59","1918","47850","628155","13.13","2290000","47.9","0.95"
"2-03280-0013","2962 DECATUR AVENUE
Bronx, NY 
(40.86829433307, -73.883727818096)","2","10458","40.868371","-73.883629","7","11","415","2016434","2032800013","Bedford Park-Fordham North                                                 ",,,"74","1940","43195","479464","11.1","1490000","34.5","2-03297-0001","2929 BAINBRIDGE AVENUE
Bronx, NY 
(40.870190987252, -73.885584709637)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","55","1955","59085","683603","11.57","2360000","39.9","0.2",,,,,,,,,,,,
"2-05826-1685","255 FIELDSTON TERRACE
Bronx, NY 
(40.896406389469, -73.89903997597)","2","10471","40.895686","-73.898158","8","11","351","2084558","2058261685","North Riverdale-Fieldston-Riverdale                                        ",,,"76","1965","85523","1017723","11.9","3510000","41","2-05746-0567","2675 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","78","1951","92782","1085344","11.7","3740000","40.3","1.45","2-05864-0516","6555 BROADWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","73","1961","62570","816808","13.05","2980000","47.6","0.7"
"2-05788-0119","3215 NETHERLAND AVENUE
Bronx, NY 
(40.88393349525, -73.911596407659)","2","10463","40.884167","-73.911488","8","11","297","2084120","2057880119","Spuyten Duyvil-Kingsbridge                                                 ",,,"49","1939","75000","806250","10.75","2510000","33.5","2-05781-1100","3900 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","37","1928","37962","396156","10.44","1230000","32.4","0.4","2-05791-0388","511 235 STREET
Bronx, NY 
(40.885270655874, -73.907787840625)","RIVERDALE","D7-ELEVATOR","55","1936","64000","814380","12.72","2810000","43.9","0.25"
"2-03252-0268","91 VAN CORTLANDT AVENUE
Bronx, NY 
(40.883587538658, -73.89305997264)","2",,,,,,,,,,,,"50","1963","55800","554896","9.94","1580000","28.3","2-03332-0021","3070 HULL AVENUE
Bronx, NY 
(40.871968860321, -73.878898015292)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","50","1939","56000","524108","9.36","1490000","26.6","1.1","2-05834-3001","6255 BROADWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","FIELDSTON","D1-ELEVATOR","50","1958","55400","532096","9.6","1520000","27.4","1"
"2-03100-0018","765 GARDEN STREET
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10460","40.849834","-73.884113","6","15","393","2012788","2031000018","Belmont                                                                    ",,,"20","1931","17600","169840","9.65","398000","22.61","2-03099-0006","743 182 STREET
Bronx, NY 
(40.850058089353, -73.885969751409)","BELMONT","C1-WALK-UP","20","1913","19750","183905","9.31","525000","26.6","0.1","2-03102-0035","2367 PROSPECT AVENUE
Bronx, NY 
(40.853061016263, -73.883054427036)","BELMONT","C1-WALK-UP","24","1916","17200","190207","11.06","591000","34.4","0.2"
"2-05745-0001","2621 PALISADE AVENUE
Bronx, NY 
(40.88178886635, -73.921407259442)","2","10463","40.881995","-73.921164","8","11","29301","2083472","2057450001","Spuyten Duyvil-Kingsbridge                                                 ",,,"180","1962","231154","2704501","11.7","9330000","40.4","2-04161-0001","1730 MULFORD AVENUE
Bronx, NY 
(40.846278508424, -73.83517281919)","SCHUYLERVILLE/PELHAM BAY","D3-ELEVATOR","285","1968","326000","3540204","10.86","11000000","33.7","5.2","2-05760-0112","3424 KINGSBRIDGE AVENUE
Bronx, NY 
(40.882995283021, -73.903440283547)","KINGSBRIDGE/JEROME PARK","D3-ELEVATOR","138","1962","128500","1503878","11.7","5190000","40.4","1"
"2-03263-0085","3900 BAILEY AVENUE
Bronx, NY 
(40.885139255638, -73.896235152543)","2","10463","40.885301","-73.8954","8","11","279","2016021","2032630085","Van Cortlandt Village                                                      ",,,"188","1963","247530","2849258","11.51","6670000","26.9","2-03670-0001","950 UNDERHILL AVENUE
Bronx, NY 
(40.824713393806, -73.860838048888)","SOUNDVIEW","D3-ELEVATOR","209","1966","216650","1997360","9.22","5700000","26.3","4.45","2-05909-0163","3950 BLACKSTONE AVENUE
Bronx, NY 
(40.890261642548, -73.911362719053)","RIVERDALE","D1-ELEVATOR","176","1959","237000","2849258","12.02","9830000","41.5","0.95"
"2-03282-0007","2640 MARION AVENUE
Bronx, NY 
(40.864340667581, -73.891034284093)","2","10458","40.864448","-73.890957","7","15","40502","2016467","2032820007","Bedford Park-Fordham North                                                 ",,,"72","1961","91075","918036","10.08","2620000","28.8","2-03308-0051","253 202 STREET
Bronx, NY 
(40.872917301805, -73.88514514725)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","101","1965","101050","1063504","10.52","3300000","32.7","0.65","2-03320-0044","222 BEDFORD PARK
Bronx, NY 
(40.825576999979, -73.918448999722)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","63","1939","71250","685849","9.63","1960000","27.5","0.5"
"2-03107-0006","810 178 STREET
Bronx, NY 
(40.844529441489, -73.887046999591)","2",,,,,,,,,,,,"20","1911","18450","202950","11","475000","25.7","2-03111-0040","2136 MAPES AVENUE
Bronx, NY 
(40.847542610293, -73.884706421066)","EAST TREMONT","C1-WALK-UP","20","1931","16840","187065","11.11","438000","26","0.3","2-03134-0033","983 181 STREET
Bronx, NY 
(40.825576999979, -73.918448999722)","EAST TREMONT","C1-WALK-UP","20","1913","18200","210129","11.55","725000","39.8","0.4"
"2-05743-0198","2390 PALISADE AVENUE
Bronx, NY 
(40.879982832359, -73.921938115916)","2","10463","40.879395","-73.920791","8","11","29301","2083469","2057430198","Spuyten Duyvil-Kingsbridge                                                 ",,,"60","1964","80214","934493","11.65","3220000","40.1","2-05793-0467","3555 OXFORD AVENUE
Bronx, NY 
(40.88632086694, -73.908793797665)","RIVERDALE","D1-ELEVATOR","57","1960","72553","821627","11.32","2550000","35.1","0.7","2-05874-1028","6629 BROADWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","84","1962","76009","946395","12.45","3270000","43","2.3"
"2-05764-0642","3475 GREYSTONE AVENUE
Bronx, NY 
(40.884799515804, -73.90695662585)","2","10463","40.884704","-73.907031","8","11","295","2083824","2057640642","Spuyten Duyvil-Kingsbridge                                                 ",,,"57","1957","61187","703650","11.5","2430000","39.7","2-05793-0467","3555 OXFORD AVENUE
Bronx, NY 
(40.88632086694, -73.908793797665)","RIVERDALE","D1-ELEVATOR","57","1960","72553","821627","11.32","2550000","35.1","0.15","2-05107-0003","4769 WHITE PLAINS ROAD
Bronx, NY 
(40.905195810038, -73.849572118291)","WAKEFIELD","D7-ELEVATOR","65","1965","55304","645740","11.68","2230000","40.3","3.2"
"2-04597-0021","3230 CRUGER AVENUE
Bronx, NY 
(40.872326864333, -73.866112496032)","2","10467","40.872255","-73.866129","12","15","374","2056265","2045970021","Williamsbridge-Olinville                                                   ",,,"79","1930","67248","666427","9.91","1900000","28.3","2-04426-0010","2418 OLINVILLE AVENUE
Bronx, NY 
(40.861742813908, -73.868452327761)","BRONXDALE","D1-ELEVATOR","72","1932","69120","684816","9.91","1950000","28.2","0.7","2-04570-0032","3039 WALLACE AVENUE
Bronx, NY 
(40.870022150032, -73.864350830836)","BRONXDALE","D1-ELEVATOR","60","1929","52980","575106","10.86","1790000","33.8","0.1"
"2-03097-0053","2141 PROSPECT AVENUE
Bronx, NY 
(40.848100214769, -73.885874056305)","2","10457","40.848235","-73.885728","6","15","371","2012753","2030970053","East Tremont                                                               ",,,"15","1910","10560","105600","10","247000","23.39","2-03080-0038","2037 BELMONT AVENUE
Bronx, NY 
(40.847875903687, -73.890421067013)","EAST TREMONT","C1-WALK-UP","17","1909","11629","125843","10.82","295000","25.4","0.25","2-03119-0058","2150 CROTONA PARKWAY
Bronx, NY 
(40.847212004164, -73.882968233762)","EAST TREMONT","C1-WALK-UP","11","1914","9815","94374","9.62","221000","22.52","0.2"
"2-05904-0100","3725 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10463","40.888621","-73.91053","8","11","30701","2085778","2059040100","North Riverdale-Fieldston-Riverdale                                        ",,,"86","1952","116424","1397088","12","4820000","41.4","2-05787-0137","3220 NETHERLAND AVENUE
Bronx, NY 
(40.883961568175, -73.911511205264)","RIVERDALE","D1-ELEVATOR","85","1954","100498","1174179","11.68","4050000","40.3","0.3","2-05874-1028","6629 BROADWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","84","1962","76009","946395","12.45","3270000","43","1.55"
"2-02458-0090","800 GRAND
Bronx, NY 
(40.825576999979, -73.918448999722)","2",,,,,,,,,,,,"260","1954","252105","2483234","9.85","7080000","28.1","2-02431-0001","1230 TELLER AVENUE
Bronx, NY 
(40.833020310279, -73.911140953192)","MELROSE/CONCOURSE","D3-ELEVATOR","79","1941","73724","689482","9.35","1970000","26.7","0.95","2-02456-0222","1188 SHERIDAN AVENUE
Bronx, NY 
(40.833602821655, -73.916950584665)","MELROSE/CONCOURSE","D1-ELEVATOR","52","1941","45360","446644","9.85","1270000","28","0.7"
"2-02711-0021","921 TIFFANY STREET
Bronx, NY 
(40.820144051176, -73.894949653186)","2","10459","40.820212","-73.894924","2","17","87","2097216","2027110021","Longwood                                                                   ",,,"18","1989","14000","143220","10.23","445000","31.8","2-02700-0001","911 165 STREET
Bronx, NY 
(40.823881120135, -73.89687133112)","MORRISANIA/LONGWOOD","C9-WALK-UP","18","1989","12730","139853","10.99","435000","34.2","0.35","2-04305-0004","1110 LYDIG AVENUE
Bronx, NY 
(40.854853609905, -73.856587287864)","PELHAM PARKWAY SOUTH","C1-WALK-UP","15","1952","14400","173232","12.03","598000","41.5","3.1"
"2-03716-0001","1569 BRUCKNER BOULEVARD
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10472","40.824151","-73.875786","9","18","5001","2023511","2037160001","Soundview-Bruckner                                                         ",,,"104","1962","124778","1247780","10","2920000","23.4","2-03115-0005","2405 SOUTHERN BOULEVARD
Bronx, NY 
(40.853581449523, -73.881650324937)","BELMONT","D1-ELEVATOR","142","1970","125075","1195589","9.56","2800000","22.39","2.1","2-03143-0036","333 181 STREET
Bronx, NY 
(40.825576999979, -73.918448999722)","FORDHAM","D1-ELEVATOR","120","1972","125685","1618323","12.88","3790000","30.2","2.25"
"2-02473-0067","660 WALTON AVENUE
Bronx, NY 
(40.821907385804, -73.927117568424)","2","10451","40.82262","-73.926809","4","8","63","2000000","2024670001","West Concourse                                                             ",,,"83","1936","119500","967950","8.1","2500000","20.92","2-02456-0175","1181 SHERIDAN AVENUE
Bronx, NY 
(40.833481206278, -73.917106521555)","MELROSE/CONCOURSE","D1-ELEVATOR","68","1936","72276","585544","8.1","1510000","20.89","0.8","2-02449-0064","1185 MORRIS AVENUE
Bronx, NY 
(40.832842958898, -73.91438067463)","MELROSE/CONCOURSE","D1-ELEVATOR","53","1936","45416","474017","10.44","1220000","26.9","0.85"
"2-03255-0065","3355 SEDGWICK AVENUE
Bronx, NY 
(40.880464017369, -73.896718715689)","2","10463","40.879654","-73.896953","8","11","279","2015661","2032550065","Van Cortlandt Village                                                      ",,,"135","1963","117045","1193859","10.2","3710000","31.7","2-03262-0077","114 238 STREET
Bronx, NY 
(40.88322655621, -73.897831894887)","KINGSBRIDGE/JEROME PARK","D1-ELEVATOR","139","1928","115428","1314475","11.39","4530000","39.2","0.2","2-04323-0018","2160 MATTHEWS AVENUE
Bronx, NY 
(40.855584960591, -73.862859391516)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","133","1964","136122","1496552","10.99","4650000","34.2","2.5"
"2-02876-0131","1713 NELSON AVENUE
Bronx, NY 
(40.848083178563, -73.91721947173)","2","10453","40.848427","-73.916751","5","14","21502","2008839","2028760131","University Heights-Morris Heights                                          ",,,"48","1927","58350","481971","8.26","1130000","19.37","2-02870-0016","2010 GRAND AVENUE
Bronx, NY 
(40.825576999979, -73.918448999722)","HIGHBRIDGE/MORRIS HEIGHTS","D1-ELEVATOR","48","1924","50400","416156","8.26","1070000","21.23","0.5","2-02870-0020","2020 GRAND AVENUE
Bronx, NY 
(40.825576999979, -73.918448999722)","HIGHBRIDGE/MORRIS HEIGHTS","D1-ELEVATOR","55","1925","50400","353882","7.02","828000","16.43","0.5"
"2-02534-0008","1380 DR
Bronx, NY 
(40.825576999979, -73.918448999722)","2",,,,,,,,,,,,"140","1967","182218","1598052","8.77","5156000","28.3","2-02869-0058","109 TREMONT AVENUE
Bronx, NY 
(40.850833686417, -73.907555995329)","HIGHBRIDGE/MORRIS HEIGHTS","D7-ELEVATOR","69","1941","64594","571081","8.84","1470000","22.76","1","2-02878-0015","1615 DR
Bronx, NY 
(40.825576999979, -73.918448999722)","HIGHBRIDGE/MORRIS HEIGHTS","D7-ELEVATOR","33","1917","46383","386814","8.34","906000","19.53","0.45"
"2-02992-0073","1883 VYSE AVENUE
Bronx, NY 
(40.839548757803, -73.883935022104)","2","10460","40.839785","-73.883715","6","17","359","2099924","2029920073","East Tremont                                                               ",,,"16","1993","15840","260295","16.43","1030000","65","2-03077-0050","2463 HUGHES AVENUE
Bronx, NY 
(40.856473248628, -73.885857632554)","BELMONT","C1-WALK-UP","16","2004","13520","260295","19.25","1130000","84","1.1","2-03199-0007","2392 GRAND AVENUE
Bronx, NY 
(40.825576999979, -73.918448999722)","KINGSBRIDGE HTS/UNIV HTS","C1-WALK-UP","16","2005","15712","302456","19.25","1310000","83","1.8"
"2-05856-0378","6485 BROADWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10471","40.905352","-73.896457","8","11","345","2091886","2058560378","North Riverdale-Fieldston-Riverdale                                        ",,,"129","1961","127000","1460500","11.5","5040000","39.7","2-05904-0267","600 239 STREET
Bronx, NY 
(40.889579457198, -73.911174785847)","RIVERDALE","D1-ELEVATOR","90","1956","98681","1233096","12.5","4250000","43.1","1.35","2-05787-0137","3220 NETHERLAND AVENUE
Bronx, NY 
(40.883961568175, -73.911511205264)","RIVERDALE","D1-ELEVATOR","85","1954","100498","1174179","11.68","4050000","40.3","1.6"
"2-03263-0235","3840 CANNON PLACE
Bronx, NY 
(40.883081338019, -73.896092507135)","2","10463","40.883514","-73.895381","8","11","279","2092476","2032630235","Van Cortlandt Village                                                      ",,,"171","1958","170350","2014214","11.82","4720000","27.7","2-02511-0022","939 WOODYCREST AVENUE
Bronx, NY 
(40.831083385627, -73.929244003222)","HIGHBRIDGE/MORRIS HEIGHTS","D7-ELEVATOR","169","1928","196432","1659956","8.45","4280000","21.79","4.05","2-03100-0065","711 GARDEN STREET
Bronx, NY 
(40.825576999979, -73.918448999722)","BELMONT","D7-ELEVATOR","167","1971","190000","2147783","11.3","5030000","26.5","2.3"
"2-05950-0406","5410 NETHERLAND AVENUE
Bronx, NY 
(40.902113378385, -73.906933400807)","2","10471","40.902201","-73.90692","8","11","323","2086306","2059500406","North Riverdale-Fieldston-Riverdale                                        ",,,"144","1939","189592","2275104","12","7850000","41.4","2-05732-0941","2728 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","121","1928","158408","2099998","13.26","7670000","48.4","1.55","2-05780-0940","3900 GREYSTONE AVENUE
Bronx, NY 
(40.88950389842, -73.904451506606)","RIVERDALE","D1-ELEVATOR","127","1928","134703","1461293","10.85","4540000","33.7","1"
"2-02721-0042","1019 LONGWOOD AVENUE
Bronx, NY 
(40.816607228367, -73.89665312146)","2","10459","40.816566","-73.896621","2","17","89","2005745","2027210042","Hunts Point                                                                ",,,"16","1931","18300","184647","10.09","527000","28.8","2-02426-0002","1100 CLAY AVENUE
Bronx, NY 
(40.829761589995, -73.91201608211)","MELROSE/CONCOURSE","C1-WALK-UP","16","1929","14355","139049","9.69","397000","27.7","1.2","2-03071-0039","2220 ADAMS PLACE
Bronx, NY 
(40.852074704658, -73.889315714902)","BELMONT","C1-WALK-UP","16","1931","14652","211574","14.44","772000","53","2.45"
"2-05779-0820","3840 GREYSTONE AVENUE
Bronx, NY 
(40.888520649836, -73.90484668984)","2","10463","40.888257","-73.904958","8","11","335","2084039","2057790820","North Riverdale-Fieldston-Riverdale                                        ",,,"127","1951","186480","2358972","12.65","8140000","43.7","2-05909-0163","3950 BLACKSTONE AVENUE
Bronx, NY 
(40.890261642548, -73.911362719053)","RIVERDALE","D1-ELEVATOR","176","1959","237000","2849258","12.02","9830000","41.5","0.4","2-05920-0670","3801 HUDSON MANOR TERRACE
Bronx, NY 
(40.888545076654, -73.915673378076)","RIVERDALE","D1-ELEVATOR","135","1960","152400","2104803","13.81","7680000","50","0.55"
"2-02373-0043","3531 3 AVENUE
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10456","40.831472","-73.905653","3","16","145","2091169","2023730043","Claremont-Bathgate                                                         ",,,"15","1920","12651","126510","10","296000","23.4","2-02603-0067","576 TIMPSON PLACE
Bronx, NY 
(40.825576999979, -73.918448999722)","MORRISANIA/LONGWOOD","D1-ELEVATOR","50","1920","51384","556936","10.84","1730000","33.7","1.4","2-02665-0061","721 UNION AVENUE
Bronx, NY 
(40.817112732397, -73.90379396409)","MORRISANIA/LONGWOOD","C7-WALK-UP","49","1920","43750","408800","9.34","957000","21.87","1.05"
"2-03073-0041","2386 ARTHUR AVENUE
Bronx, NY 
(40.855246380615, -73.887790918873)","2","10458","40.855226","-73.887834","6","15","391","2012139","2030730041","Belmont                                                                    ",,,"15","1905","10776","106143","9.85","249000","23.11","2-03078-0010","2500 ARTHUR AVENUE
Bronx, NY 
(40.857575550821, -73.885815272598)","BELMONT","C7-WALK-UP","16","1903","13600","154851","11.39","534000","39.3","0.2","2-03086-0007","643 182 STREET
Bronx, NY 
(40.851216932019, -73.888496981664)","BELMONT","C7-WALK-UP","17","1907","11232","109224","9.72","312000","27.8","0.2"
"2-04429-0001","2550 OLINVILLE AVENUE
Bronx, NY 
(40.863816236651, -73.868382894818)","2","10467","40.863941","-73.868401","11","15","33202","2051300","2044290001","Bronxdale                                                                  ",,,"213","1965","232532","2708997","11.65","9350000","40.2","2-04338-0012","660 THWAITES PLACE
Bronx, NY 
(40.858845897175, -73.869087756)","BRONXDALE","D1-ELEVATOR","108","1954","137350","1366632","9.95","3900000","28.4","0.4","2-04342-0010","2280 OLINVILLE AVENUE
Bronx, NY 
(40.859362051632, -73.868536757872)","BRONXDALE","D1-ELEVATOR","256","1965","255000","2971510","11.65","10300000","40.4","0.3"
"2-03199-0062","2400 DAVIDSON AVENUE
Bronx, NY 
(40.861516778278, -73.903091481949)","2","10468","40.861645","-73.903062","7","14","253","2014321","2031990062","Kingsbridge Heights                                                        ",,,"52","1923","40000","424000","10.6","993000","24.83","2-03193-0001","2042 GRAND AVENUE
Bronx, NY 
(40.825576999979, -73.918448999722)","KINGSBRIDGE HTS/UNIV HTS","C7-WALK-UP","55","1923","54723","486578","8.89","1260000","23.03","0.6","2-03214-0013","2532 UNIVERSITY AVENUE
Bronx, NY 
(40.825576999979, -73.918448999722)","KINGSBRIDGE HTS/UNIV HTS","C7-WALK-UP","57","1922","42730","474956","11.12","1230000","28.8","0.3"
"2-03126-0028","940 178 STREET
Bronx, NY 
(40.842471366382, -73.882824399829)","2",,,,,,,,,,,,"18","1992","17820","220077","12.35","759000","42.6","2-03080-0038","2037 BELMONT AVENUE
Bronx, NY 
(40.847875903687, -73.890421067013)","EAST TREMONT","C1-WALK-UP","17","1909","11629","125843","10.82","295000","25.4","0.6","2-03187-0045","2327 WALTON AVENUE
Bronx, NY 
(40.859208346744, -73.902324976372)","FORDHAM","C1-WALK-UP","17","1926","16200","200000","12.35","690000","42.6","1.6"
"2-03081-0042","2114 BELMONT AVENUE
Bronx, NY 
(40.849028021593, -73.889483192444)","2","10457","40.849035","-73.889507","6","15","373","2012360","2030810042","East Tremont                                                               ",,,"16","1927","12200","132370","10.85","310000","25.4","2-03080-0038","2037 BELMONT AVENUE
Bronx, NY 
(40.847875903687, -73.890421067013)","EAST TREMONT","C1-WALK-UP","17","1909","11629","125843","10.82","295000","25.4","0.1","2-03111-0040","2136 MAPES AVENUE
Bronx, NY 
(40.847542610293, -73.884706421066)","EAST TREMONT","C1-WALK-UP","20","1931","16840","187065","11.11","438000","26","0.25"
"2-02717-0048","1049 FOX STREET
Bronx, NY 
(40.825028970409, -73.893927209844)","2","10459","40.825105","-73.893894","2","17","12701","2005682","2027170048","Hunts Point                                                                ",,,"42","1915","42000","475648","11.32","1110000","26.4","2-03172-0011","2324 MORRIS AVENUE
Bronx, NY 
(40.858867944165, -73.90138611632)","FORDHAM","D1-ELEVATOR","43","1937","41910","414086","9.88","1180000","28.2","2.35","2-03324-0055","3450 GATES PLACE
Bronx, NY 
(40.882612296384, -73.883905242653)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","43","1937","41610","452061","10.86","1400000","33.6","3.95"
"2-02516-0026","136 168 STREET
Bronx, NY 
(40.836087065433, -73.91748632609)","2",,,,,,,,,,,,"36","1926","30800","326480","10.6","764000","24.81","2-02514-0036","1065 NELSON AVENUE
Bronx, NY 
(40.834352015691, -73.92770737014)","HIGHBRIDGE/MORRIS HEIGHTS","C7-WALK-UP","30","1926","31875","336828","10.57","1050000","32.9","0.2","2-02521-0005","1360 PLIMPTON AVENUE
Bronx, NY 
(40.841543034492, -73.923645262387)","HIGHBRIDGE/MORRIS HEIGHTS","C1-WALK-UP","41","1926","36667","374700","10.22","1160000","31.6","0.3"
"2-04341-0001","665 THWAITES PLACE
Bronx, NY 
(40.858899993647, -73.868922833194)","2","10467","40.858853","-73.868957","11","15","33201","2049998","2043410001","Bronxdale                                                                  ",,,"135","1962","125891","1524540","12.11","5260000","41.8","2-04633-0001","831 BARTHOLDI STREET
Bronx, NY 
(40.8738024884, -73.862386094326)","BRONXDALE","D1-ELEVATOR","122","1973","127629","1545572","12.11","4410000","34.6","1.05","2-04342-0010","2280 OLINVILLE AVENUE
Bronx, NY 
(40.859362051632, -73.868536757872)","BRONXDALE","D1-ELEVATOR","256","1965","255000","2971510","11.65","10300000","40.4","0.05"
