"vio_id","acct_num","acct_owner","violation_num","vio_law_num","vio_law_desc","vio_date","action","prem_addr","bin","communitydistrict","citycouncildistrict","bbl","cent_latitude","cent_longitude","zipcode","borough","number","street","census_tract","nta"
"1","28209732","MTA NYC TRANSIT","E494287","SPK 40","PROVIDE/POST VALVES SIGNS SPK SY","2017-04-20T00:00:00.000","OPEN","1 SO FERRY STATION","0",,,,,,,,"1","SO FERRY STATION",,
"2","28209732","MTA NYC TRANSIT","E494287","SPK 36","OBTAIN A COF SPRINKLER SYSTEM","2017-04-20T00:00:00.000","OPEN","1 SO FERRY STATION","0",,,,,,,,"1","SO FERRY STATION",,
"3","28209732","MTA NYC TRANSIT","E494287","SPK 38","RECORDSYSINSPS,TESTS,OTHER MAINTENANCE","2017-04-20T00:00:00.000","OPEN","1 SO FERRY STATION","0",,,,,,,,"1","SO FERRY STATION",,
"4","38373478","NYC DEPT OF EDUCATION","E561065","SPPA 4","NO PA PERMIT","2018-11-07T00:00:00.000","OPEN","21 WEST END AVE","0",,,,,,,,"21","WEST END AVE",,
"5","87008421","CHURCH OF JESUS CHRIST","E402518","SPPA 4","NO PA PERMIT","2014-10-10T00:00:00.000","OPEN","343 COURT ST","0",,,,,,,,"343","COURT ST",,
"6","34241299","NYC DEPT OF CORRECTION","E425128","OTHER0001","SEE FOLDER INFORMATION","2014-12-09T00:00:00.000","OPEN","17-19 HAZEN ST","0",,,,,,,,"17-19","HAZEN ST",,
"7","37092749","NYCDEPT OF PARKS STRATIS","E495697","OTHER0001","SEE FOLDER INFORMATION","2017-02-23T00:00:00.000","OPEN","301 SHORE RD","0",,,,,,,,"301","SHORE RD",,
"8","32276305","AUDBON","E34679907","OTHER0001","SEE FOLDER INFORMATION","2012-07-05T00:00:00.000","OPEN","2323 ADAM CLAYTON BLVD","0",,,,,,,,"2323","ADAM CLAYTON BLVD",,
"9","28029114","MTA NYC TRANSIT","E520247","SPK 36","OBTAIN A COF SPRINKLER SYSTEM","2018-07-25T00:00:00.000","OPEN","1 BEACH 116 ST STAT","0",,,,,,,,"1","BEACH 116 ST STAT",,
"10","28029114","MTA NYC TRANSIT","E520247","SPK 37","PROVIDE /MAINTAIN RECORDS INSP SPK SYS","2018-07-25T00:00:00.000","OPEN","1 BEACH 116 ST STAT","0",,,,,,,,"1","BEACH 116 ST STAT",,
"11","28029114","MTA NYC TRANSIT","E520247","SPK 56","PROVIDE / POST SIGN SPK CONTROL ROOM","2018-07-25T00:00:00.000","OPEN","1 BEACH 116 ST STAT","0",,,,,,,,"1","BEACH 116 ST STAT",,
"12","28029114","MTA NYC TRANSIT","E520247","SPK 54","LOCATE AND EXPOSE CURBSHUTOFF VALVE","2018-07-25T00:00:00.000","OPEN","1 BEACH 116 ST STAT","0",,,,,,,,"1","BEACH 116 ST STAT",,
"13","28029114","MTA NYC TRANSIT","E520247","SPK 48","PROVIDE/POST SIGN CURBSHUTOFF VALVE","2018-07-25T00:00:00.000","OPEN","1 BEACH 116 ST STAT","0",,,,,,,,"1","BEACH 116 ST STAT",,
"14","38152336","RIVERSIDE CTR PARCEL2BIT","E548084","OTHER0001","SEE FOLDER INFORMATION","2018-05-09T00:00:00.000","OPEN","21 WEST END AVE","0",,,,,,,,"21","WEST END AVE",,
"15","89004030","COST CUTTER FUEL CORP","E446703","OTHER0001","SEE FOLDER INFORMATION","2016-02-25T00:00:00.000","OPEN","1103 E GUNHILL RD","0",,,,,,,,"1103","E GUNHILL RD",,
"16","29184652","TONY'S YARD REST","E285369","RH-24","INSULATION OF GREASE DUCTS","2009-10-03T00:00:00.000","OPEN","1610 TILDEN AVE","0",,,,,,,,"1610","TILDEN AVE",,
"17","29184652","TONY'S YARD REST","E285369","RH-53","SEMI ANNUAL INSPECTION & RECORDS REQ.","2009-10-03T00:00:00.000","OPEN","1610 TILDEN AVE","0",,,,,,,,"1610","TILDEN AVE",,
"18","29184652","TONY'S YARD REST","E285369","RH-54","QUARTERLY EXHAUST SYSTEM CLEANING","2009-10-03T00:00:00.000","OPEN","1610 TILDEN AVE","0",,,,,,,,"1610","TILDEN AVE",,
"19","29184652","TONY'S YARD REST","E285369","RH-81","PROVIDE CLEANING & OPER INST & DUCT SKET","2009-10-03T00:00:00.000","OPEN","1610 TILDEN AVE","0",,,,,,,,"1610","TILDEN AVE",,
"20","29184652","TONY'S YARD REST","E285369","RH-85","REINSPECTION REQUIRED","2009-10-03T00:00:00.000","OPEN","1610 TILDEN AVE","0",,,,,,,,"1610","TILDEN AVE",,
"21","29184652","TONY'S YARD REST","E201840","RH-84","VIOLATIONS PENDING","2009-10-03T00:00:00.000","OPEN","1610 TILDEN AVE","0",,,,,,,,"1610","TILDEN AVE",,
"22","32147266","JERICHO HOUSE","E384429","OTHER0001","SEE FOLDER INFORMATION","2013-01-03T00:00:00.000","OPEN","2013 ADAM CLAYTON BLVD","0",,,,,,,,"2013","ADAM CLAYTON BLVD",,
"23","32147266","JERICHO HOUSE","E346154","OTHER0001","SEE FOLDER INFORMATION","2012-05-11T00:00:00.000","OPEN","2013 ADAM CLAYTON BLVD","0",,,,,,,,"2013","ADAM CLAYTON BLVD",,
"24","32195075","CHASE COLLISION","E432886","SPRY00B31","FILE PLANS OF INSTALLATION WITH BLDGS","2017-12-21T00:00:00.000","OPEN","1213-43 E 15 ST","0",,,,,,,,"1213-43","E 15 ST",,
"25","32195075","CHASE COLLISION","E372401","SPRY00B31","FILE PLANS OF INSTALLATION WITH BLDGS","2013-04-29T00:00:00.000","OPEN","1213-43 E 15 ST","0",,,,,,,,"1213-43","E 15 ST",,
"26","32238875","CELIT HOLDINGS LLC","E373059","OTHER0001","SEE FOLDER INFORMATION","2012-07-13T00:00:00.000","OPEN","30-30 THOMPSON AVE","0",,,,,,,,"30-30","THOMPSON AVE",,
"27","34142166","NYC DEPT OF CORRECTION","E312152","LPG090","UNAPPROVED OUTDOOR STORAGE","2014-06-05T00:00:00.000","OPEN","30 PERIMETER RD","0",,,,,,,,"30","PERIMETER RD",,
"28","28106268","CHELSEA PIERS MGMT INC.","E369570","OTHER0001","SEE FOLDER INFORMATION","2014-05-03T00:00:00.000","OPEN","1 CHELSEA PIERS","0",,,,,,,,"1","CHELSEA PIERS",,
"29","28069136","MTA NYC TRANSIT","E520242","OTHER0001","SEE FOLDER INFORMATION","2018-06-30T00:00:00.000","OPEN","3 CANAL ST STATION","0",,,,,,,,"3","CANAL ST STATION",,
