"company_name","company_contact","company_email","company_phone","address","city","state","zip","industry","industry_descr","company_type","current_fulltime","job_create","job_retain","effective_date","total_savings","savings_from_beginning","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"100 Church LLC","Edward A. Carroll",,"2125663000","100 Church Street","NY","NY","10007","Commercial","21 Floors","LMEP",,,,"2008-04-02T00:00:00.000","415074.57","4287119.85","MANHATTAN","40.712968","-74.00949","101","1","21","1001409","1001250020","SoHo-TriBeCa-Civic Center-Little Italy"
"100 Wall Investments","Jerry Branam",,"2122487160","96 Wall Street","New York","NY","10005","Landlord",,"LMEP","1238",,,"2015-01-05T00:00:00.000","285278.88","1290839.09","MANHATTAN","40.705052","-74.007199","101","1","7","1000875","1000380001","Battery Park City-Lower Manhattan"
"120 Broadway Acquisitions JV, LLC (Ldmk)","Carl Letich","clettich@silvprop.com","2124064020","120 Broadway","New York","NY","10271","Commercial",,"LMEP","2699",,,"2017-06-30T00:00:00.000","918063.14","1723157.93","MANHATTAN","40.708546","-74.011041","101","1","7","1001026","1000477501","Battery Park City-Lower Manhattan"
"120 Wall Street, LLC","Jason McCalla","jmccalla@silvprop.com","2125517391","120 Wall Street","New York","NY","10005","Commercial","Back Offices","LMEP","958",,,"2015-07-02T00:00:00.000","374799.79","1474907.67","MANHATTAN","40.70438","-74.006427","101","1","7","1000871","1000370001","Battery Park City-Lower Manhattan"
"125 Broad Unit A LLC","Sarah A. Parnes",,"2126724759","125 Broad Street","NY","NY","10004","Commercial",,"LMEP",,,,"2006-02-02T00:00:00.000","27777.80","780401.30","MANHATTAN","40.702112","-74.011249","101","1","9","1000006","1000057501","Battery Park City-Lower Manhattan"
"139 ACA Realty, Inc.","Eitan Chandally","barbara@dial7.com","7187076123","43-23 35th Street","Long Island City","NY","11101","Commercial","Limousine Service","ICIP","125",,,"2008-04-07T00:00:00.000","5373.19","127764.10","QUEENS","40.745706","-73.929565","402","26","179","4003160","4002220017","Hunters Point-Sunnyside-West Maspeth"
"141 Lake Avenue Realty c/o JR Produce, Inc.","Josef Raz","jrproduce@gmail.com","7183708782","141 Lake Avenue","Staten Island","NY","10303","Wholesale/Warehouse/Distribution","Dist. of prepacked salads","ICIP","6",,,"2009-12-08T00:00:00.000","6601.15","52883.04","STATEN IS","40.633153","-74.150999","501","49","239","5146740","5011610020","Mariner's Harbor-Arlington-Port Ivory-Graniteville"
"14-10 123rd Street LLC","Danica/Ivan Drazic","ddrazic@atjelectrical.com","7183210117","14-10 123rd Street","College Point","NY","11356","Commercial","Electrical Parts Mfg.","ICIP","35",,,"2011-03-04T00:00:00.000","2834.19","24414.78","QUEENS","40.785144","-73.844833","407","19","929","4098344","4040850036","College Point"
"17 Battery Place","Energy Spectrum","Eskoblo@energyspec.com","7186779077","17 Battery Place","NY","NY","10004","Commercial","31 Floors","LMEP","316",,,"2005-08-02T00:00:00.000","18777.77","3446875.28","MANHATTAN","40.704884","-74.015927","101","1","13","1082634","1000157501","Battery Park City-Lower Manhattan"
"17 State Street, LLC","David  Neiburg",,"7186779077","17 State Street","NY","NY","10004","Commercial",,"LMEP","3000",,,"2006-04-04T00:00:00.000","124905.29","2683585.23","MANHATTAN","40.702798","-74.014246","101","1","9","1000020","1000090014","Battery Park City-Lower Manhattan"
