"year","agency","agency_name","facility_center_name","service_category","borough","address","zip_code","facility_cleaning_maintenance","facility_operations_score","facility_overall_score","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"2021","DCA","Department of Consumer Affairs","Collections Unit","Collections Unit","Manhattan","42 Broadway","10004","100","100","100","40.70627","-74.012909","101","1","9","1000812","1000220020","Battery Park City-Lower Manhattan"
"2021","DCA","Department of Consumer Affairs","Small Business 1st","Licensing Unit","Queens","90-15 Sutphin Blvd","11435","100","100","100","40.702571","-73.808241","412","24","240","4206784","4096770007","Jamaica"
"2021","DEP","Department of Environmental Protection","Borough Office","Bronx Borough Office","Bronx","1932 Arthur Ave.","10457","100","100","100","40.845685","-73.893294","206","17","36901","2009911","2029470018","East Tremont"
"2021","DEP","Department of Environmental Protection","Borough Office","Queens Borough Office","Queens","96-05 Horace Harding Exp.","11368","100","100","100","40.734383","-73.864309","404","21","455","4047337","4019180114","Corona"
"2021","DEP","Department of Environmental Protection","Borough Office","Brooklyn Borough Office","Brooklyn","250 Livingston St.","11201","100","100","100","40.689033","-73.984228","302","33","37","3329443","3001650022","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"2021","DEP","Department of Environmental Protection","Borough Office","Staten Island Borough Office","Staten Island","60 Bay St.","10301","100","100","100","40.640558","-74.07569","501","49","3","5000025","5000050051","West New Brighton-New Brighton-St. George"
"2021","DHS","Department of Homeless Services","Adult Family Intake Center","Adult Family Intake Center","Manhattan","400-430 E 30th St.","10016","100","100","100","40.74113","-73.975021","106","4","62","1087298","1009620097","Murray Hill-Kips Bay"
"2021","DOB","Department of Buildings","Borough Office","Brooklyn Borough Office","Brooklyn","210 Joralemon St.","11201","93","100","96","40.692459","-73.990491","302","33","9","3002558","3002667501","Brooklyn Heights-Cobble Hill"
"2021","DOB","Department of Buildings","Licensing Unit","Licensing Unit","Manhattan","280 Broadway","10007","100","100","100","40.714417","-74.006089","101","1","31","1079215","1001530001","SoHo-TriBeCa-Civic Center-Little Italy"
"2021","DOB","Department of Buildings","Cranes and Derricks","Cranes and Derricks","Manhattan","2 Lafayette Street","10007","100","100","100","40.713723","-74.003586","101","1","31","1001672","1001550001","SoHo-TriBeCa-Civic Center-Little Italy"
"2021","DOB","Department of Buildings","Borough Office","Manhattan Borough Office","Manhattan","280 Broadway","10007","97","100","98","40.714417","-74.006089","101","1","31","1079215","1001530001","SoHo-TriBeCa-Civic Center-Little Italy"
"2021","DOB","Department of Buildings","Borough Office","Queens Borough Office","Queens","120-55 Queens Blvd.","11424","93","100","97","40.713329","-73.828601","409","29","216","4052812","4022740002","Kew Gardens"
"2021","DOB","Department of Buildings","Borough Office","Staten Island Borough Office","Staten Island","10 Richmond Ter., Borough Hall","10301","100","100","100","40.642197","-74.075201","501","49","3","5000063","5000070001","West New Brighton-New Brighton-St. George"
"2021","DOB","Department of Buildings","Certificate of Operation","Certificate of Operation","Manhattan","280 Broadway","10007","88","92","90","40.714417","-74.006089","101","1","31","1079215","1001530001","SoHo-TriBeCa-Civic Center-Little Italy"
"2021","DOB","Department of Buildings","Central Filing and Billing Unit","Central Filing and Billing Unit","Manhattan","280 Broadway","10007","100","100","100","40.714417","-74.006089","101","1","31","1079215","1001530001","SoHo-TriBeCa-Civic Center-Little Italy"
"2021","DOB","Department of Buildings","Borough Office","Bronx Borough Office","Bronx","1932 Arthur Ave.","10457","93","100","96","40.845685","-73.893294","206","17","36901","2009911","2029470018","East Tremont"
"2021","DOB","Department of Buildings","Central Cashier Unit","Central Cashier Unit","Manhattan","280 Broadway","10007","100","100","100","40.714417","-74.006089","101","1","31","1079215","1001530001","SoHo-TriBeCa-Civic Center-Little Italy"
"2021","DOF","Department of Finance","Business Center","Bronx Business Center","Bronx","3030 3rd Ave.","10455","100","100","100","40.819857","-73.913268","201","17","71","2117395","2023630024","Melrose South-Mott Haven North"
"2021","DOF","Department of Finance","Business Center","Brooklyn Business Center","Brooklyn","210 Joralemon St.","11201","100","100","100","40.692459","-73.990491","302","33","9","3002558","3002667501","Brooklyn Heights-Cobble Hill"
"2021","DOF","Department of Finance","Business Center","Staten Island Business Center","Staten Island","350 St. Marks Pl.","10301","100","100","100","40.640708","-74.077697","501","49","3","5000185","5000160054","West New Brighton-New Brighton-St. George"
"2021","DOF","Department of Finance","City Register","City Register","Manhattan","66 John St.","10038","100","100","100","40.708933","-74.007614","101","1","1502","1079043","1000670001","Battery Park City-Lower Manhattan"
"2021","DOF","Department of Finance","Business Center","Queens Business Center","Queens","144-06 94th Ave.","11435","100","100","100","40.698517","-73.8083","412","27","208","4439745","4099930003","Jamaica"
