"type_of_business","business_type_other","company_name","company_description","street_address","apt_number","borough","postal_code","business_phone","contact_name","contact_title","contact_phone","contact_fax","location_1","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Advertising",,"Latinvox","We are a 100+ minority-owned Hispanic business and advertising communications agency helping clients communicate effectively with the U.S. Hispanic markets in a fully integrated fashion.","28 West 25th Street","6th Floor","Manhattan","10010","(212)633-0440","Roberto Ramos","President/CEO","(212)633-0440","(212)633-0434","28 25th Street
Manhattan, NY 10010
(40.741935692384, -73.986622259818)","40.743416","-73.990083","5","3","58","1080687","1008260057","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Dance Company",,"Ballet Hispanico","Ballet Hispanico explores, preserves, and celebrates Latino cultures through dance. The mission unfolds in the work of the professional Company, the School of Dance, and the Education and Outreach programs. Together, these divisions celebrate the dynamic aesthetics of the Hispanic Diaspora, building new avenues of cultural dialogue and sharing the joy of dance with all communities.","167 West 89th Street",,"New York","10024","212-362-6710","Anne Johnson","Marketing Manager","212-362-6710","646-492-5988","167 89th Street
New York, NY 10024
(40.789265783498, -73.972795694122)","40.78917","-73.972525","7","6","173","1081050","1012200107","Upper West Side                                                            "
"Production Company",,"Nuyorktricity","Nuyorktricity (a.k.a. NY3) is a full service one-stop shop for all your video, graphic, and music productions.  Services include the production, direction, and editing of affordable live event coverage, promos, music videos, E.P.K.'s, television commercials, photography, feature films, and web design.","325 3rd Avenue","Suite 42","Manhattan","10010","212-213-9890","Michael Vargas","CEO, Director of Production","917-496-4813","212-213-9890","325 3rd Avenue
Manhattan, NY 10010
(40.739731126124, -73.982490385597)","40.739682","-73.98252","6","2","66","1019784","1009050003","Murray Hill-Kips Bay                                                       "
"Production Company",,"rhinoedit","rhinoedit and rhinofx are committed to providing the advertising, broadcast television and feature film industries with the best in post-production services. What began as a creative editorial company has expanded into one of the largest boutiques in the industry.","50 E. 42nd St.","3rd Floor","Manhattan","10017","(212)986-1577","David Binstock","CEO","(212)986-1577","(212)972-0702","50 42nd St
Manhattan, NY 10017
(40.752621047366, -73.978892600674)","40.752702","-73.97907","5","4","82","1035336","1012760051","Murray Hill-Kips Bay                                                       "
"Production Company",,"Red Creek Productions","Red Creek Productions is a film, TV spots, live events, theater and television production company. It has its headquarters in New York City and offices in Buenos Aires, Argentina and San Jose, Costa Rica. It has produced over 100 television commercials for the likes of Nintendo, Procter & Gamble and Beck's, and it's currently completing its first two feature films.","184 Kent Avenue","Suite 305","Brooklyn","11211","718-486-8928","Nicolas Entel","Producer/Director","718-486-8928","718-486-8928","184 Kent Avenue
Brooklyn, NY 11211
(40.718528853431, -73.963686090784)","40.718491","-73.963698","1","33","555","3062358","3023487501","North Side-South Side                                                      "
"Production Company",,"The Image Factory, Inc. ","The Image Factory, Inc. is a Latin owned full-service production company handling all aspects of Film and Television production in the heart of New York City.","244-250 West 49th Street","Suite 703","Manhattan","10019","646-432-3300","Carlo Ocando","President","646-432-3301","646-432-3303","244 250 West 49th Street
Manhattan, NY 10019
(40.76761164716, -73.991805500224)","40.761152","-73.985377","5","3","125","1024785","1010200059","Midtown-Midtown South                                                      "
"Production Company",,"Chica Luna Productions, Inc.","Chica Luna Productions is a non-profit organization that seeks to develop and support women of color who use popular media to engage social justice themes and are accountable to their communities. Founded in September 2001 by three working artists who gathered to produce progressive multi-media projects, Chica Luna has since grown to include members in both New York and Los Angeles, and has established a track record of partnering with like-minded individuals and organizations toward promoting socially conscious media by, about and for people of color.","1690 Lexington Ave","2nd Floor","Manhattan","10029","(212) 410-3544","Karly Beaumont","Director Of Operations","212-410-3544","212-410-3545","1690 Lexington Ave
Manhattan, NY 10029
(40.792386430939, -73.946175762054)","40.79235","-73.946215","11","8","172","1052019","1016340015","East Harlem South                                                          "
"Production Company",,"Maximas Productions","Maximas Productions is a boutique, fully functional production facility based in New York City, which combines the business acumen of Robert Rose, President with the creative talents of Renzo Devia, Creative Director and Supervising Producer. Maximas is an award winning production company that specializes in producing content for the young, U.S. born Latino market. The production company is best known for producing ""Urban Latino TV"", ""American Latino TV"", ""Sonidos"" and ""Latin Fuze.""","201 East 16th Street","5th Floor","Manhattan","10003","212-255-0595","Renzo Devia ","Supervising Producer","212-255-0595","212-255-9232","201 16th Street
Manhattan, NY 10003
(40.734628220571, -73.9861523325)","40.734533","-73.985992","6","2","48","1019533","1008970041","Gramercy                                                                   "
"Magazine / Newspaper / Publishing",,"People en Espa̱ol","With unparalleled access and powerful, exclusive coverage of cultural icons, trends and community, People en Espanol celebrates the pride and passion of Hispanic culture.","1271 Ave. of the Americas","35th Floor","Manhattan","10020","(212) 522-1212","Peter Castro","Publisher","(212) 522-1212","(212)467-4845","1271 Ave
Manhattan, NY 10020
(40.759498513146, -73.980074397216)","40.760289","-73.980157","5","4","131","1022709","1010030029","Midtown-Midtown South                                                      "
"PR / Communications / Marketing","Marketing & Media ","Planet Sur ","Planet Sur is a lifestyle marketing and media company that develops innovative in-culture brand strategies through original content that engages; culture that inspires; events that entertain; marketing campaigns that call to action. Our mission is to become the go-to resource for marketers who wish to connect with cultural creative, professionals and urban influentials pushing the edge of Latin-American art, culture, music, fashion, film, media and entertainment. ","210 East 15th Street","6H","Manhattan","10003","212-533-9544","Shari Grossman","Founder & CEO","212-533-9544","212-375-1513","210 15th Street
Manhattan, NY 10003
(40.733770423896, -73.986273280087)","40.733688","-73.986018","6","2","48","1019521","1008960039","Gramercy                                                                   "
