"acronym","agency","appeal_subtype","appeal_type","date_closed","date_filed","exam_no","expiration","extension","status","title"
"NYPD","Police Department","Psych","Section 50","2019-12-20T00:00:00.000","2019-08-14T16:45:03.000","7323","2021-12-13T00:00:00.000",,"Closed","Police Officer"
"DCAS","Department of Citywide Administrative Services",,"Waiting for DQ","2019-04-11T00:00:00.000","2019-02-11T15:59:13.000",,,,"Closed",
"NYCTA","Transit Authority","Score","Section 50","2019-06-05T00:00:00.000","2019-02-25T00:00:00.000","7613","2022-11-21T00:00:00.000",,"Closed","Transit Electro-Mechanical Maintainer (V & D)"
"DOC","Department of Correction","Psych","Section 50",,"2019-11-07T00:00:00.000","8308","2022-01-31T00:00:00.000",,"Open","Correction Officer"
"HRA","Human Resources Administration","Character","Section 50",,"2019-11-10T00:16:51.000","5537","2021-02-22T00:00:00.000",,"Open","Principal Administrative Associate"
"NYCTA","Transit Authority","Timeliness","Section 50","2020-01-02T00:00:00.000","2019-11-06T00:00:00.000","9623",,,"Closed","Structure Maintainer Group C"
"DCAS","Department of Citywide Administrative Services","Eligibility","Section 50",,"2019-12-21T23:58:01.000","9507","2023-10-09T00:00:00.000",,"Open","Promotion to Computer Systems Manager"
"NYCTA","Transit Authority",,"Duplicate Filing",,"2019-03-11T00:00:00.000",,,,"Closed",
"NYCTA","Transit Authority","Education and Experience","Section 50","2019-04-22T00:00:00.000","2019-03-22T00:00:00.000","7604","2022-09-19T00:00:00.000",,"Closed","Train Operator"
"NYPD","Police Department","Psych","Section 50","2020-01-10T00:00:00.000","2019-08-06T16:27:14.000","5305","2021-03-02T00:00:00.000",,"Closed","Police Officer"
"DCAS","Department of Citywide Administrative Services",,"Other","2019-03-29T00:00:00.000","2019-03-22T11:40:12.000",,,,"Closed",
"DOC","Department of Correction","Character","Section 50","2019-10-04T00:00:00.000","2019-04-29T00:00:00.000","6315","2020-06-15T00:00:00.000",,"Closed","Correction Officer"
"DCAS","Department of Citywide Administrative Services",,"Other","2019-03-29T00:00:00.000","2019-03-16T16:26:01.000",,,,"Closed",
"DOC","Department of Correction","Character","Section 50","2019-10-07T00:00:00.000","2019-05-29T11:44:35.000","7320","2021-01-11T00:00:00.000",,"Closed","Correction Officer"
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50","2019-09-24T00:00:00.000","2019-03-19T00:00:00.000","8071","2023-03-20T00:00:00.000",,"Closed","Administrative Quality Assurance Specialist"
"NYCTA","Transit Authority","Score","Section 50","2019-09-16T00:00:00.000","2019-05-20T00:00:00.000","6617","2022-04-04T00:00:00.000",,"Closed","Revenue Equipment Maintainer"
"DCAS","Department of Citywide Administrative Services","Timeliness","Section 50","2019-09-17T00:00:00.000","2019-07-25T00:00:00.000","8062","2023-06-12T00:00:00.000",,"Closed","Certified IT Developer (Applications)"
"NYCTA","Transit Authority","Education and Experience","Section 50","2019-06-07T00:00:00.000","2019-04-04T00:00:00.000","7604","2022-09-19T00:00:00.000",,"Closed","Train Operator"
"NYCHA","Housing Authority","Termination","Section 76","2019-08-01T00:00:00.000","2019-04-24T09:40:26.000",,,,"Closed",
"DCAS","Department of Citywide Administrative Services","Timeliness","Section 50","2020-01-21T00:00:00.000","2019-11-12T00:00:00.000","8061","2023-03-13T00:00:00.000",,"Closed","Administrative Housing Development  Specialist"
"DOP","Department of Probation","Education and Experience","Section 50","2019-12-13T00:00:00.000","2019-09-30T14:43:12.000","8065",,,"Closed","Probation Officer"
"DOC","Department of Correction","Character","Section 50","2019-12-11T00:00:00.000","2019-06-17T00:00:00.000","7322","2021-05-17T00:00:00.000",,"Closed","Correction Officer"
"NYPD","Police Department","Psych","Section 50","2020-01-03T00:00:00.000","2019-10-14T18:29:31.000","4324","2020-09-14T00:00:00.000",,"Closed","Police Officer"
"DOC","Department of Correction","Medical","Section 50","2019-03-21T00:00:00.000","2019-01-16T00:00:00.000","8330",,,"Closed","Correction Officer"
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50","2019-12-13T00:00:00.000","2019-05-13T00:00:00.000","7042","2023-03-23T00:00:00.000",,"Closed","Customer Information Representative"
"DCAS","Department of Citywide Administrative Services","Timeliness","Section 50","2020-02-27T00:00:00.000","2019-12-10T00:00:00.000","8043","2023-11-13T00:00:00.000",,"Closed","Computer Associate (Operations)"
"NYCTA","Transit Authority","Education and Experience","Duplicate Filing","2019-03-25T00:00:00.000","2019-03-22T17:05:48.000",,,,"Closed",
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50","2019-12-24T00:00:00.000","2019-10-16T16:12:02.000","8053",,,"Closed","Computer Specialist (Operations)"
"DOT","Department of Transportation","Unauthorized Substance","Section 50","2019-12-06T00:00:00.000","2019-11-08T00:00:00.000","7032","2022-12-19T00:00:00.000",,"Closed","Steam Fitter"
"NYCTA","Transit Authority","Education and Experience","Section 50","2019-07-29T00:00:00.000","2019-03-27T00:00:00.000","7604","2022-09-19T00:00:00.000",,"Closed","Train Operator"
"NYPD","Police Department","Character","Section 50","2019-07-11T00:00:00.000","2019-03-01T11:10:18.000","7323","2021-12-13T00:00:00.000",,"Closed","Police Officer"
"NYPD","Police Department","Character","Section 50","2020-01-14T00:00:00.000","2019-10-09T15:32:15.000","5305","2021-03-02T00:00:00.000",,"Closed","Police Officer"
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50","2019-03-29T00:00:00.000","2019-03-14T16:19:40.000","7019",,,"Closed","Procurement Analyst"
"DOC","Department of Correction","Psych","Section 50","2020-02-20T00:00:00.000","2019-10-29T13:57:09.000","6332","2020-09-22T00:00:00.000",,"Closed","Correction Officer"
"NYPD","Police Department","Character","Section 50",,"2019-11-28T23:03:51.000","8332","2023-02-20T00:00:00.000",,"Open","School Safety Agent"
"DCAS","Department of Citywide Administrative Services","Timeliness","Section 50","2019-07-29T00:00:00.000","2019-05-13T16:31:15.000","7019","2022-08-29T00:00:00.000",,"Closed","Procurement Analyst"
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50",,"2019-11-08T11:01:56.000","8043","2023-11-13T00:00:00.000",,"Open","Computer Associate (Operations)"
"DOC","Department of Correction","Psych","Section 50","2019-07-10T00:00:00.000","2019-01-04T00:00:00.000","8308","2022-01-31T00:00:00.000",,"Closed","Correction Officer"
"NYPD","Police Department","Psych","Section 50","2019-10-02T00:00:00.000","2019-04-30T02:35:39.000","5329","2021-07-07T00:00:00.000",,"Closed","Police Officer"
"NYCTA","Transit Authority","Education and Experience","Section 50","2019-08-16T00:00:00.000","2019-07-08T00:00:00.000","8608",,,"Closed","Power Distribution Maintainer"
"DCAS","Department of Citywide Administrative Services","Timeliness","Section 50","2019-07-23T00:00:00.000","2019-05-23T00:00:00.000","9014",,,"Closed","Emergency Medical Specialist - EMT"
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50",,"2019-10-09T00:00:00.000","8036","2023-10-23T00:00:00.000",,"Open","Administrative Education Analyst"
"DOC","Department of Correction","Character","Section 50","2019-06-28T00:00:00.000","2019-02-15T00:00:00.000","6308","2020-03-02T00:00:00.000",,"Closed","Correction Officer"
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50","2019-05-30T00:00:00.000","2019-05-24T13:00:48.000","8053",,,"Closed","COMPUTER SPECIALIST OPERATIONS"
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50",,"2019-10-16T16:23:50.000","8053","2023-11-13T00:00:00.000",,"Open","Computer Specialist (Operations)"
"DCAS","Department of Citywide Administrative Services",,"Waiting for DQ","2019-04-11T00:00:00.000","2019-02-25T00:00:00.000",,,,"Closed",
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50","2019-10-28T00:00:00.000","2019-07-11T17:00:24.000","9000","2023-07-03T00:00:00.000",,"Closed","Crime Analyst"
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50","2019-12-11T00:00:00.000","2019-06-21T21:11:27.000","9043",,,"Closed","Public Health Nurse"
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50",,"2019-09-19T15:12:20.000","8039",,,"Open","Program Specialist (Correction)"
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50","2019-07-12T00:00:00.000","2019-05-30T00:00:00.000","8007",,,"Closed","Auto Mechanic (Diesel)"
"DCAS","Department of Citywide Administrative Services","Timeliness","Section 50","2020-02-10T00:00:00.000","2019-12-16T00:00:00.000","9061",,,"Closed","Associate Staff Analyst"
"DCAS","Department of Citywide Administrative Services","Timeliness","Section 50","2019-04-02T00:00:00.000","2019-01-25T00:00:00.000","7041",,,"Closed","Administrative Procurement Analyst"
"DCAS","Department of Citywide Administrative Services",,"Waiting for DQ","2019-05-03T00:00:00.000","2019-03-18T13:10:09.000",,,,"Closed",
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50",,"2019-12-23T00:00:00.000","8042",,,"Open","Administrative Project Manager"
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50",,"2019-12-23T00:00:00.000","8042",,,"Open","Administrative Project Manager"
"NYPD","Police Department","Character","Section 50","2019-01-23T00:00:00.000","2019-01-06T21:28:00.000","7323","2021-12-13T00:00:00.000",,"Closed","Police Officer"
"NYPD","Police Department","Psych","Section 50","2019-08-30T00:00:00.000","2019-05-21T11:30:19.000","7503","2021-08-30T00:00:00.000",,"Closed","Promotional Police Officer"
"NYCTA","Transit Authority","Education and Experience","Section 50","2019-07-22T00:00:00.000","2019-06-04T00:00:00.000","8614",,,"Closed","Bus Maintainer-Group B"
"NYCTA","Transit Authority","Education and Experience","Section 50","2019-06-10T00:00:00.000","2019-03-29T00:00:00.000","7604","2022-09-19T00:00:00.000",,"Closed","Train Operator"
"DCAS","Department of Citywide Administrative Services","Eligibility","Section 50",,"2019-05-28T00:00:00.000","8553","2023-04-10T00:00:00.000",,"Open","Promotion to Heating Plant Technician (HA"
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50",,"2019-10-11T13:25:48.000","8036","2023-10-23T00:00:00.000",,"Open","Administrative Education Analyst"
"NYPD","Police Department","Psych","Section 50","2020-01-15T00:00:00.000","2019-10-08T00:00:00.000","5305","2021-03-02T00:00:00.000",,"Closed","Police Officer"
"DCAS","Department of Citywide Administrative Services","Education and Experience","Section 50",,"2019-12-29T18:51:23.000","8042",,,"Open","Administrative Project Manager"
"DCAS","Department of Citywide Administrative Services","Timeliness","Section 50","2019-11-12T00:00:00.000","2019-10-18T00:00:00.000","9305","2023-05-02T00:00:00.000",,"Closed","Correction Officer"
"NYPD","Police Department","Psych","Section 50","2019-04-04T00:00:00.000","2019-02-25T16:41:50.000","3336",,,"Closed","Traffic Enforcement Agent"
