DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Community Board,Council District,BIN,BBL,NTA,Census Tract,Detail,Longitude,Latitude,Location
1057563-DCA,Business,02/28/2023,Active,07/27/2000,Home Improvement Contractor,"HITE CONSTRUCTION, INC.",,60,WHITNEY RD,,MAHWAH,NJ,07430,2018488500,Outside NYC,,,,,,,,,,,
2091349-DCA,Business,02/28/2023,Active,10/11/2019,Home Improvement Contractor,"CHESTER FILMS, INC.",BLUELINE BATHROOMS AND TILE,101,TRAFALGAR SQ,,LYNBROOK,NY,11563,516 426-6361,Outside NYC,,,,,,,,,,,
2039560-DCA,Business,02/28/2023,Active,06/27/2016,Home Improvement Contractor,MATT MASON CONSTRUCTION INC,,9115,187TH PL,,HOLLIS,NY,11423,7182642492,Queens,4,412,27,4212227,4099100021,,,,-73.77204448073554,40.711205352700084,"(40.711205352700084, -73.77204448073554)"
1121313-DCA,Business,02/28/2023,Active,08/28/2002,Home Improvement Contractor,MAXXUM CONSTRUCTION CORP.,,2,BARK AVE,,CENTRAL ISLIP,NY,11722,6315822155,Outside NYC,,,,,,,,,-77.51958437167269,40.11238533659802,"(40.11238533659802, -77.51958437167269)"
2056661-DCA,Business,02/28/2023,Active,08/04/2017,Home Improvement Contractor,PRECISION FABRICATORS CORP.,,8,OAK TREE DR,,BAY SHORE,NY,11706,6316660186,Outside NYC,,,,,,,,,,,
2098311-DCA,Business,02/28/2023,Active,04/07/2021,Home Improvement Contractor,MAC GLOBAL DESIGN & RENOVATION INC.,,58,ANN DR S,,FREEPORT,NY,11520,9177494522,Outside NYC,,,,,,,,,,,
2006868-DCA,Business,02/28/2023,Active,04/24/2014,Home Improvement Contractor,METROPOLITAN INNOVATIONS NY INC,,729,SOUTH ST,,PEEKSKILL,NY,10566,7186440071,Outside NYC,,,,,,,,,,,
2035651-DCA,Business,02/28/2023,Active,04/07/2016,Home Improvement Contractor,SSA Renovation LLC,,1774,63RD ST,,BROOKLYN,NY,11204,9172386390,Brooklyn,3,311,38,3133107,3055390043,,,,-73.98972661298001,40.62073765510229,"(40.62073765510229, -73.98972661298001)"
2045842-DCA,Business,02/28/2023,Active,11/22/2016,Home Improvement Contractor,VMW CONSTRUCTION DELUXE LLC,,29,WASHINGTON ST,,PORT CHESTER,NY,10573,,Outside NYC,,,,,,,,,,,
1304714-DCA,Business,02/28/2023,Active,11/20/2008,Home Improvement Contractor,"REFINEMENTS, LTD.",,115,CONNECTICUT AVE,,LONG BEACH,NY,11561,5164322913,Outside NYC,,,,,,,,,-77.51958437167269,40.11238533659802,"(40.11238533659802, -77.51958437167269)"
1173273-DCA,Business,02/28/2023,Active,07/08/2004,Home Improvement Contractor,"FIGUEROA, JORGE",JORGE'S CLEANING,705,41ST ST,,BROOKLYN,NY,11232,9175205907,Brooklyn,3,307,38,3018062,3009190001,,,,-74.00026306287403,40.64725550811075,"(40.64725550811075, -74.00026306287403)"
2078342-DCA,Business,02/28/2023,Active,09/20/2018,Home Improvement Contractor,"Common Sense Contracting, LLC",,37,W 8TH ST,,NEW YORK,NY,10011,9175389121,Manhattan,1,102,03,1077923,1005720062,,,,-73.9982824765753,40.73308169292146,"(40.73308169292146, -73.9982824765753)"
0996965-DCA,Business,02/28/2023,Active,02/03/2003,Home Improvement Contractor,RAYS CONTRACTING LLC,,1,SUGAR MAPLE CT,,DIX HILLS,NY,11746,631-254-9209,Outside NYC,,,,,,,,,,,
1462618-DCA,Business,02/28/2023,Active,04/17/2013,Home Improvement Contractor,"PRECISION CONSTRUCTION OF NEW YORK, INC.",,6015,19TH AVE,,BROOKLYN,NY,11204,9174502811,Brooklyn,3,312,44,3132196,3055200003,,,,-73.98523114455739,40.62056149879869,"(40.62056149879869, -73.98523114455739)"
2071733-DCA,Business,02/28/2023,Active,05/23/2018,Home Improvement Contractor,ORANGE MECHANICAL LLC,,1365,N RAILROAD AVE,,STATEN ISLAND,NY,10306,702-985-5416,Staten Island,5,502,50,5052422,5036290033,,,,-74.11568711501171,40.57490487005831,"(40.57490487005831, -74.11568711501171)"
2105803-DCA,Business,02/28/2023,Active,05/06/2022,Home Improvement Contractor,US EMPIRE CONSTRUCTION CORP.,,12008,103RD AVE,,SOUTH RICHMOND HILL,NY,11419,7186598700,Queens,4,410,28,4203752,4095580004,,,,-73.82376186067091,40.68830044753537,"(40.68830044753537, -73.82376186067091)"
2105991-DCA,Business,02/28/2023,Active,05/12/2022,Home Improvement Contractor,AFL General Construction Inc.,,36,COMMERCE DR,,FARMINGDALE,NY,11735,6314461100,Outside NYC,,,,,,,,,,,
2105893-DCA,Business,02/28/2023,Active,05/10/2022,Home Improvement Contractor,BEST & FAST HEATING PLUMBING & ELECTRIC CORP,,9614,LIBERTY AVE,,OZONE PARK,NY,11417,5869449908,Queens,4,410,32,4191227,4091690009,,,,-73.84210091168038,40.68076246917286,"(40.68076246917286, -73.84210091168038)"
2105920-DCA,Business,02/28/2023,Active,05/11/2022,Home Improvement Contractor,EJE GENERAL CONSTRUCTION LLC,,6307,DEWEY AVE,,WEST NEW YORK,NJ,07093,2016605578,Outside NYC,,,,,,,,,,,
2105808-DCA,Business,02/28/2023,Active,05/06/2022,Home Improvement Contractor,La Clave Improvements Inc,,164,PINE ST,,FREEPORT,NY,11520,5164745024,Outside NYC,,,,,,,,,,,
2105984-DCA,Business,02/28/2023,Active,05/12/2022,Home Improvement Contractor,ANTONIO'S CONCRETE LLC,,138,KREISCHER ST,,STATEN ISLAND,NY,10309,718.554.4236,Staten Island,5,503,51,5086883,5074080020,,,,-74.23938231890149,40.53632742246752,"(40.53632742246752, -74.23938231890149)"
2103192-DCA,Business,02/28/2023,Active,12/20/2021,Home Improvement Contractor,VILLANUEVA HOME IMPROVEMENT CORP,,747,44TH ST,,BROOKLYN,NY,11220,8580094,Brooklyn,3,307,38,3011038,3007320060,,,,-74.00135491178696,40.64517769889522,"(40.64517769889522, -74.00135491178696)"
2105988-DCA,Business,02/28/2023,Active,05/12/2022,Home Improvement Contractor,GURNEET GENERAL CONSTRUCTION INC,,11918,101ST AVE,,SOUTH RICHMOND HILL,NY,11419,9294235837,Queens,4,409,28,4200563,4094870009,,,,-73.82570088762526,40.69002711981771,"(40.69002711981771, -73.82570088762526)"
1442594-DCA,Business,02/28/2023,Active,08/24/2012,Home Improvement Contractor,"HOTI GROUP, CORP.",,6,WEST AVE,,LARCHMONT,NY,10538,9179718243,Outside NYC,,,,,,,,,,,
