"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","number_and_street_address","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"After-School Programs","High School","Kaplan Center for Community Services Annex ","Brooklyn","Jewish Board of Family and Children's Services, Inc.","212.423.6200","High School",,"1007 Quentin Road, Brooklyn, NY 11223","11223","40.60776","-73.962779","15","44","420","3176313","3066420043","Homecrest                                                                  "
"After-School Programs","High School","Public School / Intermediate School 298 ","Brooklyn","Church Avenue Merchants Block Association, Inc.","718.287.2600","High School","85 Watkins Street
Brooklyn, NEW YORK 11212
(40.670427766919, -73.908004365901)","85 Watkins Street","11212","40.670986","-73.908194","16","37","906","3080768","3035070007","Brownsville                                                                "
"After-School Programs","High School","Jewish Services Coalition, Inc","Queens","Jewish Services Coalition, Inc","718.327.6060","High School","1525 Central Avenue
Queens, NEW YORK 11691
(40.605662356989, -73.751324611595)","1525 Central Avenue","11691","40.605645","-73.751391","14","31","103202","4298051","4155450023","Far Rockaway-Bayswater                                                     "
"After-School Programs","High School","Manhattan Center For Science & Math","New York","The Childrens Aid Society","212.860.0299","High School","280 Pleasant Avenue
New York, NEW YORK 10029
(40.794804224554, -73.933301037421)","280 Pleasant Avenue","10029","40.794476","-73.933565","11","8","178","1053152","1017130001","East Harlem North                                                          "
"After-School Programs","High School","Bushwick High School - H.S. ","Brooklyn","Research Foundation of CUNY","347.417.8135","High School","480 400 Irving Avenue
Brooklyn, NEW YORK 11237
(40.704095739827, -73.920994233997)","480 400 Irving Avenue","11237",,,,,,,,
"After-School Programs","High School","Queens Community Resource Center ","Queens","Covenant House/Under 21","718.725.9851",,"159 17 Hillside Avenue
Queens, NEW YORK 11432
(40.71311535449, -73.792820999789)","159-17 Hillside Avenue","11432","40.707793","-73.802545","8","24","44602","4209068","4097690089","Jamaica                                                                    "
"After-School Programs","High School","Intermediate School 292- Margaret S.  Douglas School","Brooklyn","Groundwork Inc,","718 346. 2200","High School","301 Vermont Street
Brooklyn, NEW YORK 11207
(40.67232012791, -73.893980855849)","301 Vermont Street","11207","40.671987","-73.893896","5","42","1144","3083931","3037400001","East New York (Pennsylvania Ave)                                           "
"After-School Programs","High School","Adams & White, PC","Brooklyn","Bronx Arts Ensemble","718.601.7399","High School","9318 Avenue
Brooklyn, NEW YORK 11236
(40.640021493797, -73.901121939926)","9318 Avenue K","11236","40.638487","-73.899905","18","46","990","3231685","3082390042","Canarsie                                                                   "
"After-School Programs","High School","Make the Road by Walking","Brooklyn","Make the Road by Walking","718.418.7690","High School","301 Grove Street
Brooklyn, NEW YORK 11237
(40.698428502523, -73.915623474994)","301 Grove Street","11237","40.698448","-73.915629","4","37","433","3075926","3033170041","Bushwick North                                                             "
"After-School Programs","High School","Highbridge Community Life Center                            ","Bronx","Highbridge Community Life Center                            ","718.293.6103","High School","1248 Nelson Avenue
Bronx, NEW YORK 10452
(40.838724615971, -73.924634415896)","1248 Nelson Avenue","10452","40.83885","-73.924569","4","16","211","2096413","2025170001","Highbridge                                                                 "
"After-School Programs","High School","Schwartz Center ","Brooklyn","Police Athletic League, Inc.","212.477.9450","High School","127 Pennsylvania Avenue
Brooklyn, NEW YORK 11207
(40.674740211809, -73.896576353025)","127 Pennsylvania Avenue","11207","40.674814","-73.896606","5","37","1198","3083515","3036870001","East New York                                                              "
"After-School Programs","High School","Project Ready Headquarters","Bronx","Mount Hope Housing Company","718 466.3600",,"55 175th Street
Bronx, NEW YORK 10453
(40.847312989377, -73.911364754436)","55 E. 175th Street","10453","40.847256","-73.911295","5","14","22701","2115885","2028500034","Mount Hope                                                                 "
"After-School Programs","High School","East NY Development Corporation","Brooklyn","East NY Development Corporation","718.566.2127",,"2644 Atlantic Avenue
Brooklyn, NEW YORK 11207
(40.675655262304, -73.896752975273)","2644 Atlantic Avenue","11207","40.675744","-73.896644","5","37","1198","3326728","3036870012","East New York                                                              "
"After-School Programs","High School","ChaRosa Foundation Corporation","Queens","ChaRosa Foundation Corporation","718.723.0218",,"161 10 Jamaica Avenue
Queens, NEW YORK 11432
(40.71311535449, -73.792820999789)","161-10 Jamaica Avenue","11432","40.704033","-73.798412","12","27","44601","4440641","4101010015","Jamaica                                                                    "
"After-School Programs","High School","Youth for Education and Sports","Brooklyn","Youth for Education and Sports","718.941.7532",,"681 Ocean Avenue
Brooklyn, NEW YORK 11226
(40.646187680826, -73.960236131048)","681 Ocean Avenue","11226","40.646286","-73.960274","14","40","51001","3117624","3051240026","Flatbush                                                                   "
"After-School Programs","High School","Lt. Joseph P. Kennedy Jr. Memorial Community Center","New York","Catholic Charities Community Service, Archdiocese of N.Y.","212.371.1000",,"34 134th Street
New York, NEW YORK 10037
(40.812765068123, -73.939817555307)","34 West 134th Street","10037","40.812702","-73.939645","10","9","212","1083984","1017300016","Central Harlem North-Polo Grounds                                          "
"After-School Programs","High School","Columbus Clubhouse ","Bronx","Madison Square Boys & Girls Club","212.760.9600","High School","543 189 Street
Bronx, NEW YORK 10458
(40.8583901564, -73.887865918036)","543 East 189 Street","10458","40.858374","-73.887901","6","15","387","2011814","2030590048","Belmont                                                                    "
