"providertype","dfta_id","programname","sponsorname","programaddress","programcity","programstate","programzipcode","borough","programphone","dfta_funded","monhouropen","monhourclose","tuehouropen","tuehourclose","wedhouropen","wedhourclose","thuhouropen","thuhourclose","frihouropen","frihourclose","sathouropen","sathourclose","sunhouropen","sunhourclose","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","geocoded_column"
"SENIOR CENTER CONTRACTS","13H01","Sister Annunciata Bethell Neighborhood Senior Center","BEDFORD PARK MULTI-SERVICE CENTER FOR SENIOR CITIZENS INC","243 EAST 204TH ST","BRONX","NY","10458","BRONX","718-365-3725","Y","8 :30","4 :30","8 :30","4 :30","8 :30","4 :30","8 :30","4 :30","8 :30","4 :30","00:00","00:00","00:00","00:00","40.874205","-73.884457","207","11","413","2017363","2033110146","Bedford Park-Fordham North","
,  
(40.874205, -73.884457)"
"SENIOR CENTER CONTRACTS","13J01","Bronx House Weinberg Neighborhood Senior Center","BRONX HOUSE INC","990 PELHAM PARKWAY SOUTH","BRONX","NY","10461","BRONX","718-792-1800","Y","8 :30","4 :30","8 :30","4 :30","8 :30","4 :30","8 :30","4 :30","8 :30","4 :30","00:00","00:00","00:00","00:00","40.856804","-73.860354","211","13","248","2088568","2043287501","Pelham Parkway","
,  
(40.856804, -73.860354)"
"SENIOR CENTER CONTRACTS","13K01","Heights Neighborhood Senior Center","BRONXWORKS INC","200 WEST TREMONT AVENUE","BRONX","NY","10453","BRONX","718-299-0300","Y","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","00:00","00:00","00:00","00:00","40.851984","-73.916804","205","14","20502","2008966","2028770522","University Heights-Morris Heights","
,  
(40.851984, -73.916804)"
"SENIOR CENTER CONTRACTS","13L01","E. Roberts Moore Neighborhood Senior Center","BRONXWORKS INC","515 JACKSON AVENUE","BRONX","NY","10455","BRONX","718 665-5559","Y","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","00:00","00:00","00:00","00:00","40.812353","-73.909401","201","8","35","2091284","2025570083","Mott Haven-Port Morris","
,  
(40.812353, -73.909401)"
"SENIOR CENTER CONTRACTS","13M01","East Concourse Neighborhood Senior Center","BRONXWORKS INC","236 EAST TREMONT AVENUE","BRONX","NY","10457","BRONX","718 731-6300","Y","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","00:00","00:00","00:00","00:00","40.848936","-73.904562","205","15","23302","2007599","2028040021","Mount Hope","
,  
(40.848936, -73.904562)"
"SENIOR CENTER CONTRACTS","13N01","Marble Hill Neighborhood Senior Center","CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMMUNIT","5365 BROADWAY","BRONX","NY","10463","BRONX","718-562-8551","Y","8 :30","4 :30","8 :30","4 :30","8 :30","4 :30","8 :30","4 :30","8 :30","4 :30","00:00","00:00","00:00","00:00","40.876062","-73.907886","208","10","309","1082782","1022150623","Marble Hill-Inwood","
,  
(40.876062, -73.907886)"
"SENIOR CENTER CONTRACTS","13P01","Mosholu Montefiore Neighborhood Senior Center","CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMMUNIT","3450 DEKALB AVENUE","BRONX","NY","10467","BRONX","718-798-6601","Y","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","00:00","00:00","00:00","00:00","40.881486","-73.881226","207","11","421","2096396","2033270001","Norwood","
,  
(40.881486, -73.881226)"
"SENIOR CENTER CONTRACTS","13P02","Fort Independence Social Club","CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMMUNIT","3340 BAILEY AVENUE","BRONX","NY","10463","BRONX","718-796-2950","Y","08:00","4 :00","08:00","4 :00","08:00","4 :00","08:00","4 :00","08:00","4 :00","00:00","00:00","00:00","00:00","40.879929","-73.900869","208","14","277","2086835","2032610102","Van Cortlandt Village","
,  
(40.879929, -73.900869)"
"SENIOR CENTER CONTRACTS","13Q01","Mitchell Neighborhood Senior Center","EAST SIDE HOUSE INC","188 LINCOLN AVENUE","BRONX","NY","10454","BRONX","718-665-2168","Y","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","00:00","00:00","00:00","00:00","40.809874","-73.927933","201","8","23","2091142","2023110001","Mott Haven-Port Morris","
,  
(40.809874, -73.927933)"
"SENIOR CENTER CONTRACTS","13R01","Melrose Mott Haven Neighborhood Senior Center","EAST SIDE HOUSE INC","372 EAST 152 STREET","BRONX","NY","10455","BRONX","718-665-2280","Y","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","40.818516","-73.91793","201","17","67","2090413","2023980014","Melrose South-Mott Haven North","
,  
(40.818516, -73.91793)"
"SENIOR CENTER CONTRACTS","13R02","Patterson Houses Senior Center","EAST SIDE HOUSE INC","337 ALEXANDER AVENUE","BRONX","NY","10454","BRONX","718-993-5146","Y","08:00","4 :00","08:00","4 :00","08:00","4 :00","8 :00","4 :00","08:00","4 :00","00:00","00:00","00:00","00:00","40.815197","-73.922179","201","8","51","2091115","2023240001","Mott Haven-Port Morris","
,  
(40.815197, -73.922179)"
