"dvs_res_id","name","service","hours","phone_number","address","city","state","zip","building_details","borough","walk_in","email_address","website","service_details"
"1","Bronx Employment Works","Employment","Mon - Wed: 9:00 AM - 5:00 PM; Thu - Fri: 9:00 AM - 7:00 PM","Please call 311 to contact this location.","369 East 148th Street","Bronx","NY","10455","1st Floor","Bronx","true","N/A","https://www1.nyc.gov/site/sbs/careers/careers.page","This center provides career advisement and preparation workshops to help Bronx and Manhattan candidates succeed beyond barriers to work that are common for individuals formerly acquainted with the criminal justice system."
"2","East New York Workforce1 Career Center","Employment","Mon - Fri: 8:30 AM - 5:00 PM","Please call 311 to contact this location.","400 East Fordham Road","Bronx","NY","10458","Entrance on Webster Avenue","Bronx","true","N/A","http://www.nyc.gov/html/sbs/wf1/html/about/about.shtml","Dedicated Veteran Specialist available to connect veterans and their spouses to training, jobs, and supportive services to meet your career goals while leveraging your military skills and experiences. Workforce1 Career Centers are a proud partner of the American Job Center network."
"3","Bronx Workforce1 Industrial & Transportation Career Center","Employment","Mon - Fri: 8:30 AM - 5:00 PM","Please call 311 to contact this location.","14 Bruckner Boulevard","Bronx","NY","10454","3rd Floor","Bronx","true","N/A","http://www.nyc.gov/html/sbs/wf1/html/about/transportation.shtml","The center offers comprehensive career services and connections to high-quality employment in the industrial and manufacturing sectors. Workforce1 Career Centers are a proud partner of the American Job Center network."
"4","Brooklyn Employment Works","Employment","Mon: 8:30 AM - 5:00 PM; Tue: 8:30 AM - 7:00 PM; Wed: 8:30 AM - 6:00 PM; Thu - Fri: 8:30 AM - 5:00 PM","Please call 311 to contact this location.","9 Bond Street","Brooklyn","NY","11201","5th Floor","Brooklyn","true","N/A","https://www1.nyc.gov/site/sbs/careers/careers.page","This center provides career advisement and preparation workshops to help Brooklyn, Queens, and Staten Island candidates succeed beyond barriers to work that are common for individuals formerly acquainted with the criminal justice system."
"5","Brooklyn Workforce1 Career Center","Employment","Mon - Fri: 9:00 AM - 5:00 PM","Please call 311 to contact this location.","9 Bond Street","Brooklyn","NY","11201","5th Floor","Brooklyn","true","N/A","http://www.nyc.gov/html/sbs/wf1/html/about/about.shtml","Dedicated Veteran Specialist available to connect veterans and their spouses to training, jobs, and supportive services to meet your career goals while leveraging your military skills and experiences. Workforce1 Career Centers are a proud partner of the American Job Center network."
"6","Brooklyn Workforce1 Industrial & Transportation Career Center","Employment","Mon - Fri: 8:30 AM - 5:00 PM","Please call 311 to contact this location.","140 58th Street","Brooklyn","NY","11220","Building B"" Lobby""","Brooklyn","true","N/A","http://www.nyc.gov/html/sbs/wf1/html/about/transportation.shtml","The center offers comprehensive career services and connections to high-quality employment in the industrial and manufacturing sectors. Workforce1 Career Centers are a proud partner of the American Job Center network."
"7","East New York Workforce1 Career Center","Employment","Mon - Fri: 9:00 AM - 5:00 PM","Please call 311 to contact this location.","2619 Atlantic Avenue","Brooklyn","NY","11207",,"Brooklyn","true","N/A","https://www1.nyc.gov/site/sbs/careers/careers.page","This center provides an array of career services for area residents, including specially designed workshops to serve out-of-school, out-of-work youth and individuals formerly acquainted with the criminal justice system. Workforce1 Career Centers are a proud partner of the American Job Center network."
"8","Flushing Workforce1 Career Center","Employment","Mon - Fri: 9:00 AM - 5:00 PM","Please call 311 to contact this location.","41-17 Main Street","Flushing","NY","11355","3rd Floor","Queens","true","N/A","http://www.nyc.gov/html/sbs/wf1/html/about/about.shtml","Workforce1 Career Centers are a proud partner of the American Job Center network."
"9","Hunts Point Workforce1 Career Center","Employment","Mon - Fri: 9:00 AM - 5:00 PM","Please call 311 to contact this location.","1029 East 163rd Street","Bronx","NY","10459","3rd Floor","Bronx","true","N/A","http://www.nyc.gov/html/sbs/wf1/html/about/about.shtml","Dedicated Veteran Specialist available to connect veterans and their spouses to training, jobs, and supportive services to meet your career goals while leveraging your military skills and experiences. Workforce1 Career Centers are a proud partner of the American Job Center network."
"10","Long Island City Workforce1 Career Center","Employment","Mon - Fri: 9:00 AM - 5:00 PM","Please call 311 to contact this location.","38-81 13th Street","Long Island City","NY","11101",,"Queens","true","N/A","http://www.nyc.gov/html/sbs/wf1/html/about/about.shtml","Workforce1 Career Centers are a proud partner of the American Job Center network."
