"facility_pk","facilityname","service_category","service_type","buildingnumber","partnertype","partner_type_detailed","address","address_2","borough","zipcode","latitude","longitude","phone","additionalinfo","startdate","enddate","monday","tuesday","wednesday","thursday","friday","saturday","sunday","condoms_male","fc2_female_insertive_condoms","lubricant","facility_type","website","community_board","council_district","census_tract","bin","bbl","nta"
"188861879","El Classico Barber Shop","Free Safer Sex Products","Condoms and Lubricant",,"Hospital","Other","1416 Jerome Avenue",,"Bronx","10452","40.840633965171","-73.917374152044","(347) 284-4241","This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .","19000101000000.000000000","19000101000000.000000000",,,,,,,,"true","true","true",,,"204","16","22300","2117786","2028430005","BX63"
"188861875","EAST VILLAGE PRESCRIPTION CENTER","Free Safer Sex Products","Condoms and Lubricant",,"Pharmacy","Other","41 Avenue A,-",,"Manhattan","10009","40.723560620914","-73.985356187789","2122604878","This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a clear labeled containers located at the store front at this location.Last Updated: 6/9/2022 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook","19000101000000.000000000","19000101000000.000000000","9:30 AM - 9:30 PM","9:30 AM - 9:30 PM","9:30 AM - 9:30 PM","9:30 AM - 9:30 PM","9:30 AM - 9:30 PM","9:30 AM - 9:30 PM","10:30 AM - 9:30 PM","true","false","false",,,"103","2","3002","1077953","1004300010","MN22"
"188862326","Zaruma Beauty Spa","Free Safer Sex Products","Condoms and Lubricant",,"Hospital","Other","796 E. Tremont Ave",,"Bronx","10460","40.843737856239","-73.887762068525","(718) 600-9324","This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .","19000101000000.000000000","19000101000000.000000000",,,,,,,,"true","true","true",,,"206","17","36502","2010065","2029560019","BX17"
"188862264","The Factory","Free Safer Sex Products","Condoms and Lubricant",,"Community Health Center","Other","1612 Madison Street,Ground",,"Queens","11385","40.699003813105","-73.909176283001","(917) 846-3476","This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .","19000101000000.000000000","19000101000000.000000000","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","true","true","true",,,"405","34","55300","4541973","4035450006","QN20"
"188861706","Barracuda","Free Safer Sex Products","Condoms and Lubricant",,"Business","Bar/Lounge","275 West 22 Street",,"Manhattan","10011","40.744243340044","-73.998051213869",,"This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located in the hallway as you walk in at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook c","19000101000000.000000000","19000101000000.000000000","4:00 PM - 4:00 AM","4:00 PM - 4:00 AM","4:00 PM - 4:00 AM","4:00 PM - 4:00 AM","4:00 PM - 4:00 AM","4:00 PM - 4:00 AM","4:00 PM - 4:00 AM","true","true","true",,,"104","3","9100","1014107","1007720007","MN13"
"188862210","Santiago Mini Market","Free Safer Sex Products","Condoms and Lubricant",,"Business","Bodega/Deli/Mini Market","996 Amsterdam Avenue",,"Manhattan","10025","40.802525393567","-73.964197505931",,"This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a dispenser/fishbowl located in the front at this bodega/deli/mini market. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Face","19000101000000.000000000","19000101000000.000000000","12:30 PM - 7:30 PM","12:30 PM - 7:30 PM","12:30 PM - 7:30 PM","12:30 PM - 7:30 PM","12:30 PM - 7:30 PM",,,"true","false","false",,,"107","7","19500","1056712","1018810029","MN09"
"188861797","Clay Avenue Tenant Association","Free Safer Sex Products","Condoms and Lubricant",,"Community-Based Organization/Non-Profit","Housing","1195 Clay Avenue,Ground level",,"Bronx","10456","40.832378229934","-73.910626892574","917 557 4933","This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a ziploc bags in box located inside site on table at this housing. Last Updated: 6/23/2022 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.co","19000101000000.000000000","19000101000000.000000000",,"11:00 AM - 5:00 AM",,"11:00 AM - 5:00 PM",,,,"true","true","true",,,"204","16","17701","2002153","2024300030","BX14"
"188862299","Valentina's Beauty Salon","Free Safer Sex Products","Condoms and Lubricant",,"Hospital","Other","2470 Beaumont Avenue",,"Bronx","10458","40.855944764677","-73.883323919935","(917) 463-8397","This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .","19000101000000.000000000","19000101000000.000000000",,,,,,,,"true","true","true",,,"206","15","38900","2012912","2031050023","BX06"
"188862234","Subway","Free Safer Sex Products","Condoms and Lubricant",,"Community-Based Organization/Non-Profit","Other","273 Utica Avenue",,"Brooklyn","11213","40.669224528763","-73.93106922702","(347) 557-9386","This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .","19000101000000.000000000","19000101000000.000000000","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","8:00 AM - 5:00 PM","true","true","true",,,"308","41","34900","3037346","3013910001","BK61"
"188861783","Celebrities Beauty Center","Free Safer Sex Products","Condoms and Lubricant",,"Hospital","Other","170 E. 174th Street",,"Bronx","10457","40.844802438819","-73.90907042649","(347) 284-4997","This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .","19000101000000.000000000","19000101000000.000000000",,,,,,,,"true","true","true",,,"204","15","22902","2007398","2027940042","BX41"
