"fiscal_year","agency","vendor_name","purpose","contract_value"
"2020","SBS","NEW YORK CITY ECONOMIC DEVELOPMENT CORPORATION","CITYWIDE ECONOMIC DEVELOPMENT SERVICES FY2020 NYCEDC - MASTER CONTRACT","1954752500.00"
"2020","SBS","NYC ECONOMIC DEVELOPMENT CORPORATION","MARITIME, AVIATION, RAIL FREIGHT, MARKET & INTERMODAL SERVICES","680153600.00"
"2020","NYCEM","AYA HEALTHCARE INC","MEDICAL SURGE STAFFING FOR COVID-19","500000000.00"
"2020","DHS","THE DOE FUND INC","DEVELOP & OPERATE A TRANSITIONAL RESIDENCE FOR HOMELESS SINGLE ADULTS AND FAMILIES","256236700.00"
"2020","NYCEM","CREWFACILITIESCOM LLC","EMERGENCY HOTEL LODGING MANAGEMENT FOR COVID-19","250000000.00"
"2020","DOT","NAVILLUS MLJ A JOINT VENTURE","BROOKLYN BRIDGE: RECONSTRUCTION OF APPROACH ARCHES, RAMPS, AND TOWERS","238300000.00"
"2020","DHS","CORE SERVICES GROUP, INC","SHELTER SERVICES FOR HOMELESS SINGLE ADULTS AT EMERGENCY COMMERCIAL HOTELS","210333800.00"
"2020","DHS","FJC SECURITY SERVICES INC","NEW TASK ORDER -UNARMED GUARDS, ARMED & UNARMED SUPERVISORS","191891000.00"
"2020","DCAS","REEF HOLDINGS 1 LLC","COVID19 - EMERGENCY VENTILATORS","162000000.00"
"2020","DoITT","VESTA SOLUTIONS INC","NEXT GENERATION 9-1-1 EMERGENCY SERVICES (CLASS 1, 3)","147504700.00"
"2020","DHS","THOMAS MOTT OSBORNE MEMORIAL FUND INC","1511 FULTON AVE, BRONX SHELTER SERVICES FOR SINGLE ADULTS AT FULTON COMMUNITY REENTRY CENTER","137789600.00"
"2020","DEP","NEW YORK POWER AUTHORITY","LOW PRESSURE STEAM HEATING SYSTEM UPGRADE","120022500.00"
"2020","DHS","AFRICAN AMERICAN PLANNING COMMISSION INC","COMMERCIAL HOTELS SHELTER SERVICES FOR HOMELESS SINGLE ADULTS AT VARIOUS HOTELS","126237100.00"
"2020","DCAS","NANZO HOLDINGS INC","COVID19 ISOLATION GOWNS","125400000.00"
"2020","DHS","WOMEN IN NEED, INC","SHELTER SERVICES FOR HOMELESS FAMILIES SLATE 1","119071900.00"
"2019","DOHMH","ANIMAL CARE AND CONTROL OF NEW YORK CITY, INC","Care for lost, mistreated, neglected animals (Queens/Bronx)","1487966500.00"
"2019","SBS","NEW YORK CITY ECONOMIC DEVELOPMENT CORPORATION","MASTER AGREEMENT - CITYWIDE ECONOMIC DEVELOPMENT SERVICES - NYCEDC","1427680000.00"
"2019","DoITT","CDW GOVERNMENT LLC","CITYWIDE IT PURCHASING CONTRACT","645259200.00"
"2019","SBS","NEW YORK CITY ECONOMIC DEVELOPMENT CORPORATION","MARITIME - CITYWIDE ECONOMIC DEVELOPMENT SERVICES - NYCEDC","639114000.00"
"2019","NYPD","VEXCEL CORPORATION","Video and audio system encumbrance","444286200.00"
"2019","DoITT","SHI INTERNATIONAL CORP","CITYWIDE IT PURCHASING CONTRACT","284722600.00"
"2019","DSNY","MPCC CORP","CONSTRUCTION OF A NEW BROOKLYN COMMUNITY DISTRICT 3 GARAGE","169373800.00"
