Category,Type of Business,Business,Address,City/State,Zip Code,Phone Number,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
Food and Drink,Restaurants,La Pizza Fresca,31 East 2oth Street,"New York, NY",10003,212-598-0141,,,,,,,,,,,,,,,
Points of Interest,Arts and Leisure,Tenri Cultural Institute,43 A West ,"New York, NY",10011,212-645-2800,,,,,,,,,,,,,,,
Retail,Apparel and Footwear,Jellyfish New York,244 East 13th ,"New York, NY",10003,212-260-4960,,,,,,,,,,,,,,,
Retail,Office Supplies and Stationary,Comzone,25 East 15th Street,"New York, NY",10003,212-645-6428,MANHATTAN,40.736441,-73.992502,5,2,52,1016074,1008430020,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.736441, -73.992502)",11724,11,4,50,7
Food and Drink,Casual Eateries,Chat 'N' Chew,10 East 16th Street,"New York, NY",10003,212-243-1616,MANHATTAN,40.737158,-73.992263,5,2,52,1016078,1008430041,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.737158, -73.992263)",11724,11,4,50,7
Services,Medical and Veterinary,Union Square Dental,29 West 19th Street,"New York, NY",10011,212-675-7877,MANHATTAN,40.739568,-73.992498,5,3,54,1015469,1008217502,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.739568, -73.992498)",12074,11,4,10,7
Retail,Home Furnishings,Pier 1 Imports   ,71 5th Avenue,"New York, NY",10003,212-447-1610,MANHATTAN,40.736584,-73.993184,5,2,52,1016068,1008420042,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.736584, -73.993184)",11724,11,4,50,7
Parking,Parking,Icon Parking Systems,65 West 15th Street,"New York, NY",10011,212-243-7275,MANHATTAN,40.73752,-73.995067,5,3,54,1015306,1008170001,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.73752, -73.995067)",12074,11,4,10,7
Food and Drink,Casual Eateries,Murray's Falafel,261 1st Avenue,"New York, NY",10003,212-533-1956,MANHATTAN,40.732098,-73.981894,6,2,48,1020421,1009220020,Gramercy                                                                   ,"(40.732098, -73.981894)",11729,71,4,50,7
Services,Health and Fitness,Atmananda Yoga Sequence,67 Irving Place,"New York, NY",10003,212-625-1511,MANHATTAN,40.736616,-73.986865,5,2,50,1017869,1008740017,Gramercy                                                                   ,"(40.736616, -73.986865)",11724,11,4,50,7
Food and Drink,Casual Eateries,Flavaboom,600 6th Avenue,"New York, NY",10011,212-414-0010,MANHATTAN,40.739518,-73.995251,5,3,54,1015407,1008197502,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.739518, -73.995251)",12074,11,4,10,7
Retail,Apparel and Footwear,Mavi Jeans,832 Broadway,"New York, NY",10003,212-979-6128,MANHATTAN,40.733556,-73.991026,2,2,61,1077914,1005640036,West Village                                                               ,"(40.733556, -73.991026)",11724,57,4,50,5
Food and Drink,Restaurants,The House,121 East 17th Street,"New York, NY",10003,212-353-2121,MANHATTAN,40.735983,-73.98762,5,2,50,1082518,1008730015,Gramercy                                                                   ,"(40.735983, -73.98762)",11724,11,4,50,7
Services,Spas and Salons,Looks Threading Salon,238 East 14th Street,"New York, NY",10003,212-228-8575,MANHATTAN,40.732889,-73.986242,3,2,40,1006905,1004690027,East Village                                                               ,"(40.732889, -73.986242)",11724,70,4,50,5
Food and Drink,Restaurants,Rosa Mexicano,9 East 18th Street,"New York, NY",10003,212-533-3350,MANHATTAN,40.738242,-73.991152,5,2,52,1080756,1008470062,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"(40.738242, -73.991152)",11724,11,4,50,7
