"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Family Support","Housing Assistance & Advocacy","Brooklyn Housing and Family Services, Inc.","Brooklyn","Brooklyn Housing and Family Services, Inc.                  ","718.435.7585","Adults",,,,,,,,,,
"Family Support","Housing Assistance & Advocacy","Flatbush Development Corporation","Brooklyn","Flatbush Development Corporation                            ","718.859.4763","Adults",,,,,,,,,,
"Family Support","Housing Assistance & Advocacy","Polonians Organized to Minister to Our Community","Brooklyn","Polonians Organized to Minister to Our Community","718.326.9098","Adults","635 4th Avenue
Brooklyn, NEW YORK 11232
(40.663788758199, -73.994409627365)","11232","40.663925","-73.994409","7","38","143","3009068","3006340001","Park Slope-Gowanus                                                         "
"Family Support","Housing Assistance & Advocacy","Stryckers Bay Neighborhood Council, Inc.","New York","Stryckers Bay Neighborhood Council, Inc.","212.874.7272","Adults","63 87th Street
New York, NEW YORK 10024
(40.787026471645, -73.971338792434)",,,,,,,,,
"Family Support","Housing Assistance & Advocacy","AAFE Chinatown / Lower East Side","New York","Asian Americans for Equality","212.680.1374","Adults","108 Norfolk Street
New York, NEW YORK 10002
(40.718974773687, -73.987058941506)","10002","40.718954","-73.987056","3","1","1402","1075815","1003530052","Lower East Side                                                            "
"Family Support","Housing Assistance & Advocacy","Asian Americns for Equality","Queens","Asian Americans for Equality                                ","718.961.0888","Adults","133 04-39th Avenue
Queens, NEW YORK 11354
(40.768620220647, -73.827190280707)",,,,,,,,,
"Family Support","Housing Assistance & Advocacy","Catholic Charities Community Service, Archdiocese of N Y","New York","Catholic Charities Community Service, Archdiocese of N Y","212.371.1000","Adults","1011 First Avenue
New York, NEW YORK 10022
(40.757278332489, -73.963713878292)","10022","40.757271","-73.963692","6","5","108","1039972","1013480023","Turtle Bay-East Midtown                                                    "
"Family Support","Housing Assistance & Advocacy","Pueblo En Marcha, Inc.","Bronx","Pueblo En Marcha, Inc.","718.665.7375","Adults","401 145th Street
Bronx, NEW YORK 10454
(40.813555413009, -73.919621869089)",,,,,,,,,
"Family Support","Housing Assistance & Advocacy","AAFE Queens ","Queens","Asian Americans for Equality","212.680.1374","Adults","133 04 39th Avenue
Queens, NEW YORK 11354
(40.768620220647, -73.827190280707)","11354","40.75909","-73.834194","7","20","871","4112274","4049730006","Flushing                                                                   "
"Family Support","Housing Assistance & Advocacy","Washington Heights- Inwood Coalition, Inc","New York","Washington Heights- Inwood Coalition, Inc","212.781.6722","Adults","652 187th Street
New York, NEW YORK 10033
(40.853602404382, -73.932345278359)",,,,,,,,,
"Family Support","Housing Assistance & Advocacy","Brooklyn Housing and Family Services, Inc.","Brooklyn","Brooklyn Housing and Family Services, Inc.","718.435.7585","Adults","415 Albemarle Road
Brooklyn, NEW YORK 11218
(40.645480602026, -73.976688033036)","11218","40.64551","-73.976296","12","39","500","3124269","3053270041","Windsor Terrace                                                            "
"Family Support","Housing Assistance & Advocacy","Brooklyn Housing and Family","Brooklyn","Brooklyn Housing and Family Services, Inc.                  ","718.435.7585","Adults","415 Albermarle Road
Brooklyn, NEW YORK 11218
(40.64322700852, -73.976448622106)","11218","40.64551","-73.976296","12","39","500","3124269","3053270041","Windsor Terrace                                                            "
"Family Support","Housing Assistance & Advocacy","163rd Street Improvement Council, Inc.","Bronx","163rd Street Improvement Council, Inc.","718.589.5080","Adults","1345 Franklin Avenue
Bronx, NEW YORK 10456
(40.832870242985, -73.901107176224)","10456","40.832877","-73.901087","3","16","149","2115487","2029310079","Morrisania-Melrose                                                         "
"Family Support","Housing Assistance & Advocacy","Cooper Square Community Development & Business Association","New York","Cooper Square Community Development & Business Association","212.228.8210","Adults","61 4th Street
New York, NEW YORK 10003
(40.726940950792, -73.991133556521)",,,,,,,,,
"Family Support","Housing Assistance & Advocacy","Northern Manhattan Improvement Corporation","New York","Northern Manhattan Improvement Corporation                  ","212.822.8336","18 and up","76 Wadswortth Avenue
New York, NEW YORK 10033
(40.847051676059, -73.937044724943)",,,,,,,,,
"Family Support","Housing Assistance & Advocacy","Northern Manhattan Improvement Corporation","New York","Northern Manhattan Improvement Corporation","212.822.8300","Adults","76 Wadsworth Avenue
New York, NEW YORK 10033
(40.847051676059, -73.937044724943)","10033","40.847012","-73.93704","12","10","263","1063574","1021450051","Washington Heights South                                                   "
"Family Support","Housing Assistance & Advocacy","Boro Park Jewish Community Council","Brooklyn","Boro Park Jewish Community Council","718.972.6600","Adults","4608 13th Avenue
Brooklyn, NEW YORK 11219
(40.636670213094, -73.990459280846)","11219","40.636595","-73.990502","12","44","222","3328605","3056220038","Borough Park                                                               "
"Family Support","Housing Assistance & Advocacy","West Bronx Housing & Neighborhood Resource Center","Bronx","West Bronx Housing & Neighborhood Resource Center","718.798.0929","Adults","3176 Bainbridge
Bronx, NEW YORK 10467
(40.875385991437, -73.87947666045)",,,,,,,,,
"Family Support","Housing Assistance & Advocacy","Citizens Advice Bureau, Inc.","Bronx","Citizens Advice Bureau, Inc.","718.293.0727","Adults","632 Southern Boulevard
Bronx, NEW YORK 10455
(40.812893537386, -73.901332703215)","10455","40.812991","-73.90108","2","8","83","2004141","2026030150","Longwood                                                                   "
"Family Support","Housing Assistance & Advocacy","Brooklyn Neighborhood Improvement Association","Brooklyn","Brooklyn Neighborhood Improvement Association","718.773.4116","Adults","1482 St Johns Place
Brooklyn, NEW YORK 11213
(40.670470593603, -73.929356130187)","11213","40.670505","-73.92964","8","41","349","3037114","3013850028","Crown Heights North                                                        "
"Family Support","Housing Assistance & Advocacy","Bedford Park ","Bronx","Citizens Advice Bureau, Inc.","718.293.0727","Adults","2925 Grand
Bronx, NEW YORK 10468
(40.867850652405, -73.899511666178)",,,,,,,,,
"Family Support","Housing Assistance & Advocacy","Brooklyn Chinese American Association","Brooklyn","Brooklyn Chinese American Association","718.438.9312","Adults","5002 8th Avenue
Brooklyn, NEW YORK 11220
(40.641094427669, -74.003771655499)","11220","40.641028","-74.003816","7","38","108","3013418","3007940039","Sunset Park East                                                           "
"Family Support","Housing Assistance & Advocacy","Brooklyn Housing and Family","Brooklyn","Brooklyn Housing and Family Services, Inc.                  ","718.435.7585","Adults","415 Albermarle Road
Brooklyn, NEW YORK 11218
(40.64322700852, -73.976448622106)","11218","40.64551","-73.976296","12","39","500","3124269","3053270041","Windsor Terrace                                                            "
"Family Support","Housing Assistance & Advocacy","Agudath Israel of America /SBCO","Brooklyn","Agudath Israel of America /SBCO","718.435.1300","Adults","4520 18th Avenue
Brooklyn, NEW YORK 11204
(40.630206116961, -73.97835931751)","11204","40.630165","-73.978416","12","44","476","3128549","3054350051","Borough Park                                                               "
"Family Support","Housing Assistance & Advocacy","Catholic Charities Community Services-Washington Heights ","New York","Catholic Charities Community Service, Archdiocese of N Y","212.371.1000","Adults","4111 Broadway
New York, NEW YORK 10033
(40.84516033875, -73.938788841624)","10033","40.845128","-73.938763","12","10","263","1063501","1021420133","Washington Heights South                                                   "
"Family Support","Housing Assistance & Advocacy","Flatbush Development Corporation","Brooklyn","Flatbush Development Corporation","718.859.3800","Adults","1616 Newkirk Avenue
Brooklyn, NEW YORK 11226
(40.63599627408, -73.962302128878)","11226","40.63604","-73.962241","14","40","518","3121203","3052370006","Flatbush                                                                   "
"Family Support","Housing Assistance & Advocacy","Audubon Partnership for Economic Development LDC","New York","Audubon Partnership for Economic Development LDC","212.544.2400","Adults","513 207th Street
New York, NEW YORK 10034
(40.864970711924, -73.919474891004)",,,,,,,,,
"Family Support","Housing Assistance & Advocacy","Brooklyn Chinese American Association","Brooklyn","Brooklyn Chinese American Association","718.438.9312","Adults","5000 8th Avenue
Brooklyn, NEW YORK 11220
(40.641104606526, -74.003759923935)","11220","40.641036","-74.003809","7","38","108","3013418","3007940039","Sunset Park East                                                           "
"Family Support","Housing Assistance & Advocacy","South Bronx Action Group","Bronx","South Bronx Action Group","718.993.5869","Adults","384 149th Street
Bronx, NEW YORK 10455
(40.816195064917, -73.918501181484)",,,,,,,,,
"Family Support","Housing Assistance & Advocacy","CAMBA's Park Slope Women's Shelter","Brooklyn","Church Avenue Merchants Block Association, Inc.","718.287.2600","Adults","1402 Eighth Avenue
Brooklyn, NEW YORK 11215
(40.662725395196, -73.981772543316)","11215","40.66265","-73.981819","6","39","149","3026581","3011020012","Park Slope-Gowanus                                                         "
"Family Support","Housing Assistance & Advocacy","Asian Americns for Equality","Manhattan","Asian Americans for Equality                                ","212.979.8381","Adults","108 111 Norfolk Street
Manhattan, NEW YORK 10002
(40.716121467931, -73.985831470246)",,,,,,,,,
