"date_created","borough","block","lot","address","parcel_name","agency","total_area","community_board","council_district","coordinates","potential_urban_ag","postcode","latitude","longitude","bin","nta"
"2017-11-02T00:00:00.000","4","3916","35","5 AVENUE",,"DCAS","15000","407","19","0/0","Potentially Suitable 3 - Site has specific instructions or conditions that limit its availability and/or use",,,,,
"2017-11-02T00:00:00.000","4","6391","24","63 ROAD",,"DCAS","4700","407","24","0/0","Potentially Suitable 3 - Site has specific instructions or conditions that limit its availability and/or use",,,,,
"2017-11-02T00:00:00.000","4","14246","1189","DAVENPORT COURT","HAMILTON BEACH FIRE DEPT ACCES","DCAS","3200","410","32","0/0","Potentially Suitable 3 - Site has specific instructions or conditions that limit its availability and/or use",,,,,
"2017-11-02T00:00:00.000","4","14254","1640","104 STREET","HAMILTON BEACH","DCAS","1600","410","32","0/0","Potentially Suitable 3 - Site has specific instructions or conditions that limit its availability and/or use",,,,,
"2017-11-02T00:00:00.000","4","15622","78","BEACH 13 STREET",,"DCAS","3400","414","31","0/0","Potentially Suitable 3 - Site has specific instructions or conditions that limit its availability and/or use",,,,,
"2017-11-02T00:00:00.000","4","15622","180","NEW HAVEN AVENUE",,"DCAS","4057","414","31","0/0","Potentially Suitable 3 - Site has specific instructions or conditions that limit its availability and/or use",,,,,
"2017-11-02T00:00:00.000","5","5687","130","ARTHUR KILL ROAD",,"DCAS","35206","503","51","0/0","Potentially Suitable 3 - Site has specific instructions or conditions that limit its availability and/or use",,,,,
"2017-11-02T00:00:00.000","4","14228","62","102 STREET",,"DCAS","100128","410","32","0/0","Potentially Suitable 3 - Site has specific instructions or conditions that limit its availability and/or use",,,,,
"2017-11-02T00:00:00.000","2","2875","67","PLIMPTON AVENUE","CROSS BX EXPWY-SEC-1","DOT","2573","205","14","0/0","Potentially Suitable 1 - Site is available for a 4 year renewable license through the Parks Department's GreenThumb program contingent on program capacity",,,,,
"2017-11-02T00:00:00.000","3","7074","1","1528 SURF AVENUE","CONEY ISLAND EAST","DOT","7469","313","47","988935/148775","Potentially Suitable 3 - Site has specific instructions or conditions that limit its availability and/or use","11224","40.575448","-73.983034","3000000","Seagate-Coney Island                                                       "
"2017-11-02T00:00:00.000","4","15953","47","BEACH 36 STREET","EDGEMERE URA, SITE #41","DOT","5400","414","31","0/0","Potentially Suitable 3 - Site has specific instructions or conditions that limit its availability and/or use",,,,,
"2017-11-02T00:00:00.000","4","15954","56","BEACH 37 STREET","EDGEMERE URA, SITE #43","DOT","4000","414","31","0/0","Potentially Suitable 3 - Site has specific instructions or conditions that limit its availability and/or use",,,,,
"2017-11-02T00:00:00.000","5","370","200","MANOR ROAD","GOODELL AVE","DOT","13629","501","50","0/0","Potentially Suitable 3 - Site has specific instructions or conditions that limit its availability and/or use",,,,,
"2017-11-02T00:00:00.000","5","691","1","FINE BOULEVARD","MAPPED RICHMOND PARKWAY","DOT","15820","502",,"0/0","Potentially Suitable 3 - Site has specific instructions or conditions that limit its availability and/or use",,,,,
"2017-11-02T00:00:00.000","4","15952","13","BEACH 36 STREET","GREENTHUMB COMMUNITY GARDEN","PARKS","3067","414","31","0/0","Potentially Suitable 1 - Site is available for a 4 year renewable license through the Parks Department's GreenThumb program contingent on program capacity",,,,,
"2017-11-02T00:00:00.000","5","6353","42","BAYVIEW TERRACE","BAYVIEW TERRACE PARK","PARKS","14400","503","51","0/0","Potentially Suitable 3 - Site has specific instructions or conditions that limit its availability and/or use",,,,,
"2017-11-02T00:00:00.000","3","1538","43","45 SOMERS STREET","LOTS FOR TOTS","ACS;HPD","6800","316","41","1008754/186644","Potentially Suitable 3 - Site has specific instructions or conditions that limit its availability and/or use","11233","40.678715","-73.911594","3000000","Ocean Hill                                                                 "
"2017-11-02T00:00:00.000","2","2403","31","MELROSE AVENUE",,"HPD","2878","201","17","0/0","Potentially Suitable 1 - Site is available for a 4 year renewable license through the Parks Department's GreenThumb program contingent on program capacity",,,,,
"2017-11-02T00:00:00.000","2","2403","37","387 EAST 156 STREET",,"HPD","2646","201","17","1007535/238440","Potentially Suitable 1 - Site is available for a 4 year renewable license through the Parks Department's GreenThumb program contingent on program capacity","10455","40.820963","-73.916138","2000000","Melrose South-Mott Haven North                                             "
"2017-11-02T00:00:00.000","3","3590","40","RIVERDALE AVENUE",,"HPD","2500","316","42","1009832/180243","Potentially Suitable 1 - Site is available for a 4 year renewable license through the Parks Department's GreenThumb program contingent on program capacity",,,,,
"2017-11-02T00:00:00.000","4","15960","43","480 BEACH 43 STREET","EDGEMERE URA, SITE #52","HPD","7600","414","31","1046795/157272","Potentially Suitable 1 - Site is available for a 4 year renewable license through the Parks Department's GreenThumb program contingent on program capacity","11691","40.598154","-73.775038","4000000","Hammels-Arverne-Edgemere                                                   "
"2017-11-02T00:00:00.000","4","15960","46","BEACH 43 STREET","EDGEMERE URA, SITE #52","HPD","4000","414","31","0/0","Potentially Suitable 1 - Site is available for a 4 year renewable license through the Parks Department's GreenThumb program contingent on program capacity",,,,,
"2017-11-02T00:00:00.000","4","15960","48","BEACH 43 STREET","EDGEMERE URA, SITE #52","HPD","2850","414","31","0/0","Potentially Suitable 1 - Site is available for a 4 year renewable license through the Parks Department's GreenThumb program contingent on program capacity",,,,,
"2017-11-02T00:00:00.000","4","15961","61","518 BEACH 43 STREET","EDGEMERE URA, SITE #51","HPD","3034","414","31","1046760/157646","Potentially Suitable 1 - Site is available for a 4 year renewable license through the Parks Department's GreenThumb program contingent on program capacity","11691","40.59901","-73.775135","4000000","Hammels-Arverne-Edgemere                                                   "
"2017-11-02T00:00:00.000","4","15961","63","BEACH 43 STREET","EDGEMERE URA, SITE #51","HPD","10450","414","31","0/0","Potentially Suitable 1 - Site is available for a 4 year renewable license through the Parks Department's GreenThumb program contingent on program capacity",,,,,
"2017-11-02T00:00:00.000","4","15962","19","BEACH 44 STREET","EDGEMERE URA, (P/O 58 & 59)","HPD","14824","414","31","0/0","Potentially Suitable 1 - Site is available for a 4 year renewable license through the Parks Department's GreenThumb program contingent on program capacity",,,,,
"2017-11-02T00:00:00.000","4","15962","28","574 BEACH 44 STREET","EDGEMERE URA, SITE #58","HPD","3823","414","31","0/0","Potentially Suitable 1 - Site is available for a 4 year renewable license through the Parks Department's GreenThumb program contingent on program capacity","11691","40.59958","-73.776167",,"Hammels-Arverne-Edgemere                                                   "
"2017-11-02T00:00:00.000","4","15962","30","BEACH 44 STREET",,"HPD","5704","414","31","0/0","Potentially Suitable 1 - Site is available for a 4 year renewable license through the Parks Department's GreenThumb program contingent on program capacity",,,,,
"2017-11-02T00:00:00.000","4","15962","33","BEACH 44 STREET",,"HPD","8187","414","31","0/0","Potentially Suitable 1 - Site is available for a 4 year renewable license through the Parks Department's GreenThumb program contingent on program capacity",,,,,
