"publication_date","reference_year","reference_month","industry","employment","method","revision_reason"
"20180713","1990","1","Total Nonfarm","3631.046","1.0",
"20180713","1990","1","Total Private","3024.495","1.0",
"20180713","1990","1","Financial Activities","532.816","1.0",
"20180713","1990","1","Finance and Insurance","422.408","1.0",
"20180713","1990","1","Securities, Commodity Contracts, Investments ","166.078","1.0",
"20180713","1990","1","Credit Intermediation and Related Activities","171.468","1.0",
"20180713","1990","1","Real Estate and Rental and Leasing","110.408","1.0",
"20180713","1990","1","Information","171.939","1.0",
"20180713","1990","1","Professional and Business Services","474.919","1.0",
"20180713","1990","1","Professional, Scientific, and Technical Services","253.440","1.0",
"20180713","1990","1","Management of Companies and Enterprises","44.288","1.0",
"20180713","1990","1","Administrative and Waste Services","177.191","1.0",
"20180713","1990","1","Employment Services","50.431","1.0",
"20180713","1990","1","Education and Health Services","481.552","1.0",
"20180713","1990","1","Educational Services","110.823","1.0",
"20180713","1990","1","Health Care and Social Assistance","370.729","1.0",
"20180713","1990","1","Leisure and Hospitality","223.278","1.0",
"20180713","1990","1","Arts, Entertainment, and Recreation","43.349","1.0",
"20180713","1990","1","Accommodation and Food Services","179.928","1.0",
"20180713","1990","1","Other Services, except public administration","125.168","1.0",
"20180713","1990","1","Trade, Transportation, and Utilities","614.027","1.0",
"20180713","1990","1","Retail Trade","267.846","1.0",
"20180713","1990","1","Wholesale Trade","187.220","1.0",
"20180713","1990","1","Transportation and Warehousing","137.555","1.0",
"20180713","1990","1","Utilities","21.407","1.0",
"20180713","1990","1","Natural Resources, Mining and Construction","121.352","1.0",
"20180713","1990","1","Manufacturing","279.446","1.0",
"20180713","1990","1","Public Administration","606.550","1.0",
"20180713","1990","2","Total Nonfarm","3626.131","1.0",
"20180713","1990","2","Total Private","3019.217","1.0",
"20180713","1990","2","Financial Activities","531.286","1.0",
"20180713","1990","2","Finance and Insurance","421.020","1.0",
"20180713","1990","2","Securities, Commodity Contracts, Investments ","165.641","1.0",
"20180713","1990","2","Credit Intermediation and Related Activities","170.812","1.0",
"20180713","1990","2","Real Estate and Rental and Leasing","110.267","1.0",
"20180713","1990","2","Information","172.312","1.0",
"20180713","1990","2","Professional and Business Services","474.244","1.0",
"20180713","1990","2","Professional, Scientific, and Technical Services","254.365","1.0",
"20180713","1990","2","Management of Companies and Enterprises","44.179","1.0",
"20180713","1990","2","Administrative and Waste Services","175.700","1.0",
"20180713","1990","2","Employment Services","48.963","1.0",
"20180713","1990","2","Education and Health Services","483.221","1.0",
"20180713","1990","2","Educational Services","111.623","1.0",
"20180713","1990","2","Health Care and Social Assistance","371.598","1.0",
"20180713","1990","2","Leisure and Hospitality","222.416","1.0",
"20180713","1990","2","Arts, Entertainment, and Recreation","43.243","1.0",
"20180713","1990","2","Accommodation and Food Services","179.172","1.0",
"20180713","1990","2","Other Services, except public administration","125.277","1.0",
"20180713","1990","2","Trade, Transportation, and Utilities","612.402","1.0",
"20180713","1990","2","Retail Trade","267.608","1.0",
"20180713","1990","2","Wholesale Trade","186.875","1.0",
"20180713","1990","2","Transportation and Warehousing","136.472","1.0",
"20180713","1990","2","Utilities","21.447","1.0",
"20180713","1990","2","Natural Resources, Mining and Construction","121.013","1.0",
"20180713","1990","2","Manufacturing","277.046","1.0",
"20180713","1990","2","Public Administration","606.914","1.0",
"20180713","1990","3","Total Nonfarm","3614.762","1.0",
"20180713","1990","3","Total Private","3006.997","1.0",
"20180713","1990","3","Financial Activities","528.599","1.0",
"20180713","1990","3","Finance and Insurance","418.330","1.0",
"20180713","1990","3","Securities, Commodity Contracts, Investments ","163.332","1.0",
"20180713","1990","3","Credit Intermediation and Related Activities","170.249","1.0",
"20180713","1990","3","Real Estate and Rental and Leasing","110.269","1.0",
"20180713","1990","3","Information","167.807","1.0",
"20180713","1990","3","Professional and Business Services","472.281","1.0",
"20180713","1990","3","Professional, Scientific, and Technical Services","253.368","1.0",
"20180713","1990","3","Management of Companies and Enterprises","44.443","1.0",
"20180713","1990","3","Administrative and Waste Services","174.470","1.0",
"20180713","1990","3","Employment Services","47.547","1.0",
"20180713","1990","3","Education and Health Services","484.155","1.0",
"20180713","1990","3","Educational Services","111.460","1.0",
"20180713","1990","3","Health Care and Social Assistance","372.695","1.0",
"20180713","1990","3","Leisure and Hospitality","222.877","1.0",
"20180713","1990","3","Arts, Entertainment, and Recreation","43.719","1.0",
"20180713","1990","3","Accommodation and Food Services","179.158","1.0",
"20180713","1990","3","Other Services, except public administration","124.863","1.0",
"20180713","1990","3","Trade, Transportation, and Utilities","610.503","1.0",
"20180713","1990","3","Retail Trade","267.385","1.0",
"20180713","1990","3","Wholesale Trade","186.705","1.0",
"20180713","1990","3","Transportation and Warehousing","134.994","1.0",
"20180713","1990","3","Utilities","21.419","1.0",
