"program_type","program","site_name","address","borough_community","postcode","agency","contact_number","grade_level_age_group","location_1","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Jobs & Internships","In-School Youth Employment (ISY)","Intermediate School 217 - Rafael Hernandez School","977 Fox Street, Bronx, NY 10459","Bronx","10459","Simpson Street Development Association, Inc.","718.589.1510",,,"40.822443","-73.893902","2","17","159","2005660","2027140004","Hunts Point                                                                "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Phipps Community Education Center","1030 East 178thStreet","Bronx","10460","Phipps Community Development","718-542-0109","14 to 24","1030 178thStreet
,  10460
(40.841345048101, -73.880303879158)",,,,,,,,
"Jobs & Internships","Adult Employment","NDA Center","647 E. 180th Street","Bronx",,"South Bronx Overall Economic Development Corp.","718 585.2600",,"647 180th Street
,  
(40.71619, -90.444246)",,,,,,,,
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Community Counseling & Mediation","261 Buffalo Ave","Brooklyn","11213","Community Counseling & Mediation","718-875-7751 x240","14 to 24","261 Buffalo Ave
,  11213
(40.67003864097, -73.92540014432)","40.669991","-73.925427","8","41","359","3037201","3013870007","Crown Heights North                                                        "
"Jobs & Internships","In-School Youth Employment (ISY)","Junior High School 136 - Charles O. Dewey","4004 4th Avenue","Brooklyn","11232","SCO Family of Services","516.671.1253",,"4004 4th Avenue
,  11232
(40.652089908533, -74.006885108331)","40.651977","-74.006862","7","38","82","3010580","3007130020","Sunset Park West                                                           "
"Jobs & Internships","In-School Youth Employment (ISY)","The International High School @ Prospect Heights (K524)","883 Classon Avenue","Brooklyn","11225","Chinese American Planning Council","212.941.0920",,"883 Classon Avenue
,  11225
(40.670458657699, -73.961628275734)","40.670349","-73.961695","9","35","213","3029686","3011870001","Crown Heights South                                                        "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Asociaciones Dominicanas, Inc - Vulnerable Youth","202 Union Avenue , 2nd flr, ste L&M","Brooklyn","11211","Asociaciones Dominicanas, Inc - Vulnerable Youth","718-599-2386 ","14 to 24","202 Union Avenue
ste L&M,  11211
(40.706434807769, -73.950331811608)","40.706403","-73.950356","1","34","511","3325853","3030580100","East Williamsburg                                                          "
"Jobs & Internships","In-School Youth Employment (ISY)","Sesame Flyers International, Inc.","3510 Church Avenue","Brooklyn","11203","Sesame Flyers International, Inc.","718.693.0500",,"3510 Church Avenue
,  11203
(40.651046066177, -73.944640167627)","40.651066","-73.944555","17","45","856","3109467","3048890004","East Flatbush-Farragut                                                     "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","National Society for Hebrew Day School","1545 Coney Island Avenue","Brooklyn","11230","National Society for Hebrew Day School","718-252-4446 ","14 to 24","1545 Coney Island Avenue
,  11230
(40.6198266572, -73.96413986613)","40.619583","-73.964181","14","44","768","3329237","3067310001","Midwood                                                                    "
"Jobs & Internships","Out-of-School Youth Employment (OSY)","Bronx Community College","4117 West 181st Street, 5th Floor","Bronx","10453","Henkels & McCoy, Inc.","917.856.2368","16 to 21","4117 181st Street
,  10453
(40.852786838342, -73.913426784319)",,,,,,,,
"Jobs & Internships","Adult Employment","Urban net Cathedral Cares","1047 Amsterdam Avenue","New York","10025","Community Impact/Columbia University","212 854.2617",,"1047 Amsterdam Avenue
,  10025
(40.803849783644, -73.963177125879)","40.803951","-73.963139","9","7","19701","1082706","1018650001","Morningside Heights                                                        "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Chinese American Planning Council - Manhattan ","165 Eldridge Street","Manhattan","10013","Chinese American Planning Council - Manhattan ","212-334-0083 ","14 to 24","165 Eldridge Street
,  10013
(40.721242188776, -74.008889000227)","40.720074","-73.990996","3","1","18","1075907","1004200068","Chinatown                                                                  "
"Jobs & Internships","Youth Employment","Bronx Community Resource Center"," 81-83C Featherbed Lane","Bronx","10452","Covenant House / Under 21","718.294. 7182","HS","81 83C Featherbed Lane
,  10452
(40.837724263364, -73.923332211412)","40.846306","-73.917755","5","14","21502","2008809","2028760037","University Heights-Morris Heights                                          "
"Jobs & Internships","Youth Employment","Police Athletic League PAL\Harlem Center ","441 Manhattan Avenue","New York","10026","Police Athletic League, Inc.","212.665.8699","MS/HS","441 Manhattan Avenue
,  10026
(40.806694644425, -73.955618643362)","40.806654","-73.955649","10","9","257","1088138","1019450051","Central Harlem South                                                       "
"Jobs & Internships","In-School Youth Employment (ISY)","Herbert H. Lehman High School - H.S. 405","3000 E. Tremont Avenue","Bronx","10461","Henkels & McCoy, Inc.","800.622.5577",,"3000 Tremont Avenue
,  10461
(40.840618266234, -73.838305820374)","40.840702","-73.838545","10","13","194","2074045","2053680001","Schuylerville-Throgs Neck-Edgewater Park                                   "
"Jobs & Internships","Youth Employment","East NY Development Corporation","2644 Atlantic Avenue","Brooklyn","11207","East NY Development Corporation","718.566.2127","HS","2644 Atlantic Avenue
,  11207
(40.675655262304, -73.896752975273)","40.675744","-73.896644","5","37","1198","3326728","3036870012","East New York                                                              "
"Jobs & Internships","Out-of-School Youth Employment (OSY)","NYSARC, Inc.","57 Willoughby","Brooklyn","11201","NYSARC, Inc, NYC Chapter Assn for Help of Retarded Children","212.634.8657","16 to 21","57 Willoughby
,  11201
(40.692238836414, -73.98662013867)",,,,,,,,
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Sat. Community Partnership Center.","413 West 125th Street,","Manhattan","10027","Ecumenical Community Development Organization","212-531-3211 ","14 to 24","413 125th Street
,  10027
(40.811706778839, -73.954731383002)","40.81168","-73.954703","9","7","20901","1059548","1019660066","Morningside Heights                                                        "
"Jobs & Internships","Adult Employment","COJO of Flatbush","1550 Coney Island Ave","Queens","11230","Council of Jewish Organizations of Flatbush                 ","718.377.2900","Adults","1550 Coney Island Ave
,  11230
(40.619697574375, -73.964314154293)","40.619517","-73.964188","12","44","454","3171988","3065460011","Ocean Parkway South                                                        "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Mosholu Montefiore Community Center, Inc.","3400 Reservoir Oval East","Bronx","10467","Mosholu Montefiore Community Center, Inc.","718-882-4000  x279","14 to 24","3450 Dekalb Avenue
,  10467
(40.881106944743, -73.881708466169)","40.878889","-73.87581","7","11","423","2018218","2033430185","Norwood                                                                    "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","The Lucile Palmaro Clubhouse","1930 Randall Avenue","Bronx","10473","Kips Bay Boys & Girls Club","718-893-8600 x258/261","14 to 24","1930 Randall Avenue
,  10473
(40.81782677019, -73.856685373362)","40.817841","-73.856704","9","18","16","2090508","2035280017","Soundview-Castle Hill-Clason Point-Harding Park                            "
"Jobs & Internships","Youth Employment","Youth for Education and Sports","681 Ocean Avenue","Brooklyn","11226","Youth for Education and Sports","718.941.7532",,"681 Ocean Avenue
,  11226
(40.646187680826, -73.960236131048)","40.646286","-73.960274","14","40","51001","3117624","3051240026","Flatbush                                                                   "
