"location","phone_number","districts_served","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"1 Fordham Plaza, 7th floor","718-935-2178  ","7, 9, 10 ","2",,,,,,,,,
"1230 Zerega Avenue","718-935-2278  ","8, 11, 12 ","2","10462","40.833586","-73.845099","9","13","96","2027195","2038420002","Westchester-Unionport                                                      "
"1790 Ocean Avenue, 3rd floor","718-935-2313   ","17, 18, 22","3",,,,,,,,,
"415 89th street","718-935-2331  ","20, 21 ","3","11209","40.619931","-74.028086","10","43","160","3154215","3060650043","Bay Ridge                                                                  "
"1665 St. Mark's Avenue","718-935-2340  ","19, 23, 32 ","3","11233","40.673138","-73.912024","16","41","36501","3039123","3014540054","Ocean Hill                                                                 "
"29 Fort Greene Place","718-935-2371 ","13,14,15,16, General Education Only","3","11217","40.688834","-73.976905","2","35","33","3058752","3020980013","Fort Greene                                                                "
"131 Livingston Street","718-935-4908 ","13,14,15,16, Special Education Only","3","11201","40.690743","-73.988605","2","33","37","3000420","3001540001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"333 Seventh Avenue","718-935-2383   ","1, 2, 4  ","1","10001","40.747629","-73.99306","5","3","95","1015097","1008040001","Midtown-Midtown South                                                      "
"388 West 125th street","718-935-2385   ","3, 5, 6  ","1","10027","40.811182","-73.953594","9","9","20901","1087468","1019510004","Morningside Heights                                                        "
"28-11 Queens Plaza North","718-935-2386     ","24, 30","4","11101","40.75008","-73.938208","1","26","33","4005022","4004170002","Queensbridge-Ravenswood-Long Island City                                   "
"30-48 Linden Place","718-935-2391   ","25, 26  ","4","11354","40.770185","-73.832925","7","20","869","4100749","4043700050","Flushing                                                                   "
"90-27 Sutphin Boulevard","718-935-2393     ","27, 28, 29","4","11435","40.70234","-73.808148","12","24","240","4206784","4096770007","Jamaica                                                                    "
"715 Ocean Terrace, Building A","718-935-2402   ","31","5","10301","40.608517","-74.102078","2","50","177","5113169","5006830001","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   "
