"studio_name","zip_code","phone","fax","website","email","location_1","number_and_street_address","borough","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Soundtrack Film & Television","10011","212-420-6010",,"www.soundtrackgroup.com",,"128 22nd Street
New York, NY 10011
(40.742561654684, -73.994141865276)","128 22nd Street",,,,,,,,,
"Pomann Sound, Inc.","10036","212-869-4161","212-869-4541","www.pomannsound.com","info@pomannsound.com","2 46th St
New York, NY 10036
(40.756287644683, -73.979621548324)","2 46th Street",,,,,,,,,
"Hobo Audio Company","10018","212-967-6532","646-607-2767","www.hoboaudio.com","info@hoboaudio.com","555 Eighth Ave
New York, NY 10018
(40.754524973506, -73.99178038216)","555 Eighth Ave","MANHATTAN","40.754477","-73.991814","4","3","111","1013623","1007610037","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Integrated Studios","10013","212-334-4000","212-334-6969","www.integratedstudios.com","info@integratedstudios.com","449 Washington St
New York, NY 10013
(40.723912051628, -74.010252456642)","449 Washington Street","MANHATTAN","40.72384","-74.010275","1","1","39","1002920","1002247503","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Serge Audio","10001","212-213-0808",,"www.sergeaudio.com","info@sergeaudio.com","260 Fifth Ave
New York, NY 10001
(40.745113934197, -73.986995932557)","260 Fifth Ave","MANHATTAN","40.745037","-73.987048","5","4","76","1015732","1008300042","Midtown-Midtown South                                                      "
"Splash Studios, Inc.","10010","212-271-8747","212-271-8748","www.splash-studios.com","booking@splash-studios.com","49 23rd St
New York, NY 10010
(40.742402112551, -73.991618504195)","49 23rd Street",,,,,,,,,
"HSR/NY","10170","212-687-4180",,"www.hsrny.com","zoes@hsrny.com","420 Lexington Avenue
New York, NY 10170
(40.752438546398, -73.975331782244)","420 Lexington Avenue","MANHATTAN","40.752262","-73.975464","5","4","92","1035385","1012807501","Turtle Bay-East Midtown                                                    "
"Studio Center ","10017","212-986-3070","212-490-9737","http://studiocenter.com/Home.aspx","sharon@tonic.tv","315 Madison
New York, NY 10017
(40.753028074201, -73.979078557076)","315 Madison","MANHATTAN","40.752661","-73.979376","5","4","82","1035336","1012760051","Murray Hill-Kips Bay"
"Manhattan Center Studios","10001","877-627-8834","212-564-1092","www.mcstudios.com","obie@mcpstudios.com","311 34th St
New York, NY 10001
(40.752369229284, -73.993803658269)","311 34th Street",,,,,,,,,
"VideoActive Productions","10036","212-541-6592",,"www.videoactiveprod.com","vworks@aol.com","1560 Broadway
New York, NY 10036
(40.759003271609, -73.985190670145)","1560 Broadway","MANHATTAN","40.75886","-73.984843","5","4","125","1022661","1009990003","Midtown-Midtown South                                                      "
