"sitekey","sitestatus","providername","sitename","building","street","unit","borough","city","postcode","mappedaddress","phone","extension","show311","showonmap","website","ada_accessible","incomelimit","l1","itin","s1","amendedreturn","prioryear","aarp","selfemployed","opendatestr","opendateiso","closedatestr","closedateiso","apptorwalkin","mondayopen","imondayopen","mondayclose","imondayclose","tuesdayopen","ituesdayopen","tuesdayclose","ituesdayclose","wednesdayopen","iwednesdayopen","wednesdayclose","iwednesdayclose","thursdayopen","ithursdayopen","thursdayclose","ithursdayclose","fridayopen","ifridayopen","fridayclose","ifridayclose","saturdayopen","isaturdayopen","saturdayclose","isaturdayclose","sundayopen","isundayopen","sundayclose","isundayclose","ianydayopen","ianydayclose","scheduleexceptions","notes","citycouncildistrict","communitydistrict","bbl","nta","xcoordinate","ycoordinate","latitude","longitude","icon","geocoded_column"
"UU - 1","Active","Food Bank For New York City","Jesus Is The Answer","89-17","139th Street",,"Queens","Jamaica",,"""89-17 139th Street, Queens NY, 11435""","(718) 908-6303",,"Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","""English, Spanish""","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 10","2019-04-10T00:00:00.000","Both",,,,,"9:00 AM","9","7:00 PM","19",,,,,"9:00 AM","9","7:00 PM","19",,,,,"9:00 AM","9","7:00 PM","19",,,,,"9","19",,,"24","412","4099760030","QN61","1036135","0195171","40.70222392396387","-73.81287285270264",,"(40.702223923964, -73.812872852703)"
"PREP-QNS","Active","NYC Free Tax Prep-A-Thon","Queens","35-01","Union Street",,"Queens","Flushing",,"""35-01 Union Street, Queens NY, 11354""",,,"Yes","Yes","http://www.nyc.gov/taxprep",,"""For all filers: income below $54,000.""","""English, Spanish""","No","In Person","No","No","No","Yes","Feb 9","2019-02-09T00:00:00.000","Feb 9","2019-02-09T00:00:00.000","Walk-in Only",,,,,,,,,,,,,,,,,,,,,"10:00 AM","10","6:00 PM","18",,,,,"10","18",,,"20","407","4050020001","QN22","1031926","0218094","40.76516547320827","-73.8278904510837",,"(40.765165473208, -73.827890451084)"
"AARPMN - 15","Active","AARP Tax Aide","Kennedy Center","34","West 134th Street","Ground Floor","Manhattan",,,"""34 West 134th Street, Manhattan NY, 10037""","(212) 862-6401",,"Yes","Yes",,,"""Open to all taxpayers, with special attention to those 60 and older.""","""English, Spanish""","None","In Person","Yes","Yes","Yes","Yes","Jan 31","2019-01-31T00:00:00.000","Apr 12","2019-04-12T00:00:00.000","Walk-in Only",,,,,,,,,,,,,"9:30 AM","9.5","1:30 PM","13.5","9:30 AM","9.5","1:30 PM","13.5",,,,,,,,,"9.5","13.5",,"""First come, first served.  We will stop accepting taxpayers when we have reached capacity""","05","108","1014450014","MN31","0995898","0218691","40.76692496422546","-73.95794983271793",,"(40.766924964225, -73.957949832718)"
"GB - 11","Active","Food Bank For New York City","Bed-Stuy Campaingn against Hunger Far Rockaway","2010","Fulton Street",,"Brooklyn",,,"""2014 Fulton Street, Brooklyn NY, 11233""","(718) 773-3551",,"No","No","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","English","None","Assisted Self-Preparation","No","No","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 15","2019-04-15T00:00:00.000","Walk-in Only","9:00 AM","9","5:00 PM","17","9:00 AM","9","5:00 PM","17","9:00 AM","9","5:00 PM","17","9:00 AM","9","5:00 PM","17","9:00 AM","9","5:00 PM","17",,,,,,,,,"9","17",,,"41","303","3015490016","BK79","1007084","0186535","40.67864275529949","-73.91767663515068",,"(40.678642755299, -73.917676635151)"
"FBNYC - 20","Active","Food Bank For New York City","NYCHA Grand Street Settlement","400","Hart Street",,"Brooklyn",,,"""400 Hart Street, Brooklyn NY, 11206""","(718) 919-5623",,"Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","""English, Spanish""","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 15","2019-04-15T00:00:00.000","Both",,,,,"7:00 PM","19","9:00 PM","21",,,,,"7:00 PM","19","9:00 PM","21",,,,,"1:00 PM","13","4:00 PM","16",,,,,"13","21",,,"36","303","3015950024","BK35","1002222","0192390","40.69472459110605","-73.93518996690639",,"(40.694724591106, -73.935189966906)"
"GB - 3","Active","Food Bank For New York City","Bedford Stuyvesant Restoration Plaza","1360","Fulton Street",,"Brooklyn",,,"""1360 Fulton Street, Brooklyn NY, 11216""","(646) 981-6111",,"Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""Individuals without dependents: $30,000, Families with dependents: $55,000""","""English, Spanish, Russian""","Non-CAA ITIN","""In Person, Assisted Self-Preparation""","Yes","Yes","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 15","2019-04-15T00:00:00.000","Appointment Only","5:00 PM","17","8:00 PM","20","5:00 PM","17","8:00 PM","20","5:00 PM","17","8:00 PM","20","5:00 PM","17","8:00 PM","20",,,,,"10:00 AM","10","5:00 PM","17","9:00 AM","9","5:00 PM","17","9","20","Closed 2/18/2019 for President's Day","To make an appointment go to https://www.foodbanknyc.org/taxhelp.ÿ","36","303","3018620001","BK61","0999247","0187091","40.68018559555126","-73.94593010588461",,"(40.680185595551, -73.945930105885)"
"CPQ - 1","Active","Commonpoint Queens","Commonpoint Queens","67-09","108th Street",,"Queens","Forest Hills",,"""67-11 108th Street, Queens NY, 11376""","(718) 268-5011","118","Yes","Yes","http://www.commonpointqueens.org",,"Open to all taxpayers.","""English, Spanish""","Non-CAA ITIN","In Person","No","No","No","No","Feb 22","2019-02-22T00:00:00.000","Apr 15","2019-04-15T00:00:00.000","Appointment Only",,,,,,,,,,,,,,,,,"9:30 AM","9.5","2:00 PM","14",,,,,"10:30 AM","10.5","4:00 PM","16","9.5","16",,,"29","406","4021760001","QN17","1026541","0204799","40.72870149318442","-73.84741376988386",,"(40.728701493184, -73.847413769884)"
"FBNYC - 2","Active","Food Bank For New York City","Muslim Women's Institute For Research and Development","1363","Ogden Avenue",,"Bronx",,,"""1363 Ogden Avenue, Bronx NY, 10452""","(718) 960-2262",,"Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","""English, Spanish""","Non-CAA ITIN","Drop Off","Yes","Yes","No","Yes","Jan 29","2019-01-29T00:00:00.000","Apr 12","2019-04-12T00:00:00.000","Appointment Only",,,,,"10:00 AM","10","12:00 PM","12","10:00 AM","10","3:00 PM","15","10:00 AM","10","3:00 PM","15","10:00 AM","10","3:00 PM","15",,,,,,,,,"10","15",,,"16","204","2025350026","BX26","1005078","0245933","40.841679869860144","-73.92472483448795",,"(40.84167986986, -73.924724834488)"
"AARPMN - 7","Active","AARP Tax Aide","Center for Recovery and Wellness","25","Avenue D",,"Manhattan",,,"""25 Avenue D, Manhattan NY, 10009""","(646) 395-4062",,"Yes","Yes",,,"""Open to all taxpayers, with special attention to those 60 and older.""","""English, Spanish""","None","In Person","Yes","Yes","Yes","Yes","Jan 31","2019-01-31T00:00:00.000","Apr 11","2019-04-11T00:00:00.000","Walk-in Only",,,,,,,,,,,,,"10:00 AM","10","2:00 PM","14",,,,,,,,,,,,,"10","14",,"""First come, first served.  We will stop accepting taxpayers when we have reached capacity""","02","103","1003730038","MN28","0990306","0201883","40.72079680690595","-73.97815251110715",,"(40.720796806906, -73.978152511107)"
"FBNYC - 35","Active","Food Bank For New York City","""Science, Industry and Business Library ""","188","Madison Avenue",,"Manhattan",,,"""190 Madison Avenue, Manhattan NY, 10016""","(917) 275-6975",,"Yes","Yes","http://www.foodbanknyc.org/taxhelp",,"""For all filers: Income below $55,000.""","English","Non-CAA ITIN","Assisted Self-Preparation","No","No","No","Yes","Jan 28","2019-01-28T00:00:00.000","Apr 15","2019-04-15T00:00:00.000","Walk-in Only","1:00 PM","13","6:00 PM","18",,,,,"1:00 PM","13","6:00 PM","18",,,,,"1:00 PM","13","5:00 PM","17","1:00 PM","13","5:00 PM","17",,,,,"13","18",,,"04","105","1008647502","MN17","0989005","0211774","40.74794596023932","-73.98283897869614",,"(40.747945960239, -73.982838978696)"
