"ceqr","project_name","project_description","borough","lead_agency","url"
"16DCP043R","22 Norman Place","The Applicant, 22 Norman Place LLC, is requesting a CPC Chairman Certification pursuant to Z.R. Section 107-121 (Public Schools) and Z.R. Section 107-08 (Subdivision). The requested Certifications would facilitate a proposal by the applicant to develop four Two-Family homes on approved lots.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11569-16DCP043R"
"13DEP021R","Hannah Street Pump Station Rehabilitation & Upgrade","NYCDEP is proposing to upgrade the Hannah Street Pumping Station, a wastewater pumping station that has one main building with three stories below grade and one story above grade. It is located on Murray Hulbert Avenue, south of Hannah Street, in the Tompkinsville neighborhood of Staten Island. Currently, the pumping station is designed for a total flow of up to 37.5 MGD; the proposed improvements would ensure the continous and safe operation of the pumping station.","Staten Island","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9354-13DEP021R"
"08DME004X","Kingsbridge Armory","The development of the Armory, and the creation of an approx 47,000 sq ft open space at the intersection of West Kingsbridge Road and Reservoir Avenue. The development team will initially undertake the needed environmental clean-up and structural repairs.","Bronx","Deputy Mayor for Housing and Economic Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/5833-08DME004X"
"12HPD031X","Artsbridge Senior Housing","The proposal involves an application by HPD, on behalf of the project sponsor, Highbridge Community HDFC, for the disposition of City-owned property and project approval and designation of two sites as Urban Development Action Area Projects (UDAAP).  The proposed project would consist of a seven-story building on Lot 27, approximately 60 feet tall, containing 62 units (approximately 53,535 square feet) of affordable housing for seniors, and approximately 22,557 square feet of community facility space proposed for educational and music program use.  Lots 3, 6, 8, and 10 would be used for off-street parking (approximately 9 spaces) and open space as an accessory to the community facility to be developed in the lower floors of the building on Lot 27.","Bronx","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8443-12HPD031X"
"11TLC022Q","Viamax Service Station & Car Service Corp.","Establish a livery car service. The proposed dispatch office and off-street parking location is at 1884 Flushing Avenue, Ridgewood, N.Y. 11385.","Queens","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7556-11TLC022Q"
"01BSA002K","2301 Avenue L","Conversion of a 2 family dwelling to a 1 family dwelling and extending the 1 family use into the attic, and enlarging the 2nd floor","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/5385-01BSA002K"
"14HPD024M","551 Tenth Avenue","The proposed newly  constructed rental building located in the Hudson Yards section of Manhattan, will consist of 598 du's, of which 119 du's will be designated as Inclusionary Housing within the 52 story-builidng.","Manhattan","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9871-14HPD024M"
"19DOT017K","School Safety Improvements at Linden Boulevard at Troy Avenue and Linden Boulevard at East 48th Street","NYCDOT is proposing improvements to enhance the safety of student pedestrians and other road users including cyclists, transit riders, and motorists in the vicinity of PS 135 in the East Flatbush neighborhood of Brooklyn Community District 17. The project improvements include the construction of a curb extension on the southeast corner at the intersection of Linden Boulevard and Troy Avenue and one curb extension on the southeast corner at the intersection of Linden Boulevard and East 48th Street. These improvements would help reduce vehicular speed, calm traffic, and create shorter and safer pedestrian crossing in a Vision Zero Priority Corridor located within two blocks of multiple NYCT bus routes on Church and Utica Avenues.","Brooklyn","Department of Transportation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14248-19DOT017K"
"21DME001K","Coney East Parkland Map Split","The New York City Economic Development Corporation (EDC) and the New York City Department of Parks and Recreation (DPR) are proposing a modification to an approved amendment to the City Map [C 090107 MMK, M090107 (A) MMK, M090107(B)MMK, M090107(C)MMK approved in 2009, 2010, 2013 and 2017, respectively], to discontinue a portion of West 10th Street between Tax Blocks 8696, Lot 212 and 8697, and complete the mapping of parkland in Coney East within the southern portion of Block 8696, Lot 212 and over a portion of West 10th Street.  The application proposes to divide the previously approved Coney East map to facilitate the mapping of parkland in Coney East, as described above, while delaying the mapping of a new portion of West 10th Street that at this time, and through 2027, would conflict with the interim amusement use on the northern portion of Block 8696, Lot 212","Brooklyn","Deputy Mayor for Housing and Economic Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/15234-21DME001K"
"19DEP038K","Replacement of Main Sewage Pumps at Coney Island Wastewater Treatment Plant","Replacement of Main Sewage Pumps at the Coney Island WWTP.","Brooklyn","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14566-19DEP038K"
