"station_name","agency","no_of_ports","number","street","city","state","postcode","borough","latitude","longitude","community_district","council_district","census_tract","bin","bbl","nta"
"DOC_MOBI_1","DOC","1",,"Hazen St","Riker's Island","New York","10474",,,,,,,,,
"DOH 56 DRIVE NISSAN","DOH","1","56-17","56th Dr.","Maspeth","New York","11378","QUEENS","40.72441","-73.914492","402","30","219","4058946","4025850002","QN31"
"DOH BEDFORD NISSAN 1","DOH","1","485","Throop Ave.","Brooklyn","New York","11221","BROOKLYN","40.685654","-73.941462","303","36","277","3051782","3018260001","BK35"
"DOH BEDFORD NISSAN 2","DOH","1","485","Throop Ave.","Brooklyn","New York","11221","BROOKLYN","40.685654","-73.941462","303","36","277","3051782","3018260001","BK35"
"DOH BELLEVUE NISSAN 1","DOH","1","455","1st Ave.","New York","New York","10016","MANHATTAN","40.739162","-73.976894","106","2","66","1020610","1009320017","MN20"
"DOH BELLEVUE NISSAN 2","DOH","1","455","1st Ave.","New York","New York","10016","MANHATTAN","40.739162","-73.976894","106","2","66","1020610","1009320017","MN20"
"DOT LOT 190 ST 1","DOT","1","2478","Jerome Ave","Bronx","New York","10468","BRONX","40.863249","-73.90068","207","14","401","2014125","2031890009","BX05"
"DOT LOT 190 ST 2","DOT","1","2478","Jerome Ave","Bronx","New York","10468","BRONX","40.863249","-73.90068","207","14","401","2014125","2031890009","BX05"
"DOT LOT 190 ST 3","DOT","1","2478","Jerome Ave","Bronx","New York","10468","BRONX","40.863249","-73.90068","207","14","401","2014125","2031890009","BX05"
"DOT LOT 190 ST 4","DOT","1","2478","Jerome Ave","Bronx","New York","10468","BRONX","40.863249","-73.90068","207","14","401","2014125","2031890009","BX05"
"DOT LOT 190 ST 5","DOT","1","2478","Jerome Ave","Bronx","New York","10468","BRONX","40.863249","-73.90068","207","14","401","2014125","2031890009","BX05"
"DOT LOT 3510 JEROME AVE 1","DOT","1","3510","Jerome Ave","Bronx","New York","10467","BRONX","40.88316","-73.880887","207","11","431","2017791","2033280010","BX43"
"DOT LOT 3510 JEROME AVE 2","DOT","1","3510","Jerome Ave","Bronx","New York","10467","BRONX","40.88316","-73.880887","207","11","431","2017791","2033280010","BX43"
"DOT LOT 3510 JEROME AVE 3","DOT","1","3510","Jerome Ave","Bronx","New York","10467","BRONX","40.88316","-73.880887","207","11","431","2017791","2033280010","BX43"
"DOT LOT BAY RIDGE 1","DOT","1","8501","Fifth Avenue","Brooklyn","New York","11209","BROOKLYN","40.622039","-74.025734","310","43","142","3153196","3060360001","BK31"
"DOT LOT BAY RIDGE 2","DOT","1","8501","Fifth Avenue","Brooklyn","New York","11209","BROOKLYN","40.622039","-74.025734","310","43","142","3153196","3060360001","BK31"
"DOT LOT BAY RIDGE 3","DOT","1","8501","Fifth Avenue","Brooklyn","New York","11209","BROOKLYN","40.622039","-74.025734","310","43","142","3153196","3060360001","BK31"
"DOT LOT BAY RIDGE 4","DOT","1","8501","Fifth Avenue","Brooklyn","New York","11209","BROOKLYN","40.622039","-74.025734","310","43","142","3153196","3060360001","BK31"
"DOT LOT BAY RIDGE 5","DOT","1","8501","Fifth Avenue","Brooklyn","New York","11209","BROOKLYN","40.622039","-74.025734","310","43","142","3153196","3060360001","BK31"
"DOT LOT COURT SQ 1","DOT","1","45-40","Court Square","Queens","New York","11101","QUEENS","40.745815","-73.943549","402","26","19","4000699","4000830018","QN31"
"DOT LOT COURT SQ 2","DOT","1","45-40","Court Square","Queens","New York","11101","QUEENS","40.745815","-73.943549","402","26","19","4000699","4000830018","QN31"
"DOT LOT COURT SQ 3","DOT","1","45-40","Court Square","Queens","New York","11101","QUEENS","40.745815","-73.943549","402","26","19","4000699","4000830018","QN31"
"DOT LOT COURT SQ 4","DOT","1","45-40","Court Square","Queens","New York","11101","QUEENS","40.745815","-73.943549","402","26","19","4000699","4000830018","QN31"
"DOT LOT COURT SQ 5","DOT","1","45-40","Court Square","Queens","New York","11101","QUEENS","40.745815","-73.943549","402","26","19","4000699","4000830018","QN31"
"DOT LOT COURT SQ 6","DOT","1","45-40","Court Square","Queens","New York","11101","QUEENS","40.745815","-73.943549","402","26","19","4000699","4000830018","QN31"
"DOT LOT COURT SQ 7","DOT","1","45-40","Court Square","Queens","New York","11101","QUEENS","40.745815","-73.943549","402","26","19","4000699","4000830018","QN31"
"DOT LOT COURT SQ 8","DOT","1","45-40","Court Square","Queens","New York","11101","QUEENS","40.745815","-73.943549","402","26","19","4000699","4000830018","QN31"
"DOT LOT ESSEX ST 1","DOT","1","105-113","Essex Street","New York","New York","10002","MANHATTAN","40.719086","-73.98794","103","1","18","1005326","1004100038","MN27"
"DOT LOT ESSEX ST 2","DOT","1","105-113","Essex Street","New York","New York","10002","MANHATTAN","40.719086","-73.98794","103","1","18","1005326","1004100038","MN27"
"DOT LOT ESSEX ST 3","DOT","1","105-113","Essex Street","New York","New York","10002","MANHATTAN","40.719086","-73.98794","103","1","18","1005326","1004100038","MN27"
"DOT LOT ESSEX ST 4","DOT","1","105-113","Essex Street","New York","New York","10002","MANHATTAN","40.719086","-73.98794","103","1","18","1005326","1004100038","MN27"
"DOT LOT ESSEX ST 5","DOT","1","105-113","Essex Street","New York","New York","10002","MANHATTAN","40.719086","-73.98794","103","1","18","1005326","1004100038","MN27"
"DOT LOT QUEENS BORO HALL 1","DOT","1","80-25","126th Street","Queens","New York","11415","QUEENS","40.714856","-73.82705","409","29","216","4206524","4096570001","QN60"
"DOT LOT QUEENS BORO HALL 2","DOT","1","80-25","126th Street","Queens","New York","11415","QUEENS","40.714856","-73.82705","409","29","216","4206524","4096570001","QN60"
"DOT LOT QUEENS BORO HALL 3","DOT","1","80-25","126th Street","Queens","New York","11415","QUEENS","40.714856","-73.82705","409","29","216","4206524","4096570001","QN60"
"DOT LOT QUEENS BORO HALL 4","DOT","1","80-25","126th Street","Queens","New York","11415","QUEENS","40.714856","-73.82705","409","29","216","4206524","4096570001","QN60"
