"organizationname","brooklyn","bronx","manhattan","queens","staten_island","fax","phone","url","nourl","description","outsideloc","outsidelocdesc","aging","anti_discrimination_human_rights","arts_culture","business","child_care_parent_information","community_service_volunteerism","counseling_support_groups","disabilities","domestic_violence","education","employment_job_training","health","homelessness","housing","immigration","legal_services","lesbian_gay_bisexual_and_or_transgender","personal_finance_financial_education","professional_association","veterans_military_families","victim_services","women_s_groups","youth_services","faith_based_organization","foundation","is_registered_with_the_attorney_general_s_office","new_york_city_agency","none_of_the_above","nonprofit","comments","other_government_organization","published","location_1","borough","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","address1","address2","city","postcode"
"St. Mary's Hospital for Children","N","N","N","N","N","7186317874","7182818750","http://www.stmaryskids.org/ps_tbi-coma.html",,"Traumatic Brain Injury/Coma Recovery",,,"N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",,"Y","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"29-01 216th St.",,"Bayside",
"Greater Astoria Historical Society","N","N","N","Y","N",,"7182780700","http://www.astorialic.org",,,,,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"35-20 Broadway, 4th Floor
Quinn Building, 35-20 Broadway, 4th Floor",,"Long Island City",
"Community Resources and Services for Children","N","N","N","Y","N",,"7182063400",,,,,,"N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"90-04 161st Street, Suite 401",,"Jamaica",
"Supportive Childrens Advocacy Network (SCAN)","N","N","Y","N","N",,,,"N",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"Y","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"207 215 E 27th Street",,"New York","10016"
"Sjogren's Syndrome Foundation","N","N","Y","N","N",,"2127247110","http://www.sjogrens.org/",,"New York City Support Group",,,"N","N","N","N","N","N","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"109 East 50 Street",,"New York",
"Guardians of the Sick, Inc.","Y","N","N","N","N",,"7184382020",,,,,,"N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","Y","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.635862, -73.998429)","BROOKLYN ","40.635862","-73.998429","12","44","218","3138585","3056600050","Borough Park                                                               ","5216 11th Avenue",,"Brooklyn","11219"
"Healthcare-NOW","N","N","Y","N","N",,,,"N",,,,"N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.726055, -73.994545)","MANHATTAN","40.726055","-73.994545","2","1","5502","1008452","1005290065","West Village                                                               ","339 Lafayette Street",,"New York","10012"
"Japanese American Association of New York","Y","Y","Y","Y","Y","2128400616","2128406942","http://www.jaany.org","N",,"N",,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,,,"New York","10036"
"Sexuality Information & Education Council of the U.S., Inc.","N","N","Y","N","N",,"2128199770","http://www.siecus.org/",,,,,"N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"130 West 42 St., Suite 350",,"New York",
"Workers Awaaz","N","N","N","Y","N","7185650836","7185650801",,"N",,,,"N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,,"P.O. Box 471","Jackson Heights","11372"
"Identity House, Inc.","N","N","Y","N","N",,"2122438181","http://www.identityhouse.org/",,,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"P.O.Box 572, Old Chelsea Station",,"New York","10011"
"NYC TV","Y","Y","Y","Y","Y",,,"http://www.nyc.gov/html/nycmg/nyctv/html/home/home.shtml","N",,"N",,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","Y","N","N",,"N","Published",,,,,,,,,,,,,"New York",
"Malcolm X Day Care Center","N","N","N","Y","N","7186517412","7186517880",,,,,,"N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"111-12 Northern Blvd.",,"Corona",
"Green Chimneys Children's Services","N","N","Y","N","N",,"2126777288",,,,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"Y","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"402 Doansburg Rd. Caller Box 719",,"Brewster","10509"
"Asthma/Emphysema Self-Help Group","N","N","Y","N","N",,"2127770486",,,,,,"N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"172 East 4th Street, Suite 11th Floor",,"New York",
"Aging In America, Inc.","N","Y","N","N","N",,,,"N","Our Title V program is to assist seniors 55 and older to
train then, and place them in
part time meaningful employment in the Private sector","N",,"N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.857026, -73.843125)","BRONX    ","40.857026","-73.843125","11","13","296","2047109","2042220005","Pelham Parkway                                                             ","1500 Pelham Parkway South","TITLE V program for 55 & over","Bronx","10461"
"Girls Global Education Fund","N","N","Y","N","N",,,,"N",,"N",,"N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.788204, -73.972222)","MANHATTAN","40.788204","-73.972222","7","6","173","1032252","1012180042","Upper West Side                                                            ","128 West 88th Street",,"New York","10024"
"Childrens Art Carnival","N","N","Y","N","N",,"2122344093",,,,,,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.823075, -73.946309)","MANHATTAN","40.823075","-73.946309","9","7","227","1060961","1020500064","Hamilton Heights                                                           ","62 Hamilton Terrace",,"New York","10031"
"Lincoln Square Neighborhood Center, Inc.","N","N","Y","N","N",,"2128740860","http://www.lsncny.org/",,"The vision that shaped Lincoln Square Neighborhood Center in 1949 also shaped the Settlement House movement begun over 100 years ago. Throughout this city, neighbors stood up and took responsibility for each other, working cooperatively to build networks ",,,"Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"Y","N","N","N","N","N","Y",,"N","Published","(40.77501, -73.98689)","MANHATTAN","40.77501","-73.98689","7","6","151","1030340","1011560020","Lincoln Square                                                             ","250 West 65th Street",,"New York","10023"
"Women's Desk","N","N","Y","N","N","2127277668","2126336700",,,,,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"112 West 27th Street",,"New York",
"Reach Into Cultural Heights, Inc. (RICH)","N","N","N","Y","N","7185233608","7185234099","http://www.richinc.org","N","Reach Into Cultural Heights, Inc. (RICH) is a 501 (c) (3) Nonprofit Organization. The focus is on building character and leadership skills of urban youth by engaging them in constructive language supported by communications technology.","N",,"N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","Y","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.705199, -73.799278)","QUEENS   ","40.705199","-73.799278","12","24","44601","4208850","4097570023","Jamaica                                                                    ","90-04 161st Street, Suite 201",,"Jamaica","11432"
"Joan & Alan Bernikow Jewish Community Center of Staten Island","N","N","N","N","Y","7184755201","7184755200","http://www.sijcc.org","N","The JCC of Staten Island is a social service agency providing educational, recreational, cultural and social programs as well as referrals for various entitlements such as health insurance to its members and the entire S.I. community. It is renowned for its excellent early childhood programs; youth and afterschool programs and summer day camps; active adult and senior adult programs including fitness and opportunities for intellectual and social interaction; special needs programs for children including a special needs preschool, summer camp and camp for diabetic youth; cultural programs ranging from film festivals to concerts to Jewish culture celebrations. Its fitness center is state of the art and offers excellence in its facilities, instructors and classes. Its indoor olympic size pool and outdoor pools offer yearround swim instruction, teams and exercise options; it also has some hours set aside for men only swim and women only swim. Its sports and recreation department hosts an array of basketball leagues, soccer leagues, karate, golf and tennis instruction. There is a dance school and a full service gymnastics school available as well. The JCC is open 7 days a week with full programming Sunday - Friday and only the Sports & Wellness Wing available on Saturdays. Membership is open to the entire community. For specific details, please call 718-475-5223.","N",,"Y","N","Y","N","Y","N","Y","Y","N","Y","N","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.594454, -74.125677)","STATEN IS","40.594454","-74.125677","2","50","181","5141743","5009550100","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","1466 Manor Road",,"STATEN ISLAND","10314"
"Hadassah--The Women's Zionist Organization of America","N","N","Y","N","N","2123038282","2123557900","http://www.hadassah.org",,,,,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published",,,,,,,,,,,"50 West 58 St.",,"New York",
"Haitian Centers Council","Y","N","N","N","N","7189405296","7189405200",,"N","Services include immigration/refugee assistance; citizenship education; public education using local french/creole media; health education; housing; senior citizens; AIDS eduation and prevention; parenting skills; domestic violence prevention; cultural enrichment; dropout prevention; youth services; family services.",,,"N","N","N","N","N","N","N","N","Y","Y","N","Y","N","Y","Y","N","N","N","N","N","N",,"Y","N","N","N","N","N","Y",,"N","Published","(40.653695, -73.964022)","BROOKLYN ","40.653695","-73.964022","14","40","50804","3328161","3050520027","Flatbush                                                                   ","10 St. Paul's Place",,"Brooklyn","11226"
"Grace Outreach","N","Y","N","N","N","7183286128","7183280580","http://www.graceoutreachbronx.org","N","Grace Outrach fills a critical community need in the South Bronx by providing women who have not finished high school a path to strengthening their academic skills, pursuing college, or employment training, and finding good-paying jobs.   Through its unique program of education, coaching and mentoring, Grace Outreach helps women - most of whom have children - to acquire the skills and confidence they need to build a better life for themselves and their families.  Since 2005, over 350 women have earned their high school equivalency diploma and are attending college, completing training and have secured new and better jobs.","N",,"N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.817722, -73.917956)","BRONX    ","40.817722","-73.917956","1","17","65","2097105","2023970017","Melrose South-Mott Haven North                                             ","378 East 151st Street","5th Floor","Bronx","10455"
