"applicant_name","address","zip_code","emp","investment","savings_annual","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Computer Services Group, Inc.","37-24 24th Street, Suite 340, Queens, NY","10018","21","n/a","$2,994.22 ",,,,,,,,,
"Gotham Greens Gowanus, LLC","184-60 Jamaica Avenue, Queens, NY","11423","33","$3,357,824.00 ","$54,545.00 ","QUEENS   ","40.709522","-73.774514","12","27","444","4220567","4103520089","Jamaica                                                                    "
"New York Fragrance","600 Gulf Avenue, Staten Island","10314","7","$2,215,900.00 "," TBD ","STATEN IS","40.614257","-74.179839","2","50","29102","5000000","5017600115","New Springville-Bloomfield-Travis                                          "
"Chelsea Craft Brewing Co., Inc.","463 E. 173rd Street, Bronx, NY","10457","10","$1,620,000.00 ","$4,848.00 ","BRONX    ","40.841778","-73.901638","3","15","165","2124550","2029060093","Claremont-Bathgate                                                         "
"S & L Aerospace Metals, LLC","120-12 28th Avenue, Queens, NY","11354","87","$827,511.00 ","$27,471.00 ","QUEENS   ","40.773145","-73.847648","7","19","907","4100711","4043170041","College Point                                                              "
"Silvercup Studios Associates, LP","295 Locust Avenue, Bronx, NY","10454","47","$17,543,167.00 ","$50,325.00 ","BRONX    ","40.80323","-73.906202","1","17","19","2004039","2025980046","Mott Haven-Port Morris                                                     "
"Tectonic Engineering & Surveying","118-35 Queens Blvd., Queens, NY","11375","76","n/a","$6,075.00 ","QUEENS   ","40.71513","-73.830545","6","29","75701","4052811","4022700041","Forest Hills                                                               "
"Daniel Scuderi","4715 Barnett Avenue, Queens, NY","11101","5","n/a","$2,180.00 ","QUEENS   ","40.750033","-73.915867","2","26","171","4001325","4001420227","Hunters Point-Sunnyside-West Maspeth                                       "
"IRX Therapeutics, Inc.","140 58th Street, Blgd.A, Unit 8D, Brooklyn, NY","11220","24","n/a","$17,500.00 ","BROOKLYN ","40.645338","-74.022864","7","38","18","3257058","3057780001","Sunset Park West                                                           "
"Arista Coffee, Inc.","59-01 55th Street, Queens, NY","11378","40","$278,070.00 ","$5,437.00 ","QUEENS   ","40.716759","-73.913146","5","30","535","4059082","4026300001","Maspeth                                                                    "
"Burden LLC","47-00 33rd Street, Queens, NY","11101","6","n/a","$1,373.00 ","QUEENS   ","40.742386","-73.932148","2","26","199","4003447","4002520018","Hunters Point-Sunnyside-West Maspeth                                       "
"Jewels for Me/JFM, Inc.","162 44th Street, Brooklyn, NY","11232","10","n/a","$1,057.00 ","BROOKLYN ","40.652989","-74.014333","7","38","18","3322615","3007350070","Sunset Park West                                                           "
"Tyme Food, Inc./Bowl, Inc.","238-252 Conover Street, Brooklyn, NY","11231","2","n/a","$4,226.00 ","BROOKLYN ","40.676489","-74.01613","6","38","53","3008773","3005950001","Carroll Gardens-Columbia Street-Red Hook                                   "
"J. Crew Group, Inc.","30-30 47th Ave., Queens, NY","11101","143","n/a","$9,688.00 ","QUEENS   ","40.743168","-73.936568","2","26","199","4003540","4002820001","Hunters Point-Sunnyside-West Maspeth                                       "
"Handy Tool & Mfg. Co., Inc.","1205 Rockaway Ave., Bklyn, NY","11236","29","$313,580.00 ","$2,362.00 ","BROOKLYN ","40.650042","-73.905711","18","42","1098","3257088","3081310022","East New York                                                              "
"Long Island Concrete, Inc.","215-10 Hempstead Ave., Queens, NY","11429","176","$736,000.00 ","$1,583.00 ","QUEENS   ","40.715576","-73.74373","13","27","540","4238780","4110830079","Queens Village                                                             "
"Picasso Hoops, I Love New York LLC","6 Bay Street, Brooklyn, NY 11231","11231","1","n/a","$4,176.00 ","BROOKLYN ","40.673726","-74.009845","6","38","53","3008840","3006010001","Carroll Gardens-Columbia Street-Red Hook                                   "
"Bimmy's, Inc.","47-00 33rd Street, Queens, NY ","11101","192","n/a","$1,416.00 ","QUEENS   ","40.742386","-73.932148","2","26","199","4003447","4002520018","Hunters Point-Sunnyside-West Maspeth                                       "
"Horizon Shades East, Inc.","37-18 Northern Blvd. Queens, NY","11101","14","n/a","$1,002.00 ","QUEENS   ","40.752096","-73.925887","1","26","171","4003103","4002140040","Hunters Point-Sunnyside-West Maspeth                                       "
"Boyce Technologies, Inc.","47-22 Pearson Place, Queens, NY","11101","73","n/a","$9,359.00 ","QUEENS   ","40.742724","-73.942538","2","26","1","4000743","4000990010","Hunters Point-Sunnyside-West Maspeth                                       "
"The Child Center of NY, Inc.","118-35 Queens Blvd., Queens, NY","11375","123","n/a","$1,853.00 ","QUEENS   ","40.71513","-73.830545","6","29","75701","4052811","4022700041","Forest Hills                                                               "
