"cbo_name","program_id","name","fiscal_year","amount"
"62nd Precinct Youth Council","518","Tax Levy/Discretionary Group","2010","0.00"
"62nd Precinct Youth Council","518","Tax Levy/Discretionary Group","2011","0.00"
"62nd Precinct Youth Council","518","Tax Levy/Discretionary Group","2012","0.00"
"62nd Precinct Youth Council","518","Tax Levy/Discretionary Group","2013","0.00"
"77th Precinct Community Council, Inc.","518","Tax Levy/Discretionary Group","2010","16000.00"
"77th Precinct Community Council, Inc.","518","Tax Levy/Discretionary Group","2011","0.00"
"77th Precinct Community Council, Inc.","518","Tax Levy/Discretionary Group","2012","0.00"
"77th Precinct Community Council, Inc.","518","Tax Levy/Discretionary Group","2013","0.00"
"78th Precinct Youth Council","518","Tax Levy/Discretionary Group","2010","22000.00"
"78th Precinct Youth Council","518","Tax Levy/Discretionary Group","2011","18214.00"
"78th Precinct Youth Council","518","Tax Levy/Discretionary Group","2012","19000.00"
"78th Precinct Youth Council","518","Tax Levy/Discretionary Group","2013","0.00"
"Young Men's & Young Women's Hebrew Association","518","Tax Levy/Discretionary Group","2010","215000.00"
"Young Men's & Young Women's Hebrew Association","518","Tax Levy/Discretionary Group","2011","218214.00"
"Young Men's & Young Women's Hebrew Association","518","Tax Levy/Discretionary Group","2012","207500.00"
"Young Men's & Young Women's Hebrew Association","518","Tax Levy/Discretionary Group","2013","0.00"
"Advocates for Children of New York, Inc.","518","Tax Levy/Discretionary Group","2010","203500.00"
"Advocates for Children of New York, Inc.","518","Tax Levy/Discretionary Group","2011","217500.00"
"Advocates for Children of New York, Inc.","518","Tax Levy/Discretionary Group","2012","211000.00"
"Advocates for Children of New York, Inc.","518","Tax Levy/Discretionary Group","2013","0.00"
"African Services Committee, Inc.","2387","Literacy Group","2010","74340.00"
"African Services Committee, Inc.","2387","Literacy Group","2011","47834.00"
"African Services Committee, Inc.","2387","Literacy Group","2012","0.00"
"African Services Committee, Inc.","2387","Literacy Group","2013","0.00"
"African Services Committee, Inc.","5051","Tax Levy/Adult Literacy","2010","10000.00"
"African Services Committee, Inc.","5051","Tax Levy/Adult Literacy","2011","10000.00"
"African Services Committee, Inc.","5051","Tax Levy/Adult Literacy","2012","10000.00"
"African Services Committee, Inc.","5051","Tax Levy/Adult Literacy","2013","10000.00"
"African Services Committee, Inc.","518","Tax Levy/Discretionary Group","2010","0.00"
"African Services Committee, Inc.","518","Tax Levy/Discretionary Group","2011","0.00"
"African Services Committee, Inc.","518","Tax Levy/Discretionary Group","2012","7000.00"
