"year","race_ethnicity","education","borough","nativity","age","insurance","trimester","diabetes","hypertension","heart_disease","employed","miscarriage","parity","smm","smm_rate"
"2016","All","All","All","All","All","All","All","All","All","All","All","All","All","2875","257.3"
"2016","White non-Latina","All","All","All","All","All","All","All","All","All","All","All","All","603","160.8"
"2016","Latina","All","All","All","All","All","All","All","All","All","All","All","All","919","288.3"
"2016","Black non-Latina","All","All","All","All","All","All","All","All","All","All","All","All","898","428.6"
"2016","Asian/Pacific Islander","All","All","All","All","All","All","All","All","All","All","All","All","431","207.9"
"2016","All","Less than high school","All","All","All","All","All","All","All","All","All","All","All","586","306.7"
"2016","All","High school graduate/equivalent","All","All","All","All","All","All","All","All","All","All","All","708","280.3"
"2016","All","Some college","All","All","All","All","All","All","All","All","All","All","All","705","292.4"
"2016","All","College graduate or higher","All","All","All","All","All","All","All","All","All","All","All","861","200.3"
"2016","All","All","Manhattan","All","All","All","All","All","All","All","All","All","All","345","219.9"
"2016","All","All","Bronx","All","All","All","All","All","All","All","All","All","All","616","337.1"
"2016","All","All","Brooklyn","All","All","All","All","All","All","All","All","All","All","930","251.3"
"2016","All","All","Queens","All","All","All","All","All","All","All","All","All","All","599","238.5"
"2016","All","All","Staten Island","All","All","All","All","All","All","All","All","All","All","126","246.6"
"2016","All","All","Non-resident of NYC","All","All","All","All","All","All","All","All","All","All","259","245.5"
"2016","All","All","All","Foreign-born","All","All","All","All","All","All","All","All","All","1579","270.0"
"2016","All","All","All","US-born (including territories)","All","All","All","All","All","All","All","All","All","1292","242.8"
"2016","All","All","All","All","19 years or less","All","All","All","All","All","All","All","All","103","321.4"
"2016","All","All","All","All","20-24 years","All","All","All","All","All","All","All","All","421","245.0"
"2016","All","All","All","All","25-29 years","All","All","All","All","All","All","All","All","702","240.7"
"2016","All","All","All","All","30-34 years","All","All","All","All","All","All","All","All","788","230.2"
"2016","All","All","All","All","35-39 years","All","All","All","All","All","All","All","All","608","279.0"
"2016","All","All","All","All","40 or more years","All","All","All","All","All","All","All","All","253","409.3"
"2016","All","All","All","All","All","Medicaid","All","All","All","All","All","All","All","1905","288.3"
"2016","All","All","All","All","All","Private","All","All","All","All","All","All","All","876","203.0"
"2016","All","All","All","All","All","Uninsured","All","All","All","All","All","All","All","37","322.0"
"2016","All","All","All","All","All","All","First trimester","All","All","All","All","All","All","1982","239.7"
"2016","All","All","All","All","All","All","Second trimester","All","All","All","All","All","All","542","280.2"
"2016","All","All","All","All","All","All","Third trimester","All","All","All","All","All","All","226","323.1"
"2016","All","All","All","All","All","All","No prenatal care","All","All","All","All","All","All","24","586.8"
"2016","All","All","All","All","All","All","Not reported","All","All","All","All","All","All","101","437.8"
"2016","All","All","All","All","All","All","All","Yes","All","All","All","All","All","56","514.7"
"2016","All","All","All","All","All","All","All","No","All","All","All","All","All","2819","254.7"
"2016","All","All","All","All","All","All","All","All","Yes","All","All","All","All","179","632.5"
"2016","All","All","All","All","All","All","All","All","No","All","All","All","All","2696","247.5"
"2016","All","All","All","All","All","All","All","All","All","Yes","All","All","All","21","801.5"
"2016","All","All","All","All","All","All","All","All","All","No","All","All","All","2854","256.0"
"2016","All","All","All","All","All","All","All","All","All","All","Yes","All","All","1427","234.9"
"2016","All","All","All","All","All","All","All","All","All","All","No","All","All","1439","283.0"
"2016","All","All","All","All","All","All","All","All","All","All","All","Yes","All","716","281.8"
"2016","All","All","All","All","All","All","All","All","All","All","All","No","All","2159","250.0"
"2016","All","All","All","All","All","All","All","All","All","All","All","All","Yes","1270","262.4"
"2016","All","All","All","All","All","All","All","All","All","All","All","All","No","1604","253.2"
