"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","address","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"After-School Programs","Teen Action Program","Michell Community Center","Bronx","East Side House, Inc.","718.665.5250 ext.111","13 to 21","205 Willis Avenue
Bronx, NEW YORK 10454
(40.808120011712, -73.923664456479)","205 Willis Avenue","10454","40.808109","-73.923629","1","8","23",,,"Mott Haven-Port Morris                                                     "
"After-School Programs","Teen Action Program","JHS 072 Catherine and Count Basie","Queens","The Child Center of NY","718.322.4953","13 to 21","133 25 Guy R Brewer Boulevard
Queens, NEW YORK 11434
(40.676945262114, -73.775306901692)","133-25 Guy R Brewer Boulevard","11434","40.673769","-73.775951","12","28","33402","4270059","4124950270","Springfield Gardens North                                                  "
"After-School Programs","Teen Action Program","New School @ PS 314","Brooklyn","SCO Family of Services","718.788.3500","13 to 21","330 59th Street
Brooklyn, NEW YORK 11220
(40.642201614799, -74.019175801725)","330 59th Street","11220","40.642121","-74.018997","7","38","74","3016258","3008620012","Sunset Park West                                                           "
"After-School Programs","Teen Action Program","JHS 151 LOU GEHRIG (X151)","Bronx","Sports and Arts In Schools Foundation, Inc.","347.417.8167","13 to 21","250 156 STREET
Bronx, NEW YORK 10451
(40.822983598861, -73.921130965005)","250 EAST 156 STREET","10451","40.82316","-73.921631","4","17","61","2002458","2024430190","East Concourse-Concourse Village                                           "
"After-School Programs","Teen Action Program","Albert Shanker School for Visual and Performing Arts ","Queens","Jacob A. Riis Neighborhood Settlement, Inc.","718.204.6797","13 to 21","31 51 21st Street
Queens, NEW YORK 11101
(40.745702449808, -73.938669029252)","31-51 21st Street","11101","40.766264","-73.930709","1","22","77","4006382","4005530001","Astoria                                                                    "
"After-School Programs","Teen Action Program","Academy of Applied Mathematics and Technology (X343)","Bronx","Aspira of New York, Inc.","212.564.6880 ext.102","13 to 21","345 Brook Avenue
Bronx, NEW YORK 10454
(40.810048624427, -73.91782345431)","345 Brook Avenue","10454","40.81004","-73.917792","1","8","41","2000391","2022860036","Mott Haven-Port Morris                                                     "
"After-School Programs","Teen Action Program","SOBRO","Bronx","South Bronx Overall Economic Development Corp.","718.292.3113","13 to 21","555 Bergen Avenue
Bronx, NEW YORK 10455
(40.815944415254, -73.916415911483)","555 Bergen Avenue","10455","40.815959","-73.916354","1","17","71","2097027","2022940002","Melrose South-Mott Haven North                                             "
"After-School Programs","Teen Action Program","Vanderbilt YMCA of Greater  New York","New York","YMCA of Greater New York/Vanderbilt","212.912.2557","13 to 21","224 47th Street
New York, NEW YORK 10017
(40.753671239968, -73.97158674866)","224 East 47th Street","10017","40.753634","-73.971418","6","4","90","1037605","1013200034","Turtle Bay-East Midtown                                                    "
"After-School Programs","Teen Action Program","IS 027 ANNING S PRALL (R027)","Staten Island","Sports and Arts In Schools Foundation, Inc.","347.417.8161","13 to 21","11 CLOVE LAKE PLACE Staten Island
NEW YORK,  10310
(40.628195604428, -74.117033282205)","11 CLOVE LAKE PLACE","10310","40.628169","-74.116997","1","49","125","5008403","5003080001","West New Brighton-New Brighton-St. George                                  "
"After-School Programs","Teen Action Program","I S 218 SALOME UKENA (M218)","New York","The Children's Aid Society","212.949.4921","13 to 21","4600 Broadway
New York, NEW YORK 10040
(40.861067654317, -73.930518565524)","4600 Broadway","10040","40.86079","-73.930672","12","10","285","1076756","1021720016","Washington Heights North                                                   "
