"appeal_type","appeal_subtype","agency","status","date_filed","date_closed","exam_no","title","expiration","extension","acronym"
"Section 50","Character","Fire Department - FDNY","Open","2015-12-31T00:00:00.000",,"2000","Firefighter","2017-06-26T00:00:00.000",,"FDNY"
"Section 50","Psych","Police Department - NYPD","Closed","2015-12-31T00:00:00.000","2016-09-07T00:00:00.000","2306","School Safety Agent","2018-01-30T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2015-12-31T00:00:00.000","2016-05-17T00:00:00.000","2326","Police Officer","2018-07-02T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2015-12-31T00:00:00.000","2016-08-16T00:00:00.000","4061","Stationary Engineer (Electric)","2020-01-13T00:00:00.000",,"DCAS"
"Section 50","Education and Experience","MTA New York City Transit - NYCT","Closed","2015-12-31T00:00:00.000","2016-07-05T00:00:00.000","5610","Car Inspector",,,"NYCT"
"Section 50","Medical","Department of Correction - DOC","Closed","2015-12-30T00:00:00.000","2016-04-29T00:00:00.000","4311","Correction Officer","2019-09-24T00:00:00.000",,"DOC"
"Section 50","Timeliness","MTA New York City Transit - NYCT","Closed","2015-12-30T00:00:00.000","2015-12-30T00:00:00.000","5610","Car Inspector",,,"NYCT"
"Section 50","Character","Police Department - NYPD","Closed","2015-12-30T00:00:00.000","2016-07-07T00:00:00.000","1320","Police Officer","2018-01-08T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","MTA New York City Transit - NYCT","Closed","2015-12-30T00:00:00.000","2016-04-14T00:00:00.000","4604","Maintenance Supervisor (Surface)",,,"NYCT"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2015-12-30T00:00:00.000","2016-06-20T00:00:00.000","5012","Associate Education Analyst",,,"DCAS"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2015-12-30T00:00:00.000","2016-02-01T00:00:00.000","5604","Structure Maintainer Group G",,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2015-12-29T00:00:00.000","2016-01-26T00:00:00.000","2302","Police Officer","2018-04-30T00:00:00.000",,"NYPD"
"Section 50","Medical","Department of Correction - DOC","Closed","2015-12-28T00:00:00.000","2016-06-20T00:00:00.000","3301","Correction Officer","2019-05-28T00:00:00.000",,"DOC"
"Section 50","Psych","Police Department - NYPD","Closed","2015-12-28T00:00:00.000","2016-01-22T00:00:00.000","3323","School Safety Agent","2018-05-29T00:00:00.000",,"NYPD"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2015-12-28T00:00:00.000","2016-01-15T00:00:00.000","5001","Sanitation Worker",,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2015-12-28T00:00:00.000","2016-01-06T00:00:00.000","3310","Police Officer","2019-06-25T00:00:00.000",,"NYPD"
"Section 50","Psych","Department of Correction - DOC","Closed","2015-12-28T00:00:00.000","2016-01-29T00:00:00.000","2338","Correction Officer","2018-12-11T00:00:00.000",,"DOC"
"Section 50","Character","Police Department - NYPD","Closed","2015-12-28T00:00:00.000","2016-05-17T00:00:00.000","2050","Police Officer","2018-12-17T00:00:00.000",,"NYPD"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2015-12-28T00:00:00.000","2016-04-28T00:00:00.000","4056","Plumber",,,"DCAS"
"Jurisdictional Issue",,"Transit Authority - NYCTA","Closed","2015-12-28T00:00:00.000","2016-01-28T00:00:00.000",,,,,"NYCTA"
"Section 76","Suspension","Housing Authority - NYCHA","Closed","2015-12-24T00:00:00.000","2016-10-07T00:00:00.000",,,,,"NYCHA"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2015-12-24T00:00:00.000","2015-12-29T00:00:00.000",,,,,"DCAS"
"Waiting for DQ",,"Police Department - NYPD","Closed","2015-12-24T00:00:00.000","2016-02-03T00:00:00.000",,,,,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2015-12-23T00:00:00.000","2016-04-29T00:00:00.000","2326","Police Officer","2018-07-02T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2015-12-23T00:00:00.000","2016-03-21T00:00:00.000","2302","Police Officer","2018-04-30T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Police Department - NYPD","Closed","2015-12-22T00:00:00.000","2016-02-24T00:00:00.000","2311","Police Officer","2018-05-01T00:00:00.000",,"NYPD"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2015-12-22T00:00:00.000","2015-12-23T00:00:00.000","4056","Plumber",,,"DCAS"
"Section 76","Suspension","Human Resources Administration - HRA","Closed","2015-12-22T00:00:00.000","2016-04-12T00:00:00.000",,,,,"HRA"
"Section 76",,"Human Resources Administration - HRA","Closed","2015-12-22T00:00:00.000","2016-04-12T00:00:00.000",,,,,"HRA"
"Section 76",,"Administration for Children's Services - ACS","Closed","2015-12-22T00:00:00.000","2016-05-06T00:00:00.000",,,,,"ACS"
"Section 50","Character","Police Department - NYPD","Closed","2015-12-22T00:00:00.000","2016-02-24T00:00:00.000","2311","Police Officer","2018-05-01T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2015-12-22T00:00:00.000","2016-05-17T00:00:00.000","2326","Police Officer","2018-07-02T00:00:00.000",,"NYPD"
"Section 50","Psych","Fire Department - FDNY","Closed","2015-12-21T00:00:00.000","2016-12-16T00:00:00.000","2000","Firefighter","2017-06-26T00:00:00.000",,"FDNY"
"Section 50","Character","Police Department - NYPD","Closed","2015-12-21T00:00:00.000","2016-05-02T00:00:00.000","2311","Police Officer","2018-05-01T00:00:00.000",,"NYPD"
"Section 50","Medical","Department of Correction - DOC","Closed","2015-12-21T00:00:00.000","2016-05-16T00:00:00.000","4303","Correction Officer","2019-09-23T00:00:00.000",,"DOC"
"Section 50","Character","Police Department - NYPD","Closed","2015-12-21T00:00:00.000","2016-02-18T00:00:00.000","1315","Police Officer","2016-07-09T00:00:00.000",,"NYPD"
"Section 50","Veterans Credits","Department of Citywide Administrative Services - DCAS","Closed","2015-12-21T00:00:00.000","2017-03-23T00:00:00.000","5001","Sanitation Worker","2020-03-16T00:00:00.000",,"DCAS"
