"vendor_name","vendor_address","vendor_contact_name","contact_phone","contact_email","qualified_date","recertification_date","street_number","street_name","unit","city","state","postcode","borough","borough_code","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","nta_name"
"Acumen Security Inc.","1323 Dorchester Road, Brooklyn, NY 11226","Anne Sheldon","917.685.1111","asheldon@proactivepis.com",,,"1323","Dorchester Road",,"Brooklyn","NY","11226","BROOKLYN","3","40.638574","-73.965532","314","40","520","3118664","3051560035","BK42","Flatbush"
"AJ Squared Security Inc.","110-20 Jamaica Avenue, Suite 2G, Richmond Hill, NY 11418","Scott Lowell","516.223.0900","slowell@aj2security.com",,,"110-20","Jamaica Avenue","Suite 2G","Richmond Hill","NY","11418","QUEENS","4","40.696495","-73.837693","409","28","12601","4194819","4093000089","QN54","Richmond Hill"
"AllNations Security Services, Inc dba Watch Guard or Patrol Agency","3260 Cruger Ave, 1G, Bronx, NY 10467","Nana Agyeman & Keith Agyeman","347.947.9595","Allnations727@gmail.com",,,"3260","Cruger Ave","1G","Bronx","NY","10467","BRONX","2","40.872977","-73.866171","212","15","372","2056289","2045990017","BX44","Williamsbridge-Olinville"
"Barlow Security Group LLC","7317 13 Avenue, Brooklyn, NY 11228","Christopher Karolkowski","917.488.3348","ck@barlowsecuritygroup.com",,,"7317","13 Avenue",,"Brooklyn","NY","11228","BROOKLYN","3","40.621312","-74.006361","310","43","198","3158842","3062000002","BK30","Dyker Heights"
"Base One Security Patrol LLC","155 Water Street, 4th Floor, Rm 7A, Brooklyn, NY 11201","Nestor J. Anavitate","718.852.3627","nestor@baseonesecurity.com",,,"155","Water Street","4th Floor, Rm 7A","Brooklyn","NY","11201","BROOKLYN","3","40.703147","-73.987864","302","33","21","3000026","3000290016","BK38","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Blue Shield Security & Protection Inc.","353 W 48th Street, 4th Fl, New York, NY 10036","Andres Inoa","646.372.3835","Cases212@hotmail.com",,,"353","W 48th Street","4th Fl","New York","NY","10036","MANHATTAN","1","40.761671","-73.988496","104","3","127","1025131","1010390009","MN15","Clinton"
"Churchgate Consulting Inc dba Churchgate Protective Services","747 Lexington Ave, Suite 1, Brooklyn, NY 11221","Onome Kelly Eyubeh","718.498.5960 or 917.939.2051","kelly@churchgatecorp.com",,,"747","Lexington Ave","Suite 1","Brooklyn","NY","11221","BROOKLYN","3","40.689960","-73.931167","303","36","291","3341426","3016210056","BK35","Stuyvesant Heights"
"City Bay Security Services Inc","114-70 177th Place, Jamaica, NY 11434","Derick Agbontaen","917.518.6301","diagbontaen@cs.com",,,"114-70","177th Place",,"Jamaica","NY","11434","QUEENS","4","40.692614","-73.771452","412","27","432","4268702","4124000101","QN08","St. Albans"
"City Investigations + Security Inc","368 Ave U, Brooklyn, NY 11223","Larry Plascoff or Heidi Thomson","718.570.3190,347.306.5786,718.787.0070","heidi@cityinvestigations.net; judy@cityinvestigations.net",,,"368","Ave U",,"Brooklyn","NY","11223","BROOKLYN","3","40.597250","-73.970696","315","47","396","3192734","3071270009","BK25","Homecrest"
"Classic Protection Security & Investigations Inc","88 New Dorp Plaza, Ste 108, Staten Island, NY 10306","Paul C. Zibrosky","718.980.5777","czibrosky@classicprotection.com",,,"88","New Dorp Plaza","Ste 108","Staten Island","NY","10306","STATEN IS","5","40.573001","-74.117610","502","50","134","5057432","5042120043","SI45","New Dorp-Midland Beach"
"Classic Security LLC dba Alliance Security","318 West 39th Street, 701, New York, NY 10018","Ray DiNunzio","646.761.6102","rdinunzio@alliance.us",,,"318","West 39th Street","701","New York","NY","10018","MANHATTAN","1","40.755657","-73.991976","104","3","115","1013650","1007620050","MN15","Clinton"
"Epic Security Corp","2067 Broadway, 3rd Floor, New York, NY 10023-2806","Steven Goldman","212.580.3434","urmilla@epicsecurity.com;steven@epicsecurity.com",,,"2067","Broadway","3rd Floor","New York","NY",,"MANHATTAN","1","40.778352","-73.982102","107","6","159","1030419","1011630032","MN14","Lincoln Square"
"Focus Security Service Inc","34-18 Northern Blvd, Suite 8, Long Island City, NY 11101","Ehigie Aghahuwa","347.706.5232","fssincoffice@gmail.com",,,"34-18","Northern Blvd","Suite 8","Long Island City","NY","11101","QUEENS","4","40.752021","-73.929345","401","26","171","4003108","4002140249","QN31","Hunters Point-Sunnyside-West Maspeth"
"Global Operations Security Services Inc","132 Nassau Street, Rm 423, New York, NY 10038","Amit Levi  or Sara Judasin","212.822.3555 or 781.525.6342","amit.l@globeoperations.com; sara.j@globeoperations.com",,,"132","Nassau Street","Rm 423","New York","NY","10038","MANHATTAN","1","40.711072","-74.006684","101","1","1501","1079101","1000920030","MN25","Battery Park City-Lower Manhattan"
"Global Security Solutions, Inc","152 West 36th St, #305, New York, NY 10018","Werner Hellmann","347.539.6308","info@globalsecuritysolutions.com",,,"152","West 36th St","#305","New York","NY","10018","MANHATTAN","1","40.751806","-73.988588","105","3","109","1015233","1008110062","MN17","Midtown-Midtown South"
"Harvard Protection Services, LLC","59 Maiden Lane, 17th Floor, New York, NY 10038","David Alito","212-730-0052","dalito@harvardprotect.com",,,"59","Maiden Lane","17th Floor","New York","NY","10038","MANHATTAN","1","40.708266","-74.008231","101","1","1502","1079043","1000670001","MN25","Battery Park City-Lower Manhattan"
"Heightened Security Inc.","40 Exchange Place, 501, New York, NY 10005","Drew Campbell","646.415.7703","info@heightenedsecurity.com;dcampbell@heightenedsecurity.com",,,"40","Exchange Place","501","New York","NY","10005","MANHATTAN","1","40.705939","-74.010283","101","1","9","1000825","1000250027","MN25","Battery Park City-Lower Manhattan"
"Integrated Security Services","305 Madison Ave, Suite 2137, New York, NY 10165","Alan Schissel","212.808.4153","aschissel@intesecurity.com",,,"305","Madison Ave","Suite 2137","New York","NY","10165","MANHATTAN","1","40.752390","-73.979575","105","4","82","1035335","1012760042","MN20","Murray Hill-Kips Bay"
"International Protection Group, LLC d/b/a International Protective Services Agency","481 8th Ave, Suite 1130, New York, NY 10001","Joseph Zamora","212.947.1681 ext 122","matt@ipsasecurity.com;joe@ipsasecurity.com",,,"481","8th Ave","Suite 1130","New York","NY","10001","MANHATTAN","1","40.752295","-73.993402","104","3","111","1013561","1007580037","MN13","Hudson Yards-Chelsea-Flatiron-Union Square"
"International Security Associates, Inc","130 East 59 Street, New York, NY 10022","Steve Levy","212.355.7147","steve@isasafe.com",,,"130","East 59 Street",,"New York","NY","10022","MANHATTAN","1","40.762367","-73.968540","105","4","11203","1087267","1013137502","MN19","Turtle Bay-East Midtown"
"Johnson Security Bureau","609 Walton Avenue, Bronx, NY 10451","Jessica A. Johnson","718.402.3600 ext 105","info@johnsonsecuritybureau.com",,,"609","Walton Avenue",,"Bronx","NY","10451","BRONX","2","40.820353","-73.927795","204","8","63","2001132","2023530044","BX63","West Concourse"
"Kings Security Services, Inc","1900 Crotona Avenue, 1st Floor, Bronx, NY 10457","Evans Imafidon","718-410-8959","info@kingssecure.com",,,"1900","Crotona Avenue","1st Floor","Bronx","NY","10457","BRONX","2","40.844498","-73.891893","206","17","36901","2116576","2029500038","BX17","East Tremont"
"KSA Protection Corporation","149-56 255th Street, Rosedale, NY 11422","Kehinde Aregbe","718.528.2515","ksaprotection@aol.com",,,"149-56","255th Street",,"Rosedale","NY","11422","QUEENS","4","40.650856","-73.734955","413","31","664","4290193","4136580010","QN05","Rosedale"
"LASI Security Company, Inc","822 Utica Avenue, Suite 2F, Brooklyn, NY 11203","Felix Frantz Pierre","718.498.8660","info@lasisecurity.com",,,"822","Utica Avenue","Suite 2F","Brooklyn","NY","11203","BROOKLYN","3","40.653024","-73.930531","317","41","868","3336181","3046750016","BK96","Rugby-Remsen Village"
"LEAD Security Group Inc","244 Fifth Avenue, Suite T230, New York, NY 10001","Ifeanyi T. Obinali","347.236.5525 or 212.381.7640","iobinali@leadsginc.com",,,"244","Fifth Avenue","Suite T230","New York","NY","10001","MANHATTAN","1","40.744521","-73.987427","105","2","58","1015690","1008290040","MN13","Hudson Yards-Chelsea-Flatiron-Union Square"
