"schoolname","buildingnumber","streetname","suiteapt","city","state","zipcode","latitude","longitude","contact","telephone","email","web","date","time","borough","community_board","council_district","census_tract","bin","bbl","nta","location_1"
"AAA Knowledge Seekers, Inc.","86-11","Lefferts Boulevard","NULL","Richmond Hill","NY","11418","40.701122","-73.831383","Asad R. Siddiqy","(718) 790-2000","queens@knowledgeseekers.nyc","http://www.knowledgeseekers.nyc","2019-05-30T00:00:00.000","11:52.6","QUEENS","409","29","144","4539223","4092730048","Richmond Hill","(40.701122, -73.831383)"
"AAA Knowledge Seekers, Inc.","1654","Castle Hill Avenue","NULL","Bronx","NY","11418","40.839097","-73.852733","Asad R. Siddiqy","(718) 524-9900","bronx@knowledgeseekers.nyc","http://www.knowledgeseekers.nyc","2019-05-30T00:00:00.000","11:52.6",,,,,,,,"(40.839097, -73.852733)"
"AA Driver Training Center","132-49","41st Road","Suite 1b","Flushing","NY","11355","40.756224","-73.831928","Lalo Guo","(718) 886-6249","info@dtadirect.com","http://www.dtadirect.com","2019-05-30T00:00:00.000","11:52.6","QUEENS","407","20","849","4534024","4050397505","Flushing","(40.756224, -73.831928)"
"AA Driver Training  Center","6402","8th Avenue","Suite  105","Brooklyn","NY","11220","40.633253","-74.012247","Lalo Guo","(718) 886-6249","info@dtadirect.com","http://www.dtadirect.com","2019-05-30T00:00:00.000","11:52.6","BROOKLYN","310","38","120","3394091","3058217501","Sunset Park East","(40.633253, -74.012247)"
"AAJ Desi Black Yellow Green Professional Driver Academy Inc.","89-36","Sutphin Blvd","3rd Floor","Jamaica","NY","11435","40.703045","-73.808622","Poly Saha","( 347)561-5557","aajdesitaxiacademy@gmail.com","http://www.aajdesitaxiacademy.com","2019-05-30T00:00:00.000","11:52.6","QUEENS","412","24","240","4206749","4096760013","Jamaica","(40.703045, -73.808622)"
"Abaan Goog Transportation Education Academy","150-51","14th Avenue","Lower Level, Unit A","Whitestone","NY","11357","40.792045","-73.809557","Nawaz Amad","(718) 746-4400","info@googeducation.com","http://www.googeducation.com","2019-05-30T00:00:00.000","11:52.6","QUEENS","407","19","981","4537234","4045180137","Whitestone","(40.792045, -73.809557)"
"A. Vollo Transportation Group","3646","37th Street","NULL","Long island City","NY","11106","40.610119","-73.943369","Andrew Vollo","(718) 705-1111","info@vtginstitute.com","http://www.vtginstitute.com","2019-05-30T00:00:00.000","11:52.6","QUEENS","401","26","55","4009552","4006360047","Queensbridge-Ravenswood-Long Island City","(40.610119, -73.943369)"
"CUNY Kingsborough Community College","2001","Oriental Boulevard","Room T4122","Brooklyn","NY","11235","40.577814","-73.935561","Abel Zamora","(718) 368-5189","taxi@kbcc.cuny.edu","http://www.kbcc.cuny.edu","2019-05-30T00:00:00.000","11:52.6","BROOKLYN","315","48","616","3326937","3087600060","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","(40.577814, -73.935561)"
"Jamaica One Trainers School","87-12","175th Street","Suite #C1","Jamaica","NY","11432","40.711234","-73.787933","Arif Ekram","(718) 206-9200","jamaicaonetaxi@gmail.com","http://www.jamaicaonetaxi.com","2019-05-30T00:00:00.000","11:52.6","QUEENS","412","27","462","4600457","4098307502","Jamaica","(40.711234, -73.787933)"
"Millennium Drivers Academy","1954","Jerome Ave","NULL","Bronx","NY","10453","40.851797","-73.909214","Pavel Lopez","(718) 733-1220","millenniumdrivers@gmail.com","http://www.millenniumsdriver.com","2019-05-30T00:00:00.000","11:52.6","BRONX","205","14","23301","2008253","2028530017","Mount Hope","(40.851797, -73.909214)"
"NYC Cab Drivers Training Center","5030","Broadway","Suite #626","New York","NY","10034","40.86885","-73.916637","Anthony Cabrera","(718) 503-8004","nyctaxilimotrainingcenter@gmail.com","http://www.nyccabdriverstrainingcenter.com","2019-05-30T00:00:00.000","11:52.6","MANHATTAN","112","10","303","1064883","1022310001","Marble Hill-Inwood","(40.86885, -73.916637)"
"NYC Driver Institute, Inc.","31-00","47th Avenue","1st floor","Long Island City","NY","11101","40.74209","-73.935516","Charles LaSala","(718) 255-9500","school@tlc.driver.nyc","http://www.tlcdriver.nyc","2019-05-30T00:00:00.000","11:52.6","QUEENS","402","26","199","4003539","4002810001","Hunters Point-Sunnyside-West Maspeth","(40.74209, -73.935516)"
"Training In Transportation, Inc.","3051","Nostrand Avenue","NULL","Brooklyn","NY","11229","40.610119","-73.943369","JoAnn Tufaro","(646) 886-0156","drivngcrzy@aol.com","http://www.nybustraining.com","2019-05-30T00:00:00.000","11:52.6","BROOKLYN","315","46","640","3183726","3068150001","Georgetown-Marine Park-Bergen Beach-Mill Basin","(40.610119, -73.943369)"
"Trend Transportation Center","3646","37th Street","NULL","Long Island City","NY","11106","40.753252","-73.925983","Klee Walsh","(347) 903-1754","info@trendtransit.com","http://www.trendtransit.com","2019-05-30T00:00:00.000","11:52.6","QUEENS","401","26","55","4009552","4006360047","Queensbridge-Ravenswood-Long Island City","(40.753252, -73.925983)"
